ChannelID,ChannelType,ChannelName,Description,StartDate,EndDate,RowHash
1,TV,Tv Campaign 86,National and local TV ads,2023-02-19,2025-05-11,b45f014916347ed4b75fe29839c15bcdbc1cdf5d893c6059aa95d70f651ae11b
2,email,Email Campaign 74,Newsletter and promotional emails,2024-02-15,2025-05-11,d4604970fb96cf287ba9af19b195e3e849ebe057648ae8fff5533249174b6a90
3,billboard,Billboard Campaign 46,Outdoor billboard advertisements,2023-05-14,2025-05-11,73ad35dcb1903cb7f349ba043aabf3bf3757c6194d7bbcaad1e146206edfb81f
4,billboard,Billboard Campaign 26,Outdoor billboard advertisements,2022-12-10,2025-05-11,2e15e34246afb0075e09262679d7453ca2fa5e14d1599b6f681619b390a7885c
5,social media,Social media Campaign 52,"Instagram, TikTok, and Facebook campaigns",2023-11-13,2025-05-11,2f32fc92297aee54f98b59e43bda2c7012a36647a4f38c099a3aa4db2fe7ed74
6,store,Store Campaign 35,In-store promotions and flyers,2023-06-07,2025-05-11,0f0f831550e61a4b6ac229d93dd0e54f7ad56ffaae186e897d324c60134a0028
7,referral,Referral Campaign 18,Customer referral program,2022-10-12,2025-05-11,353b92e19861ef93e844650327568649fa39e4ab20d35837a4b9bbe2056ab54d
8,TV,Tv Campaign 33,National and local TV ads,2024-02-10,2025-05-11,d3745712e99f63d5b485e8e703753b2a5938a8e9ff28f2afce3c3d2b47b45b71
9,email,Email Campaign 47,Newsletter and promotional emails,2023-03-28,2025-05-11,09e4c07c9f278ff6200a033991b3d39781f970c0205f6889b7dafb5d0a1b5229
10,website,Website Campaign 3,Company official website banners,2022-12-08,2025-05-11,3f8b4e600dc7f332e421e609197a3f732d4b8d12165929c45e24e9bfbe968f1f
11,referral,Referral Campaign 42,Customer referral program,2022-11-25,2025-05-11,dbf724842873815bb40a5b503d36cbf935f7229aee578e43796b12396f03e023
12,referral,Referral Campaign 31,Customer referral program,2024-05-02,2025-05-11,f1c98c0afb76cbdb14e1b07e80c883148b7920e6912e3329c05ad0322af9ddbb
13,referral,Referral Campaign 1,Customer referral program,2024-03-13,2025-05-11,27a8831b7680ea63f1e5bac7f2aa7996c78ad438e355c3cdd249fd8910a87456
14,website,Website Campaign 76,Company official website banners,2023-02-18,2025-05-11,568a9339846e4502478f76c65eb23a10bf8697ce2645540f2109730ca63b0a94
15,social media,Social media Campaign 92,"Instagram, TikTok, and Facebook campaigns",2022-08-13,2025-05-11,a065366f0dee9a37c7eabdc700b6ddcf6aaa21b98d06db96e24b9f8daea40a64
16,website,Website Campaign 34,Company official website banners,2022-05-20,2025-05-11,8f1636da7215abc3152bfebf694843973a29951786a947cac206378eeef1ab13
17,email,Email Campaign 21,Newsletter and promotional emails,2022-05-16,2025-05-11,ba68d684ca4121a2ed27dd4e2ab37535f0c55b72b3e9ea9474a075701abaa6cf
18,website,Website Campaign 32,Company official website banners,2023-06-04,2025-05-11,a5c5a27bed647fbb8c41a26e58fb39830f8b395c14bba2876e512ef6c6672140
19,store,Store Campaign 6,In-store promotions and flyers,2023-01-21,2025-05-11,874df5399856cbce489e790dc97b863a24f59660115ab30118ab055cd83b42f0
20,vendor,Vendor Campaign 7,External vendor partnerships,2023-04-01,2025-05-11,cce4864d0646f63f73190521de8d45fc229868b7255cec19fac329a327a2a770
21,email,Email Campaign 43,Newsletter and promotional emails,2024-02-09,2025-05-11,2df8d37a84f792a8feddeb04715213dd5eda085fda8e9e8941df3052e70ac2e9
22,website,Website Campaign 85,Company official website banners,2022-08-26,2025-05-11,04c44b1bfa98ee2ca350cea11f797aa5fb475800338cb3416953ee65a63bae7e
23,referral,Referral Campaign 40,Customer referral program,2023-10-25,2025-05-11,872b8745e8ac089b18d41ca849bf997af3c8f48b3bc76aa832c67bd44ec71ceb
24,vendor,Vendor Campaign 83,External vendor partnerships,2023-01-13,2025-05-11,fc066c4a93eeec2ee5f1fc214e591ab5dca4b216d0aebb68bed0452e5e7f32cb
25,referral,Referral Campaign 40,Customer referral program,2023-07-07,2025-05-11,9bdd4bbaaa4382e3a94f45a4824edd007248219ed0a2a8c16c3bd6ff390d32f5
26,social media,Social media Campaign 21,"Instagram, TikTok, and Facebook campaigns",2022-12-25,2025-05-11,8c62ee6b5bc478d67479337792d8277c623aaf5940207fb59bc33befc8ff9615
27,store,Store Campaign 7,In-store promotions and flyers,2022-11-17,2025-05-11,acb69c7ebfc356175c2b34f1a9ddffcb26d4eaf968f40bedbd914b109b25c3e5
28,website,Website Campaign 18,Company official website banners,2023-08-11,2025-05-11,5441218b31ddc7ad43a5e4ba4c4ff575a0c6d9751ff89e014a6af964d2943f75
29,store,Store Campaign 80,In-store promotions and flyers,2022-11-10,2025-05-11,479bc90bc1558824eae5599d6a5ac9146f3657a47834ef5a735c7ae0d01df9fe
30,social media,Social media Campaign 89,"Instagram, TikTok, and Facebook campaigns",2023-08-07,2025-05-11,722745f9d6db7273531add3bc737d225fd090d2d575333e0024684bc8fc5bef6
31,website,Website Campaign 19,Company official website banners,2023-08-27,2025-05-11,4391f5439a740b24fdc55438baeacf62ef58f136387945d753ff1efa174f62f9
32,social media,Social media Campaign 80,"Instagram, TikTok, and Facebook campaigns",2023-10-14,2025-05-11,5cd9b0d2bc5b011bef6411fcec2b35184d2d42bd5f3d3cf40c6ee8238cdd50da
33,TV,Tv Campaign 89,National and local TV ads,2023-01-09,2025-05-11,1f9cd014e9f6617564e167517b9bb4d8e947ba85a893e7adb7cb0a75b11ecd08
34,store,Store Campaign 15,In-store promotions and flyers,2022-12-08,2025-05-11,8cbe49306d59dfd18d9468d462da347749cf32237ab35a5591cb5c645087932c
35,website,Website Campaign 4,Company official website banners,2023-02-12,2025-05-11,03e004d5ec6f2be292d720bf9943809e22bd1ec1f66a627a52a834bb4e1243cc
