ChannelID,CampaignID,ChannelType,Cost,RowHash
f00f311e-3932-420a-9c8a-dfb304a48b76,e6149e43-2d3d-404b-9d0c-16bfaea9147d,Email,418.12,a0e9fd32cb895b41888d8a2615d2c99a
7d890ba7-7850-4d1b-b59e-5c4d5438da98,f70e3d3a-59e4-4722-a4d1-c1ceb3b20c4c,TV,811.11,a950cd57bc5d9ab08ade6aab66fba1bf
574d54f6-a370-489e-8a2e-64df2cc2e44d,e2322c40-ee0a-43a1-a945-5dfce85bcf3c,Website,440.1,49e55b409d2d11f30ae5073a36b1287c
614c9acd-f15f-499b-83cc-38001e085388,a99da37a-3436-4d99-a820-63968c134c10,Social Media,1098.4,95ecb956d83bc51366ccae8b33c1ac90
c67ef636-1d3f-42ee-8fb1-34a7228df620,06c3c465-e9c3-4fc1-97a4-ee07fffb5e87,Website,1000.14,b1adb23c2b92d7035ae5bd9769678231
d9c9fab7-675b-4f8c-b50c-a5d1b142945b,1981594f-165d-429e-a5a2-a8d0b01ebfd5,Website,1312.4,9b69c9450dbf4fedebbb8b1d23bab3fc
63f41de1-8861-4877-a234-8e83e646047c,1981594f-165d-429e-a5a2-a8d0b01ebfd5,Email,493.68,8330028211b762a02ac5f23399ff0b2c
3872f0e0-ee5a-41fc-bc8c-972b28efa0b2,85526107-9403-4b01-9aad-600357931cc7,Website,1740.02,1e369454d576cc0ea899fb301c8f1c1c
bde20571-46e1-4f0f-bb9c-908621bf74b3,9fc63dcc-ba53-434f-916a-cc42ecd38ffc,SMS,681.4,aa150e8d471422b51bd916ba40869b62
d9da334b-630f-45c8-8699-f93347104531,c98b7ccd-27bb-4262-bb2e-d785fb4c2389,TV,398.7,1a0da130e71c397d76d3a20bf3d04db7
60614ce7-6218-422c-8a3a-26fab75f095b,c5436a7c-1ac9-42b9-9e9b-d52c0d2515cb,Social Media,1146.05,de487a42aa4bb9dbf8e90d13435af072
18e066f0-562f-4e2f-b531-df400934c7cb,be3fedbd-0d9c-4763-a072-222d7aa58f3d,Email,660.59,9800a5923c3013960c36ce053a23ee5a
63968c18-ba08-474b-9586-b6f587f28fb3,e2322c40-ee0a-43a1-a945-5dfce85bcf3c,Social Media,537.34,7ba994e1678c5a37c6f33671427fdef6
bfd5930f-6e68-4f83-86fa-d2ce176408ba,4775ae58-2a15-4f6f-ba3a-7e4c8dbe5f7d,Website,1073.3,60d9872dd69f6f6570eac4d921d1d15a
47170056-94f1-435d-a421-5caeb00df8f9,bca40b3b-3d2b-483b-80e5-cd23760625e5,Website,957.19,ca05aade4a387baf09a7acdc18002917
c44ac284-a842-4393-ba00-847a124b836e,ff8182c5-6870-4efc-9258-335f8b1e7d86,Website,798.27,787c6f03731f2d1a5f2f96337397490c
0f1cf0e1-7592-45c7-85b8-71a33175377b,7584502b-2f02-4141-9154-70a19a7deb90,Social Media,618.74,ad6ab86efa62955acf22514c8a8ee2d8
cf30b57e-a7d1-47d6-8427-417bc6755e5b,0e4fe039-de6e-4b9a-815b-c9b3003d967e,SMS,939.21,c30fbdce0cb7ceff0a56263452fc600e
27b8a96f-4803-45d1-b600-f6ed3a2784bf,0c672897-4cae-407e-8007-e23c7eb57098,Email,782.28,9dba16db94b46e3c00e9d4b4db5982f9
9125a40f-9bab-429a-8d3b-5ca6dec907cc,8b8ed1da-d324-42ba-85ff-bc5967293846,Social Media,1700.95,bd206c2986bb5dc5f917f85dbdf8b574
75ba022e-05f4-4083-adbd-48b03a2641e4,3e6a5c64-0a23-4ea6-a95f-baed746413f2,TV,1322.94,2abc555bc94e3b71783559535b177ed7
40e77763-e3a2-4de1-a6b4-0fcc1dba7525,0ffdcce6-0638-4464-8765-b04bd61578d9,SMS,286.98,9e4cadefe6830417397a95b4460dda6d
5c69f77d-b58a-4435-b03c-1dfc4210e632,fdc78565-6d29-4288-a07e-d8cff6906d13,Social Media,172.73,ae4831b1118bd35088dab04a38d324a2
8f23b072-ca48-4a97-8641-1fe20a1b6730,85526107-9403-4b01-9aad-600357931cc7,Social Media,473.63,ab496510d52108df526870e2ca77765b
3bd9812b-2e00-42f5-8660-5aefd447fa97,827af6b9-f906-49bc-af4c-018d15b2687d,Social Media,675.16,6079aba564499970d5144eba6073728b
2e8dde15-a114-40e5-9b56-f3314ed2b337,167cba66-be32-4ff5-b2ea-743127394ceb,Social Media,462.22,f4f70df54a85fe88cc48b6638f8543c3
fbb2167b-c08b-4df0-a756-821c120dbe4b,bca55cdb-7ee1-4801-9f92-4db1ee5dafce,SMS,1996.97,25a86ef56293f71752f065ba2e2aca88
41da0101-282a-4619-9002-8f88dca71eee,af484382-4478-4973-ae6d-fb4f447bbae2,TV,1833.53,c328ca236392bde53a68e7609abc99b1
97827444-dc09-4690-8e0a-ac6ac2b9a571,36b05d7d-9852-47dd-aa74-d15c6e76db5c,Social Media,635.51,a8bcca341b73dd01d29524c7695c29d9
08ef93a2-19ff-4172-93c3-efe981943538,980142d4-4766-4dd7-85f7-2ca49c31749c,Website,1897.05,54b42d2f6d8b0cc2d79b3a5575f45dea
f4d2c933-9dc4-4f38-8dcc-83be2fd7b7c9,1981594f-165d-429e-a5a2-a8d0b01ebfd5,Email,996.81,1e61c90df54493fd6cf8aa6c217396f8
c68adb1f-f14d-473c-8c03-4e0516a103d1,3e6a5c64-0a23-4ea6-a95f-baed746413f2,SMS,1744.39,a7e002cc6693b49003c3364a80961462
5f8af83f-6e0b-4e6a-ab6a-2cac80a50ed9,7f1ab28e-a451-4625-9ead-b1594fdb55fd,SMS,1474.34,7fcd3efde0dab52ad52c9d966f74d3b4
2b9a8ffa-c0dc-4ee7-bcb8-49f44f89ad70,4d54349e-fdbf-499d-914c-a20ad81ca17c,Website,544.07,b23b0b68bba59543da5227702ba476f0
bd65a456-6b57-4107-b112-51087b217cd7,79ebd383-984b-448e-b512-2b03e29c9dd3,TV,1539.48,329449e213fbff1f430e2be9689b0195
46c2bede-3f1c-4b25-a3ab-91e8267ab0fe,722d9cbd-d2f2-436f-baa6-73c025b70b45,Website,747.25,b887a031b96dcccb48a076e45dd84210
01bc8a00-1dd0-40ba-941b-8706eb350cfa,8b8ed1da-d324-42ba-85ff-bc5967293846,Social Media,1707.02,e5ceb45d31b21645af5ad74256896d4d
c3b43187-9a53-496d-98cc-0ed51551c24c,4b5739f8-eb26-4e9a-bbd3-4a3894fe51fe,Website,498.21,ef0a36ca529f45c4b83a3e995ed734de
19a606ce-ac48-482c-8b55-f785ddc2b95c,8ada58fd-e53a-4bb8-abb1-695cf70282a1,TV,157.2,63487ba7c1a1725c4a614151194a381a
10cbce98-77a1-45bf-8f94-4e8ab4bad1ce,be3fedbd-0d9c-4763-a072-222d7aa58f3d,TV,1760.13,c8b39b8296632ce23e6c1e4d73d03c1e
db91f65d-f857-4659-bb22-a786f86ce2f0,d7a3a8f9-52e6-49b9-b02a-d7b3857a66da,Email,1049.62,ee77bbecd8e7de83b5d10a23dac49b24
305dbb4e-7e8f-4559-850d-67c09b1699e2,7702a0cd-afad-4a7e-8a0e-27399a8d1b03,Social Media,745.66,e93f37f95fb9efb344856f5b4e25cf2f
146111fb-5b76-4bae-b49d-3b743fea83e1,0e679eef-6896-431b-b5f0-cb65cf478ed9,Website,1402.95,c319901a2e5dba85ae31d8e0282b8feb
