RewardID,CustomerID,RewardType,RewardValue,RewardDate,RowHash
b946ab12-51b0-4b3c-8440-2b154d017705,7c5d467f-5fb0-4f77-905f-8acef67d84a3,Free Item,74,2025-03-05,ce8339b5b39bc68447157397e5922176
55ea9b91-bd2f-405a-a20d-ab5a10b2614a,f69962ca-a6b4-4464-878e-59ae6b43b6f8,Free Item,65,2025-03-14,a65463cbd38e40e60a02434321191436
5b6999f1-c9e7-4756-a9dc-6c6aa80c2c7e,d86011eb-bd81-4aee-b905-18ffad895411,Discount,94,2025-01-21,e1c0602237a1075e9643664aca6b8c5c
3a9f93d1-ed18-4193-b8a5-ff750dd3e337,9b1ddb4a-54b2-4afc-bce8-defb8d65c1f3,Free Shipping,73,2025-03-28,7a9284e5952b964565a77ee3601f7b3e
77883d75-425a-4e80-98b3-599a33f2e84a,abc2f41e-ab8f-430c-9677-705f4343b0ec,Discount,63,2025-01-04,2498e432d040a7ef2aac79cf874b0d39
66351449-30ad-4bfc-8312-5f679ecbd339,7f191b14-927f-4975-84a6-4139f6dc9dae,Points Bonus,92,2025-01-08,a88d89e7100efa9da1b56b6c7f9bd1ef
f3f78c60-d378-48dd-a948-262fab796fc4,c0e366b0-4820-408e-94df-b7532085e9c5,Points Bonus,91,2025-01-02,bd37c92bed3995e13e6591c7309f916e
ac96e41d-0df7-4026-82ff-34e686c45905,67004733-16a8-4c2f-9db5-f4bcfa0a4a3b,Free Shipping,29,2025-04-14,cb8d4e2c3945186f13cdb077ad2eef8b
328f6678-b418-43b6-8855-e5e769d69caf,b92ca163-e06f-44a7-896f-f4b2dd7e856f,Free Shipping,45,2025-03-17,89b434dced70c0f6afbf200447a33fa8
3432d732-6427-4cd3-9624-0be2daa0fda0,ee85931e-020f-4408-8af2-2b9bf4edd7b8,Points Bonus,42,2025-03-27,2e1196b7ca078ad41f909771e7ac5be6
12f2e2e8-8c51-4fda-93e2-30fc155274df,5e419f86-6e6b-4b45-a140-d03228124ecb,Free Shipping,25,2025-04-08,53cef275dd47f4e429b5af5953924bc8
58bff71a-63ac-42f4-99d1-5444c7dadcbe,2e90cc5a-37c7-450a-ae09-18d7be038c34,Free Shipping,61,2025-03-02,fa9f1a0fa1e676ea9dfdc15c7d87df1d
7a80627f-9da0-4c03-a7b7-ade1e90babac,d00399b5-89cb-48fa-8d60-5ea1f649b655,Free Item,42,2025-01-17,2e45086ee68e879b1c83d47bd6d55368
7b86369e-6565-4918-8355-528e2c075d3c,67403e9f-0231-4a15-848a-d9cea4795a2a,Points Bonus,28,2025-03-03,46fd141cbe4ca3432fdef2d4b9b7da14
1e9ffabe-0d4f-47ab-a21b-71edf0eac8c7,d86011eb-bd81-4aee-b905-18ffad895411,Points Bonus,64,2025-01-08,01f10ee7c09f1901b5061d3b3ad671dd
41737729-be92-42c5-9250-b3dba763c220,017092b9-a700-41e2-8365-eeeddf441c3d,Free Shipping,97,2025-02-28,42f4a84cdc71dbedce6cd095d34d212e
f798b908-49b0-4969-a332-f08ea8af9af5,e859ce9a-a9dd-43fd-9cd7-bf1bd8c13964,Free Item,9,2025-04-20,9008388fe758e226903336a0c68d6647
e01d7cdf-fa6a-4591-a7ca-c39d076ba265,eb0851e2-3417-47e5-b97e-36ebf487607f,Discount,50,2025-01-21,30b90b7596b8b2a03270b2cdbf12c819
b52f63f9-457f-4a06-a99a-87df28a79584,5e419f86-6e6b-4b45-a140-d03228124ecb,Free Shipping,58,2025-04-16,f9c23eb97b4686b3d3dacbbfba0a11d8
afbde042-6a4e-4fe2-9fbf-c639dabf1be1,9d69cc1c-f492-4f69-938c-91efee85a672,Free Shipping,48,2025-04-22,faafc1ddb68381b774b85aed44c2bfac
