CampaignID,Impressions,Clicks,Conversions,Revenue,RowHash
MC04589,16588,7820,6197,15785.73,991541aac985b2c53ddc8e751736569f
MC02773,55785,16255,2517,28233.19,6ec50d9be50b27d66d28c1fad5f126a0
MC00297,75200,11712,7825,49883.27,52ba1d5099350673666ff3a4aeeb21fb
MC03321,57430,48838,2797,5851.04,5d65605c0844d935bcabc2377466b825
MC01337,28411,7336,3279,39308.84,d2083b1bc40208abe6236418d12ae120
MC02568,11646,6041,3340,30101.99,afb29de5a4fafe3258030ab7237a2168
MC00140,16927,1539,781,11597.34,6b7f9f3cec643835bcc63a8fa06be49b
MC00079,3060,1252,1212,9488.23,e2d0b4390cc92ee314adfedc683053a7
MC01439,19868,8422,3125,48259.3,4daa05709572a5b8f06b7c16093e8380
MC03088,48491,40811,2230,6310.87,6ce79fc7e9407254cbb33c65d6acd7e8
MC00348,48270,23498,9058,35348.81,ac6fdee8da331ec927cdcc9b40963757
MC04002,17057,9576,1965,5477.67,b7ff50d60f5f90eccd30099a5c2a7740
MC00517,42420,34761,7783,29250.34,70dadf8aee7cdd0c56a525f70283960c
MC04536,80884,61614,51898,775.77,a3c9e05faf3924fa9982818a8f3c6b0b
MC02706,44909,9635,1126,17302.3,81b015045e77339cc13537c57dae1981
MC00950,94231,73508,41967,10978.04,5b1bc8a82421927293b5a61a93b37619
MC02137,67275,51750,23233,48031.44,eaa3352cf168c9df185fb6a939ee0a92
MC03206,37410,11954,9316,43738.59,68297936f6923044af03c5ada208ca75
MC03712,70041,4853,3544,35876.65,06b852d97e8471e812a967b3b2022065
MC02919,70083,54811,17314,22418.05,fff903a0969a9d0269c8c5c12487bd51
MC03770,56628,31051,4653,46536.38,b2876263750c3262f7bf53f02d647133
MC00120,32097,4396,1145,35934.12,cf28b4a862038dfdbf64946b23218b6b
MC00612,58428,20812,2020,22581.8,7859e9e070e0d5fc577f8ad764862de0
MC04743,44298,5767,1903,25461.55,ed68fe547c9bd369a6a9b046c44397ac
MC00687,61674,43208,9022,33202.64,c852b77dcf49add481e523d952af6662
MC03481,20021,15594,9917,1626.4,d29562e3fe803d4a95fe773d5d3d8784
MC03305,44780,14726,8245,17297.42,2662ba660e022fdebe112c01145b9884
MC04442,31834,25979,10929,13387.24,ce934d2a88435f30ee7f75797f4bde63
MC03022,76153,66609,10906,30542.33,df849040b8a4b7cb42c27b0fccf4f8d2
MC04092,9128,3099,2907,36219.35,b2fff6361f3169cb81d401979ba04192
MC02100,95426,76244,73508,38004.08,cd926d98d308cd54f5db1dd10fc99b4f
MC02651,24040,9780,8441,46186.11,de008fdd015c0fc5b038e9521b00ebc2
MC03690,32532,7062,5961,29731.74,dfbb0496b61ae0e6e7b093910bbc01ea
MC00303,52198,50242,12490,43946.23,4c1202e5af603f803e272a6df723884d
MC02824,80491,19371,5123,27924.95,ebbacbdabbc62e94e7103bf75be720c8
MC04117,30218,8730,2629,34893.09,cd85b8dab75529a86ea7eda80291cf29
MC00736,54583,22213,3289,20290.47,26d77c80e951f8260d4b54b6911e066a
MC00687,70067,22602,15234,8363.67,eb9eaca06b3896c680d5258469218006
MC01969,19911,13305,6932,17997.09,550773dae231c27028744c5241bc6958
MC00425,20081,17399,6113,5497.76,8a8f56ce49568d5cbb3f1891e901cc2a
MC04192,72163,31073,11451,43927.06,813b52281744d7e1c4adb42bc9dcbb72
MC04783,65400,17929,3075,26493.95,994e1e7305fde60014b8923c394f2824
MC03243,87027,63285,15502,39998.35,4305ebe7c540059632f00013deb7adfa
MC01276,23575,8438,5621,49830.14,7b7738efdba1c48920bc0eb8d926555b
MC01791,39223,35445,28386,712.22,0dc4e30c3c84b27c0c5150369fcdf87e
MC02944,3371,3090,1860,19379.23,e3d9ed683868a461775380fc63df53d0
MC02301,59450,52419,1154,34321.56,008ff49bb482c3557d39cef685c39610
MC01628,54026,30048,3744,37193.35,5e09e3aee354af5d45e5611fa4c3d08c
MC01526,86389,24592,14763,3709.42,a3d8b6bf3179bb8b5f851d8384a9eafd
MC04028,65273,52836,20135,30082.77,db6c79f3f2502a8d5ff59aa8a70a29a5
MC04030,40429,12067,11339,3973.18,fc14568ebd6061623c2e5d2ca59d5a64
