OnlineOrderID,CustomerID,OrderDate,ShippingMethod,TotalAmount,OrderStatus,RowHash
1,2827,2024-11-30,Click & Collect,492.06,Pending,74b066272dfa93d6af6164063e7c9a37d99716ef9eb4a1ab326592811fe89742
2,4879,2024-02-14,Click & Collect,781.91,Shipped,f65a668efec930287e7f3077485fe12d768add4cc3de94dddd3bca35982a1593
3,1618,2025-04-06,Standard,129.67,Returned,3cfac0c2805f61245a15d07c2784448a382bd441a3017c184146697dd7babb0e
4,2484,2025-04-14,Click & Collect,233.92,Delivered,2db5499ad6ca275b3754c5ef8f49c503fb34cbb1efbd7003804f40955da599c9
5,3766,2024-09-05,Click & Collect,979.16,Delivered,05a77acf1fb8008132d929375c6dae97deccae02c73ac4320c85ff5b794523e7
6,1677,2024-03-04,Standard,425.37,Delivered,27d77d923010cf6c786dce9ae4d022001b3b3d0151760c1bb0d16dcd650ad5a6
7,4441,2023-06-07,Express,290.61,Pending,1a3c28fbb39c6f85a862fb6684253e3154fa01c6a1fc46e0332fdef56267c2df
8,2190,2025-02-02,Standard,663.92,Pending,cb22e7bbfd090c81737a13cf7094756b64bfcfae5ba3fdb8c2f2c87b2a2e3db1
9,4406,2023-10-14,Express,552.51,Shipped,6a737d364644ec8df03dfd05904adb91d2dab849dbc8416a7353d27bd5e1add5
10,4056,2024-11-10,Click & Collect,764.38,Pending,ee6fd552ca069ed565545824c91e1d062097b24c6f1e838bc5bc0de7644037c2
11,3638,2024-02-02,Standard,435.19,Shipped,79dbc564bfc205f6f3de1ec4536c566788ea0a044c80c80bb38ac887e87cf300
12,341,2024-09-10,Standard,571.74,Pending,e89e231f34df77d330e3ab7d699104030f5a7e263938abf9d3f745a60fec9a16
13,2514,2023-06-27,Standard,127.49,Delivered,95a3a1cc7ce8de0f0d02817e2bcc39898ef3c92ee75d61109b60bf53a4d253e6
14,1012,2023-11-08,Express,815.98,Shipped,c0016fb66b1ff71a19a998dacc91bf4e10729fa0eb97da7c6a3580a806356c13
15,4154,2024-05-15,Express,661.1,Shipped,b0c371d83626355f305cfee420aae1c01d07fb289c7874ed5a373d78dc5feba6
16,389,2024-06-16,Standard,316.58,Shipped,bbce72ac3ebf82b7bbabb1cd9e34a2c21514832031b7ef30ad5ebc1e0a2f928c
17,1659,2024-08-17,Express,593.8,Pending,e273b031f62ead1435087f680bf6fb76aa02e45d4c892422d403ec6967c7618e
18,2504,2025-03-04,Click & Collect,640.03,Shipped,30142c09453bd88b9d1f09a3faa84e44e88563e9ec41c2e04e63e7f96d0f8d76
19,56,2024-05-01,Click & Collect,838.66,Returned,e78ee19a703e8729ef48c2403a1bf04ba533699b2962de69a43cc3c8f73826a6
20,2374,2024-03-14,Click & Collect,467.6,Delivered,1f97751a4e883417369b50e76d4a574cc8daaf122a131bd05e969718587e927c
21,1926,2024-01-05,Standard,614.81,Delivered,1a0439d9def2e959f62001840979ad7cf7d23747dbefa1aec40c4430aacaaebd
22,2458,2023-08-01,Express,469.68,Returned,4078f30eee7ce849e92241e23c7536e5d289e45e7b3ea1eb0cd3bb7fc2d2f7f5
23,3752,2024-04-18,Express,542.79,Shipped,d821e520ad04e9aa40f423ed5175a93b71ebc7dc114f270db5ebb3d60da9bda6
24,300,2023-08-11,Express,169.89,Returned,763bef8de15f595f926e540c52a5084695ae003cf9d3c1033435367f27297113
25,3194,2024-10-09,Click & Collect,153.61,Pending,2d3a3361b0c3e6cdfa343190fdc172a2b424d320b093762c80ff9b4fe29317a5
26,4503,2025-05-05,Express,425.29,Shipped,00bdd6354c8d739f5b42d30f4dd2bb7b291796b39488688249dca607c4b09d94
27,2732,2023-09-26,Standard,643.36,Returned,578ed97fd8fd6ff83fb9507395e34d54a6c5b333700c4699de3475153edc2577
