OnlineOrderLineID,OnlineOrderID,ProductID,Quantity,UnitPrice,TotalPrice,RowHash
OOL00000,ON00001,4792,1,157.98,157.98,25e9a42330aee86f0644299336c31fbb
OOL00001,ON00002,3494,2,64.91,129.82,84b58efd18881d6c1af0d8c373f1c0c0
OOL00002,ON00003,3557,1,18.01,18.01,8bc2e367ae573c49ff4e6d6729a480d3
OOL00003,ON00004,159,3,130.88,392.64,3cbdfe7ede9f2f92fadaad071f573e50
OOL00004,ON00005,4051,2,109.5,219.0,f32e9f36da26bd9b99007342adf8887f
OOL00005,ON00006,747,2,55.61,111.22,83774ae73af39dc3ed7874141f6da152
OOL00006,ON00007,202,1,119.11,119.11,6345d9ab6de35a2e9e7dfe8f7f7aaed4
OOL00007,ON00008,2732,2,62.74,125.48,312de2e2d142fbafdcb9daeeb010b93e
OOL00008,ON00009,3138,2,65.33,130.66,aa2d05aab2d0506f06400b491042854a
OOL00009,ON00010,4457,2,83.59,167.18,3116540e968544687106943f25a324c0
OOL00010,ON00011,2747,1,119.47,119.47,a2e56e7ccca48efa85def560b3828a21
OOL00011,ON00012,2654,1,108.44,108.44,47441b6841d14c83e7b20bd5360f2d0f
OOL00012,ON00013,3105,1,161.15,161.15,fc189f214104893e9d84eaab6e6c1424
OOL00013,ON00014,4396,2,114.81,229.62,394f94c1bcf79d91a195f8ed95b994fd
OOL00014,ON00015,4784,2,70.67,141.34,c9bd6273a6632b04ac7ae75a68663482
OOL00015,ON00016,2750,3,42.89,128.67000000000002,e935af8407ad4ae57dcd01610e1d9126
OOL00016,ON00017,3744,1,34.92,34.92,2e8a052accbd957a8238aae34802f0b3
OOL00017,ON00018,2118,3,82.85,248.54999999999998,106708bc9c0dbfb03a12a785f7cd44fc
OOL00018,ON00019,79,3,125.55,376.65,32708c2407e9a7114659f7236395b02a
OOL00019,ON00020,2309,3,79.57,238.70999999999998,cb9642db4ba6abed9ac927a714daf69d
OOL00020,ON00021,2244,2,113.56,227.12,81474ea2ce3ecf8b68626083fc2c5db1
OOL00021,ON00022,340,3,105.81,317.43,42a5144acd5c600d1ad950acfaf2c115
OOL00022,ON00023,820,2,25.78,51.56,566d1381fe20d12b5bdd9b698a82e9cf
