ProductID,ProductName,ProductCategory,Gender,Brand,Color,Size,UnitPrice,DateCreated,RowHash
1,Zara Jackets White,Jackets,Unisex,Zara,White,L,124.28,2023-09-05,bb0bc63e33101656ed4cd0a54d24883cfb7d3c1f41293061280af34e3a32e3a2
2,Zara Accessories Beige,Accessories,Unisex,Zara,Beige,XL,147.56,2025-05-11,cd6083aa883b27c999293422243624cbadeb7b82d04e54e3372bf877cbc5783f
3,Pull&Bear Jackets Black,Jackets,Unisex,Pull&Bear,Black,L,54.65,2024-03-31,4b571947cc1e13eb7bf3d2b138efa1492488b5a7937ecf0273194b43775aa41e
4,Pull&Bear Jackets Red,Jackets,Unisex,Pull&Bear,Red,XL,16.89,2023-02-17,33a2d2d34b1b27a62e0c8fa4aff9befcda2e841c8eeb1435a089d555ae64f861
5,H&M Men's Shirts Green,Men's Shirts,Male,H&M,Green,M,178.14,2023-07-22,6223d72d2a80a431b58ace963c2170c389ea93f93147e84610b453f447c7ab5e
6,Uniqlo Children's Shoes Beige,Children's Shoes,Unisex,Uniqlo,Beige,XL,182.51,2022-12-10,900fb5a424ff346ff360bd5cf2f4c97615dea8c94ddb458e514e502c87dcf336
7,COS Women's Dresses White,Women's Dresses,Female,COS,White,L,26.97,2024-07-15,536a90fe460ef3a41da3d2f90c9d9f6f113510e9c6c3dffb82867287c8cdc9a4
8,Uniqlo Children's Shoes Red,Children's Shoes,Unisex,Uniqlo,Red,XL,87.99,2025-03-23,4dc2739d53ab0d3af63ae34e171323ee6ea8965db52ef0a48209f20ae4408f73
9,Pull&Bear Men's Shirts Beige,Men's Shirts,Male,Pull&Bear,Beige,S,70.77,2022-10-22,07a56f792a2ed62abc6b642a6685c4f190e354c5f42f72843316e3ca8a2427c2
10,Uniqlo Accessories White,Accessories,Unisex,Uniqlo,White,L,40.31,2023-01-05,f34402288d12a37859ef4ea295a8adb85b657933e2a289c104caacc46a92d6e7
11,H&M Children's Shoes Beige,Children's Shoes,Unisex,H&M,Beige,XS,18.19,2025-02-18,88d5d9af427208077c05a230ce0badd7639be3ae3677bc6a9755189730fae719
12,Pull&Bear Men's Shirts Green,Men's Shirts,Male,Pull&Bear,Green,XS,191.37,2024-01-16,9b2fe9d1c2f1431f1866f0c18c7b0d901e96cfa0689cff1de27c1053177e191f
13,Pull&Bear Women's Dresses White,Women's Dresses,Female,Pull&Bear,White,L,50.0,2022-10-28,23925ec53faa9d2b680288f402bc40d74b30bd82092a26efd73316d3426db686
14,Zara Accessories Beige,Accessories,Unisex,Zara,Beige,XL,143.8,2022-08-26,5d7efd0ecce0ea304421adb22762825e806edadb11642f06cb1178afe61ef207
15,COS Men's Shirts Red,Men's Shirts,Male,COS,Red,M,162.12,2022-10-25,e246bee78e91fbc2f2beaa454ead7d4eadfa2d02c5d196531e1089e4dd792538
16,Pull&Bear Men's Shirts Navy,Men's Shirts,Male,Pull&Bear,Navy,M,199.68,2025-03-29,65fe17bcf8b1350beb03184c061474b0cb3d226e5fb5dc282cb52f918f6365eb
17,Uniqlo Children's Shoes White,Children's Shoes,Unisex,Uniqlo,White,XL,32.19,2023-11-09,da1c79b61030cd45e53f8302a1cbddf4a60727080c89e6590afdae1650ebe47d
18,Uniqlo Women's Dresses Navy,Women's Dresses,Female,Uniqlo,Navy,L,97.88,2024-08-18,cb1b4436a6c854f8da6bf846b55e22a2a3e388f78efe2eaae04547dab0e1a807
19,Pull&Bear Women's Dresses Green,Women's Dresses,Female,Pull&Bear,Green,XL,61.86,2023-10-21,12c9fe223a7f9af41485304588e280f7bf07ad13b996f0ad5f1ae3b852df54da
20,Uniqlo Men's Shirts White,Men's Shirts,Male,Uniqlo,White,XL,121.58,2022-09-04,63e5e7f1672f331cca0d6b482b8f17511e7014ed4e6c2cba9a7f26cf3eec5000
21,H&M Women's Dresses Navy,Women's Dresses,Female,H&M,Navy,L,123.2,2024-07-11,2604704c562cb87b7528e3f6164e70475c63b0b596e97fe8de89d296c7966db9
22,Uniqlo Men's Shirts Red,Men's Shirts,Male,Uniqlo,Red,M,60.65,2024-02-24,309997159902b90a961bf47204ede27f69d9269ae8a914e676dd929eb71f11e9
23,Zara Children's Shoes White,Children's Shoes,Unisex,Zara,White,XS,46.45,2022-08-09,41f15962d078533fd2adb0057c8e982138a1d68626e6a667b94f2adb4b6862bc
24,Uniqlo Women's Dresses Black,Women's Dresses,Female,Uniqlo,Black,L,17.83,2023-11-26,1145d5fc5598d09ae9ee5d33618ab62164b1358319f67dcbeeab4e1bb65e9410
25,COS Men's Shirts White,Men's Shirts,Male,COS,White,S,209.08,2022-07-01,1bedecc1c2115944311e1dc41a9e7af895418f99244bca4c5451a512eb5ab176
