ShipmentID,OrderID,ShipmentDate,ShippingMethod,TrackingNumber,RowHash,WarehouseID,CarrierID,CarrierName,ShippingCost,ExpectedDeliveryDate,ShipmentStatus
f08693ff-e639-4c81-b77e-f29267a2c74e,O02957,1/5/2025,Overnight,SHP-4827-PTN,d08eaeb811c99a070879f30d6ea8d03b,2239,CR002,,94.81,1/8/2025,Shipped
77b728ac-8a8e-41ff-8964-2ca211cc088f,O02521,3/4/2025,Overnight,SHP-5850-ONK,d5777d8de1df016427b9cbc4f2b256c4,4214,CR001,,81.49,3/11/2025,Delivered
5c9d08e7-2351-4684-85ce-e28554b252cb,O01202,11/11/2024,Overnight,SHP-4715-KXM,fce571ec127f35e74e1c19af0abeb817,75,CR001,,62.62,11/20/2024,Delivered
261907eb-a180-45ba-86b9-448c97f02793,O02483,2/15/2025,Overnight,SHP-7472-GOZ,3ad20ee3a83e8b9a25fcaef6b6e0e29d,1274,CR004,,16.59,2/24/2025,In Transit
4ee7b713-d400-4d72-b215-37d084dd0161,O02182,2/16/2025,Express,SHP-6048-NFX,69ef4a7fc318c877a5b49a8b0082430a,4031,CR001,,22.47,2/20/2025,In Transit
5f37f958-317c-41cf-b128-a724d5265f99,O01497,5/6/2025,Express,SHP-5925-MXD,13efc7e2b3241ea09f7e2a7fe9d79eb0,1579,CR004,,36.86,5/15/2025,Pending
8c0c3e24-9ec9-46db-b0db-4d65ebc4dfa3,O01298,11/18/2024,Overnight,SHP-9678-MBU,a1cf9322a187c9e9eaa004a8c4ca622d,4116,CR004,,83.18,11/26/2024,In Transit
394644d8-b9fe-417f-925c-e9003c71865f,O02756,1/15/2025,Express,SHP-3737-HMH,6fbb631d1e5de0d016d02a961f95c84b,2159,CR003,,58.73,1/20/2025,In Transit
97c3b075-3049-4795-83c9-613814fa010d,O00293,1/20/2025,Express,SHP-5813-KOA,3b64fc115b43b605cc64770399ddcd70,3426,CR001,,17.51,1/24/2025,Delivered
689df529-dace-4795-82d0-6757c1d3d013,O01299,1/9/2025,Standard,SHP-6679-BJX,dd9949d9f17649b7e8a5028cf78a4bd8,2377,CR004,,43.81,1/16/2025,Delivered
a984db51-5f34-481c-b017-b755b4eedac2,O00751,3/13/2025,Standard,SHP-8270-VFS,80460ba15060ac765cfadcae2b6e9498,2373,CR004,,34.65,3/16/2025,Shipped
1ec8c058-9c88-42f9-b247-df67739f61f7,O00500,4/12/2025,Express,SHP-4063-PHO,cf665c525bafc297f1aa1bffe3daa058,1764,CR002,,23.03,4/15/2025,Delivered
6eae56e2-daed-4c02-b29a-dc10fd3736d8,O00595,1/28/2025,Overnight,SHP-6208-MUD,71f0499ba6d67f54c0808308001f9ed5,3425,CR001,,71.63,2/6/2025,Delivered
99a2c90a-81de-4f99-bc0d-7339b3826e84,O02209,1/9/2025,Overnight,SHP-3010-SIL,79277556bd67b94eb147ea86e4f71fe9,3257,CR004,,62.84,1/15/2025,Shipped
55304010-653c-4a55-bf54-6cdf42e625a0,O02864,1/25/2025,Standard,SHP-5566-JXY,d5fa24126efa6d33514a7384663040af,2501,CR002,,64.79,1/31/2025,In Transit
9e7a159e-fc1b-4270-aeef-50778da85078,O02736,1/12/2025,Standard,SHP-8487-BHX,c9cf31be85d8b7b9439d84f311adea92,3090,CR004,,68.1,1/22/2025,Pending
f8a94c9c-4120-43bf-854f-46e6ff545bbe,O00018,4/3/2025,Overnight,SHP-6683-UBP,33b20e225ce7ac6e78d2b905a71bcf15,2660,CR004,,75.29,4/11/2025,In Transit
32d8df69-cc1c-42c4-b0f6-4c7a1c414f40,O02350,2/18/2025,Standard,SHP-9867-ZVZ,efec2bdc29cb3d0587db998673449042,3425,CR004,,56.44,2/22/2025,Shipped
