StoreID,StoreName,StreetAddress,City,State,ZipCode,Country,PhoneNumber,StoreType,OpenedDate,RowHash
cacf17b4-cc76-4a81-a2a1-99b245d85f9e,Hill-Miller,78814 Mullins Station,New Victoria,West Virginia,33461,Italy,250-743-8203x9500,Franchise,2022-11-25,fed0bbdd47e5b92602adbd3d50bb83f4
681c4fda-26fa-44ac-9682-e052faf1d3fb,Waters and Sons,6036 Clark Loaf Apt. 424,Westmouth,Michigan,00577,France,415.163.2956x6148,Flagship,2018-01-06,1744c27543fef2230322260aa0e7eab9
0481f8c0-ef1b-42c1-b53f-512d8d8db267,Jones-Rose,577 Brian Loaf Apt. 460,Denisechester,Maryland,72023,Germany,741-964-0009,Flagship,2017-12-30,df21d04a87c9fbba54d1bfd4e4487bc9
9745ebde-bd1a-41e4-90f7-9d2cd2bda746,Ho-Pena,78387 Mendoza Isle Suite 023,Roberthaven,Illinois,89218,United States,714-513-7402x8265,Flagship,2022-09-13,a97bcfb46ac4f51534fbf0abb7316ae4
6410565f-b02b-4016-b97d-6d7f8710d655,Cox-White,5403 Silva Pass Apt. 975,Henrybury,Texas,49839,Germany,+1-553-642-2094x705,Regular,2019-09-25,52eb2398d574a4de2f969edecfa533d1
9074b54f-8c90-47bd-8850-d5995b99dfd6,"Hale, Bishop and Good",87692 Brown Walks,Troyfurt,Minnesota,66604,France,885.287.1583,Outlet,2019-12-23,8be54d6f818bdd93f266e776d4e8783c
449e10e4-a998-443f-8f47-b8f5ce345a9a,"Bates, Roach and Allen",4240 Christina Trafficway Suite 804,Jeffreyberg,Pennsylvania,81749,United Kingdom,001-688-698-9087x634,Outlet,2018-04-27,6e609e9d6d1d66622bde08a16d9a7154
6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,Bell PLC,78156 Mary Lodge Apt. 173,Martinmouth,New Jersey,14080,United States,(713)873-1403x1916,Outlet,2022-08-04,946ed823423cef660de5f3771fcaa874
128c966a-64f4-456d-9fd0-3d628c9d517a,Francis-Guerrero,6218 Henry Mountain Apt. 247,Camachoville,Nevada,22732,Germany,(867)071-6714x8957,Flagship,2017-10-03,79486ab0c841fce33f8aeea0cf71efa3
545e803e-892a-4417-b123-bc3d2f548566,Frye and Sons,93413 Allen Junctions,Stephenstad,Vermont,23115,France,247-115-5822x181,Regular,2021-01-10,a290b9224ea6689e50057136d07a991f
754ca431-4c26-4237-a234-fb658c2226c4,Bryant-Delgado,31645 Angela Fields,South Christophertown,New Hampshire,03910,United States,(425)503-5332x1012,Outlet,2021-02-04,522a18e5997ad96236d6a6feb6500cb1
e65aca15-c7da-4cf0-8f86-97057eb6e41d,Carter PLC,770 Cody Valley Suite 056,Helenmouth,Massachusetts,78588,United States,+1-258-320-1435,Regular,2020-07-29,b9d9aa73f9d743a4f9c0ccce9c8c8459
82e03202-e75b-485c-a987-57c392f25f18,"Dixon, Parks and Lucero",8636 Bird Inlet,Paulborough,Montana,62213,France,001-498-106-3267x3920,Franchise,2021-10-09,fc5782e2c1d41365f5b9570c42b22697
a87d51a3-8ba7-4050-a5ae-3c0e1e33ad7f,"Bishop, Taylor and Jones",7435 Ryan Shore,West Donaldshire,Maine,19745,United States,820.993.8721x1203,Outlet,2024-01-23,eef34f167f016e23b92e96a2c4336673
035dca7b-d212-4a49-8f9f-3bd9aa44f0e6,"Sherman, Stanton and Beard",50595 Henry Meadow,Lake Brittany,North Carolina,25662,Italy,680-680-3040,Franchise,2015-06-19,4188e5b9f5e0c6c466511136c1310e12
57b082e7-cf0c-4a8d-978e-d3dea718b8c4,Miller Ltd,43360 Snyder Flat,Evelynview,Nebraska,68764,United Kingdom,(111)549-5992,Outlet,2016-10-02,ffb843923192e81d77d40fb3561b0cd0
