TransactionID,CustomerID,ProductID,StoreID,Amount,TransactionType,TransactionDate,RowHash
FTX00000,84f6c6dd-37d3-4909-801e-b3d78f3e8099,4722,de0add2e-3497-444e-bd97-c641b5754d2e,729.78,Refund,2024-10-10 06:14:25,149f860b63decb4c3057d36e5678f702
FTX00001,9de85a38-608f-45f2-b25f-78aab3924fa9,1108,5338a24d-bd24-49b6-80c7-ceb5d88d8923,579.04,Purchase,2023-05-26 05:28:05,7ba4550018afa390027e6951d41f5bcd
FTX00002,0e725382-cfa7-4eea-b824-68123317826d,843,128c966a-64f4-456d-9fd0-3d628c9d517a,963.26,Purchase,2024-05-16 12:12:11,cdd9042e38f5b8ea0c6bae0a86e958ca
FTX00003,54908c4a-1561-4b07-b9d8-8cfdf77e25a7,2700,3412d299-a203-47c4-bde2-ecd5ef09fe58,925.55,Refund,2023-08-10 19:38:57,27e6d2d61be4357154b16d0344ca1052
FTX00004,67004733-16a8-4c2f-9db5-f4bcfa0a4a3b,2544,9baedba2-7d8f-482a-91c0-53cf8f987158,228.39,Purchase,2024-11-05 23:13:29,57acb1eb3724604ddd16fdd114101ef3
FTX00005,c8a37272-48fa-44ed-a432-b26ea868a892,3758,01adb8ae-ae19-4b3d-805f-5485251f2e61,524.81,Transfer,2024-11-16 13:43:07,7c0f840b0bd595f217808a1d951d78d3
FTX00006,67004733-16a8-4c2f-9db5-f4bcfa0a4a3b,4729,4043f2fd-ddb7-4123-94b1-704bb06dbec6,722.32,Transfer,2023-10-20 05:19:01,4edc95dfb128c280b4f2b89979c3eb7f
FTX00007,6ade7926-18a4-43be-bb13-3e4a5b1f455e,2347,bcffdf26-2889-4b0d-929a-8e779c6e851b,516.25,Purchase,2024-04-23 19:11:36,a884dd92c2d8e036b636a12a4d565d7d
FTX00008,ee85931e-020f-4408-8af2-2b9bf4edd7b8,1227,a87d51a3-8ba7-4050-a5ae-3c0e1e33ad7f,736.72,Refund,2023-12-24 13:43:55,e5181019f24965d30f2d4e7d219235cb
FTX00009,0094c41e-8408-4846-b185-fbf114db7a0d,2174,57b082e7-cf0c-4a8d-978e-d3dea718b8c4,580.64,Transfer,2024-08-13 09:36:56,5f982ff85b2093fa40a136cd52945f1b
FTX00010,d86011eb-bd81-4aee-b905-18ffad895411,3941,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,952.62,Purchase,2024-01-04 20:26:14,2dad86efe9e719f73fc03a01b451e138
FTX00011,d86011eb-bd81-4aee-b905-18ffad895411,4521,4043f2fd-ddb7-4123-94b1-704bb06dbec6,958.74,Transfer,2023-12-24 17:45:04,dc22dabc9ce8fe42abf08d1c43351c5d
FTX00012,788d99f0-9972-408f-858c-28268e4d1d93,123,449e10e4-a998-443f-8f47-b8f5ce345a9a,802.42,Refund,2023-05-18 18:58:03,fb813785781e81b68f1ea037eec69b1c
FTX00013,829df66c-a6f3-474c-bc06-48d34aa71c44,40,a3027ea6-3a7b-4285-9b82-5ab90b244a50,743.2,Purchase,2024-11-09 15:06:15,a12ad301bc2c8b08d6d59f26cebd78e7
FTX00014,2c063f55-8e12-40f5-82d1-e02e8211dcaf,3378,9baedba2-7d8f-482a-91c0-53cf8f987158,587.55,Transfer,2024-08-31 08:12:52,10d8afbb7b8e6b4aa771595f7d0e3b1c
FTX00015,829df66c-a6f3-474c-bc06-48d34aa71c44,898,17fb2169-7a01-4654-8005-9db3d086ba75,78.26,Purchase,2024-02-09 20:30:17,72a9ecf79671383dcea7131079df55f0
FTX00016,968a9a9b-e535-45fc-802e-9f05148e0052,3768,9074b54f-8c90-47bd-8850-d5995b99dfd6,517.77,Transfer,2023-12-09 01:35:23,92a633cadf5937c6e792e95eaf084eff
FTX00017,e859ce9a-a9dd-43fd-9cd7-bf1bd8c13964,2197,066320f6-15d5-4240-b39a-1d9697acf693,995.57,Transfer,2024-10-11 02:06:02,fc4456c37b2567e2fb9a57151e24cf4e
FTX00018,54908c4a-1561-4b07-b9d8-8cfdf77e25a7,2023,066320f6-15d5-4240-b39a-1d9697acf693,180.25,Purchase,2023-07-23 02:58:03,a43712be2838c0272b6a8a78fac2e5a3
FTX00019,f69962ca-a6b4-4464-878e-59ae6b43b6f8,1687,21a2cafc-d878-40bb-a232-e14e9eda02f3,835.68,Purchase,2023-05-25 02:30:37,ea463e4d35e710a0cb0460d2a218bdfd
FTX00020,86664865-4e84-4896-b9b1-3d58a3c19a13,2467,681c4fda-26fa-44ac-9682-e052faf1d3fb,162.9,Purchase,2024-08-16 13:06:42,7638f21327b3f1e44205b285bcc57846
FTX00021,2cc9a5a2-91d7-492b-8d35-7118e35f4dde,712,a412573c-b3f6-4108-9682-f95775c56a2b,130.18,Transfer,2023-06-01 15:23:29,b546704bb88476c3574f53d15a8b61b9
FTX00022,7ec92f10-c40e-4160-b34b-395017c26b71,1310,128c966a-64f4-456d-9fd0-3d628c9d517a,113.03,Purchase,2025-04-11 23:20:56,43c29d7447600e46432d0c6e5d707130
FTX00023,67004733-16a8-4c2f-9db5-f4bcfa0a4a3b,2649,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,778.23,Refund,2024-05-10 22:39:01,cc1c59196a025aad2709b08a300c57a8
FTX00024,c8a37272-48fa-44ed-a432-b26ea868a892,3553,adfe1367-c650-47bc-ab26-c65be37eb483,766.86,Refund,2025-03-29 22:02:13,5d6387effa94a63cb62fc7e8790f82a1
FTX00025,54908c4a-1561-4b07-b9d8-8cfdf77e25a7,3849,d826fea5-d663-4b8b-a010-a7b330fd9922,222.54,Transfer,2025-04-24 06:20:39,fa5087c9ee6de2994c9b0b43c060489e
