GiftCardID,CustomerID,IssueDate,ExpirationDate,Balance,Status,RowHash
GC00000,f794693d-2fce-4b93-9462-2e86678f3a10,2025-02-25,2026-02-25,212.66,Redeemed,e342aae1c62f33ab5f94f41723610b7b
GC00001,1d301ea7-8438-4977-bbde-d4ecb1b9ca1d,2024-03-06,2025-03-06,19.72,Expired,54a4e25c53517c6db5047cda2e00c7c6
GC00002,2eb88cd9-93aa-4403-b930-4d0d8ababa21,2024-12-20,2025-12-20,126.62,Redeemed,4e35cb00a5fd772b599a52481e426dbc
GC00003,6b429bc0-656f-47dd-9580-28efbaf20c9b,2025-04-02,2026-04-02,242.27,Redeemed,4d4d4d20274e87a3c4f115eb9ac39536
GC00004,8070fcf1-87d8-48e5-988f-1f369c06cdc1,2024-04-02,2025-04-02,150.01,Active,ab3207d1ee870fccafd26f541df155f0
GC00005,f69962ca-a6b4-4464-878e-59ae6b43b6f8,2023-06-12,2024-06-11,131.12,Redeemed,35b1d136c842fb888ae80a935079ec3b
GC00006,86664865-4e84-4896-b9b1-3d58a3c19a13,2023-11-29,2024-11-28,43.54,Active,5a25293e1394d8ef4f95b70871815377
GC00007,f326cd1e-3549-45d6-9382-4ce1eebadcf0,2024-06-12,2025-06-12,158.41,Redeemed,7c1b57851b9df0ed08ef77fa720a14f5
GC00008,abc2f41e-ab8f-430c-9677-705f4343b0ec,2024-05-23,2025-05-23,246.94,Expired,b6af8dbcfb9d35dbf3ca8a603ae74f9d
GC00009,1d301ea7-8438-4977-bbde-d4ecb1b9ca1d,2024-03-21,2025-03-21,245.87,Expired,a12661d75b14044a0c101df29121b183
GC00010,d86011eb-bd81-4aee-b905-18ffad895411,2025-04-24,2026-04-24,226.52,Redeemed,73646dcd54e460d5e3cba35c6d26fe3e
GC00011,54908c4a-1561-4b07-b9d8-8cfdf77e25a7,2025-01-09,2026-01-09,33.7,Active,cadf57bcee38632fe1a5409e4a9de5b1
GC00012,33a546d5-7808-4799-bc38-8b809d0c5ed7,2025-02-14,2026-02-14,225.72,Expired,7c6500d3c4e80aa900c92bfd5df980a3
GC00013,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,2024-01-02,2025-01-01,89.25,Expired,eca49998606245f1d0fa6b02546e1d60
GC00014,f34607a8-f6d3-427d-acf9-3d905082506b,2024-05-16,2025-05-16,34.17,Redeemed,da8a324f8b097e235d45cdac8960625f
GC00015,9a261f6c-478e-4a10-96ad-4b76e6f7f43f,2024-02-14,2025-02-13,85.89,Expired,210137822a2931f34097e314acd6dbb3
GC00016,7f191b14-927f-4975-84a6-4139f6dc9dae,2024-08-07,2025-08-07,229.12,Expired,31b4365d57e3326a28b679d8ab4bf241
GC00017,32c5b93f-8271-4c50-a62b-e8f545caaa6f,2025-04-03,2026-04-03,124.48,Expired,29dea373b84dac0035db07bf1773c40f
GC00018,90448626-31aa-4d65-a854-dab84c21bac0,2025-04-16,2026-04-16,72.52,Expired,8c437374cf358a2f0770cc43f3b0ee71
GC00019,0475a1c4-c35b-4ecb-be0a-6103af0e3d5d,2023-10-28,2024-10-27,229.84,Active,128eff381a3b9fc961817d5a1060b84e
GC00020,19a564d4-ed76-41b2-bf45-d41d8500da78,2024-06-07,2025-06-07,182.73,Redeemed,b9ba74604bc2f30e8a8d1d4c8edcd65c
GC00021,68bdc8a7-ac0a-4ba3-a509-ce917bde451a,2023-08-28,2024-08-27,180.46,Expired,16bcceecb0d9c08b5462b3369dba77dc
GC00022,0e725382-cfa7-4eea-b824-68123317826d,2023-12-16,2024-12-15,160.06,Expired,e4d4f8d2900deaca41e8da6f30f79507
GC00023,fc6dcd99-4fd3-49f2-aac7-18023820fe39,2023-08-28,2024-08-27,128.46,Redeemed,bf7d8d20dbc8aca5ba5a282806703043
GC00024,65979d31-3be2-4e1d-8bcf-c43c3bfc1891,2024-12-19,2025-12-19,68.54,Redeemed,148bd8b4d2d3b2f8f38966d183969c64
GC00025,8070fcf1-87d8-48e5-988f-1f369c06cdc1,2023-07-24,2024-07-23,178.87,Active,04f3a0a0ba3983101444d769372d4019
GC00026,84f6c6dd-37d3-4909-801e-b3d78f3e8099,2024-09-03,2025-09-03,55.86,Expired,3bf246095990e8dceddea16bab2bae6b
