TransactionID,GiftCardID,StoreID,Amount,TransactionDate,RowHash
GCTX00000,GC03791,0db94890-c654-49b6-b76e-e535bc387855,11.77,2024-07-23 22:09:44,7b7a5deb2d438055201a5d1594505831
GCTX00001,GC03865,68a7d329-0366-49ce-986b-f2741f43d010,12.37,2024-10-24 16:46:29,034b9793ebd6d6b56ff82f8029904e2f
GCTX00002,GC03888,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,21.81,2025-01-15 22:31:34,c43eebbeb768ef9e13b5ab7b09ecbbf9
GCTX00003,GC03728,3412d299-a203-47c4-bde2-ecd5ef09fe58,30.61,2025-03-21 13:52:25,f2722833e0fea6a783f0a8fc1b133fde
GCTX00004,GC02910,68a7d329-0366-49ce-986b-f2741f43d010,9.71,2024-05-15 17:10:43,0bf96fd8c325b07d1b2d438770b4a30e
GCTX00005,GC04321,82e03202-e75b-485c-a987-57c392f25f18,39.23,2024-12-27 05:11:59,4f9429bbbde687f14e6da02ada906fcb
GCTX00006,GC02503,9074b54f-8c90-47bd-8850-d5995b99dfd6,41.45,2024-10-22 22:30:29,85cb81d5b5e8c8c62d74c46b4a1e3cf7
GCTX00007,GC01988,2325976b-ebd3-4af4-ab95-cf6c75dd167e,6.19,2025-01-01 10:38:28,0972e273d270255c03584e58226363c7
GCTX00008,GC04009,68a7d329-0366-49ce-986b-f2741f43d010,23.37,2024-08-11 05:28:32,306833715841006ba1888576b4bf4c9c
GCTX00009,GC00695,2d046cbe-43bd-402d-9b0c-0adb463c5111,17.07,2024-08-30 11:38:21,c936aca2e92b217a3ff876258be6a220
GCTX00010,GC02768,9baedba2-7d8f-482a-91c0-53cf8f987158,48.01,2024-09-24 03:42:34,d09c891084561b5d0c98d21128381cd2
GCTX00011,GC03456,bc2a6082-d587-43ad-b368-78b70dcb5f55,39.74,2024-11-27 17:45:46,9e45b7cfa90479976152714f7e0c800d
GCTX00012,GC00225,b8877c9b-300e-4619-9c17-285548f42c1a,28.01,2024-09-11 08:23:15,80fe705ccfc69c004d2ed6e92d6396ca
GCTX00013,GC04598,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,29.51,2024-11-12 02:56:37,a6cba64a640fe017ed8b1cc88f4401f7
GCTX00014,GC02811,4043f2fd-ddb7-4123-94b1-704bb06dbec6,8.99,2025-01-11 16:48:49,9143c566e3cc5ab1bcf9c77afbe7d918
GCTX00015,GC00548,128c966a-64f4-456d-9fd0-3d628c9d517a,20.9,2025-04-08 17:01:35,d1606b688f98d1939bde483ec6e2e557
GCTX00016,GC00156,a87d51a3-8ba7-4050-a5ae-3c0e1e33ad7f,40.68,2025-03-04 22:01:27,8b262bbe7c25169f2b2754817bd4a76b
GCTX00017,GC04081,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,8.01,2025-02-22 21:10:23,6cada578eab43eb1eb50ec88c0d52b85
GCTX00018,GC03877,4df0f4bc-ed9c-4fcf-b4b1-bb6d648bbb21,20.61,2024-11-10 01:07:29,a1763f3395593d5d4443d89bf0a2917d
GCTX00019,GC01848,57b082e7-cf0c-4a8d-978e-d3dea718b8c4,41.11,2025-04-19 10:51:07,8198f35cb6bbcd19c99cd3f08e48a8d7
GCTX00020,GC01594,0481f8c0-ef1b-42c1-b53f-512d8d8db267,27.58,2025-02-25 14:59:14,3ea9e1ae3d5b23537ac706beba497931
GCTX00021,GC00512,82e03202-e75b-485c-a987-57c392f25f18,35.6,2025-02-15 05:50:01,ec021b2536ab87f7edd58a8992f19900
GCTX00022,GC04020,adfe1367-c650-47bc-ab26-c65be37eb483,23.26,2025-04-28 10:49:09,a4838e1288608bb89291ad8e886171d5
GCTX00023,GC01796,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,9.07,2024-08-18 19:52:50,f7c91da81fb62793395878056f705e42
GCTX00024,GC02072,c8a6eaf0-cf95-4b23-9b68-cf0190892dda,34.44,2024-09-23 06:57:39,82610ad19bff4181f0ab628daa816df7
GCTX00025,GC02577,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,28.01,2024-08-26 10:00:07,6b5089d45b9b3abc13be65cb4a73932e
GCTX00026,GC02538,bc2a6082-d587-43ad-b368-78b70dcb5f55,32.79,2025-03-09 14:26:47,457862b3ad58b1867d3ef9a6e2c0d349
