InventoryID,ProductID,StoreID,QuantityAvailable,LastRestockDate,ReorderLevel,RowHash
1,4158,1574,337,2025-05-11,5,4e637426be0b10ac6d3e159c741c84cc5fec077ff71c1afbdb344960b2fa1bf4
2,1223,2792,58,2025-05-11,32,df001fdfde281fd6e47b8cbcf720d76516beedd6f8671ea5fa4cdf953422bc12
3,2573,3217,240,2025-05-11,38,07517a763269c26a0dae222514ef8549b3326d9fc9a1f412feba45f34f518f84
4,2471,4755,324,2025-05-11,19,7f84c74a8505f73918e779ed3f03e103fe3695c6a3da344a546fc2a35c0eef04
5,3976,4257,275,2025-05-11,22,6576cf52408108b2e3966e3a3eb979d73830ff6d2eb40ac366772899ed31b7d0
6,184,4571,222,2025-05-11,45,aa1cc7d140dc83f1905cb2a3db231de583420f2725c63797793bb9d495fe9649
7,2847,3866,406,2025-05-11,16,d5e6d073e307a9ed17ca942c8d7a6e4d80610063bce45793911d4d3be2beda34
8,4846,3521,74,2025-05-11,26,495c5f7ee38247ea8f0e9c760796374c4f751c4f05397344848ab180d0ef1be1
9,4811,2463,428,2025-05-11,20,679bbcf959c7da09048176ba14df36cc7c009025b5aa7f1152a9ddcbb3a81735
10,882,344,149,2025-05-11,8,284bb574d6b56e83b79141f003d71432ac614e403d16f38575e4f4ba8566aa57
11,930,187,324,2025-05-11,41,f72143e057feb2447f5b296ab1eb6049e6ac654502a49a9d2a79381ab8e70599
12,3002,4424,325,2025-05-11,18,cc794c411f80671e3bfe9854788161d1401ba3f4f9f41c6b6b8be8ced4549590
13,2870,759,35,2025-05-11,12,d00741ba025e14bab0cb013a16596adb8abca6e01448e635b4c98172b4916d3b
14,2782,244,104,2025-05-11,14,0338368bd861d856649d2ffc8fe27809700b525469ba797fb6b4effb0ffcdd2d
15,4481,1824,358,2025-05-11,14,df77292d59efe250dcf6e7a55bf728220f1e1ea37a7b77510109a7a0f4a48b13
16,4238,4964,235,2025-05-11,6,8b21991e901e2b87f922d01c7eba2af09ce2119d96527e3fb479c11ee427f6b8
17,3614,2343,412,2025-05-11,41,d94770b8c7b06d05ba3d6dffab07872459da79afa15942af4b6bf141b877718d
18,4318,4420,433,2025-05-11,48,83c29f3f417d941ad90c86e7d18e76ca9413047597b829d33285f83bcbf65f01
19,3868,1029,220,2025-05-11,18,6f808c027e979c4806815c063bd67bec9d5f83fa5926bc782ebd16ef2f377267
20,4990,489,438,2025-05-11,25,5060a167e7f9c06cc92395cf1b7f0d0ea8b7f982e5a9103218974a996ca95e9e
21,2122,4137,318,2025-05-11,45,d7a39b45495914e0395df4a31d60badb64ba0876b8b6fe5c0eadd38bc7c1784a
22,3076,214,100,2025-05-11,25,496381ab9e678fd83c154eb9b3d0473f01132220bb26a5222a4f89849af3d08a
23,3921,2743,399,2025-05-11,40,604326bb969f1c18179adea9389ff5268c74a8c7893f01bc69c5f546d7f0613d
24,378,2414,313,2025-05-11,38,6135919764381a4c8f282183bedf9ea3b6ae83d0c4a308fc5f887267c3b985ad
25,1791,2713,400,2025-05-11,49,7b8ac3bad38ed8892af796e49c0d7a27ca8ed1a407a9ac60bd8e05f25af65d9d
26,4872,3630,65,2025-05-11,5,0fa4f6334f27b04fa03f16e0ff4b8b8127bfa242245718bda98989827e2388be
27,2134,3713,90,2025-05-11,48,5f245c38aaaca550cd07e72a878d452a6caaed927ce416bb1d08648f76d0ce8b
28,3720,1334,141,2025-05-11,44,58216ca9d7cb8fc36c0aefe99f269da7f57a298d9b5e069c27db9c25673cb01b
