AuditID,StoreID,ProductID,AuditDate,CountedQuantity,SystemQuantity,DiscrepancyReason,RowHash
599eb7c5-6e6e-4239-8bde-278ee885fe56,20d89646-1959-4624-8d20-117e253bb496,1575,2025-02-15,30,22,Miscount,dab64a08006bbecd7169e1c9ae56026d
58775a89-2630-4977-9430-4195dadcada1,093eb1fa-4fe5-41c3-89d4-8b5f2a340377,2367,2025-02-22,49,13,Shrinkage,d68377f2f31a1a917be6b54cbc2c6679
c64b3d10-1d2f-44e4-9bba-38c5c6d94f3e,bb3a0954-d83c-4e5b-bd58-c4250a26ad2f,607,2025-04-20,31,19,Damaged,681cc505dc2832dc34ccac5cecd4c486
b169c9fb-0527-45ae-8c99-0d4197c0a63c,49b14348-e197-4620-b56a-1d0c5ba462eb,1187,2025-04-01,51,39,Miscount,24e1e645114d721aa865a7821a394a3f
e8fa090d-8c4c-4d21-968d-091b8305068c,4455fc8a-2871-40be-a37a-c8d9534a085b,2367,2025-04-11,66,7,Lost,53dcac3871fd47df242eec6bcf266f07
cdec2ab9-e06c-485f-8b53-5a3cb79492ca,863d9f7a-2297-4579-b666-b563a1ea1235,1824,2025-03-13,9,71,Shrinkage,2d66f2798b5ea7452f96d38ed6466b2a
c14a8625-5f22-41cc-9e1d-dbb56b4216dc,e197cf7b-8fe0-4586-b917-71660fa7fe1e,3660,2025-04-13,58,71,Miscount,b838c6e63550dc11f1fb8e933b65a04a
be14d4c1-acba-490d-a569-fe38926b749d,af8f8a04-b980-4a2a-9c5c-37970e8dc361,410,2025-04-14,85,100,Damaged,4eee6fd33be2171df928b23e07c63bf9
09bc4207-e9e7-4bab-8efe-672797c4e9bb,2739fcc9-7336-4444-a786-dd80db33d2c4,3548,2025-03-29,91,24,Miscount,cbdf0977c177ad8f6e5b1bdba3d1130f
deac444b-1db5-4394-bf69-67a02dec6c46,3f860e78-0d6e-452a-b7b2-ed200b054978,312,2025-04-09,94,54,Shrinkage,bb410858bee133e36a7b2713d6eb1473
b6e8b6d2-5099-46ab-a91d-17c2ff5e6a14,2739fcc9-7336-4444-a786-dd80db33d2c4,3838,2025-03-14,97,98,Lost,c8e9d158f8b1de09020a9edcf88e2675
f29d3534-4f8a-4ea6-8540-c31f7d81e474,7f572379-db22-4ff9-aa01-f5a2e08e2b7e,4767,2025-03-26,57,4,Lost,3ceefe513f4f31eeef799ead5f7291ea
c8a4015e-d275-440d-b3e1-93e0832a4714,ba82a1a7-81e2-411e-bc68-6dde763ff558,202,2025-02-16,30,95,Shrinkage,dd6368a2162d6b837eeeeb58741e809f
389f17c5-018b-4be9-8d57-94ab1a9bc18a,f7072436-bacf-44d5-86d7-62843ac7e9a9,2006,2025-05-08,86,33,Damaged,13cb3fde74b58be08ccf844234bd8369
70f7fa57-4406-4eea-8021-4267dc0a47b5,bf91946a-1ff0-4d00-bc6c-a00c72e49f92,3958,2025-05-02,18,63,Shrinkage,e06bc58f4b3b2e8b247536b70e367d7e
56b2f633-3b4d-48b6-913f-e16307ece9de,1713a6f2-41c1-43a0-8a0b-edcfd1027009,2934,2025-04-13,86,3,Lost,b44af1dc792477504e0a6ee0859ed270
f8c56f6c-8ea5-48bf-859b-5e9c4fd5b84e,fc971a8d-bf12-451c-b975-f2901b591fe5,1723,2025-04-01,85,12,Lost,0d6fd4405c99de51e5cca5fb48a018cc
a6a87077-57fb-42d8-86c5-378cc560ff97,7ba3c5d7-1961-4ebf-b146-9fdb307a7efc,2312,2025-03-31,29,92,Lost,2c2fae622939cbb3ccc63771eef2aad2
