CostID,ProductID,StoreID,UnitCost,EffectiveDate,RowHash
COST00000,2926,545e803e-892a-4417-b123-bc3d2f548566,7.17,2025-03-20,3f12682697682e0d419071c071ecc2f6
COST00001,3664,b8877c9b-300e-4619-9c17-285548f42c1a,15.72,2025-03-13,24ab8881f47328f468fff35bf3a39eab
COST00002,2208,21a2cafc-d878-40bb-a232-e14e9eda02f3,48.12,2024-07-21,bd8a5333248ec6a6cad3beea9acf8e12
COST00003,3504,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,4.4,2024-10-08,a883f5e71d8db55f282334d7383accad
COST00004,3526,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,24.82,2024-12-10,708af42598d699a662cd70a840a2c07b
COST00005,3811,17fb2169-7a01-4654-8005-9db3d086ba75,45.54,2025-03-28,c6a5c15b5c0ed4d4a93b238984b67364
COST00006,3453,17fb2169-7a01-4654-8005-9db3d086ba75,37.68,2024-12-10,841f7eb638627ee1ae7b23a71758c088
COST00007,1933,d44227f2-ae3a-4cf8-9728-df324b9ca0e4,21.64,2025-01-23,4d62780e105cd6684e2e996f72fdfe3c
COST00008,2282,0db94890-c654-49b6-b76e-e535bc387855,9.99,2024-07-26,18b4705c14e807a57b7cc7b722509b06
COST00009,3870,01adb8ae-ae19-4b3d-805f-5485251f2e61,24.43,2024-10-28,12b13dca716d38967af2cf8e85395da4
COST00010,757,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,14.04,2025-05-03,ab1f83117fdad9fe42517f645e4d21e0
COST00011,3146,3c32b582-67e5-49c3-affc-7e44572ba0ae,42.52,2025-03-18,b000fa4e8dd8231ece34b6f90a2748ac
COST00012,804,a412573c-b3f6-4108-9682-f95775c56a2b,27.57,2024-11-12,dad50b1f277175956fa99dd80cbf8128
COST00013,1871,a3027ea6-3a7b-4285-9b82-5ab90b244a50,3.77,2024-07-26,d6824cc3075aa1eb1550545d38c51909
COST00014,1370,066320f6-15d5-4240-b39a-1d9697acf693,10.71,2024-08-09,117a3d2fa742c2d61cae9a73d10cda9e
COST00015,4698,128c966a-64f4-456d-9fd0-3d628c9d517a,31.17,2024-06-05,c77eb249d9f57e2d2a3d83489d30f4ac
COST00016,2733,d3a44b3c-e1f5-44f7-81a9-2aabc2ee0469,16.22,2024-09-05,07eb78d57af968b0281ba8d08468640b
COST00017,2565,50a26c10-fd86-4364-8549-75c2f73d6e74,39.1,2024-07-02,41e1e0571ddc6343cd1149cc997dd983
COST00018,248,449e10e4-a998-443f-8f47-b8f5ce345a9a,35.51,2025-03-05,660e690ad40238b266bc6cc7eff78f40
COST00019,738,a412573c-b3f6-4108-9682-f95775c56a2b,17.81,2025-03-04,0be2f5653e414eb7bf7fd4c9a048d60f
COST00020,4640,5338a24d-bd24-49b6-80c7-ceb5d88d8923,13.96,2025-01-04,d7707214ef55e7f16c585957c443d8ea
