OnlineOrderID,CustomerID,OrderDate,OrderStatus,PaymentMethod,TotalAmount,RowHash
501db7a8-53e0-4457-a71b-d7f96f941852,6834204a-54db-4e3c-a5a8-745b8c83b914,2025-03-14,Pending,Credit Card,452.68,04e012123df9459d28b9ee5de0639ddd
228e2a5b-d22e-489c-a6d1-76c831f03a40,272ed81b-7dba-4b4e-b8d3-548ccbb1ab8c,2024-12-01,Shipped,PayPal,449.79,f7d053aa76fbfc4c10a312b1cfcc1a68
42f6a843-272e-4749-97c8-2e1a39c9b007,b63dec06-2f1f-4d4d-afa3-334fdc2cce69,2024-11-14,Pending,Apple Pay,48.12,906e9e9c698c696bec93407d00ff32d2
bd14c140-0d3a-45f2-bf8b-edd796065b23,87f610cc-9017-4abb-bfed-1d2015f93a29,2025-04-02,Shipped,PayPal,318.05,1b80c50ac3d256906630202da341a656
585e79fb-b2c6-4221-b4d3-4afd85f2baac,0f90b47f-9eac-4aa7-a86c-9e1923b32fce,2025-01-02,Shipped,Apple Pay,155.65,72a3b0cc5c72a7290477895aefd2c748
0a4bbac2-93bd-4d16-b3d2-7dd656025a76,82271828-1551-4ecb-98ed-bdc0af01d509,2024-12-27,Delivered,Credit Card,462.52,2dcb9aa7acb48b7f2febb87fceabbd83
57ba9693-7b00-472e-9934-c6aba1907400,1ec6401c-af70-4c67-9fcb-d23f4d81c222,2024-12-23,Cancelled,Gift Card,188.39,4394130068f43e961c28c7270ff7f8e0
801e152d-728c-4295-9b8b-60be07b19efa,278ca537-2d59-432f-8fb6-8c7ddf229383,2024-12-07,Delivered,Credit Card,82.87,ec820b19d43eb5294912090dd173426d
9b4935da-1768-40ae-9321-ef5928d9ed40,b1e25dd8-ad59-47b8-9137-a5a6c3550ad1,2025-04-02,Delivered,Gift Card,374.12,5e0a8a9497e2674df1dddc9c83e9cbc5
f86d41f3-052c-4515-802e-968e31a91d20,626c792a-1bd7-4d7b-b8a2-7364513d8a9a,2024-11-29,Cancelled,Credit Card,584.68,247c639a1cccc1a6eda75672dbd63b77
8526c52d-d31e-4087-97cb-bee0023436e1,2e48129b-46eb-43ba-b0fd-a163df1ec271,2025-03-21,Pending,Gift Card,502.76,f1fad54f816590df66d38061237d43d3
9157bfc8-d36f-4187-a9a5-ecc3632e3361,69757d3c-026e-40ba-a2f1-632d4848758a,2025-04-02,Delivered,PayPal,431.61,b3fa99d12907ab5d3ccee306ec441985
9a8b5e97-291e-4934-b834-a846063d05b1,626c792a-1bd7-4d7b-b8a2-7364513d8a9a,2025-05-02,Shipped,Gift Card,591.58,076d01b9c4acc9e79c0887d444bf1c3e
