OrderLineID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice,RowHash
OL00000,O00001,96,4,79.14,316.56,9490c0a4db3336f2ea1bf00873f106bd
OL00001,O00002,400,5,96.47,482.35,16c07644fc7308d5a0933625c3c8c09f
OL00002,O00003,1063,2,46.34,92.68,e21489d7c42ab18301972aa0af2218ee
OL00003,O00004,3980,5,46.94,234.7,7aac073d57e2149f351b315c3815a1d8
OL00004,O00005,4353,1,187.86,187.86,3a99662099de8dc39d593d97b441ce0b
OL00005,O00006,1719,3,78.05,234.14999999999998,6b10887f28911be23c39343f6fca18de
OL00006,O00007,1338,5,106.62,533.1,16e9d65bc8cd0929544e2a375c29150d
OL00007,O00008,3368,1,40.22,40.22,cfbf85302821985e0bdff4216d589c9f
OL00008,O00009,4272,1,13.84,13.84,054e15aa9a9b7bc93040d54faf3f3a8a
OL00009,O00010,3887,4,39.14,156.56,6f591642e49646e29784898ade25047a
OL00010,O00011,3646,3,188.49,565.47,fc84f83f4053a725a1f14d8cb8ee0ff2
OL00011,O00012,2911,3,156.66,469.98,06ea4234f1972c6021cb84b2cfaec8da
OL00012,O00013,953,3,42.93,128.79,a200cd33998d0b912db338c0b2801eae
OL00013,O00014,4461,5,151.12,755.6,7f4ebba7c98bdce8e502014b1b8d2cf6
OL00014,O00015,34,2,121.07,242.14,bdb99e225e0ec953dad0a36d87fa1891
OL00015,O00016,4991,2,44.24,88.48,7f3170ad88fc97a8f21513e8938f775e
OL00016,O00017,609,4,115.62,462.48,917b957feb05b9337bd8c6f0d980c9f2
OL00017,O00018,3913,4,14.27,57.08,13cec65564bdd5268cb37728baf2da6e
OL00018,O00019,4832,5,155.5,777.5,0e99c29b6cfa24379dd35563b414d7b6
OL00019,O00020,1612,1,127.81,127.81,90fff26d256316a2dec7f10d0e2d71e7
OL00020,O00021,4438,4,105.71,422.84,8da9948aabaed17a353a335e74520298
OL00021,O00022,1975,2,33.75,67.5,eb58f5bd0eedf8b7ac3922e9acdc81fa
OL00022,O00023,4942,5,113.36,566.8,d8a1f03e1d2ef78e1ba26479142d1507
OL00023,O00024,3893,1,109.22,109.22,5cb5afc0bcaf8474d13c1bbdf0300f5e
OL00024,O00025,2054,2,140.2,280.4,3efa273128b37d338c0704cf49c254d7
OL00025,O00026,4141,3,14.42,43.26,7819318c1010c2214709c0f1d162f36f
OL00026,O00027,2009,4,146.8,587.2,127c5c72b36defb778c88c29bd96e0b0
OL00027,O00028,1584,2,56.16,112.32,1d6512b83103a0351ffee27f06c633e6
OL00028,O00029,1729,4,133.44,533.76,be7d01e7ace504351fc1f3db042ea711
OL00029,O00030,3338,4,71.36,285.44,3b07b6e808ba22fa080c944c819907a8
OL00030,O00031,3600,5,173.76,868.8,bbad7f8443c4d332c10b6c1f5d1c72e8
OL00031,O00032,3861,2,169.88,339.76,3e9bb67a88bbcd017f70ef4c5ec8405e
OL00032,O00033,4338,1,197.61,197.61,bd9a8eb217ef3c5c0e4bca43bb6dc46b
OL00033,O00034,3117,5,130.26,651.3,be9fafc645a63977c26002245f585ebf
OL00034,O00035,586,3,118.26,354.78000000000003,8ed4076b236ac5a1010e95159a655cdd
OL00035,O00036,2409,4,28.33,113.32,73652276a236b006aad59d9708828c47
OL00036,O00037,4958,5,64.99,324.95,5985da0ed1274b34fabe173d9220584f
OL00037,O00038,4714,1,106.77,106.77,881bafb36e4754533b820d63114bf287
OL00038,O00039,2307,2,151.37,302.74,0a3e7f7343be57edc338c549c4ae6078
OL00039,O00040,3149,2,17.97,35.94,c547e476b9decdf931ff3b5ca7357e8b
OL00040,O00041,3478,5,30.36,151.8,9198f4709d4c514a0bcb476fbd2fd4a8
OL00041,O00042,1674,2,29.83,59.66,c5e87e72d999e4c45828c1ea47f4bfed
OL00042,O00043,3421,5,86.08,430.4,b95670a1b66198fe762f3a83900d181c
OL00043,O00044,31,5,144.58,722.9000000000001,0f48654bc4af8e9733fcd77b4ba1be6c
OL00044,O00045,4044,2,48.41,96.82,a68f943cfedceff2a8d9751f5822ac16
OL00045,O00046,2213,4,51.1,204.4,c713d74ee03e430d10aaae2594d93e4a
OL00046,O00047,4678,2,122.47,244.94,6b57bdcc782386a517fe31d4e490712b
OL00047,O00048,17,5,124.97,624.85,4e67aa6093a3f342de2e0505e4f16a29
OL00048,O00049,428,5,83.04,415.20000000000005,39213893480aaae65971c42010d9d3b7
OL00049,O00050,2302,1,193.45,193.45,3bf99cf98e7c6e33f142ec0a6f937b12
OL00050,O00051,3997,4,37.81,151.24,a0e3284ff67a1de8764a623e9430d0a3
OL00051,O00052,3066,2,98.85,197.7,ee2fcdd9c71dfa7f5520c854849aaa74
OL00052,O00053,600,5,117.36,586.8,da66d2957d12fba8b72142d3189ccb38
OL00053,O00054,738,4,53.46,213.84,22c71d09600d55c928833a883d1e8ea8
OL00054,O00055,859,2,72.34,144.68,78afe37a373d5d9efbffb227503bba56
OL00055,O00056,2688,1,77.92,77.92,a4dc6e660c9766fae65fbad6c4922dd8
OL00056,O00057,145,3,78.28,234.84,6ecb310a2faab4ace312bd37cdf591be
OL00057,O00058,3909,4,30.29,121.16,9fd81a7cf1721de92130ee7c8b5e8513
OL00058,O00059,983,4,55.68,222.72,1c183cc472e643cf2f864101d8875d95
OL00059,O00060,2325,3,95.87,287.61,b4a5cb04717c1c16a30421e68477afa5
OL00060,O00061,1284,1,126.16,126.16,2cefa6be01db3e24c22e152a51d1c824
OL00061,O00062,2691,4,48.68,194.72,966d924ad8ca98bbd92036f0393cc27b
OL00062,O00063,1917,5,13.59,67.95,dea87899f1bc569114987b274585b58b
OL00063,O00064,1349,5,40.17,200.85000000000002,b8490a8a15405bb4fa7a38ee45a18fc8
OL00064,O00065,3822,1,34.02,34.02,76c9060f215d0344313b8a2fe3c27c60
OL00065,O00066,1228,2,58.28,116.56,5014d6d28d24e3436044911ea3074fd0
OL00066,O00067,3086,1,166.54,166.54,29478a0abd42fb3209ee576398f92c2b
OL00067,O00068,1968,4,109.59,438.36,ab0b6f427578a790be442944d60860fc
