ThresholdID,ProductID,StoreID,MinThreshold,MaxThreshold,RowHash
da48a3ad-ed24-4111-a5a0-f7349709fa71,1,7eb89a43-477e-4ffa-8524-0df4db71df05,35,117,549cb96133d9cb128bec576e749ecc7d
b89b193a-1d23-403c-9c60-777a09120d51,2,bb3a0954-d83c-4e5b-bd58-c4250a26ad2f,30,80,443b4b6ad37febcef0bc7f9580c9be2c
cd28a624-b9a7-4728-946b-59f272321649,3,44ab216e-47d0-4cb3-aac2-a7ba9098bb07,16,110,0b8d09e8c10d9f60dad87c357a01f6aa
3309db70-0e5e-4401-9a9c-13cb0d68682d,4,dfa80e9f-194e-45b7-a356-5e25c05d1920,26,88,7409f11d12632e8819fbbc167f62bf9d
b49a1898-eddc-4dc5-b18a-2cfc46e82e81,5,35136aa1-c8a8-4039-870f-c761e80fe8cf,24,116,c687a6a6063d6c26cad30f12e1005e59
153a3b6f-f773-44ed-ae75-3f8dec0ac3e8,6,4d50f9b7-fc77-4655-9e40-8d1402c05266,12,102,42d0fd5359fe959a12afbccbd0a2b03e
38fde766-d28f-4924-a1f3-d329bc0d7c12,7,dfa80e9f-194e-45b7-a356-5e25c05d1920,10,66,dab8ece06bc9b633955a6edc4fbfce90
ca1f60c8-3abc-41b1-90a9-82e49f21b914,8,bdb9d14d-c449-4eb6-a2dd-72c0c2a444f4,37,119,89a5eaae0036526babe0cc02cc0594b2
d64385db-06bd-49da-8e23-a34ebf68d8a9,9,ff3c70c6-1b3b-4bb8-9202-f3d494c1c4a5,17,90,f50707d8b16f9b8de1c4cdf7f4ed7e52
d969d57c-5b6f-433d-a7d5-15abcace308b,10,47c0d2d6-1812-49b2-a482-bc0bd6f2a9e6,17,75,f1ca43bc0a9af87ad73c7fb9697c1712
6ac0335e-6da2-4149-b076-6ce6e0c17568,11,3a5296af-bd13-4a34-a138-aa20dd5c46ba,36,74,2bc62db87f9c9a8b7e6f995a74ec0472
383cacb1-cf27-409b-a982-7fddcfe81cce,12,e197cf7b-8fe0-4586-b917-71660fa7fe1e,21,71,61419ea85b450fd96ce14c1019bda495
ca0778da-8391-4c2a-9398-112eb3609cd5,13,1629f429-b1b4-43e5-b923-38c9562df935,16,90,8e8254ab6649c49be9c27fff8be9e92b
a6ed1f00-95c9-45b1-8a90-6e3f4299c237,14,ff3c70c6-1b3b-4bb8-9202-f3d494c1c4a5,30,77,aa1a26c93d1961d56dab3245aa9ea893
5b0a803c-41af-4b71-884a-378721224327,15,3f4bbda4-0741-412e-b5d5-28977dc47e62,39,117,ba9fc2d889281654231d8e71af9d8e5e
0606b944-91a0-4f7e-bd63-1e55077b974a,16,0c78f6ef-a105-47e8-84bb-ef2e3d6bc4df,15,90,5a45d12c93f542e636751988f5fde9bc
