AbandonedCheckoutID,CustomerID,CartID,AbandonDate
AC000001,CUST00861,CART001782,2024-12-07
AC000002,CUST01295,CART003909,2024-11-16
AC000003,CUST01131,CART003172,2024-09-04
AC000004,CUST01096,CART002850,2025-04-21
AC000005,CUST01639,CART003252,2024-11-15
AC000006,CUST02170,CART003295,2024-07-20
AC000007,CUST00467,CART003978,2025-05-12
AC000008,CUST01239,CART002810,2024-08-24
AC000009,CUST00331,CART003731,2025-04-17
AC000010,CUST01483,CART002490,2025-01-16
AC000011,CUST02136,CART001632,2024-12-19
AC000012,CUST02920,CART002817,2024-07-18
AC000013,CUST00131,CART001016,2025-04-11
AC000014,CUST01686,CART001349,2025-03-27
AC000015,CUST00770,CART000516,2024-10-03
AC000016,CUST02392,CART003088,2024-09-24
AC000017,CUST01516,CART002840,2024-07-29
AC000018,CUST02854,CART000336,2024-07-01
AC000019,CUST02434,CART001783,2024-11-07
AC000020,CUST01216,CART002306,2025-03-16
AC000021,CUST00956,CART000497,2024-12-01
AC000022,CUST02325,CART000896,2025-02-22
AC000023,CUST01185,CART002208,2025-01-13
AC000024,CUST00460,CART003547,2024-10-26
AC000025,CUST00022,CART000852,2024-11-09
AC000026,CUST02301,CART001688,2024-09-20
AC000027,CUST00748,CART001932,2024-07-19
AC000028,CUST02905,CART002738,2024-06-30
AC000029,CUST00475,CART003747,2025-01-20
AC000030,CUST01083,CART002428,2024-09-16
AC000031,CUST02559,CART001569,2024-12-05
AC000032,CUST02048,CART000957,2025-01-30
AC000033,CUST02748,CART002739,2025-02-17
AC000034,CUST00976,CART003499,2024-08-04
AC000035,CUST01807,CART001637,2025-04-12
AC000036,CUST00190,CART001292,2025-01-31
AC000037,CUST02735,CART003907,2024-06-02
AC000038,CUST00563,CART003649,2024-10-13
AC000039,CUST01900,CART001441,2025-03-14
AC000040,CUST01268,CART001192,2025-01-16
AC000041,CUST02880,CART003914,2025-01-08
AC000042,CUST01529,CART001067,2024-09-25
AC000043,CUST00647,CART003628,2024-06-01
AC000044,CUST02069,CART000285,2024-09-07
AC000045,CUST02889,CART002445,2024-11-03
AC000046,CUST02215,CART000012,2024-06-06
AC000047,CUST01298,CART001631,2025-04-24
AC000048,CUST02436,CART003374,2024-08-22
AC000049,CUST00601,CART003970,2025-05-05
AC000050,CUST02364,CART003325,2024-07-03
AC000051,CUST02062,CART002547,2025-03-08
AC000052,CUST00242,CART000754,2025-04-29
AC000053,CUST02042,CART002083,2025-05-25
AC000054,CUST02825,CART002775,2024-05-29
AC000055,CUST02613,CART002897,2024-07-30
AC000056,CUST02946,CART000090,2024-12-13
AC000057,CUST01364,CART000776,2024-11-17
AC000058,CUST02140,CART002653,2024-08-30
AC000059,CUST01391,CART003994,2024-08-22
AC000060,CUST01479,CART003018,2025-01-02
AC000061,CUST02557,CART001626,2024-12-17
AC000062,CUST00776,CART003070,2024-07-15
AC000063,CUST00035,CART000418,2025-05-08
AC000064,CUST02254,CART000115,2024-10-22
AC000065,CUST01956,CART000617,2025-04-23
AC000066,CUST01586,CART003975,2025-02-20
AC000067,CUST01022,CART003268,2024-11-14
AC000068,CUST02614,CART000826,2024-11-11
AC000069,CUST01130,CART003573,2025-02-26
AC000070,CUST01501,CART001650,2024-10-13
AC000071,CUST00703,CART001517,2024-12-05
AC000072,CUST02450,CART003147,2024-06-22
AC000073,CUST02778,CART000413,2025-05-21
AC000074,CUST01580,CART003448,2025-01-30
AC000075,CUST00162,CART003492,2024-11-05
AC000076,CUST00202,CART000729,2025-05-23
AC000077,CUST01982,CART003349,2024-08-09
AC000078,CUST00996,CART003069,2025-02-23
AC000079,CUST02318,CART002809,2024-09-30
AC000080,CUST00816,CART000676,2024-08-08
AC000081,CUST00456,CART003466,2024-11-22
AC000082,CUST01276,CART001893,2024-11-19
AC000083,CUST01017,CART002505,2024-08-05
AC000084,CUST02344,CART002968,2024-06-12
AC000085,CUST02768,CART002240,2025-05-19
AC000086,CUST00338,CART002787,2024-10-11
AC000087,CUST00879,CART003761,2024-10-30
AC000088,CUST01077,CART001123,2024-12-11
AC000089,CUST00792,CART001572,2024-12-29
AC000090,CUST02265,CART000978,2024-11-18
AC000091,CUST00764,CART001009,2024-11-11
AC000092,CUST02236,CART002144,2024-09-06
AC000093,CUST00380,CART001688,2024-10-23
AC000094,CUST00493,CART002711,2024-07-02
AC000095,CUST01181,CART003262,2024-08-07
AC000096,CUST02063,CART003808,2025-04-19
AC000097,CUST00065,CART000037,2025-02-08
AC000098,CUST02569,CART003852,2024-07-30
AC000099,CUST01368,CART003441,2024-12-21
AC000100,CUST01153,CART003767,2025-05-08
AC000101,CUST02028,CART001549,2025-03-06
AC000102,CUST02696,CART002327,2024-06-22
AC000103,CUST01496,CART002265,2024-12-25
AC000104,CUST01163,CART002915,2024-08-12
AC000105,CUST01523,CART000873,2024-07-17
AC000106,CUST02641,CART001822,2025-01-14
AC000107,CUST00392,CART001297,2024-10-27
AC000108,CUST01699,CART003953,2025-01-01
AC000109,CUST00419,CART002110,2024-12-12
AC000110,CUST02337,CART000596,2024-08-26
AC000111,CUST00379,CART001904,2025-04-12
AC000112,CUST01797,CART000729,2025-05-23
AC000113,CUST02279,CART001366,2025-01-01
AC000114,CUST02089,CART000397,2024-12-26
AC000115,CUST02183,CART000699,2025-03-08
AC000116,CUST00201,CART003091,2025-03-09
AC000117,CUST01864,CART002225,2024-10-22
AC000118,CUST00780,CART001636,2025-03-16
AC000119,CUST02978,CART000396,2024-11-10
AC000120,CUST00503,CART002493,2025-04-15
AC000121,CUST02455,CART003305,2025-02-23
AC000122,CUST01752,CART003987,2024-05-28
AC000123,CUST00805,CART000076,2024-07-27
AC000124,CUST02147,CART000265,2024-08-26
AC000125,CUST02732,CART002503,2025-02-21
