ChannelID,ChannelName
CHAN001,Bryan PLC
CHAN002,Johnson PLC
CHAN003,Conrad-Gallegos
CHAN004,Wheeler-Mcdonald
CHAN005,Lee and Sons
CHAN006,"Tucker, Huynh and Olson"
CHAN007,"Martinez, Watson and Gonzalez"
CHAN008,Clark and Sons
CHAN009,Holmes-Miller
CHAN010,Cervantes-Stevens
CHAN011,"Harding, Hanna and Lopez"
CHAN012,Mitchell PLC
CHAN013,Robinson-Green
CHAN014,Williams-Miller
CHAN015,Washington Group
CHAN016,Frost-Valencia
CHAN017,"Moore, Roy and Robinson"
CHAN018,Fletcher-Riley
CHAN019,"Garrison, Trujillo and Taylor"
CHAN020,Crawford-Gray
