AdSpendID,ChannelID,SpendDate,Amount
AS000001,CHAN001,2025-03-27,5411.17
AS000002,CHAN008,2024-11-29,3850.33
AS000003,CHAN017,2025-04-27,4624.3
AS000004,CHAN003,2025-03-29,6079.18
AS000005,CHAN020,2024-06-13,5072.65
AS000006,CHAN015,2024-11-22,5444.62
AS000007,CHAN015,2024-07-13,4914.94
AS000008,CHAN014,2024-06-07,4148.66
AS000009,CHAN014,2025-01-07,7741.63
AS000010,CHAN002,2024-11-07,220.81
AS000011,CHAN013,2024-12-21,6024.58
AS000012,CHAN014,2024-10-09,5698.53
AS000013,CHAN019,2024-10-31,7190.17
AS000014,CHAN007,2025-03-10,6030.39
AS000015,CHAN003,2024-12-14,8285.31
AS000016,CHAN015,2025-03-26,9594.84
AS000017,CHAN014,2024-07-17,3490.99
AS000018,CHAN011,2024-07-22,2350.77
AS000019,CHAN015,2025-02-24,4293.61
AS000020,CHAN013,2025-05-14,2950.5
AS000021,CHAN018,2025-03-18,6188.01
AS000022,CHAN006,2024-08-28,9127.34
AS000023,CHAN003,2024-10-20,1477.25
AS000024,CHAN019,2024-10-07,1097.87
AS000025,CHAN015,2025-04-11,2634.55
AS000026,CHAN005,2025-05-12,7288.35
AS000027,CHAN010,2024-11-08,5970.33
AS000028,CHAN007,2025-04-08,1111.91
AS000029,CHAN017,2025-04-25,9195.63
AS000030,CHAN007,2025-03-07,7921.84
AS000031,CHAN012,2024-11-05,327.92
AS000032,CHAN017,2024-11-18,6548.54
AS000033,CHAN013,2024-07-06,7735.34
AS000034,CHAN020,2025-04-20,3806.91
AS000035,CHAN004,2024-10-05,782.32
AS000036,CHAN010,2025-02-09,865.48
AS000037,CHAN003,2025-05-26,1132.04
AS000038,CHAN009,2024-12-17,8420.35
AS000039,CHAN013,2024-11-10,9115.79
AS000040,CHAN018,2024-07-29,1315.83
AS000041,CHAN015,2025-05-09,2435.47
AS000042,CHAN004,2025-01-09,1738.65
AS000043,CHAN015,2025-03-10,1944.58
AS000044,CHAN002,2025-02-11,8391.16
AS000045,CHAN015,2024-08-14,3388.25
AS000046,CHAN008,2025-03-10,3183.3
AS000047,CHAN008,2024-11-05,2351.22
AS000048,CHAN017,2025-04-21,6118.15
AS000049,CHAN012,2025-02-26,3855.13
AS000050,CHAN019,2024-12-25,7468.07
AS000051,CHAN010,2024-06-30,2135.24
AS000052,CHAN009,2024-11-03,7899.12
AS000053,CHAN005,2024-11-14,6076.84
AS000054,CHAN006,2025-04-23,1231.25
AS000055,CHAN020,2024-06-11,4203.6
AS000056,CHAN002,2024-09-05,8648.83
AS000057,CHAN013,2025-03-07,9237.31
AS000058,CHAN006,2025-02-01,4710.43
AS000059,CHAN005,2024-05-30,4860.29
AS000060,CHAN001,2024-09-10,9192.7
AS000061,CHAN006,2024-07-06,5911.98
AS000062,CHAN006,2024-08-24,425.18
AS000063,CHAN016,2024-06-28,9136.22
AS000064,CHAN004,2024-12-19,2557.44
AS000065,CHAN011,2025-02-07,5818.56
AS000066,CHAN009,2024-05-30,1738.58
AS000067,CHAN003,2024-09-16,435.4
AS000068,CHAN019,2024-08-31,3183.58
AS000069,CHAN008,2024-07-11,7826.91
AS000070,CHAN005,2024-12-23,2848.11
AS000071,CHAN004,2024-09-13,2278.96
AS000072,CHAN006,2025-02-14,2205.54
AS000073,CHAN002,2024-09-13,5200.22
AS000074,CHAN020,2024-11-16,9757.86
AS000075,CHAN011,2024-08-06,4643.99
AS000076,CHAN004,2024-08-20,5617.32
AS000077,CHAN015,2025-05-08,8620.26
AS000078,CHAN006,2024-12-07,5397.19
AS000079,CHAN017,2024-12-02,1926.18
AS000080,CHAN006,2025-01-30,3066.0
AS000081,CHAN019,2024-07-08,3168.38
AS000082,CHAN002,2025-01-01,4033.45
AS000083,CHAN015,2024-07-29,4325.21
AS000084,CHAN011,2025-02-01,8017.84
AS000085,CHAN008,2025-01-13,3558.93
AS000086,CHAN019,2024-10-27,4735.5
AS000087,CHAN013,2024-08-01,6287.26
AS000088,CHAN012,2024-10-11,3839.49
AS000089,CHAN005,2025-05-21,8381.99
AS000090,CHAN006,2024-06-24,5915.79
AS000091,CHAN004,2024-11-01,3011.04
AS000092,CHAN019,2024-07-25,7169.19
AS000093,CHAN020,2024-09-06,5323.71
AS000094,CHAN001,2024-08-15,5391.11
AS000095,CHAN020,2025-03-22,4862.77
AS000096,CHAN017,2025-03-25,5020.42
AS000097,CHAN012,2024-09-25,7677.03
AS000098,CHAN015,2025-03-17,1119.52
AS000099,CHAN001,2024-12-20,3410.19
AS000100,CHAN014,2024-10-10,847.48
AS000101,CHAN006,2024-06-09,7557.14
AS000102,CHAN005,2025-04-19,2795.79
AS000103,CHAN011,2024-12-28,8984.56
AS000104,CHAN004,2025-05-06,5313.13
AS000105,CHAN013,2025-01-14,8027.42
AS000106,CHAN011,2024-09-09,9791.42
AS000107,CHAN003,2024-06-11,8413.91
AS000108,CHAN001,2024-12-05,8683.24
AS000109,CHAN006,2024-07-02,4139.05
AS000110,CHAN018,2024-12-21,5562.05
AS000111,CHAN010,2024-06-30,2613.5
AS000112,CHAN005,2024-07-06,2041.52
AS000113,CHAN010,2024-09-23,5104.53
AS000114,CHAN012,2025-05-09,5990.98
AS000115,CHAN002,2024-10-06,3458.79
AS000116,CHAN013,2024-10-31,5737.49
AS000117,CHAN008,2025-01-20,8885.86
AS000118,CHAN002,2025-01-19,5611.54
AS000119,CHAN020,2024-06-17,7236.05
AS000120,CHAN001,2025-02-22,8072.62
AS000121,CHAN005,2025-04-06,9888.41
AS000122,CHAN009,2024-12-09,6071.65
AS000123,CHAN017,2024-05-28,8087.82
AS000124,CHAN009,2024-08-23,9630.23
AS000125,CHAN011,2025-01-13,9449.66
AS000126,CHAN015,2025-01-21,1496.71
AS000127,CHAN006,2024-11-30,4123.28
AS000128,CHAN003,2024-12-21,3307.5
AS000129,CHAN017,2025-02-12,960.56
AS000130,CHAN005,2024-11-02,6369.08
AS000131,CHAN012,2024-07-18,7385.46
AS000132,CHAN018,2024-07-24,8496.47
AS000133,CHAN014,2025-03-11,1315.49
AS000134,CHAN011,2025-04-12,8776.8
AS000135,CHAN009,2024-09-08,6464.96
AS000136,CHAN002,2024-09-04,7069.07
AS000137,CHAN012,2024-12-11,9115.18
AS000138,CHAN003,2025-02-21,6285.14
AS000139,CHAN003,2024-12-24,3425.07
AS000140,CHAN001,2024-09-29,8268.56
AS000141,CHAN008,2025-04-23,3694.29
AS000142,CHAN008,2024-07-24,438.86
AS000143,CHAN011,2025-01-02,8323.48
AS000144,CHAN009,2024-08-17,3517.4
AS000145,CHAN005,2024-06-04,7760.96
AS000146,CHAN014,2024-12-04,3691.3
AS000147,CHAN003,2025-03-07,8624.57
AS000148,CHAN005,2024-12-31,2273.15
AS000149,CHAN005,2024-07-05,9748.02
AS000150,CHAN019,2024-08-17,7819.61
AS000151,CHAN014,2024-09-07,1230.96
AS000152,CHAN004,2025-03-23,5701.19
AS000153,CHAN013,2024-08-23,9855.14
AS000154,CHAN010,2025-03-21,4763.55
AS000155,CHAN018,2024-12-20,1902.86
AS000156,CHAN008,2025-01-06,4899.31
AS000157,CHAN008,2025-04-10,5173.33
AS000158,CHAN007,2025-04-20,7442.7
AS000159,CHAN008,2025-01-12,7018.57
AS000160,CHAN014,2025-02-05,4085.25
AS000161,CHAN019,2024-06-06,2258.43
AS000162,CHAN006,2024-06-22,6486.04
AS000163,CHAN001,2025-04-28,4274.87
AS000164,CHAN015,2024-11-07,1409.53
AS000165,CHAN001,2025-05-10,9015.67
AS000166,CHAN017,2025-02-04,6943.1
AS000167,CHAN001,2024-12-15,6863.52
AS000168,CHAN015,2024-12-25,8243.58
AS000169,CHAN002,2024-07-24,5343.65
AS000170,CHAN014,2024-07-07,8169.04
AS000171,CHAN008,2024-08-20,5031.1
AS000172,CHAN008,2025-03-19,765.04
AS000173,CHAN019,2024-09-15,4111.96
AS000174,CHAN007,2024-12-13,5024.9
AS000175,CHAN019,2025-01-09,7230.01
AS000176,CHAN006,2024-09-20,1155.13
AS000177,CHAN006,2025-04-14,1486.18
AS000178,CHAN003,2024-08-16,2710.47
AS000179,CHAN007,2025-03-04,2738.33
AS000180,CHAN019,2024-11-23,7348.63
AS000181,CHAN008,2024-10-16,2582.23
AS000182,CHAN010,2025-05-07,6367.67
AS000183,CHAN020,2024-06-17,4993.31
AS000184,CHAN015,2025-01-22,5775.61
AS000185,CHAN015,2024-06-19,8397.26
AS000186,CHAN001,2024-07-10,4103.38
AS000187,CHAN020,2025-01-15,7732.02
AS000188,CHAN007,2024-11-29,4278.16
AS000189,CHAN004,2024-11-12,3603.33
AS000190,CHAN006,2024-06-12,9590.41
AS000191,CHAN001,2025-01-26,1925.27
AS000192,CHAN005,2024-08-02,994.34
AS000193,CHAN001,2024-09-24,7732.76
AS000194,CHAN004,2025-02-03,775.67
AS000195,CHAN002,2025-01-08,8387.08
AS000196,CHAN010,2025-04-27,4428.21
AS000197,CHAN005,2025-04-18,9163.59
AS000198,CHAN010,2024-06-02,7243.18
AS000199,CHAN001,2024-08-15,6143.01
AS000200,CHAN006,2025-02-16,9498.14
