AffiliateReferralID,CustomerID,AffiliateCode,ReferralDate
AR000001,CUST00055,AFF-13987,2024-06-08
AR000002,CUST02671,AFF-53938,2024-08-28
AR000003,CUST02712,AFF-70914,2025-03-27
AR000004,CUST00758,AFF-09230,2024-09-21
AR000005,CUST00406,AFF-81654,2025-01-27
AR000006,CUST02117,AFF-72885,2024-12-08
AR000007,CUST01313,AFF-31155,2024-10-02
AR000008,CUST01786,AFF-11020,2025-05-24
AR000009,CUST00751,AFF-66578,2025-03-19
AR000010,CUST01763,AFF-99793,2025-05-07
AR000011,CUST00365,AFF-95380,2024-08-08
AR000012,CUST02027,AFF-85960,2024-10-18
AR000013,CUST00482,AFF-83051,2024-07-24
AR000014,CUST02249,AFF-67444,2024-08-24
AR000015,CUST00154,AFF-72645,2024-07-05
AR000016,CUST01525,AFF-12398,2024-08-04
AR000017,CUST02121,AFF-83956,2024-09-06
AR000018,CUST02761,AFF-86208,2024-12-25
AR000019,CUST02344,AFF-77836,2024-07-08
AR000020,CUST01041,AFF-09897,2025-02-13
AR000021,CUST01665,AFF-28375,2024-12-29
AR000022,CUST01241,AFF-04017,2025-02-03
AR000023,CUST00061,AFF-67617,2024-08-18
AR000024,CUST00939,AFF-88401,2024-12-04
AR000025,CUST01640,AFF-26316,2025-01-04
AR000026,CUST02090,AFF-54821,2024-10-29
AR000027,CUST00025,AFF-87422,2025-03-14
AR000028,CUST01063,AFF-65033,2024-06-25
AR000029,CUST00131,AFF-78754,2024-09-05
AR000030,CUST01253,AFF-93221,2025-01-30
AR000031,CUST00108,AFF-49911,2025-01-04
AR000032,CUST00172,AFF-75741,2025-01-21
AR000033,CUST01459,AFF-24092,2024-09-20
AR000034,CUST00102,AFF-60131,2024-11-10
AR000035,CUST02914,AFF-36382,2024-09-14
AR000036,CUST02572,AFF-59207,2024-06-10
AR000037,CUST02323,AFF-98766,2024-09-11
AR000038,CUST01637,AFF-07337,2024-09-14
AR000039,CUST02865,AFF-25287,2024-12-30
AR000040,CUST01041,AFF-68838,2025-05-15
AR000041,CUST00330,AFF-43753,2025-01-26
AR000042,CUST01521,AFF-09951,2024-11-26
AR000043,CUST00012,AFF-93656,2025-04-18
AR000044,CUST01342,AFF-67050,2024-11-27
AR000045,CUST00216,AFF-59470,2024-06-09
AR000046,CUST00339,AFF-89142,2024-07-27
AR000047,CUST01800,AFF-47134,2024-06-27
AR000048,CUST02709,AFF-82142,2025-04-29
AR000049,CUST01751,AFF-35129,2025-01-24
AR000050,CUST01509,AFF-62043,2024-12-07
AR000051,CUST02422,AFF-85849,2024-07-10
AR000052,CUST00710,AFF-07974,2024-06-04
AR000053,CUST01224,AFF-78002,2025-03-12
AR000054,CUST02514,AFF-06251,2024-10-05
AR000055,CUST01113,AFF-10851,2025-01-17
AR000056,CUST01292,AFF-19160,2024-09-10
AR000057,CUST00489,AFF-43027,2025-01-11
AR000058,CUST01562,AFF-72946,2024-12-07
AR000059,CUST00047,AFF-29983,2025-01-14
AR000060,CUST00778,AFF-38868,2025-05-14
AR000061,CUST01040,AFF-96030,2025-01-05
AR000062,CUST00711,AFF-92354,2024-08-11
AR000063,CUST00401,AFF-83354,2025-01-17
AR000064,CUST01818,AFF-09916,2024-07-29
AR000065,CUST00250,AFF-00376,2024-10-29
AR000066,CUST00391,AFF-69055,2024-06-30
AR000067,CUST00335,AFF-55187,2024-05-30
AR000068,CUST00629,AFF-22072,2025-02-19
AR000069,CUST00137,AFF-64150,2024-11-19
AR000070,CUST02931,AFF-99930,2025-05-21
AR000071,CUST02736,AFF-10790,2024-08-14
AR000072,CUST01522,AFF-14740,2025-02-07
AR000073,CUST00827,AFF-34640,2024-06-19
AR000074,CUST00727,AFF-36086,2025-02-09
AR000075,CUST01501,AFF-05398,2025-04-09
AR000076,CUST02642,AFF-51383,2024-07-07
AR000077,CUST00990,AFF-12426,2024-12-29
AR000078,CUST02420,AFF-13297,2025-05-21
AR000079,CUST00935,AFF-08841,2024-10-16
AR000080,CUST00402,AFF-90040,2025-03-30
AR000081,CUST01467,AFF-03778,2024-08-22
AR000082,CUST00615,AFF-45702,2025-04-09
AR000083,CUST01297,AFF-34101,2024-11-03
AR000084,CUST01183,AFF-19273,2025-04-08
AR000085,CUST02668,AFF-10828,2024-10-30
AR000086,CUST02236,AFF-98050,2025-02-17
AR000087,CUST01122,AFF-49990,2024-12-02
AR000088,CUST00131,AFF-01257,2024-06-25
AR000089,CUST02853,AFF-40398,2025-03-04
AR000090,CUST01195,AFF-55378,2024-11-10
AR000091,CUST02984,AFF-56177,2025-02-07
AR000092,CUST00183,AFF-08454,2025-05-24
AR000093,CUST00364,AFF-79267,2024-08-28
AR000094,CUST00039,AFF-70488,2024-08-21
AR000095,CUST02545,AFF-25141,2025-02-19
AR000096,CUST01373,AFF-16269,2024-07-05
AR000097,CUST00921,AFF-85066,2024-05-29
AR000098,CUST02770,AFF-90780,2024-10-29
AR000099,CUST00016,AFF-64111,2025-03-27
AR000100,CUST00493,AFF-74698,2024-08-25
AR000101,CUST01450,AFF-71216,2025-05-22
AR000102,CUST01132,AFF-93833,2024-08-06
AR000103,CUST02942,AFF-83783,2024-06-15
AR000104,CUST00311,AFF-42609,2024-12-06
AR000105,CUST00739,AFF-73559,2025-04-05
AR000106,CUST00546,AFF-68535,2024-06-04
AR000107,CUST02462,AFF-12787,2025-03-02
AR000108,CUST00251,AFF-77173,2025-01-26
AR000109,CUST00759,AFF-77147,2024-06-08
AR000110,CUST01805,AFF-89006,2025-02-19
AR000111,CUST01298,AFF-14846,2025-04-21
AR000112,CUST01632,AFF-95623,2024-06-25
AR000113,CUST01915,AFF-82730,2025-04-09
AR000114,CUST00814,AFF-86319,2025-04-16
AR000115,CUST00029,AFF-45039,2025-01-09
AR000116,CUST00958,AFF-47137,2024-11-18
AR000117,CUST02033,AFF-33796,2025-01-02
AR000118,CUST00477,AFF-65511,2025-02-08
AR000119,CUST00318,AFF-27004,2024-12-27
AR000120,CUST00245,AFF-25867,2024-06-03
AR000121,CUST00748,AFF-21343,2024-09-14
AR000122,CUST00697,AFF-89512,2024-11-09
AR000123,CUST00272,AFF-10997,2025-01-25
AR000124,CUST01772,AFF-25039,2024-05-29
AR000125,CUST01263,AFF-44791,2025-01-09
AR000126,CUST02425,AFF-82376,2024-07-01
AR000127,CUST00266,AFF-10956,2024-10-04
AR000128,CUST02974,AFF-93899,2024-06-03
AR000129,CUST00921,AFF-77873,2025-02-14
AR000130,CUST00340,AFF-21365,2025-02-06
AR000131,CUST00389,AFF-85287,2025-03-18
AR000132,CUST02625,AFF-17580,2024-11-19
AR000133,CUST02051,AFF-64191,2024-12-07
AR000134,CUST01166,AFF-18264,2024-12-22
AR000135,CUST00376,AFF-89076,2025-04-03
AR000136,CUST02034,AFF-13922,2025-05-07
AR000137,CUST02372,AFF-71729,2025-02-16
AR000138,CUST00146,AFF-65757,2024-06-09
AR000139,CUST01982,AFF-64881,2025-02-21
AR000140,CUST00293,AFF-94082,2024-08-21
AR000141,CUST00432,AFF-47191,2025-01-16
AR000142,CUST00705,AFF-19638,2025-03-27
AR000143,CUST02997,AFF-19512,2025-01-20
AR000144,CUST01999,AFF-48430,2024-06-25
AR000145,CUST02633,AFF-43267,2024-06-13
AR000146,CUST00399,AFF-93260,2024-11-04
AR000147,CUST02865,AFF-46350,2024-07-28
AR000148,CUST00964,AFF-47157,2025-03-17
AR000149,CUST02235,AFF-45768,2025-02-14
AR000150,CUST02042,AFF-50240,2024-11-02
AR000151,CUST01829,AFF-08434,2025-02-02
AR000152,CUST02109,AFF-57393,2025-04-04
AR000153,CUST00939,AFF-59410,2025-04-26
AR000154,CUST00710,AFF-69445,2024-07-05
AR000155,CUST00807,AFF-47698,2025-01-06
AR000156,CUST01464,AFF-08677,2024-06-13
AR000157,CUST01326,AFF-69023,2024-07-04
AR000158,CUST00011,AFF-28104,2024-11-08
AR000159,CUST01086,AFF-71016,2024-11-16
AR000160,CUST01869,AFF-76845,2025-02-06
AR000161,CUST02274,AFF-04727,2025-01-26
AR000162,CUST02612,AFF-83215,2024-08-24
AR000163,CUST00772,AFF-80067,2024-11-18
AR000164,CUST01595,AFF-75261,2025-01-19
AR000165,CUST01608,AFF-86607,2024-06-01
AR000166,CUST01334,AFF-43650,2025-04-18
AR000167,CUST00885,AFF-30284,2024-10-18
AR000168,CUST01390,AFF-20315,2024-07-26
AR000169,CUST00226,AFF-89127,2024-09-24
AR000170,CUST00825,AFF-88038,2025-03-16
AR000171,CUST02266,AFF-64806,2025-01-22
AR000172,CUST00937,AFF-75945,2024-12-08
AR000173,CUST02801,AFF-96959,2024-11-20
AR000174,CUST02554,AFF-93132,2024-06-15
AR000175,CUST02307,AFF-62228,2025-02-07
AR000176,CUST01912,AFF-52158,2024-09-26
AR000177,CUST01797,AFF-70395,2024-08-07
AR000178,CUST00054,AFF-27441,2024-06-13
AR000179,CUST00727,AFF-79830,2025-01-09
AR000180,CUST02737,AFF-34856,2024-10-06
AR000181,CUST01545,AFF-02160,2024-06-16
AR000182,CUST01044,AFF-40258,2024-06-22
AR000183,CUST01914,AFF-95184,2025-01-12
AR000184,CUST01777,AFF-40959,2024-10-15
AR000185,CUST01597,AFF-02353,2024-12-23
AR000186,CUST01915,AFF-18391,2024-09-14
AR000187,CUST02467,AFF-60456,2024-10-15
AR000188,CUST02738,AFF-50955,2025-05-18
AR000189,CUST00850,AFF-84238,2025-02-20
AR000190,CUST02110,AFF-38401,2024-09-22
AR000191,CUST02264,AFF-98024,2024-07-09
AR000192,CUST00003,AFF-96284,2024-11-21
AR000193,CUST00160,AFF-75606,2024-09-01
AR000194,CUST00781,AFF-46881,2024-12-15
AR000195,CUST00893,AFF-22059,2024-07-21
AR000196,CUST02031,AFF-50387,2025-01-25
AR000197,CUST02377,AFF-06079,2024-07-06
AR000198,CUST00580,AFF-71862,2025-04-30
AR000199,CUST01934,AFF-09412,2024-10-29
AR000200,CUST01381,AFF-40601,2025-01-02
AR000201,CUST01291,AFF-86146,2024-10-24
AR000202,CUST01641,AFF-45617,2024-11-05
AR000203,CUST00952,AFF-92733,2025-04-25
AR000204,CUST02683,AFF-69762,2025-01-11
AR000205,CUST00988,AFF-55440,2024-10-09
AR000206,CUST01219,AFF-56278,2025-02-19
AR000207,CUST00921,AFF-49028,2024-06-27
AR000208,CUST02786,AFF-82472,2025-05-17
AR000209,CUST01356,AFF-55608,2025-02-05
AR000210,CUST00170,AFF-62338,2025-05-23
AR000211,CUST00521,AFF-77385,2025-05-05
AR000212,CUST01487,AFF-52109,2024-06-21
AR000213,CUST00040,AFF-50258,2024-10-04
AR000214,CUST01561,AFF-64491,2024-11-28
AR000215,CUST01419,AFF-14558,2025-04-08
AR000216,CUST00955,AFF-62658,2024-08-27
AR000217,CUST00984,AFF-57649,2024-06-02
AR000218,CUST00975,AFF-99710,2024-07-23
AR000219,CUST00038,AFF-05531,2025-05-03
AR000220,CUST02376,AFF-28775,2024-07-16
AR000221,CUST01275,AFF-83308,2024-07-25
