CampaignPerformanceID,CampaignID,Spend,Revenue
CP00001,MC00048,4244.27,2020.02
CP00002,MC00042,7041.44,6895.18
CP00003,MC00076,3435.8,5922.04
CP00004,MC00060,1731.07,13913.02
CP00005,MC00077,9933.24,13406.81
CP00006,MC00004,2405.81,12682.3
CP00007,MC00002,9895.79,2292.38
CP00008,MC00090,9795.52,15118.0
CP00009,MC00059,8144.36,7823.55
CP00010,MC00027,6934.81,13971.01
CP00011,MC00027,6200.26,12018.41
CP00012,MC00079,8794.91,8169.16
CP00013,MC00072,3604.96,4422.37
CP00014,MC00007,5209.13,3699.54
CP00015,MC00063,6574.51,16967.33
CP00016,MC00046,4700.71,18531.16
CP00017,MC00063,4847.38,13696.18
CP00018,MC00012,3972.56,3861.81
CP00019,MC00013,6078.09,9236.49
CP00020,MC00043,8655.17,15120.91
CP00021,MC00017,2813.76,16036.78
CP00022,MC00063,9409.9,4127.94
CP00023,MC00081,7201.79,2000.55
CP00024,MC00036,8409.46,14818.47
CP00025,MC00085,6005.72,8418.73
CP00026,MC00008,8015.65,6580.66
CP00027,MC00069,1145.8,2232.15
CP00028,MC00090,8365.42,11725.39
CP00029,MC00080,1361.25,17320.71
CP00030,MC00036,9009.22,19237.37
CP00031,MC00028,9927.66,12183.41
CP00032,MC00093,3646.61,11260.3
CP00033,MC00047,2892.87,3531.01
CP00034,MC00076,7888.27,11879.71
CP00035,MC00030,3277.24,8839.62
CP00036,MC00023,8790.06,12928.44
CP00037,MC00016,1925.58,8997.07
CP00038,MC00014,2133.6,6325.38
CP00039,MC00074,9812.36,3709.37
CP00040,MC00071,7064.55,7668.53
CP00041,MC00052,8621.99,3739.61
CP00042,MC00037,3918.96,5184.15
CP00043,MC00029,7088.35,19772.05
CP00044,MC00067,6348.18,9993.86
CP00045,MC00015,6428.35,11573.69
CP00046,MC00100,7142.79,17725.13
CP00047,MC00047,6178.23,19920.24
CP00048,MC00046,4861.56,12488.86
CP00049,MC00052,3483.3,16624.53
CP00050,MC00019,7917.23,7884.94
CP00051,MC00077,3036.45,7503.39
CP00052,MC00021,7231.19,9248.67
CP00053,MC00064,3100.0,14105.13
CP00054,MC00037,6627.97,14279.45
CP00055,MC00027,7723.7,7674.31
CP00056,MC00055,2968.43,4397.78
CP00057,MC00029,1539.49,13383.13
CP00058,MC00020,2178.76,4309.87
CP00059,MC00025,6453.97,12412.87
CP00060,MC00070,8645.02,14481.6
CP00061,MC00063,1404.97,14611.01
CP00062,MC00036,7607.36,15562.5
CP00063,MC00002,4071.87,17711.47
CP00064,MC00022,5306.76,10999.26
CP00065,MC00096,9359.74,15144.49
CP00066,MC00016,3987.74,13145.11
CP00067,MC00018,5188.03,5359.52
CP00068,MC00069,1123.14,2462.41
CP00069,MC00054,1734.39,7121.74
CP00070,MC00100,3327.32,9974.61
CP00071,MC00030,1250.67,13107.91
CP00072,MC00045,6682.38,17299.27
CP00073,MC00019,4837.59,5532.42
CP00074,MC00087,5933.31,4259.9
CP00075,MC00034,2571.82,19342.64
CP00076,MC00013,3663.39,3944.8
CP00077,MC00043,6974.42,10612.84
CP00078,MC00062,9687.72,12540.15
CP00079,MC00093,1453.75,11744.74
CP00080,MC00100,9013.46,3548.58
CP00081,MC00022,6191.93,3026.48
CP00082,MC00052,6075.28,3898.7
CP00083,MC00052,5502.51,12540.58
CP00084,MC00036,1624.55,11798.21
CP00085,MC00073,1808.89,6207.33
CP00086,MC00019,6408.21,13479.93
CP00087,MC00038,4068.63,16761.22
CP00088,MC00070,9255.41,2748.42
CP00089,MC00079,4659.31,10966.34
CP00090,MC00057,2289.53,14407.59
CP00091,MC00020,7432.47,6541.61
CP00092,MC00009,3640.18,7539.88
CP00093,MC00032,5729.23,13045.48
CP00094,MC00004,7280.5,18162.84
CP00095,MC00050,9102.38,16578.64
CP00096,MC00082,8129.72,12496.34
CP00097,MC00005,7087.25,15143.99
CP00098,MC00020,7116.7,8566.8
CP00099,MC00087,9513.32,13537.38
CP00100,MC00075,3662.42,10391.27
