CarrierID,CarrierName
CAR0001,"Hernandez, Thompson and Torres"
CAR0002,Jensen-Owens
CAR0003,Collier-Obrien
CAR0004,"Castillo, Clark and Clarke"
CAR0005,"Mcdaniel, Fleming and Lopez"
CAR0006,Taylor LLC
CAR0007,"Nichols, Campbell and Warner"
CAR0008,"Porter, Anderson and Green"
CAR0009,"Lewis, Peterson and Massey"
CAR0010,Martin Group
CAR0011,Moran-Carpenter
CAR0012,Wilson and Sons
CAR0013,Johnson-Rubio
CAR0014,Garcia Ltd
CAR0015,Mueller Ltd
CAR0016,"Torres, Cowan and White"
CAR0017,"Brown, Boyd and Hopkins"
CAR0018,Sullivan and Sons
CAR0019,Moore LLC
CAR0020,Robinson Group
