CartID,CustomerID,RecoveryAttempted,AbandonDate
CART000001,CUST02780,0,2024-01-26
CART000002,CUST00892,0,2024-02-22
CART000003,CUST02372,0,2024-10-30
CART000004,CUST01927,0,2025-01-30
CART000005,CUST00943,0,2023-09-14
CART000006,CUST01067,0,2023-05-30
CART000007,CUST02704,1,2023-06-14
CART000008,CUST02222,0,2023-06-07
CART000009,CUST01783,1,2024-07-24
CART000010,CUST00685,0,2024-04-11
CART000011,CUST01065,1,2025-01-07
CART000012,CUST02457,1,2023-12-07
CART000013,CUST01586,0,2023-06-28
CART000014,CUST01347,1,2025-01-15
CART000015,CUST02228,0,2024-08-01
CART000016,CUST02902,1,2025-04-27
CART000017,CUST01183,0,2024-01-17
CART000018,CUST00037,1,2023-07-02
CART000019,CUST02454,1,2025-02-16
CART000020,CUST00539,0,2024-09-22
CART000021,CUST02424,1,2025-02-24
CART000022,CUST01922,0,2023-06-27
CART000023,CUST02304,0,2024-12-13
CART000024,CUST02326,1,2024-12-21
CART000025,CUST00249,1,2024-03-26
CART000026,CUST00693,1,2024-09-21
CART000027,CUST01041,0,2023-07-22
CART000028,CUST01392,0,2024-02-03
CART000029,CUST02173,0,2024-05-20
CART000030,CUST01336,0,2024-06-25
CART000031,CUST02260,1,2025-02-06
CART000032,CUST02520,0,2024-04-27
CART000033,CUST02797,0,2024-08-27
CART000034,CUST01439,1,2023-06-21
CART000035,CUST00500,1,2024-10-06
CART000036,CUST00811,1,2025-05-03
CART000037,CUST01736,0,2025-03-01
CART000038,CUST00889,1,2023-08-03
CART000039,CUST01211,1,2023-11-27
CART000040,CUST01924,0,2024-01-25
CART000041,CUST01987,0,2024-10-25
CART000042,CUST01492,0,2024-08-23
CART000043,CUST00175,0,2024-02-04
CART000044,CUST02365,1,2024-03-15
CART000045,CUST00824,0,2024-04-06
CART000046,CUST02918,1,2024-10-22
CART000047,CUST00931,1,2024-08-04
CART000048,CUST02935,0,2024-12-30
CART000049,CUST02015,0,2024-12-19
CART000050,CUST00269,0,2023-09-22
CART000051,CUST01818,0,2024-06-27
CART000052,CUST02518,1,2025-05-23
CART000053,CUST00224,0,2024-08-27
CART000054,CUST01276,0,2025-02-01
CART000055,CUST02955,1,2023-11-14
CART000056,CUST02878,1,2025-02-03
CART000057,CUST01148,1,2024-12-31
CART000058,CUST00238,0,2023-09-15
CART000059,CUST02123,1,2023-06-10
CART000060,CUST00500,1,2024-03-18
CART000061,CUST01546,1,2023-12-18
CART000062,CUST00268,0,2023-08-10
CART000063,CUST01511,1,2024-11-27
CART000064,CUST00987,0,2024-11-17
CART000065,CUST01624,1,2024-12-02
CART000066,CUST00723,1,2024-02-05
CART000067,CUST01096,1,2024-07-26
CART000068,CUST00190,1,2025-05-09
CART000069,CUST00996,1,2025-03-25
CART000070,CUST01586,1,2024-02-23
CART000071,CUST00566,0,2024-09-13
CART000072,CUST00993,0,2024-09-26
CART000073,CUST02784,0,2025-02-03
CART000074,CUST00156,1,2024-05-02
CART000075,CUST01896,0,2025-04-06
CART000076,CUST01587,1,2025-01-23
CART000077,CUST01777,0,2023-09-15
CART000078,CUST01866,1,2025-05-16
CART000079,CUST00673,0,2023-09-15
CART000080,CUST01665,1,2025-04-20
CART000081,CUST01109,1,2024-08-04
CART000082,CUST02117,0,2024-03-31
CART000083,CUST02421,1,2024-09-20
CART000084,CUST00055,0,2025-02-21
CART000085,CUST00085,0,2024-02-07
CART000086,CUST01881,0,2023-11-07
CART000087,CUST02989,0,2023-08-15
CART000088,CUST02889,1,2023-12-02
CART000089,CUST00592,0,2024-10-28
CART000090,CUST02780,1,2024-01-11
CART000091,CUST01960,1,2025-02-15
CART000092,CUST02670,1,2024-03-11
CART000093,CUST01009,0,2024-12-02
CART000094,CUST02365,1,2024-06-13
CART000095,CUST02673,1,2025-05-19
CART000096,CUST00252,0,2025-03-15
CART000097,CUST02200,1,2024-09-21
CART000098,CUST01360,1,2025-03-09
CART000099,CUST00910,1,2024-12-09
CART000100,CUST01787,1,2024-09-13
CART000101,CUST02914,1,2023-10-09
CART000102,CUST00600,0,2024-03-22
CART000103,CUST01007,0,2023-06-17
CART000104,CUST01124,0,2025-03-03
CART000105,CUST01144,0,2023-08-21
CART000106,CUST00303,0,2024-04-19
CART000107,CUST01740,1,2024-01-21
CART000108,CUST01225,0,2024-03-20
CART000109,CUST01027,1,2024-09-06
CART000110,CUST00400,1,2024-04-15
CART000111,CUST00068,0,2023-10-23
CART000112,CUST00154,0,2025-05-19
CART000113,CUST01015,1,2023-08-20
CART000114,CUST01518,1,2025-01-15
CART000115,CUST00182,0,2025-03-12
CART000116,CUST00525,0,2025-05-01
CART000117,CUST02237,1,2024-12-21
CART000118,CUST00020,1,2025-04-09
CART000119,CUST00851,0,2024-05-12
CART000120,CUST02946,0,2023-08-13
CART000121,CUST02058,0,2024-04-15
CART000122,CUST02748,1,2025-05-07
CART000123,CUST01881,1,2025-04-01
CART000124,CUST00655,1,2023-12-24
CART000125,CUST01327,1,2024-11-07
CART000126,CUST02289,0,2025-04-16
CART000127,CUST02200,0,2024-11-11
CART000128,CUST02832,1,2023-12-18
CART000129,CUST02236,1,2024-09-24
CART000130,CUST02512,0,2024-03-08
CART000131,CUST00722,1,2024-07-14
CART000132,CUST02948,0,2025-04-26
CART000133,CUST02754,0,2024-09-22
CART000134,CUST01201,1,2024-08-31
CART000135,CUST00881,1,2025-05-17
CART000136,CUST02463,0,2024-02-23
CART000137,CUST00578,0,2025-01-15
CART000138,CUST00310,1,2023-06-05
CART000139,CUST01026,1,2024-02-07
CART000140,CUST00317,1,2023-12-22
CART000141,CUST01807,0,2023-10-22
CART000142,CUST01533,1,2024-09-25
CART000143,CUST01020,0,2023-06-07
CART000144,CUST00368,0,2023-07-18
CART000145,CUST00555,1,2025-04-16
CART000146,CUST02653,0,2024-09-07
CART000147,CUST01250,1,2025-02-09
CART000148,CUST02984,1,2025-02-01
CART000149,CUST00480,1,2024-01-17
CART000150,CUST01822,1,2023-12-24
CART000151,CUST00940,1,2025-01-15
CART000152,CUST00014,0,2024-11-12
CART000153,CUST02076,1,2025-02-28
CART000154,CUST00142,0,2023-08-11
CART000155,CUST00590,1,2024-10-22
CART000156,CUST01783,1,2024-01-17
CART000157,CUST00473,1,2023-10-06
CART000158,CUST01548,1,2025-03-13
CART000159,CUST01208,0,2024-04-01
CART000160,CUST00317,1,2024-07-02
CART000161,CUST01385,1,2023-10-24
CART000162,CUST00445,1,2024-06-20
CART000163,CUST02344,0,2024-01-06
CART000164,CUST02452,1,2024-09-28
CART000165,CUST02800,0,2024-08-03
CART000166,CUST01962,1,2023-08-31
CART000167,CUST02311,1,2024-02-09
CART000168,CUST00847,1,2023-12-11
CART000169,CUST02425,1,2024-07-03
CART000170,CUST00585,1,2025-03-02
CART000171,CUST00799,1,2024-12-06
CART000172,CUST00471,1,2024-03-14
CART000173,CUST00732,0,2025-05-03
CART000174,CUST00972,1,2024-11-12
CART000175,CUST02095,1,2023-10-28
CART000176,CUST02995,0,2023-06-17
CART000177,CUST02072,1,2025-01-19
CART000178,CUST01314,1,2024-05-23
CART000179,CUST02879,0,2023-06-10
CART000180,CUST02451,1,2024-10-04
CART000181,CUST01048,1,2025-02-13
CART000182,CUST01088,0,2024-11-30
CART000183,CUST01684,0,2024-05-07
CART000184,CUST01652,1,2024-05-06
CART000185,CUST01263,0,2025-04-05
CART000186,CUST00283,0,2025-04-14
CART000187,CUST02141,0,2024-08-28
CART000188,CUST01399,1,2024-03-31
CART000189,CUST02734,1,2023-06-01
CART000190,CUST02358,0,2024-02-13
CART000191,CUST02936,0,2023-06-04
CART000192,CUST01773,0,2024-05-23
CART000193,CUST00007,0,2024-06-05
CART000194,CUST00788,1,2024-11-06
CART000195,CUST00043,1,2025-05-04
CART000196,CUST02773,1,2025-01-27
CART000197,CUST00201,1,2025-04-12
CART000198,CUST02943,0,2024-08-16
CART000199,CUST02715,1,2024-09-27
CART000200,CUST01689,0,2025-03-27
CART000201,CUST00548,0,2024-03-17
CART000202,CUST00226,0,2023-09-01
CART000203,CUST00633,0,2025-04-08
CART000204,CUST01545,1,2023-12-20
CART000205,CUST01359,0,2023-08-31
CART000206,CUST01205,0,2025-02-05
CART000207,CUST02994,0,2023-10-25
CART000208,CUST02242,0,2024-10-02
CART000209,CUST00538,1,2024-04-16
CART000210,CUST00481,0,2024-12-14
CART000211,CUST00430,1,2024-07-01
CART000212,CUST01351,0,2024-01-09
CART000213,CUST00945,1,2025-01-21
CART000214,CUST02959,0,2024-06-11
CART000215,CUST01929,0,2024-05-30
CART000216,CUST01824,1,2024-10-23
CART000217,CUST02626,1,2023-09-10
CART000218,CUST00111,1,2024-07-12
CART000219,CUST00212,0,2025-04-18
CART000220,CUST01707,1,2023-07-10
CART000221,CUST00851,1,2024-04-01
CART000222,CUST02926,0,2024-05-04
CART000223,CUST00987,1,2024-12-24
CART000224,CUST00996,0,2024-10-08
CART000225,CUST02619,0,2024-11-13
CART000226,CUST02000,1,2023-10-01
CART000227,CUST01911,0,2024-12-06
CART000228,CUST00666,0,2023-09-18
CART000229,CUST00350,0,2024-11-05
CART000230,CUST01538,0,2025-05-01
CART000231,CUST02978,1,2024-03-20
CART000232,CUST02729,1,2024-07-27
CART000233,CUST00251,0,2024-09-04
CART000234,CUST01567,1,2024-08-21
CART000235,CUST02367,0,2023-06-15
CART000236,CUST01207,1,2024-06-02
CART000237,CUST02933,1,2024-11-01
CART000238,CUST02237,0,2024-10-25
CART000239,CUST02773,0,2025-01-13
CART000240,CUST01320,0,2024-06-26
CART000241,CUST01946,0,2025-05-25
CART000242,CUST00079,1,2025-01-13
CART000243,CUST00546,0,2023-07-20
CART000244,CUST01494,1,2023-09-27
CART000245,CUST00924,1,2025-05-11
CART000246,CUST00619,0,2025-02-23
CART000247,CUST00305,1,2024-05-05
CART000248,CUST02247,0,2024-11-08
CART000249,CUST01598,0,2024-03-21
CART000250,CUST02602,1,2025-03-25
CART000251,CUST01048,0,2024-09-20
CART000252,CUST01699,0,2023-08-04
CART000253,CUST01485,0,2024-12-06
CART000254,CUST02231,1,2023-12-01
CART000255,CUST01869,1,2024-01-07
CART000256,CUST02655,0,2025-01-29
CART000257,CUST00083,0,2024-05-11
CART000258,CUST00093,1,2023-10-17
CART000259,CUST02665,1,2023-08-26
CART000260,CUST02621,0,2025-05-09
CART000261,CUST02629,1,2025-01-19
CART000262,CUST01468,0,2023-12-31
CART000263,CUST02025,0,2024-01-03
CART000264,CUST00774,0,2024-08-22
CART000265,CUST02901,1,2024-09-24
CART000266,CUST01394,1,2023-10-22
CART000267,CUST02699,1,2024-07-06
CART000268,CUST00792,0,2023-08-21
CART000269,CUST00476,1,2024-01-25
CART000270,CUST00504,1,2024-11-28
CART000271,CUST01871,0,2025-02-08
CART000272,CUST00231,1,2023-11-29
CART000273,CUST02926,0,2024-05-31
CART000274,CUST01587,0,2023-06-18
CART000275,CUST01775,1,2025-01-21
