CouponID,DiscountPercentage,ValidFrom,ValidTo
COUP00001,25,2024-05-15,2025-04-26
COUP00002,26,2023-11-06,2024-08-13
COUP00003,5,2023-10-27,2024-10-10
COUP00004,25,2024-05-19,2025-01-19
COUP00005,49,2024-01-29,2025-04-20
COUP00006,24,2024-01-03,2025-04-29
COUP00007,13,2023-11-19,2025-01-29
COUP00008,31,2023-12-30,2025-03-31
COUP00009,33,2024-02-25,2024-09-07
COUP00010,47,2023-09-15,2024-09-03
COUP00011,37,2024-05-11,2025-05-23
COUP00012,49,2024-02-03,2025-01-08
COUP00013,5,2024-05-23,2024-10-29
COUP00014,7,2024-01-30,2025-03-07
COUP00015,36,2023-10-17,2024-08-19
COUP00016,24,2023-07-18,2025-01-04
COUP00017,21,2024-04-08,2024-11-07
COUP00018,41,2024-05-23,2024-10-24
COUP00019,42,2023-06-15,2025-03-14
COUP00020,14,2024-05-23,2025-03-25
COUP00021,47,2024-05-06,2024-10-02
COUP00022,49,2023-08-26,2025-05-14
COUP00023,33,2024-04-18,2025-02-18
COUP00024,46,2023-11-05,2025-01-28
COUP00025,36,2023-07-24,2025-03-01
COUP00026,17,2023-08-17,2024-09-17
COUP00027,35,2023-09-20,2024-10-16
COUP00028,8,2024-03-17,2024-07-03
COUP00029,22,2023-08-16,2024-11-27
COUP00030,15,2023-07-16,2025-04-07
COUP00031,46,2024-02-19,2025-05-03
COUP00032,22,2023-09-23,2024-10-03
COUP00033,45,2023-12-19,2024-06-06
COUP00034,41,2024-04-16,2024-05-31
COUP00035,37,2023-11-27,2025-04-15
COUP00036,41,2024-04-16,2024-11-26
COUP00037,7,2024-02-15,2025-01-07
COUP00038,5,2023-12-23,2025-02-14
COUP00039,23,2024-03-25,2025-04-19
COUP00040,10,2023-11-22,2025-04-03
COUP00041,14,2023-08-07,2025-04-13
COUP00042,41,2023-07-05,2024-08-16
COUP00043,16,2024-03-02,2024-08-20
COUP00044,48,2023-11-10,2025-01-27
COUP00045,21,2024-04-07,2024-07-10
COUP00046,31,2023-10-20,2024-07-24
