RedemptionID,CouponID,CustomerID,RedemptionDate
CR000001,COUP00166,CUST02511,2024-03-30
CR000002,COUP00034,CUST00251,2024-01-04
CR000003,COUP00084,CUST00212,2024-07-27
CR000004,COUP00141,CUST02735,2024-05-20
CR000005,COUP00111,CUST00419,2024-12-08
CR000006,COUP00005,CUST01196,2024-01-10
CR000007,COUP00128,CUST00507,2024-11-22
CR000008,COUP00188,CUST00646,2024-05-11
CR000009,COUP00088,CUST01652,2023-05-30
CR000010,COUP00115,CUST00869,2025-04-06
CR000011,COUP00102,CUST00492,2025-03-26
CR000012,COUP00017,CUST02343,2023-08-19
CR000013,COUP00185,CUST02505,2024-12-05
CR000014,COUP00031,CUST01170,2025-02-16
CR000015,COUP00092,CUST01262,2024-12-01
CR000016,COUP00193,CUST00740,2023-08-12
CR000017,COUP00194,CUST01791,2023-10-02
CR000018,COUP00161,CUST00424,2025-02-18
CR000019,COUP00104,CUST00292,2024-11-26
CR000020,COUP00093,CUST02204,2024-04-01
CR000021,COUP00132,CUST01984,2024-02-08
CR000022,COUP00082,CUST02398,2023-11-08
CR000023,COUP00055,CUST01958,2025-03-04
CR000024,COUP00152,CUST00243,2024-01-09
CR000025,COUP00160,CUST01231,2023-08-26
CR000026,COUP00073,CUST01790,2024-10-29
CR000027,COUP00047,CUST02306,2023-09-07
CR000028,COUP00144,CUST00585,2024-01-30
CR000029,COUP00149,CUST02083,2025-01-03
CR000030,COUP00094,CUST02478,2023-06-07
CR000031,COUP00067,CUST01343,2024-12-21
CR000032,COUP00097,CUST00095,2023-11-19
CR000033,COUP00159,CUST02268,2024-04-05
CR000034,COUP00120,CUST00301,2023-10-01
CR000035,COUP00142,CUST01661,2024-07-17
CR000036,COUP00134,CUST01209,2023-10-29
CR000037,COUP00197,CUST02823,2023-07-15
CR000038,COUP00157,CUST02448,2024-07-04
CR000039,COUP00183,CUST00690,2024-07-01
CR000040,COUP00037,CUST01166,2025-05-09
CR000041,COUP00187,CUST00993,2024-01-19
CR000042,COUP00164,CUST02182,2024-02-20
CR000043,COUP00110,CUST00661,2025-01-27
CR000044,COUP00187,CUST01930,2024-08-24
CR000045,COUP00078,CUST01926,2024-12-24
CR000046,COUP00192,CUST02306,2023-09-26
CR000047,COUP00171,CUST01063,2024-05-17
CR000048,COUP00118,CUST00305,2023-08-01
CR000049,COUP00042,CUST01848,2024-04-01
CR000050,COUP00074,CUST00526,2023-10-07
CR000051,COUP00125,CUST00407,2023-12-04
CR000052,COUP00060,CUST01383,2024-05-15
CR000053,COUP00190,CUST00886,2024-09-29
CR000054,COUP00064,CUST02426,2023-11-26
CR000055,COUP00058,CUST02517,2024-11-25
CR000056,COUP00002,CUST00873,2024-08-30
CR000057,COUP00078,CUST01971,2024-02-21
CR000058,COUP00071,CUST00990,2024-05-30
CR000059,COUP00120,CUST01305,2024-02-24
CR000060,COUP00008,CUST01589,2023-10-04
CR000061,COUP00184,CUST00011,2024-08-20
CR000062,COUP00164,CUST02723,2023-08-20
CR000063,COUP00197,CUST02743,2024-05-21
CR000064,COUP00013,CUST01988,2025-04-16
CR000065,COUP00039,CUST00973,2025-01-23
CR000066,COUP00102,CUST00009,2023-07-17
CR000067,COUP00081,CUST00028,2024-03-13
CR000068,COUP00006,CUST02871,2024-01-03
CR000069,COUP00019,CUST00686,2024-09-16
CR000070,COUP00153,CUST02559,2024-09-29
CR000071,COUP00131,CUST02550,2025-05-01
CR000072,COUP00105,CUST00582,2023-06-08
CR000073,COUP00053,CUST02826,2023-08-12
CR000074,COUP00028,CUST02709,2024-12-03
CR000075,COUP00154,CUST01242,2023-09-29
CR000076,COUP00047,CUST01662,2023-09-14
CR000077,COUP00136,CUST02051,2023-12-22
CR000078,COUP00057,CUST01211,2024-08-16
CR000079,COUP00055,CUST00043,2024-04-24
CR000080,COUP00079,CUST01635,2025-01-01
CR000081,COUP00001,CUST02823,2023-11-10
CR000082,COUP00168,CUST01435,2023-10-13
CR000083,COUP00023,CUST00042,2023-09-19
CR000084,COUP00182,CUST00730,2023-12-04
CR000085,COUP00042,CUST01982,2025-01-16
CR000086,COUP00178,CUST00648,2023-11-28
CR000087,COUP00004,CUST02705,2024-08-08
CR000088,COUP00008,CUST01983,2025-04-23
CR000089,COUP00164,CUST02929,2025-01-11
CR000090,COUP00010,CUST01929,2023-07-14
CR000091,COUP00116,CUST01160,2023-10-23
CR000092,COUP00158,CUST02558,2024-04-10
CR000093,COUP00100,CUST01543,2025-03-08
CR000094,COUP00016,CUST00037,2024-07-20
CR000095,COUP00158,CUST02020,2023-07-04
CR000096,COUP00064,CUST00823,2023-09-23
CR000097,COUP00108,CUST00579,2023-08-23
CR000098,COUP00121,CUST02885,2024-02-09
CR000099,COUP00139,CUST02565,2025-02-09
CR000100,COUP00162,CUST02833,2024-01-22
CR000101,COUP00055,CUST01021,2023-07-14
CR000102,COUP00083,CUST02927,2023-12-31
CR000103,COUP00004,CUST01082,2025-05-14
CR000104,COUP00177,CUST02203,2024-05-20
CR000105,COUP00044,CUST01896,2024-05-01
CR000106,COUP00159,CUST02023,2025-02-06
CR000107,COUP00048,CUST00113,2024-09-27
CR000108,COUP00099,CUST02884,2024-01-12
CR000109,COUP00098,CUST01780,2024-05-31
CR000110,COUP00026,CUST01820,2024-06-01
CR000111,COUP00103,CUST00601,2025-04-01
CR000112,COUP00198,CUST00442,2024-07-08
CR000113,COUP00097,CUST00228,2024-12-12
CR000114,COUP00012,CUST00874,2025-01-04
CR000115,COUP00045,CUST01146,2025-03-04
CR000116,COUP00136,CUST00671,2023-09-22
CR000117,COUP00009,CUST01292,2024-07-25
CR000118,COUP00001,CUST00695,2023-12-08
CR000119,COUP00133,CUST01509,2025-03-31
CR000120,COUP00071,CUST02917,2023-09-26
CR000121,COUP00054,CUST01028,2024-08-20
CR000122,COUP00104,CUST00121,2024-12-20
CR000123,COUP00152,CUST00742,2024-11-19
CR000124,COUP00154,CUST01510,2024-04-08
CR000125,COUP00010,CUST01243,2023-06-29
CR000126,COUP00189,CUST00694,2023-09-30
CR000127,COUP00040,CUST00257,2024-09-28
CR000128,COUP00044,CUST02091,2024-12-19
CR000129,COUP00112,CUST02918,2024-03-13
CR000130,COUP00012,CUST02964,2023-08-05
CR000131,COUP00022,CUST01554,2024-01-12
CR000132,COUP00155,CUST01713,2024-04-23
CR000133,COUP00195,CUST02636,2024-07-22
CR000134,COUP00082,CUST00913,2024-09-29
CR000135,COUP00197,CUST00594,2024-03-08
CR000136,COUP00142,CUST01034,2024-03-16
CR000137,COUP00153,CUST02840,2023-07-07
CR000138,COUP00052,CUST00212,2025-03-13
CR000139,COUP00112,CUST01676,2024-10-02
CR000140,COUP00118,CUST01962,2023-09-16
CR000141,COUP00059,CUST01406,2024-11-21
CR000142,COUP00038,CUST01413,2025-02-05
CR000143,COUP00020,CUST00922,2023-10-10
CR000144,COUP00078,CUST02384,2024-01-19
CR000145,COUP00020,CUST00922,2023-09-14
CR000146,COUP00184,CUST02131,2024-02-24
CR000147,COUP00101,CUST02040,2024-05-06
CR000148,COUP00110,CUST02200,2024-06-02
CR000149,COUP00030,CUST01759,2025-05-02
CR000150,COUP00107,CUST01494,2024-10-27
CR000151,COUP00041,CUST00078,2025-04-16
CR000152,COUP00084,CUST00412,2025-01-29
CR000153,COUP00071,CUST01578,2025-02-27
CR000154,COUP00063,CUST01598,2023-10-14
CR000155,COUP00197,CUST02429,2023-07-16
CR000156,COUP00095,CUST02996,2024-04-30
CR000157,COUP00029,CUST02838,2025-04-13
CR000158,COUP00077,CUST00313,2025-03-02
CR000159,COUP00172,CUST02912,2023-07-18
CR000160,COUP00079,CUST02443,2024-10-07
CR000161,COUP00083,CUST02591,2024-07-04
CR000162,COUP00057,CUST00004,2025-04-27
CR000163,COUP00152,CUST00109,2024-02-25
CR000164,COUP00147,CUST02966,2024-06-18
CR000165,COUP00017,CUST00886,2024-09-06
CR000166,COUP00112,CUST00093,2024-05-31
CR000167,COUP00197,CUST01123,2024-10-09
CR000168,COUP00189,CUST00192,2025-04-11
CR000169,COUP00132,CUST02381,2023-09-07
CR000170,COUP00150,CUST01236,2024-02-10
CR000171,COUP00006,CUST00627,2024-06-03
CR000172,COUP00158,CUST00573,2024-04-20
CR000173,COUP00093,CUST02404,2024-03-10
CR000174,COUP00075,CUST01926,2024-06-18
CR000175,COUP00139,CUST02639,2024-06-07
CR000176,COUP00048,CUST00196,2025-01-10
CR000177,COUP00046,CUST00262,2024-05-06
CR000178,COUP00155,CUST02370,2023-07-16
CR000179,COUP00147,CUST02468,2023-06-09
CR000180,COUP00086,CUST01935,2024-06-24
CR000181,COUP00092,CUST00332,2023-11-25
CR000182,COUP00059,CUST01320,2023-11-03
CR000183,COUP00124,CUST01260,2024-04-17
CR000184,COUP00196,CUST00681,2023-09-15
CR000185,COUP00182,CUST02055,2024-07-25
CR000186,COUP00083,CUST00534,2024-09-25
CR000187,COUP00145,CUST02120,2024-10-28
CR000188,COUP00050,CUST01524,2023-07-21
CR000189,COUP00168,CUST02666,2024-01-29
CR000190,COUP00100,CUST02187,2024-05-31
CR000191,COUP00087,CUST02590,2023-06-05
CR000192,COUP00114,CUST00324,2025-05-22
CR000193,COUP00139,CUST02997,2024-06-24
CR000194,COUP00122,CUST02649,2023-07-10
CR000195,COUP00014,CUST01941,2023-06-19
CR000196,COUP00013,CUST00073,2024-04-15
CR000197,COUP00088,CUST02888,2025-05-22
CR000198,COUP00080,CUST01413,2024-10-15
CR000199,COUP00156,CUST01262,2023-06-01
CR000200,COUP00172,CUST00988,2024-06-10
CR000201,COUP00063,CUST01346,2024-12-16
CR000202,COUP00103,CUST01787,2023-05-26
CR000203,COUP00106,CUST01329,2023-11-19
CR000204,COUP00189,CUST01032,2025-03-12
CR000205,COUP00017,CUST02007,2025-03-30
CR000206,COUP00050,CUST01231,2025-03-20
CR000207,COUP00154,CUST00411,2024-02-14
CR000208,COUP00135,CUST02306,2025-03-18
CR000209,COUP00123,CUST01820,2024-10-29
CR000210,COUP00079,CUST02699,2023-06-11
CR000211,COUP00016,CUST02174,2025-01-06
CR000212,COUP00017,CUST01194,2024-04-22
