CustomerAlignedID,CustomerID,AlignedGroup
CA000001,CUST01739,Participant
CA000002,CUST01365,Successful
CA000003,CUST02709,Just
CA000004,CUST00695,Professional
CA000005,CUST00925,Eye
CA000006,CUST00152,Interview
CA000007,CUST00586,Should
CA000008,CUST00913,Method
CA000009,CUST02322,Before
CA000010,CUST01578,Civil
CA000011,CUST00496,Career
CA000012,CUST02149,Something
CA000013,CUST00557,Move
CA000014,CUST01106,Want
CA000015,CUST01553,Student
CA000016,CUST02121,Seek
CA000017,CUST00157,Challenge
CA000018,CUST00735,Experience
CA000019,CUST02180,Pattern
CA000020,CUST01428,Safe
CA000021,CUST00559,Indicate
CA000022,CUST02155,Test
CA000023,CUST02313,Owner
CA000024,CUST00155,Consumer
CA000025,CUST00997,I
CA000026,CUST02295,Music
CA000027,CUST00531,Of
CA000028,CUST02906,Help
CA000029,CUST01972,Drop
CA000030,CUST02586,Each
CA000031,CUST00729,Mrs
CA000032,CUST01178,Lot
CA000033,CUST00154,Financial
CA000034,CUST00092,Piece
CA000035,CUST02386,Best
CA000036,CUST01504,Structure
CA000037,CUST01717,Treat
CA000038,CUST02498,Wife
CA000039,CUST02017,Soon
CA000040,CUST02858,Board
CA000041,CUST00787,Animal
CA000042,CUST00273,Way
CA000043,CUST02028,Already
CA000044,CUST02636,Floor
CA000045,CUST00177,Game
CA000046,CUST02879,It
CA000047,CUST00643,Reflect
CA000048,CUST01899,Believe
CA000049,CUST00567,Seek
CA000050,CUST00666,We
CA000051,CUST01332,Of
CA000052,CUST02916,Line
CA000053,CUST01799,Nearly
CA000054,CUST01070,Election
CA000055,CUST02350,Leader
CA000056,CUST02916,Compare
CA000057,CUST02960,Manager
CA000058,CUST00408,Campaign
CA000059,CUST01213,Their
CA000060,CUST02870,Skin
CA000061,CUST01854,Course
CA000062,CUST01153,Nor
CA000063,CUST02609,Read
CA000064,CUST01142,Win
CA000065,CUST02512,Fine
CA000066,CUST00144,Evidence
CA000067,CUST02490,Cultural
CA000068,CUST00487,Apply
CA000069,CUST00860,Edge
CA000070,CUST01936,Practice
CA000071,CUST00148,Memory
CA000072,CUST01360,Well
CA000073,CUST01358,Let
CA000074,CUST02859,Scene
CA000075,CUST02714,It
CA000076,CUST00090,Tree
CA000077,CUST01358,Part
CA000078,CUST00199,Big
CA000079,CUST00538,Might
CA000080,CUST00301,Peace
CA000081,CUST00724,Whole
CA000082,CUST01599,Short
CA000083,CUST01460,Water
CA000084,CUST00068,Example
CA000085,CUST02507,Listen
CA000086,CUST01538,Large
CA000087,CUST00398,Event
CA000088,CUST00620,Sometimes
CA000089,CUST01585,Picture
CA000090,CUST01164,Policy
CA000091,CUST00730,Job
CA000092,CUST00556,Something
CA000093,CUST01953,Shoulder
CA000094,CUST02829,Visit
CA000095,CUST01752,Mean
CA000096,CUST02942,Change
CA000097,CUST02658,Onto
CA000098,CUST02796,Letter
CA000099,CUST02330,Center
CA000100,CUST02709,Local
CA000101,CUST02972,A
CA000102,CUST00996,Leave
CA000103,CUST01960,Various
CA000104,CUST01602,Huge
CA000105,CUST02794,Laugh
CA000106,CUST01481,Special
CA000107,CUST02135,Because
CA000108,CUST01103,Beat
CA000109,CUST02839,Value
CA000110,CUST02352,Teacher
CA000111,CUST01404,View
CA000112,CUST02178,Station
CA000113,CUST02644,Not
CA000114,CUST01300,Member
CA000115,CUST01723,Through
CA000116,CUST02606,Responsibility
CA000117,CUST00899,Far
CA000118,CUST01207,Wait
CA000119,CUST01536,Turn
CA000120,CUST00078,Paper
CA000121,CUST02832,Risk
CA000122,CUST02722,Add
CA000123,CUST01533,Personal
CA000124,CUST00238,Three
CA000125,CUST01158,Sort
CA000126,CUST01997,Already
CA000127,CUST01216,Beyond
CA000128,CUST00278,Increase
CA000129,CUST00524,Cost
CA000130,CUST00180,Decision
CA000131,CUST00123,Sing
CA000132,CUST01270,Music
CA000133,CUST01758,Blood
CA000134,CUST01095,Admit
CA000135,CUST00480,Speech
CA000136,CUST01798,Become
CA000137,CUST02132,Simply
CA000138,CUST02613,Mouth
CA000139,CUST02667,Street
CA000140,CUST02405,Case
CA000141,CUST00816,Improve
CA000142,CUST02695,Right
CA000143,CUST00443,Head
CA000144,CUST02571,Me
CA000145,CUST00143,Enough
CA000146,CUST00192,Throw
CA000147,CUST01411,Man
CA000148,CUST00378,Yet
CA000149,CUST02629,Get
CA000150,CUST00535,Player
CA000151,CUST01717,Pull
CA000152,CUST01033,Certain
CA000153,CUST01411,Sometimes
CA000154,CUST02141,Soon
CA000155,CUST01990,Probably
CA000156,CUST02577,Ever
CA000157,CUST01178,Establish
CA000158,CUST00405,World
CA000159,CUST02888,Benefit
CA000160,CUST01173,Into
CA000161,CUST00889,None
CA000162,CUST00422,Area
CA000163,CUST01642,Process
CA000164,CUST00472,Call
CA000165,CUST02941,Since
CA000166,CUST00547,Fund
CA000167,CUST00631,Choose
CA000168,CUST01038,Skill
CA000169,CUST02826,Goal
CA000170,CUST01830,Beyond
CA000171,CUST00364,Which
CA000172,CUST02167,News
CA000173,CUST00546,Peace
CA000174,CUST02570,Top
CA000175,CUST00634,Less
CA000176,CUST01937,Travel
CA000177,CUST01681,President
CA000178,CUST00963,Pm
CA000179,CUST00883,Ever
CA000180,CUST02828,Several
CA000181,CUST00871,Enter
CA000182,CUST00516,As
