FeedbackID,CustomerID,ProductID,Rating,DateCreated
CFBP000001,CUST01283,PROD00745,4,2024-02-24
CFBP000002,CUST00605,PROD00575,2,2023-10-01
CFBP000003,CUST01723,PROD00247,1,2024-11-17
CFBP000004,CUST02405,PROD00442,3,2023-07-31
CFBP000005,CUST02249,PROD00135,2,2023-11-21
CFBP000006,CUST02813,PROD00002,3,2025-04-13
CFBP000007,CUST01582,PROD00161,4,2023-05-30
CFBP000008,CUST02279,PROD00140,4,2024-07-16
CFBP000009,CUST02351,PROD00304,1,2025-01-05
CFBP000010,CUST02435,PROD00460,4,2023-10-22
CFBP000011,CUST00715,PROD00714,3,2024-11-16
CFBP000012,CUST00925,PROD00125,2,2024-06-15
CFBP000013,CUST00058,PROD00347,2,2024-05-28
CFBP000014,CUST00434,PROD00594,1,2023-12-14
CFBP000015,CUST02570,PROD00324,3,2023-08-23
CFBP000016,CUST02816,PROD00407,4,2024-01-29
CFBP000017,CUST02877,PROD00469,5,2023-10-22
CFBP000018,CUST01785,PROD00164,1,2024-04-27
CFBP000019,CUST00483,PROD00240,1,2024-05-11
CFBP000020,CUST00367,PROD00213,5,2024-12-13
CFBP000021,CUST00889,PROD00149,2,2023-09-30
CFBP000022,CUST01853,PROD00584,2,2024-02-20
CFBP000023,CUST01355,PROD00103,2,2024-05-27
CFBP000024,CUST01724,PROD00183,5,2024-12-01
CFBP000025,CUST01259,PROD00505,4,2024-02-18
CFBP000026,CUST02931,PROD00696,4,2024-08-31
CFBP000027,CUST00411,PROD00525,3,2023-10-20
CFBP000028,CUST02231,PROD00380,3,2024-03-19
CFBP000029,CUST02206,PROD00744,2,2024-07-15
CFBP000030,CUST02061,PROD00662,5,2023-11-21
CFBP000031,CUST02614,PROD00775,1,2024-09-02
CFBP000032,CUST02920,PROD00024,4,2024-08-25
CFBP000033,CUST01813,PROD00701,5,2024-01-12
CFBP000034,CUST02603,PROD00133,3,2025-01-08
CFBP000035,CUST01803,PROD00050,4,2024-10-11
CFBP000036,CUST00678,PROD00695,4,2025-04-06
CFBP000037,CUST02911,PROD00026,5,2023-12-09
CFBP000038,CUST00618,PROD00650,3,2025-03-16
CFBP000039,CUST02252,PROD00011,5,2024-11-03
CFBP000040,CUST02350,PROD00102,1,2025-05-19
CFBP000041,CUST00795,PROD00011,4,2023-11-23
CFBP000042,CUST02645,PROD00112,5,2025-03-29
CFBP000043,CUST00729,PROD00606,5,2024-08-05
CFBP000044,CUST01694,PROD00772,1,2025-05-04
CFBP000045,CUST01886,PROD00770,5,2024-12-06
CFBP000046,CUST02554,PROD00167,4,2023-12-21
CFBP000047,CUST00639,PROD00721,2,2024-05-18
CFBP000048,CUST00191,PROD00407,2,2023-10-06
CFBP000049,CUST01802,PROD00045,3,2023-06-17
CFBP000050,CUST00899,PROD00717,1,2023-12-19
CFBP000051,CUST01997,PROD00359,3,2025-01-30
CFBP000052,CUST02108,PROD00554,2,2023-09-03
CFBP000053,CUST01490,PROD00285,1,2025-04-25
CFBP000054,CUST01403,PROD00400,5,2025-04-16
CFBP000055,CUST01453,PROD00451,5,2024-01-12
CFBP000056,CUST02110,PROD00612,4,2023-10-29
CFBP000057,CUST01944,PROD00444,2,2025-02-02
CFBP000058,CUST02350,PROD00388,5,2023-07-13
CFBP000059,CUST00638,PROD00356,1,2024-04-23
CFBP000060,CUST00999,PROD00784,5,2024-12-30
CFBP000061,CUST02220,PROD00425,3,2025-02-19
CFBP000062,CUST01529,PROD00006,3,2023-08-20
CFBP000063,CUST00063,PROD00554,3,2023-09-27
CFBP000064,CUST02820,PROD00441,3,2023-12-10
CFBP000065,CUST00016,PROD00356,3,2024-03-28
CFBP000066,CUST02739,PROD00765,4,2024-12-31
CFBP000067,CUST00842,PROD00588,3,2024-01-05
CFBP000068,CUST01125,PROD00554,4,2025-02-22
CFBP000069,CUST01217,PROD00268,4,2023-08-29
CFBP000070,CUST01997,PROD00217,5,2024-07-01
CFBP000071,CUST00899,PROD00064,1,2023-08-08
CFBP000072,CUST01491,PROD00442,3,2024-01-02
CFBP000073,CUST02981,PROD00691,1,2024-07-24
CFBP000074,CUST02223,PROD00541,2,2025-04-05
CFBP000075,CUST01258,PROD00275,4,2024-01-21
CFBP000076,CUST01515,PROD00470,2,2024-09-18
CFBP000077,CUST00417,PROD00216,4,2023-11-26
CFBP000078,CUST01557,PROD00566,3,2023-09-03
CFBP000079,CUST00451,PROD00592,2,2023-06-23
CFBP000080,CUST02884,PROD00194,5,2024-09-07
CFBP000081,CUST01824,PROD00712,2,2024-05-06
CFBP000082,CUST00280,PROD00013,4,2023-06-24
CFBP000083,CUST00244,PROD00222,4,2023-07-23
CFBP000084,CUST00675,PROD00705,1,2023-10-30
CFBP000085,CUST02194,PROD00396,2,2025-05-20
CFBP000086,CUST00103,PROD00752,5,2024-07-27
CFBP000087,CUST02358,PROD00270,3,2024-12-22
CFBP000088,CUST00117,PROD00298,1,2023-08-18
CFBP000089,CUST01496,PROD00611,2,2023-10-29
CFBP000090,CUST00763,PROD00732,1,2023-12-18
CFBP000091,CUST02786,PROD00616,2,2025-04-10
CFBP000092,CUST01724,PROD00432,3,2024-03-21
CFBP000093,CUST02235,PROD00408,3,2024-05-09
CFBP000094,CUST00785,PROD00065,5,2023-07-28
CFBP000095,CUST01493,PROD00657,1,2023-11-12
CFBP000096,CUST00707,PROD00038,5,2023-07-14
CFBP000097,CUST02924,PROD00028,2,2024-08-07
CFBP000098,CUST00796,PROD00289,3,2025-04-28
CFBP000099,CUST00473,PROD00237,3,2024-04-29
CFBP000100,CUST02604,PROD00126,4,2023-09-30
CFBP000101,CUST00682,PROD00384,4,2024-02-10
CFBP000102,CUST00094,PROD00326,5,2024-01-07
CFBP000103,CUST00736,PROD00085,1,2024-05-21
CFBP000104,CUST02838,PROD00749,2,2023-12-07
CFBP000105,CUST02042,PROD00246,5,2024-11-22
CFBP000106,CUST02086,PROD00388,3,2024-09-01
CFBP000107,CUST02830,PROD00266,3,2023-12-08
CFBP000108,CUST02530,PROD00761,3,2024-10-25
CFBP000109,CUST02159,PROD00205,2,2025-03-04
CFBP000110,CUST01914,PROD00228,5,2024-05-12
CFBP000111,CUST02458,PROD00240,2,2025-02-11
CFBP000112,CUST01590,PROD00073,3,2025-01-18
CFBP000113,CUST02445,PROD00671,4,2024-05-15
CFBP000114,CUST01151,PROD00388,5,2025-01-25
CFBP000115,CUST02014,PROD00378,4,2023-07-10
CFBP000116,CUST00042,PROD00212,5,2025-03-15
CFBP000117,CUST00041,PROD00648,3,2024-10-19
CFBP000118,CUST01511,PROD00795,4,2023-07-07
CFBP000119,CUST01695,PROD00676,4,2025-03-08
CFBP000120,CUST02447,PROD00649,5,2024-12-17
CFBP000121,CUST02230,PROD00171,4,2023-09-13
CFBP000122,CUST00744,PROD00152,4,2024-10-10
CFBP000123,CUST02766,PROD00677,3,2024-11-25
CFBP000124,CUST02512,PROD00104,5,2025-03-23
CFBP000125,CUST01074,PROD00222,5,2024-03-22
CFBP000126,CUST01432,PROD00282,1,2024-04-08
CFBP000127,CUST00298,PROD00388,5,2024-12-28
CFBP000128,CUST02193,PROD00372,3,2023-07-07
CFBP000129,CUST00016,PROD00129,4,2024-05-11
CFBP000130,CUST01076,PROD00404,1,2024-05-16
CFBP000131,CUST00107,PROD00220,4,2023-08-22
CFBP000132,CUST00219,PROD00173,5,2023-06-29
CFBP000133,CUST02983,PROD00472,2,2024-09-29
CFBP000134,CUST02385,PROD00453,4,2024-04-12
CFBP000135,CUST02969,PROD00608,5,2025-04-11
CFBP000136,CUST00371,PROD00502,3,2023-07-01
CFBP000137,CUST02858,PROD00052,5,2025-05-10
CFBP000138,CUST00254,PROD00094,1,2025-04-24
CFBP000139,CUST01429,PROD00576,2,2024-04-29
CFBP000140,CUST02628,PROD00021,2,2023-07-16
CFBP000141,CUST02009,PROD00106,2,2023-10-23
CFBP000142,CUST01723,PROD00200,3,2024-12-11
CFBP000143,CUST02684,PROD00352,2,2023-07-30
CFBP000144,CUST02233,PROD00281,4,2023-12-03
CFBP000145,CUST01313,PROD00282,3,2024-11-16
CFBP000146,CUST02522,PROD00612,5,2024-06-29
CFBP000147,CUST00985,PROD00539,1,2024-11-16
CFBP000148,CUST02550,PROD00245,3,2024-02-13
CFBP000149,CUST02922,PROD00575,1,2024-11-22
CFBP000150,CUST00350,PROD00429,3,2024-12-04
CFBP000151,CUST02108,PROD00038,5,2023-10-11
CFBP000152,CUST01479,PROD00419,1,2024-01-12
CFBP000153,CUST00879,PROD00302,3,2023-10-28
