CustomerLoyaltyID,CustomerID,LoyaltyProgramID,JoinDate
CL000001,CUST02745,LP0018,2024-01-08
CL000002,CUST01485,LP0012,2023-08-22
CL000003,CUST02959,LP0004,2024-01-12
CL000004,CUST00960,LP0017,2023-12-12
CL000005,CUST00478,LP0015,2023-06-27
CL000006,CUST02974,LP0006,2023-07-30
CL000007,CUST00707,LP0016,2024-04-05
CL000008,CUST02902,LP0017,2024-03-24
CL000009,CUST01138,LP0003,2023-11-27
CL000010,CUST00754,LP0010,2024-05-08
CL000011,CUST02551,LP0005,2024-01-29
CL000012,CUST01660,LP0014,2024-01-08
CL000013,CUST02865,LP0013,2024-01-31
CL000014,CUST00588,LP0006,2023-11-01
CL000015,CUST01335,LP0012,2023-09-16
CL000016,CUST01493,LP0008,2024-03-12
CL000017,CUST01848,LP0005,2023-07-04
CL000018,CUST02756,LP0015,2024-02-05
CL000019,CUST00207,LP0016,2023-09-27
CL000020,CUST02199,LP0001,2023-05-28
CL000021,CUST02716,LP0016,2023-09-18
CL000022,CUST02576,LP0005,2023-10-17
CL000023,CUST00165,LP0003,2023-10-27
CL000024,CUST02965,LP0020,2024-01-05
CL000025,CUST01999,LP0015,2023-11-08
CL000026,CUST02085,LP0013,2023-12-04
CL000027,CUST00333,LP0016,2023-08-16
CL000028,CUST00403,LP0011,2024-05-16
CL000029,CUST00414,LP0002,2024-01-02
CL000030,CUST00045,LP0006,2024-03-16
CL000031,CUST02254,LP0006,2023-09-27
CL000032,CUST00062,LP0014,2024-04-09
CL000033,CUST02468,LP0011,2023-08-14
CL000034,CUST00868,LP0008,2023-12-09
CL000035,CUST01492,LP0008,2024-05-12
CL000036,CUST02868,LP0001,2024-04-01
CL000037,CUST00019,LP0007,2023-12-31
CL000038,CUST00365,LP0006,2023-10-29
CL000039,CUST02476,LP0008,2024-05-13
CL000040,CUST01141,LP0019,2024-05-09
CL000041,CUST00580,LP0020,2024-01-22
CL000042,CUST00546,LP0008,2023-06-03
CL000043,CUST01730,LP0014,2024-01-08
CL000044,CUST02373,LP0018,2023-09-09
CL000045,CUST00055,LP0016,2024-04-12
CL000046,CUST00778,LP0009,2023-09-17
CL000047,CUST00042,LP0015,2023-09-11
CL000048,CUST01321,LP0010,2023-09-21
CL000049,CUST00231,LP0016,2023-10-27
CL000050,CUST00453,LP0004,2023-09-19
CL000051,CUST02442,LP0020,2023-09-14
CL000052,CUST01546,LP0013,2023-06-29
CL000053,CUST01382,LP0005,2024-01-17
CL000054,CUST01468,LP0007,2023-06-17
CL000055,CUST01152,LP0009,2023-11-15
CL000056,CUST02739,LP0008,2023-10-05
CL000057,CUST02440,LP0016,2024-04-29
CL000058,CUST01217,LP0006,2023-08-29
CL000059,CUST02652,LP0016,2024-04-25
CL000060,CUST00881,LP0006,2023-06-18
CL000061,CUST00085,LP0014,2023-12-03
CL000062,CUST01054,LP0001,2023-06-09
CL000063,CUST00049,LP0009,2023-12-26
CL000064,CUST01169,LP0013,2023-07-16
CL000065,CUST00069,LP0019,2023-09-12
CL000066,CUST02745,LP0017,2023-09-02
CL000067,CUST02527,LP0011,2023-07-11
CL000068,CUST02868,LP0008,2024-01-28
CL000069,CUST01702,LP0005,2023-05-30
CL000070,CUST01599,LP0010,2024-02-06
CL000071,CUST02195,LP0007,2024-04-10
CL000072,CUST01870,LP0010,2023-07-25
CL000073,CUST01016,LP0004,2023-08-26
CL000074,CUST02657,LP0009,2024-04-23
CL000075,CUST00446,LP0014,2023-09-21
CL000076,CUST02269,LP0002,2023-12-23
CL000077,CUST01402,LP0009,2024-03-04
