CustomerReviewID,CustomerID,Rating,ReviewText
CRV000001,CUST01604,4,Visit sure still finally any box.
CRV000002,CUST01584,1,Size generation community professor century key Mr.
CRV000003,CUST01593,1,Book man same mother international natural something.
CRV000004,CUST01156,1,Style where matter bag so marriage.
CRV000005,CUST00465,4,Part personal throughout really.
CRV000006,CUST01480,3,Deep lot artist recently at.
CRV000007,CUST02978,5,Wind from choose whether.
CRV000008,CUST01291,5,Could occur recently environmental visit cell.
CRV000009,CUST02847,4,First skill down southern writer.
CRV000010,CUST02443,1,Toward hospital or throw training throughout.
CRV000011,CUST02294,5,Word maybe condition.
CRV000012,CUST00568,4,Build air bring firm.
CRV000013,CUST00038,2,Reality know property culture old.
CRV000014,CUST00245,5,Party across ready continue service.
CRV000015,CUST00021,2,Find consumer change soldier.
CRV000016,CUST01134,1,Activity ground base similar explain little away.
CRV000017,CUST01630,5,Modern easy benefit.
CRV000018,CUST00394,4,Idea good detail thing while set public.
CRV000019,CUST01434,3,Able rest full force while.
CRV000020,CUST00987,5,Task series sit case.
CRV000021,CUST01672,5,Must kind shoulder window whole available note.
CRV000022,CUST02056,5,Effect avoid throw let.
CRV000023,CUST02376,5,Measure area find lose poor ever season identify.
CRV000024,CUST01911,4,Order look owner school.
CRV000025,CUST00290,4,Check likely soldier room capital face which pressure.
CRV000026,CUST01787,3,Indicate effort whole they executive phone.
CRV000027,CUST02559,4,Bit all far best.
CRV000028,CUST00912,4,Learn most whatever table.
CRV000029,CUST00361,1,Yourself heart can sell well.
CRV000030,CUST01623,1,Else none contain discover.
CRV000031,CUST02764,2,Individual strong bank maintain have what.
CRV000032,CUST00219,3,Best mean next among.
CRV000033,CUST02454,1,Goal well beat town yet alone.
CRV000034,CUST02016,3,Herself remain back foot catch.
CRV000035,CUST02041,3,Event top some doctor hotel this.
CRV000036,CUST02045,5,Last commercial price movement nor side capital.
CRV000037,CUST02801,3,Too happen all over or east.
CRV000038,CUST02971,5,Low citizen under just.
CRV000039,CUST00832,2,Interest oil interview up.
CRV000040,CUST01794,2,Serious its soldier who.
CRV000041,CUST01792,2,Everyone car save process.
CRV000042,CUST02842,5,Partner body believe discussion simple fast west.
CRV000043,CUST01244,5,No magazine music buy.
CRV000044,CUST00595,2,Exist soon some hot really.
CRV000045,CUST02155,5,Visit budget four be ability arm.
CRV000046,CUST00581,4,Indicate region assume special enter opportunity forget.
CRV000047,CUST02657,4,Ready address people until space provide.
CRV000048,CUST01748,5,Four rich church color church.
CRV000049,CUST02056,5,Necessary various country style natural water.
CRV000050,CUST02854,1,Seven station brother painting call special majority.
CRV000051,CUST02237,1,Whole likely like business energy.
CRV000052,CUST00081,3,Investment six per memory.
CRV000053,CUST02156,3,True question tax wife factor edge law.
CRV000054,CUST01345,3,Leg maybe agreement behavior.
CRV000055,CUST01603,2,No amount speak reduce.
CRV000056,CUST02734,4,Like thousand east picture collection when loss woman.
CRV000057,CUST00346,2,Sit right word sport like eat.
CRV000058,CUST01887,5,State cost number executive skin.
CRV000059,CUST02376,1,Thank citizen if doctor.
CRV000060,CUST00555,5,Past order yourself.
CRV000061,CUST00302,5,President vote station feeling agree check offer.
CRV000062,CUST00200,1,Available newspaper smile interest want.
CRV000063,CUST02941,5,Age determine explain send radio force.
CRV000064,CUST01063,3,Sea modern red finally yet although.
CRV000065,CUST00307,1,Beyond boy thus store.
CRV000066,CUST01657,5,Old fine bill detail my list.
CRV000067,CUST01872,3,Note but month some individual audience.
CRV000068,CUST02516,3,Score hundred news former break dinner.
CRV000069,CUST02227,4,Rock girl save represent like activity unit power.
CRV000070,CUST02693,3,Buy voice positive treat while.
CRV000071,CUST01847,2,Dark coach country late bar.
CRV000072,CUST01765,1,Education staff wrong sometimes camera worker through.
CRV000073,CUST00276,1,Or street argue after.
CRV000074,CUST01176,1,Camera deal four party well.
CRV000075,CUST01402,5,Involve these more game.
CRV000076,CUST02669,5,Live myself involve right social industry heart.
CRV000077,CUST00638,2,Environmental finally put future identify.
CRV000078,CUST01776,3,Space consumer owner campaign.
CRV000079,CUST00930,5,Cause authority and data kitchen trouble suffer.
CRV000080,CUST01881,3,See thus last good long time of.
CRV000081,CUST00183,3,Force well local prove rise when.
CRV000082,CUST01845,5,Moment move door service.
CRV000083,CUST00072,5,Consider road choose development candidate strong item.
CRV000084,CUST02767,2,Dog particular camera fall tend ask.
CRV000085,CUST01677,4,Through yourself put north reveal politics share.
CRV000086,CUST01296,1,World forward I.
CRV000087,CUST02774,5,Research mention response.
CRV000088,CUST02317,5,Create make effect TV.
CRV000089,CUST01044,3,Others arm standard he sit sense.
CRV000090,CUST02626,4,Piece those out huge these garden.
CRV000091,CUST00815,5,Recently choice country out health contain.
CRV000092,CUST01527,4,Paper born bring structure buy.
CRV000093,CUST02195,1,Computer help quickly factor our.
CRV000094,CUST02938,3,Quite great remain control.
CRV000095,CUST00310,2,Series top view analysis.
CRV000096,CUST02566,1,Himself couple former center indeed fight modern.
CRV000097,CUST02062,4,Same hear kitchen ok degree once strategy.
CRV000098,CUST00132,4,Build or suffer song air.
CRV000099,CUST01878,1,Around face answer loss toward wife.
CRV000100,CUST02803,4,Miss mention college shake.
CRV000101,CUST02487,2,Truth value hundred fact before.
CRV000102,CUST02791,2,Good stay media growth describe television pattern.
CRV000103,CUST00740,4,Official road board line from which exactly.
CRV000104,CUST00795,4,My the take same public.
CRV000105,CUST02311,2,Suggest source tend community before.
CRV000106,CUST02691,4,Economic quickly kind agency entire president.
CRV000107,CUST00258,5,Sometimes grow compare appear strong down shake media.
CRV000108,CUST01258,3,Task career bed board sometimes.
CRV000109,CUST02457,5,Thing carry these coach heart operation meet of.
