CustomerSatisfactionID,CustomerID,Rating,Feedback,Date
CS000001,CUST00539,1,Guess hand or.,2025-04-23
CS000002,CUST02787,3,Far edge identify citizen.,2025-02-26
CS000003,CUST00871,3,Court camera Mrs before dog career follow.,2024-09-08
CS000004,CUST00101,4,Theory ago activity soldier just.,2024-08-19
CS000005,CUST01413,2,Company natural audience condition couple former.,2025-02-28
CS000006,CUST02740,1,Seem thing service ask few leave toward rich.,2024-11-08
CS000007,CUST00941,1,Meet arm join indeed.,2025-01-30
CS000008,CUST00341,1,Government who movement discuss.,2024-11-21
CS000009,CUST02909,1,Dark experience while break.,2025-01-11
CS000010,CUST01044,3,Half stock hundred establish.,2024-08-24
CS000011,CUST00038,4,Hotel save everybody team ok industry cold.,2024-11-14
CS000012,CUST00660,5,Keep stay court several food education on strong.,2025-03-03
CS000013,CUST02034,2,Address treatment garden finish heart.,2024-10-14
CS000014,CUST01561,1,Measure drive bed high process listen including.,2024-09-08
CS000015,CUST01657,4,Alone animal bar property.,2024-06-23
CS000016,CUST02976,5,Choice issue oil discuss sometimes.,2025-04-22
CS000017,CUST01050,4,Information health school seem.,2024-06-18
CS000018,CUST00454,3,Let painting seem others single they.,2024-11-07
CS000019,CUST01705,5,Resource response north.,2025-05-03
CS000020,CUST01347,4,Great it laugh energy.,2025-05-04
CS000021,CUST02785,3,Way structure dog admit option environmental.,2025-04-17
CS000022,CUST00819,4,Rule culture onto upon main her.,2024-06-22
CS000023,CUST00773,4,After peace day force early want.,2024-09-05
CS000024,CUST00013,5,Learn laugh more energy value break explain.,2025-02-06
CS000025,CUST02963,3,Look continue commercial soldier.,2024-10-31
CS000026,CUST00921,1,Unit boy approach week bit.,2025-03-26
CS000027,CUST00825,2,Water medical someone fear put total sing tonight.,2024-12-03
CS000028,CUST02419,5,Commercial thus first.,2025-05-07
CS000029,CUST01315,3,Answer show explain act spend.,2024-08-31
CS000030,CUST02380,4,Meeting least whom race political.,2025-03-08
CS000031,CUST02309,3,Interesting simply lead attorney trial.,2024-09-01
CS000032,CUST02018,2,Arm interview sound easy will step project give.,2024-10-12
CS000033,CUST01229,2,Individual statement north season dog rule year certainly.,2024-10-29
CS000034,CUST00697,1,Compare win professional group house partner.,2024-12-08
CS000035,CUST02735,1,Go recent sea general ahead mission really.,2024-05-31
CS000036,CUST00950,2,Audience might next fire.,2024-11-17
CS000037,CUST02435,5,Group sea bag think.,2024-12-01
CS000038,CUST02869,5,Letter personal war.,2025-03-23
CS000039,CUST02516,4,Perhaps team establish left.,2024-07-27
CS000040,CUST01439,1,Rate father section least Democrat.,2025-04-09
CS000041,CUST00069,4,Whom scene partner physical particularly tough local.,2024-09-27
CS000042,CUST01782,1,Whatever country receive discussion central.,2024-07-18
CS000043,CUST02248,2,Able consider avoid determine again big market.,2024-07-28
CS000044,CUST02264,5,Property party hair parent sport page daughter.,2025-01-14
CS000045,CUST01970,5,Upon even dark before.,2024-08-04
CS000046,CUST00212,2,Knowledge inside occur more community might could.,2024-07-24
CS000047,CUST00508,4,Sea market few high question if argue.,2024-11-23
CS000048,CUST02064,4,Build lead feeling cold compare.,2025-04-13
CS000049,CUST01522,3,Top surface window seem building certain.,2024-10-23
CS000050,CUST02932,1,Certain factor and impact.,2024-06-29
CS000051,CUST00332,4,Leader quite these stop hot manager point.,2024-06-21
CS000052,CUST02765,2,Simply bar onto determine.,2024-08-02
CS000053,CUST00551,4,Get standard age new southern.,2025-01-24
CS000054,CUST01625,5,However argue activity.,2024-07-05
CS000055,CUST00942,1,Hotel person indicate individual resource.,2025-04-15
CS000056,CUST02304,3,Executive arm responsibility ready move a.,2024-11-28
CS000057,CUST00728,1,One story I.,2024-08-18
CS000058,CUST00880,5,Far garden interview tough.,2024-12-27
CS000059,CUST02863,5,Sister teacher tonight move fight some begin laugh.,2025-05-11
CS000060,CUST00649,5,Despite performance understand wife report economic anyone.,2024-08-30
CS000061,CUST01000,5,Care news point positive.,2025-04-07
CS000062,CUST01522,2,Blue surface cold close speech.,2024-08-03
CS000063,CUST02519,3,Have life field behavior term.,2024-07-22
CS000064,CUST02738,5,Song business more law two court toward.,2024-12-28
CS000065,CUST01613,5,Treatment and agreement little southern lawyer.,2025-02-06
CS000066,CUST02748,4,Box subject evening traditional.,2025-04-26
CS000067,CUST02555,3,Event wrong training couple where up visit.,2024-06-09
CS000068,CUST01010,1,Sport head rather bag writer.,2024-07-05
CS000069,CUST01551,3,Sport common become fast.,2025-03-24
CS000070,CUST00804,3,Charge modern environment finish factor find.,2025-02-17
CS000071,CUST02879,3,Fact deal edge hold.,2024-10-22
CS000072,CUST00214,5,Manage at include their response.,2024-05-29
CS000073,CUST00169,5,Collection other able worker many drop society.,2024-10-08
CS000074,CUST00978,2,Nation policy safe TV.,2024-11-16
CS000075,CUST01329,1,Scene guy rich understand score.,2024-06-13
CS000076,CUST00146,4,Check for must analysis bring quickly agreement.,2025-03-20
