InteractionID,CustomerID,SatisfactionRating,DateCreated
CSI000001,CUST01272,4,2023-10-14
CSI000002,CUST02136,1,2023-08-27
CSI000003,CUST00434,3,2024-02-14
CSI000004,CUST02468,1,2024-05-01
CSI000005,CUST00429,4,2023-09-08
CSI000006,CUST01188,3,2024-07-26
CSI000007,CUST01519,2,2023-08-07
CSI000008,CUST00162,2,2023-12-16
CSI000009,CUST02555,5,2023-11-29
CSI000010,CUST02313,4,2024-02-15
CSI000011,CUST01996,3,2024-07-11
CSI000012,CUST02158,1,2024-05-27
CSI000013,CUST01876,1,2025-01-25
CSI000014,CUST00900,3,2023-11-11
CSI000015,CUST01743,4,2023-06-26
CSI000016,CUST01343,4,2023-06-20
CSI000017,CUST01156,1,2025-01-20
CSI000018,CUST00394,3,2024-01-29
CSI000019,CUST02668,3,2024-07-30
CSI000020,CUST02732,1,2023-07-12
CSI000021,CUST02600,3,2024-06-01
CSI000022,CUST02852,3,2024-09-27
CSI000023,CUST01729,2,2024-09-24
CSI000024,CUST00722,2,2024-04-20
CSI000025,CUST01396,5,2024-04-28
CSI000026,CUST02041,5,2025-05-09
CSI000027,CUST02079,4,2025-02-26
CSI000028,CUST01198,2,2025-01-13
CSI000029,CUST02865,2,2024-11-29
CSI000030,CUST01734,2,2023-12-12
CSI000031,CUST02154,2,2024-05-06
CSI000032,CUST01120,4,2024-07-09
CSI000033,CUST01017,1,2025-01-27
CSI000034,CUST01054,4,2024-11-02
CSI000035,CUST02842,1,2024-11-27
CSI000036,CUST00161,5,2024-04-25
CSI000037,CUST01330,2,2024-05-03
CSI000038,CUST01647,1,2024-03-23
CSI000039,CUST02244,4,2025-02-21
CSI000040,CUST02656,1,2024-06-19
CSI000041,CUST02386,3,2023-06-30
CSI000042,CUST01162,5,2024-11-07
CSI000043,CUST02838,5,2024-07-14
CSI000044,CUST02495,2,2024-05-10
CSI000045,CUST01334,2,2024-09-07
CSI000046,CUST01203,4,2025-02-21
CSI000047,CUST00337,1,2024-04-04
CSI000048,CUST02180,3,2024-01-25
CSI000049,CUST02297,5,2023-10-09
CSI000050,CUST02547,1,2024-05-27
CSI000051,CUST00063,3,2023-12-21
CSI000052,CUST00819,1,2024-08-03
CSI000053,CUST01416,2,2025-01-11
CSI000054,CUST02305,5,2024-03-13
CSI000055,CUST01272,3,2023-12-31
CSI000056,CUST01288,2,2023-09-17
CSI000057,CUST02515,4,2023-07-10
CSI000058,CUST00849,4,2025-04-22
CSI000059,CUST00361,2,2024-11-25
CSI000060,CUST02036,3,2024-06-04
CSI000061,CUST01975,3,2024-05-22
CSI000062,CUST02928,5,2024-05-06
CSI000063,CUST02227,2,2023-07-16
CSI000064,CUST01936,4,2024-09-18
CSI000065,CUST00949,2,2023-10-02
CSI000066,CUST01530,1,2024-01-07
CSI000067,CUST01851,3,2024-06-20
CSI000068,CUST01837,1,2025-05-10
CSI000069,CUST02547,4,2025-05-21
CSI000070,CUST02725,3,2024-04-02
CSI000071,CUST00292,4,2024-08-11
CSI000072,CUST00588,4,2025-03-27
CSI000073,CUST00818,4,2024-04-09
CSI000074,CUST02147,5,2025-03-15
CSI000075,CUST00181,4,2024-02-13
CSI000076,CUST00374,4,2024-03-28
CSI000077,CUST01860,1,2024-12-19
CSI000078,CUST00624,1,2023-12-06
CSI000079,CUST02301,1,2024-05-09
CSI000080,CUST01919,3,2025-04-05
CSI000081,CUST00863,5,2024-08-22
CSI000082,CUST02170,3,2023-11-27
CSI000083,CUST00442,5,2024-04-25
CSI000084,CUST02293,5,2024-04-10
CSI000085,CUST01663,2,2024-03-27
CSI000086,CUST00871,2,2023-05-30
CSI000087,CUST02875,2,2024-06-08
CSI000088,CUST02500,5,2024-10-06
CSI000089,CUST02344,5,2023-06-16
CSI000090,CUST01772,3,2024-06-05
CSI000091,CUST01657,5,2025-01-11
CSI000092,CUST01897,4,2024-11-21
CSI000093,CUST01090,4,2024-02-10
CSI000094,CUST00483,5,2024-08-31
CSI000095,CUST00309,4,2024-09-04
CSI000096,CUST01484,5,2024-06-06
CSI000097,CUST00593,2,2024-11-08
CSI000098,CUST01019,5,2024-09-13
CSI000099,CUST00398,2,2025-03-20
CSI000100,CUST00469,1,2024-08-31
CSI000101,CUST00617,4,2023-11-20
CSI000102,CUST02440,1,2024-05-14
CSI000103,CUST00097,4,2023-07-30
CSI000104,CUST02989,1,2024-03-27
CSI000105,CUST02908,5,2023-10-04
CSI000106,CUST00195,1,2023-12-23
CSI000107,CUST01358,4,2025-02-19
CSI000108,CUST00083,3,2024-08-03
CSI000109,CUST00251,4,2024-05-06
CSI000110,CUST01094,3,2025-04-10
CSI000111,CUST01316,5,2025-04-27
CSI000112,CUST02388,4,2024-02-07
CSI000113,CUST01409,1,2023-08-25
CSI000114,CUST02748,5,2024-06-06
CSI000115,CUST01482,4,2025-05-09
CSI000116,CUST01099,5,2024-05-15
CSI000117,CUST00100,3,2025-04-28
CSI000118,CUST01199,5,2023-06-07
CSI000119,CUST00733,1,2025-05-20
CSI000120,CUST00323,4,2024-03-10
CSI000121,CUST02058,3,2023-09-14
CSI000122,CUST01540,5,2024-09-26
CSI000123,CUST01262,2,2023-11-11
CSI000124,CUST00806,3,2025-02-03
CSI000125,CUST00908,3,2024-11-28
CSI000126,CUST01534,1,2024-03-22
CSI000127,CUST02042,1,2023-10-17
CSI000128,CUST00130,5,2024-06-15
CSI000129,CUST01584,2,2023-11-26
CSI000130,CUST00564,3,2024-02-25
CSI000131,CUST01354,5,2023-08-04
CSI000132,CUST00149,2,2023-06-13
CSI000133,CUST01433,5,2024-03-13
CSI000134,CUST01635,3,2023-12-04
CSI000135,CUST02627,5,2024-08-03
CSI000136,CUST01784,1,2024-09-22
CSI000137,CUST02167,1,2024-02-19
CSI000138,CUST01458,4,2024-10-17
CSI000139,CUST02276,2,2024-03-09
CSI000140,CUST00615,3,2023-07-02
CSI000141,CUST01825,2,2025-04-14
CSI000142,CUST00240,1,2023-06-10
CSI000143,CUST00913,3,2023-08-09
CSI000144,CUST01314,4,2024-08-23
CSI000145,CUST01178,1,2023-11-05
CSI000146,CUST00159,1,2023-09-03
CSI000147,CUST00563,2,2024-05-09
CSI000148,CUST00476,5,2024-12-29
CSI000149,CUST00548,2,2025-02-25
CSI000150,CUST01037,1,2025-02-08
CSI000151,CUST02901,2,2025-01-10
CSI000152,CUST02266,5,2024-08-25
CSI000153,CUST00755,4,2024-09-09
CSI000154,CUST00735,3,2023-11-22
CSI000155,CUST02829,1,2024-02-24
CSI000156,CUST00222,2,2024-11-24
CSI000157,CUST02336,1,2024-09-29
CSI000158,CUST01925,3,2023-12-16
CSI000159,CUST00524,2,2024-09-09
CSI000160,CUST01511,4,2024-04-27
CSI000161,CUST02747,3,2024-02-19
CSI000162,CUST00681,5,2025-01-18
CSI000163,CUST01829,5,2025-03-04
CSI000164,CUST02372,1,2023-10-30
CSI000165,CUST00618,5,2024-09-11
CSI000166,CUST00861,2,2024-01-31
CSI000167,CUST02089,5,2024-08-04
CSI000168,CUST01785,4,2023-06-22
CSI000169,CUST01291,2,2024-09-11
CSI000170,CUST00393,1,2023-12-10
CSI000171,CUST01137,1,2024-06-25
CSI000172,CUST01308,5,2025-05-17
CSI000173,CUST01814,5,2024-04-20
CSI000174,CUST02251,1,2023-06-29
CSI000175,CUST02901,2,2024-03-13
CSI000176,CUST02822,3,2024-11-18
CSI000177,CUST02830,1,2024-03-25
CSI000178,CUST00035,4,2025-03-31
CSI000179,CUST02101,2,2025-01-08
CSI000180,CUST02551,3,2024-10-16
CSI000181,CUST01380,3,2024-10-20
CSI000182,CUST00150,2,2024-06-13
CSI000183,CUST00437,1,2024-06-04
CSI000184,CUST00450,3,2024-09-12
CSI000185,CUST02573,4,2023-08-06
CSI000186,CUST00267,2,2024-12-31
CSI000187,CUST01633,5,2024-09-05
CSI000188,CUST02134,1,2023-06-16
CSI000189,CUST00309,2,2024-12-17
CSI000190,CUST00265,4,2025-01-31
CSI000191,CUST00492,3,2024-01-07
CSI000192,CUST01607,1,2023-11-26
CSI000193,CUST01041,1,2023-12-05
CSI000194,CUST01213,2,2024-07-08
CSI000195,CUST00522,2,2024-09-10
CSI000196,CUST01190,4,2024-09-05
CSI000197,CUST01915,5,2024-12-25
CSI000198,CUST01575,2,2024-08-25
CSI000199,CUST02035,2,2024-12-04
CSI000200,CUST02926,2,2023-07-19
CSI000201,CUST01369,4,2023-08-04
CSI000202,CUST02142,3,2024-12-16
CSI000203,CUST01899,5,2024-12-03
CSI000204,CUST00034,4,2024-11-09
CSI000205,CUST02849,2,2025-03-18
CSI000206,CUST02464,3,2023-05-30
CSI000207,CUST01514,2,2024-05-06
CSI000208,CUST02572,4,2023-08-20
CSI000209,CUST00233,1,2025-01-20
CSI000210,CUST01623,2,2024-06-17
CSI000211,CUST02042,3,2024-10-18
CSI000212,CUST02653,5,2023-10-28
CSI000213,CUST02155,1,2024-04-12
CSI000214,CUST01217,2,2023-10-09
CSI000215,CUST00522,2,2025-02-11
CSI000216,CUST00637,3,2025-02-27
CSI000217,CUST02835,1,2023-06-21
CSI000218,CUST00341,1,2024-12-10
CSI000219,CUST02745,1,2024-02-29
CSI000220,CUST00059,2,2023-05-29
CSI000221,CUST02016,1,2024-12-12
CSI000222,CUST00586,2,2025-03-14
CSI000223,CUST01538,2,2023-09-19
CSI000224,CUST00243,1,2023-08-09
CSI000225,CUST00228,4,2024-03-25
CSI000226,CUST02608,5,2025-02-15
CSI000227,CUST00518,5,2025-04-25
CSI000228,CUST02603,4,2024-06-14
CSI000229,CUST01169,1,2023-11-28
CSI000230,CUST00127,2,2023-06-19
CSI000231,CUST00335,3,2024-03-28
CSI000232,CUST00758,4,2024-10-09
CSI000233,CUST01432,5,2023-12-29
CSI000234,CUST02169,5,2023-10-10
CSI000235,CUST01768,2,2024-05-28
CSI000236,CUST02749,5,2023-09-06
CSI000237,CUST01309,5,2023-11-09
CSI000238,CUST02290,2,2023-11-24
CSI000239,CUST02126,1,2024-01-24
CSI000240,CUST01594,5,2023-10-30
CSI000241,CUST02498,1,2023-06-18
CSI000242,CUST01494,3,2023-10-27
CSI000243,CUST02031,1,2025-01-16
CSI000244,CUST00265,2,2024-02-11
CSI000245,CUST00682,2,2024-03-27
CSI000246,CUST02343,2,2025-01-05
CSI000247,CUST02938,5,2023-10-23
CSI000248,CUST00247,4,2023-07-23
CSI000249,CUST00424,5,2024-09-11
CSI000250,CUST01083,1,2023-05-26
CSI000251,CUST01836,3,2023-11-23
CSI000252,CUST00833,3,2024-06-17
CSI000253,CUST01482,3,2023-10-26
CSI000254,CUST00011,3,2024-07-10
CSI000255,CUST02395,4,2023-07-25
CSI000256,CUST02007,3,2024-01-17
CSI000257,CUST02900,5,2024-10-22
CSI000258,CUST01029,3,2024-06-26
CSI000259,CUST01741,2,2023-09-12
CSI000260,CUST02293,1,2025-05-06
CSI000261,CUST02297,5,2023-07-20
CSI000262,CUST00945,4,2024-12-06
CSI000263,CUST00435,5,2024-06-16
CSI000264,CUST02153,2,2025-03-11
CSI000265,CUST02290,3,2023-06-24
CSI000266,CUST02567,3,2023-11-27
