SubscriptionID,CustomerID,PlanID,StartDate,EndDate
SUB00001,CUST02679,PLAN007,2024-04-25,2024-09-04
SUB00002,CUST00088,PLAN001,2023-10-23,2024-05-25
SUB00003,CUST01146,PLAN008,2023-09-10,2025-04-22
SUB00004,CUST01268,PLAN014,2024-04-30,2024-11-25
SUB00005,CUST01091,PLAN020,2023-12-01,2025-04-11
SUB00006,CUST02342,PLAN001,2024-02-13,2025-05-17
SUB00007,CUST02903,PLAN005,2023-11-22,2024-08-11
SUB00008,CUST02088,PLAN005,2024-05-16,2024-09-21
SUB00009,CUST01236,PLAN014,2023-07-02,2024-11-24
SUB00010,CUST01080,PLAN007,2023-11-01,2025-01-15
SUB00011,CUST02760,PLAN017,2023-12-15,2025-03-26
SUB00012,CUST00291,PLAN011,2023-10-07,2025-02-09
SUB00013,CUST02865,PLAN007,2023-07-14,2025-03-07
SUB00014,CUST01643,PLAN001,2023-10-15,2024-07-31
SUB00015,CUST00707,PLAN015,2023-07-22,2024-09-18
SUB00016,CUST00799,PLAN019,2024-02-21,2024-09-21
SUB00017,CUST01473,PLAN010,2024-04-03,2024-10-19
SUB00018,CUST00844,PLAN009,2023-11-03,2024-06-28
SUB00019,CUST02686,PLAN013,2023-10-10,2025-01-02
SUB00020,CUST00914,PLAN013,2023-07-02,2024-11-26
SUB00021,CUST00344,PLAN006,2024-02-27,2024-09-03
SUB00022,CUST01572,PLAN008,2024-01-16,2024-07-27
SUB00023,CUST00977,PLAN012,2023-10-06,2024-09-29
SUB00024,CUST02093,PLAN002,2024-01-22,2024-10-03
SUB00025,CUST01201,PLAN016,2023-12-02,2024-08-12
SUB00026,CUST01649,PLAN012,2024-04-19,2024-08-28
SUB00027,CUST00122,PLAN018,2023-11-20,2025-02-20
SUB00028,CUST00275,PLAN003,2024-01-22,2024-06-03
SUB00029,CUST00960,PLAN018,2023-05-31,2024-12-13
SUB00030,CUST02949,PLAN011,2024-04-19,2025-03-26
SUB00031,CUST00312,PLAN005,2023-09-19,2024-12-06
SUB00032,CUST02466,PLAN013,2023-08-20,2024-09-23
SUB00033,CUST02809,PLAN010,2024-02-08,2025-02-05
SUB00034,CUST01353,PLAN015,2023-07-13,2024-11-28
SUB00035,CUST01127,PLAN006,2023-06-24,2024-07-22
SUB00036,CUST00688,PLAN016,2024-01-31,2025-02-04
SUB00037,CUST02330,PLAN008,2023-09-24,2025-05-18
SUB00038,CUST01269,PLAN020,2024-04-17,2024-10-21
SUB00039,CUST01157,PLAN003,2024-02-26,2024-09-14
SUB00040,CUST00856,PLAN005,2023-08-11,2024-09-29
SUB00041,CUST02719,PLAN015,2023-12-01,2024-12-22
SUB00042,CUST01816,PLAN003,2023-06-21,2024-09-29
SUB00043,CUST00341,PLAN015,2024-02-12,2024-07-02
SUB00044,CUST00022,PLAN002,2024-05-11,2024-12-18
SUB00045,CUST02005,PLAN012,2023-06-06,2025-01-27
SUB00046,CUST02617,PLAN005,2024-01-16,2024-08-23
SUB00047,CUST02718,PLAN009,2023-07-03,2024-10-07
SUB00048,CUST00970,PLAN004,2024-01-27,2024-10-27
SUB00049,CUST02013,PLAN007,2023-06-15,2025-02-11
SUB00050,CUST00345,PLAN016,2023-10-10,2025-01-06
SUB00051,CUST01730,PLAN013,2023-08-16,2024-09-03
SUB00052,CUST01485,PLAN002,2023-08-18,2025-02-02
SUB00053,CUST01883,PLAN002,2024-05-14,2024-07-29
SUB00054,CUST00200,PLAN009,2024-05-19,2024-06-23
SUB00055,CUST02053,PLAN015,2023-06-05,2024-09-17
SUB00056,CUST02348,PLAN004,2024-03-03,2024-08-13
SUB00057,CUST01771,PLAN017,2023-10-27,2024-10-12
SUB00058,CUST02786,PLAN009,2024-01-22,2024-11-13
SUB00059,CUST00540,PLAN015,2023-08-23,2024-11-01
SUB00060,CUST01176,PLAN001,2023-08-19,2024-11-16
SUB00061,CUST02944,PLAN002,2024-04-27,2025-04-26
SUB00062,CUST02294,PLAN009,2023-09-19,2024-10-18
SUB00063,CUST02061,PLAN011,2023-06-01,2025-01-07
SUB00064,CUST00978,PLAN019,2023-08-29,2025-04-15
SUB00065,CUST01489,PLAN001,2023-11-11,2024-10-11
SUB00066,CUST00286,PLAN019,2023-10-04,2024-10-27
SUB00067,CUST01638,PLAN009,2023-07-25,2024-10-14
SUB00068,CUST02387,PLAN002,2024-03-31,2025-05-17
SUB00069,CUST01238,PLAN005,2023-06-15,2024-09-27
SUB00070,CUST02993,PLAN017,2024-05-09,2025-04-15
SUB00071,CUST00113,PLAN001,2023-10-14,2025-02-04
SUB00072,CUST00338,PLAN014,2024-04-20,2025-02-12
SUB00073,CUST00090,PLAN012,2023-07-24,2024-07-14
SUB00074,CUST02831,PLAN010,2023-12-22,2025-02-06
SUB00075,CUST02807,PLAN019,2024-03-18,2025-04-02
SUB00076,CUST01500,PLAN015,2023-06-12,2025-03-28
