TicketID,CustomerID,Status,CreatedDate
TIC0000001,CUST01691,Pending,2024-01-17
TIC0000002,CUST02304,Pending,2023-10-29
TIC0000003,CUST01807,Resolved,2023-09-10
TIC0000004,CUST00304,Resolved,2024-02-17
TIC0000005,CUST01689,Resolved,2024-07-04
TIC0000006,CUST01916,Resolved,2025-01-23
TIC0000007,CUST01499,Open,2023-09-17
TIC0000008,CUST02603,Resolved,2025-05-09
TIC0000009,CUST02335,Open,2023-09-08
TIC0000010,CUST00740,Resolved,2024-05-08
TIC0000011,CUST00266,Open,2024-07-21
TIC0000012,CUST01489,Pending,2023-07-06
TIC0000013,CUST00587,Resolved,2023-09-29
TIC0000014,CUST01036,Pending,2024-02-01
TIC0000015,CUST02083,Open,2023-06-01
TIC0000016,CUST00843,Pending,2025-02-12
TIC0000017,CUST00924,Open,2025-01-30
TIC0000018,CUST00038,Resolved,2025-02-08
TIC0000019,CUST02457,Pending,2025-02-07
TIC0000020,CUST02464,Resolved,2023-06-23
TIC0000021,CUST02228,Resolved,2025-05-12
TIC0000022,CUST02995,Pending,2024-02-12
TIC0000023,CUST02730,Pending,2023-08-07
TIC0000024,CUST01495,Resolved,2024-08-01
TIC0000025,CUST00619,Pending,2023-10-24
TIC0000026,CUST01546,Resolved,2024-12-18
TIC0000027,CUST02735,Open,2024-03-24
TIC0000028,CUST00429,Open,2024-07-13
TIC0000029,CUST01816,Pending,2024-04-02
TIC0000030,CUST00147,Resolved,2024-02-28
TIC0000031,CUST02976,Open,2025-02-15
TIC0000032,CUST02499,Open,2025-05-10
TIC0000033,CUST01948,Open,2025-02-07
TIC0000034,CUST02524,Pending,2024-05-04
TIC0000035,CUST02142,Open,2024-02-23
TIC0000036,CUST02932,Resolved,2024-07-22
TIC0000037,CUST01767,Open,2024-02-20
TIC0000038,CUST02016,Pending,2024-06-18
TIC0000039,CUST00431,Resolved,2023-11-12
TIC0000040,CUST00012,Resolved,2025-02-04
TIC0000041,CUST01009,Open,2023-10-09
TIC0000042,CUST02047,Open,2024-01-03
TIC0000043,CUST02519,Open,2024-08-28
TIC0000044,CUST00533,Open,2024-09-12
TIC0000045,CUST00260,Resolved,2024-11-08
TIC0000046,CUST01841,Open,2024-12-22
TIC0000047,CUST00423,Resolved,2025-03-08
TIC0000048,CUST00415,Pending,2024-12-26
TIC0000049,CUST01835,Pending,2025-04-21
TIC0000050,CUST02800,Open,2025-01-17
TIC0000051,CUST02029,Resolved,2025-01-17
TIC0000052,CUST02166,Resolved,2023-12-21
TIC0000053,CUST01057,Open,2024-07-16
TIC0000054,CUST02476,Open,2023-12-12
TIC0000055,CUST00949,Open,2024-10-24
TIC0000056,CUST02563,Resolved,2023-11-07
TIC0000057,CUST00663,Resolved,2025-05-02
TIC0000058,CUST00023,Open,2024-02-28
TIC0000059,CUST01354,Resolved,2024-09-12
TIC0000060,CUST02151,Open,2025-05-14
TIC0000061,CUST02553,Open,2023-06-24
TIC0000062,CUST01778,Pending,2025-01-10
TIC0000063,CUST00609,Resolved,2024-09-02
TIC0000064,CUST01991,Pending,2024-03-14
TIC0000065,CUST00797,Open,2023-12-23
TIC0000066,CUST01445,Pending,2024-02-20
TIC0000067,CUST00812,Resolved,2023-11-30
TIC0000068,CUST02357,Open,2024-12-28
TIC0000069,CUST00967,Open,2023-10-30
TIC0000070,CUST02646,Pending,2025-05-15
TIC0000071,CUST02812,Pending,2024-10-06
TIC0000072,CUST02172,Resolved,2023-08-20
TIC0000073,CUST00765,Pending,2023-11-13
TIC0000074,CUST00023,Resolved,2023-11-18
TIC0000075,CUST00442,Open,2024-06-28
TIC0000076,CUST01563,Resolved,2024-01-06
TIC0000077,CUST02595,Open,2024-08-28
TIC0000078,CUST01844,Open,2023-10-02
TIC0000079,CUST01953,Pending,2023-11-14
TIC0000080,CUST00421,Pending,2025-01-02
TIC0000081,CUST01563,Resolved,2025-04-04
TIC0000082,CUST02088,Open,2025-04-14
TIC0000083,CUST02469,Open,2024-07-18
TIC0000084,CUST02109,Open,2023-10-20
TIC0000085,CUST01776,Pending,2025-03-13
TIC0000086,CUST02751,Resolved,2023-11-05
TIC0000087,CUST02584,Resolved,2024-07-05
TIC0000088,CUST00569,Resolved,2024-04-11
TIC0000089,CUST02817,Open,2024-03-13
TIC0000090,CUST00790,Resolved,2025-02-03
TIC0000091,CUST02238,Resolved,2025-05-01
TIC0000092,CUST01609,Resolved,2023-07-26
TIC0000093,CUST00067,Resolved,2023-11-21
TIC0000094,CUST00830,Resolved,2023-12-21
TIC0000095,CUST00607,Resolved,2023-06-09
TIC0000096,CUST02863,Resolved,2024-06-02
TIC0000097,CUST01669,Pending,2023-12-09
TIC0000098,CUST01141,Open,2025-02-14
TIC0000099,CUST01650,Resolved,2023-07-20
TIC0000100,CUST01156,Resolved,2023-10-03
TIC0000101,CUST01750,Pending,2023-12-20
TIC0000102,CUST01376,Pending,2024-08-07
TIC0000103,CUST01323,Resolved,2024-10-27
TIC0000104,CUST00235,Resolved,2024-03-17
TIC0000105,CUST00241,Resolved,2024-03-10
TIC0000106,CUST01636,Open,2025-04-17
TIC0000107,CUST02496,Resolved,2024-12-05
TIC0000108,CUST02676,Open,2023-08-20
TIC0000109,CUST00607,Resolved,2023-11-12
TIC0000110,CUST02474,Resolved,2023-11-24
TIC0000111,CUST02605,Open,2024-06-26
TIC0000112,CUST02301,Open,2024-12-11
TIC0000113,CUST02882,Pending,2023-08-19
TIC0000114,CUST01325,Pending,2024-08-22
TIC0000115,CUST00881,Pending,2024-11-27
TIC0000116,CUST00787,Resolved,2023-07-28
TIC0000117,CUST02777,Resolved,2024-10-07
TIC0000118,CUST00725,Resolved,2025-02-26
TIC0000119,CUST01095,Pending,2024-07-18
TIC0000120,CUST00690,Resolved,2024-09-17
TIC0000121,CUST02491,Pending,2025-03-06
TIC0000122,CUST02640,Pending,2024-06-30
TIC0000123,CUST01595,Pending,2024-11-17
TIC0000124,CUST00074,Pending,2024-03-17
TIC0000125,CUST00906,Pending,2024-03-13
TIC0000126,CUST01872,Pending,2024-01-30
TIC0000127,CUST02473,Pending,2023-10-30
TIC0000128,CUST02584,Resolved,2023-10-14
TIC0000129,CUST01838,Open,2024-01-21
TIC0000130,CUST01801,Open,2024-07-15
TIC0000131,CUST02308,Open,2023-12-17
TIC0000132,CUST02070,Resolved,2024-06-07
TIC0000133,CUST01939,Open,2023-05-30
TIC0000134,CUST01204,Open,2024-01-25
TIC0000135,CUST00204,Resolved,2025-04-23
TIC0000136,CUST00892,Pending,2023-10-28
TIC0000137,CUST02978,Pending,2024-06-26
TIC0000138,CUST01384,Pending,2024-10-11
TIC0000139,CUST00664,Pending,2023-07-28
TIC0000140,CUST01714,Pending,2025-01-30
TIC0000141,CUST02280,Resolved,2023-09-25
TIC0000142,CUST01918,Pending,2025-01-03
TIC0000143,CUST00526,Pending,2024-02-22
TIC0000144,CUST00952,Pending,2024-07-06
TIC0000145,CUST00313,Pending,2023-07-13
TIC0000146,CUST00850,Resolved,2024-12-11
TIC0000147,CUST01362,Pending,2025-04-18
TIC0000148,CUST01782,Resolved,2025-03-20
TIC0000149,CUST02255,Resolved,2023-11-15
TIC0000150,CUST00899,Open,2024-11-13
TIC0000151,CUST01694,Resolved,2025-01-24
TIC0000152,CUST02943,Open,2023-11-14
TIC0000153,CUST01661,Open,2023-08-21
TIC0000154,CUST00734,Open,2024-01-05
TIC0000155,CUST02894,Open,2023-09-15
TIC0000156,CUST01862,Pending,2023-08-27
TIC0000157,CUST00080,Resolved,2024-02-12
TIC0000158,CUST01986,Pending,2024-07-01
TIC0000159,CUST01812,Pending,2023-06-18
TIC0000160,CUST02421,Pending,2024-10-24
TIC0000161,CUST02687,Resolved,2023-05-27
TIC0000162,CUST01692,Pending,2025-03-27
TIC0000163,CUST02483,Resolved,2024-04-27
TIC0000164,CUST00875,Pending,2024-06-29
TIC0000165,CUST01916,Open,2024-06-25
TIC0000166,CUST00915,Pending,2024-10-15
TIC0000167,CUST00263,Open,2024-06-24
TIC0000168,CUST00765,Resolved,2023-11-09
TIC0000169,CUST00380,Open,2025-01-26
TIC0000170,CUST00526,Resolved,2023-12-08
TIC0000171,CUST01316,Open,2024-10-27
