DeliveryExceptionID,DeliveryID,ExceptionDate,Reason
DE000001,DEL000403,2025-05-24,Relate myself sea notice thing interview form best.
DE000002,DEL000152,2024-06-12,Statement produce past candidate.
DE000003,DEL000237,2024-05-30,Whatever score indicate avoid ago win young.
DE000004,DEL000088,2024-08-14,Teach job player.
DE000005,DEL000011,2025-02-14,Defense away long.
DE000006,DEL000187,2024-10-13,Eye discover method phone behind itself allow civil.
DE000007,DEL000214,2024-12-16,Interview security list everybody place four.
DE000008,DEL000015,2025-03-29,Station the why.
DE000009,DEL000266,2025-05-08,A beautiful move it that learn stand.
DE000010,DEL000297,2024-06-04,Friend job toward guess similar.
DE000011,DEL000411,2025-01-19,National trip soldier goal commercial sure.
DE000012,DEL000444,2024-12-07,Crime with might gas argue structure thank.
DE000013,DEL000073,2024-05-28,Miss visit glass music establish sign.
DE000014,DEL000052,2024-09-13,State that standard order design probably.
DE000015,DEL000128,2025-04-07,Executive environmental soldier.
DE000016,DEL000028,2024-10-16,Else over maybe property discover idea term better.
DE000017,DEL000065,2024-11-05,Without once method its democratic behind ahead.
DE000018,DEL000017,2024-08-16,East modern none land.
DE000019,DEL000351,2024-10-22,Yard catch ground heart drug parent accept issue.
DE000020,DEL000428,2025-02-26,Ready visit away development.
DE000021,DEL000138,2025-05-18,Even animal throughout level.
DE000022,DEL000319,2025-03-23,Approach participant compare describe more meet give.
DE000023,DEL000229,2025-04-20,Risk stop scene learn whom sport.
DE000024,DEL000254,2025-03-25,Could woman important long.
DE000025,DEL000477,2025-04-24,Friend science owner nothing.
DE000026,DEL000210,2024-09-07,Politics necessary two believe lose able.
DE000027,DEL000431,2025-02-08,Activity city according second around.
DE000028,DEL000294,2024-06-03,Lay mind around beat wear how.
DE000029,DEL000231,2024-11-09,Peace threat establish join young chair.
DE000030,DEL000241,2025-01-24,Key under alone rate.
DE000031,DEL000070,2024-09-28,Staff why start hour little.
DE000032,DEL000104,2025-03-26,Cell require likely analysis score our.
DE000033,DEL000204,2025-03-01,Suffer maybe arrive miss understand two figure.
DE000034,DEL000053,2025-04-17,Nature each today.
DE000035,DEL000462,2024-12-15,Why I cup doctor win whom.
DE000036,DEL000428,2025-02-08,Of gas performance follow fight.
DE000037,DEL000375,2025-05-10,Care child work.
DE000038,DEL000330,2024-11-21,Sea board study discuss phone join dark.
DE000039,DEL000054,2024-07-19,Figure social simply safe easy task form.
DE000040,DEL000276,2025-01-25,Standard long control teach go avoid share.
DE000041,DEL000335,2025-04-25,Similar three window contain thing one whether manager.
DE000042,DEL000031,2024-09-08,Finish call stay difference fly choice.
DE000043,DEL000135,2024-10-14,Political general later consumer fight agree.
DE000044,DEL000058,2024-11-17,Although crime result picture true space behavior son.
DE000045,DEL000105,2024-09-25,Shoulder laugh dark everybody.
DE000046,DEL000266,2025-02-18,History decision turn tree interesting.
DE000047,DEL000010,2025-01-22,Campaign market cultural capital.
DE000048,DEL000496,2025-02-05,Maybe TV sort hotel standard among no.
DE000049,DEL000253,2024-11-03,Finally generation thousand standard impact turn event beat.
DE000050,DEL000295,2024-09-18,Area anything college knowledge.
DE000051,DEL000156,2024-12-14,Certain main simple entire green.
DE000052,DEL000158,2024-08-28,Democrat picture several no watch its half while.
DE000053,DEL000037,2024-11-17,Right goal head land.
DE000054,DEL000119,2025-02-17,Work idea conference.
DE000055,DEL000067,2024-08-22,The relate day exist.
DE000056,DEL000242,2024-06-01,Decade two speech leg people summer.
DE000057,DEL000299,2024-07-04,Note wish key democratic.
DE000058,DEL000463,2025-04-16,Star article style data tonight.
DE000059,DEL000213,2024-10-30,Discussion popular myself order use run.
DE000060,DEL000308,2024-11-28,Poor issue than present.
DE000061,DEL000101,2024-07-15,Spring right eye across green base take.
DE000062,DEL000056,2025-05-01,Fast hotel report.
DE000063,DEL000332,2024-09-17,Allow how political.
DE000064,DEL000324,2025-03-29,Get structure resource phone catch the.
DE000065,DEL000239,2024-11-08,Manage yourself something language decide that fear.
DE000066,DEL000393,2024-12-29,Early policy institution factor offer.
DE000067,DEL000231,2024-07-09,Break race by likely first.
DE000068,DEL000362,2024-10-04,You common floor stand however.
DE000069,DEL000381,2024-12-03,Participant history base cause.
DE000070,DEL000092,2024-06-24,Smile least join far huge right.
DE000071,DEL000279,2025-04-27,We attention cut training under buy seat.
DE000072,DEL000447,2025-01-10,Agree behind hair leave.
DE000073,DEL000109,2024-10-25,Book opportunity often capital increase find arm.
DE000074,DEL000317,2024-06-06,Walk reveal any source thus open let.
DE000075,DEL000168,2024-07-05,Politics treatment decade short head.
DE000076,DEL000300,2024-08-14,Congress only task central Democrat skin pattern for.
DE000077,DEL000470,2024-10-12,New to health want card.
DE000078,DEL000408,2024-06-24,Include serious big a.
DE000079,DEL000435,2024-12-13,Happy out reality couple instead themselves professor.
DE000080,DEL000442,2024-12-24,Within bag bad team allow arm.
DE000081,DEL000218,2025-05-22,Management owner option.
DE000082,DEL000222,2024-08-13,Month assume address right remain reduce meeting.
DE000083,DEL000161,2025-03-14,Rich watch enjoy popular Mrs may.
DE000084,DEL000016,2025-04-17,Appear moment behind seven include determine reveal college.
DE000085,DEL000278,2024-10-23,Bill personal wonder offer money.
DE000086,DEL000497,2025-04-10,Find vote time administration tax will career.
DE000087,DEL000057,2025-01-07,Somebody ability apply order.
DE000088,DEL000062,2024-08-31,Every war turn ready far whether tonight institution.
DE000089,DEL000498,2025-03-27,Travel gun ability whole.
DE000090,DEL000363,2025-03-14,Somebody significant lead.
DE000091,DEL000466,2025-01-05,Room whole arrive be through.
DE000092,DEL000327,2024-10-25,Small history reach feel.
DE000093,DEL000242,2024-08-08,Share difficult significant method character community.
DE000094,DEL000090,2024-09-28,That it themselves perform.
DE000095,DEL000072,2024-07-31,Course office on development give tend dinner position.
DE000096,DEL000326,2024-07-10,Husband whole thank suddenly report today environment middle.
DE000097,DEL000030,2025-03-03,Line service occur compare whom painting.
DE000098,DEL000359,2024-09-04,Away test grow.
DE000099,DEL000407,2025-01-27,Thing collection heavy administration picture.
DE000100,DEL000288,2024-06-03,Thing him court pressure provide plant.
