EmployeeScheduleID,EmployeeID,ScheduleDate,Shift
ES000001,EMP00086,2024-10-22,Evening
ES000002,EMP00057,2024-05-30,Morning
ES000003,EMP00109,2025-03-18,Morning
ES000004,EMP00009,2024-09-10,Afternoon
ES000005,EMP00031,2025-04-23,Evening
ES000006,EMP00071,2025-01-21,Afternoon
ES000007,EMP00137,2025-04-25,Morning
ES000008,EMP00013,2024-11-09,Afternoon
ES000009,EMP00186,2025-04-21,Afternoon
ES000010,EMP00131,2024-06-16,Morning
ES000011,EMP00035,2024-10-12,Morning
ES000012,EMP00021,2025-03-14,Evening
ES000013,EMP00064,2024-12-19,Afternoon
ES000014,EMP00095,2025-03-15,Morning
ES000015,EMP00180,2025-01-29,Morning
ES000016,EMP00034,2025-03-05,Afternoon
ES000017,EMP00121,2025-01-17,Morning
ES000018,EMP00163,2024-09-27,Evening
ES000019,EMP00015,2024-10-17,Evening
ES000020,EMP00120,2024-10-30,Afternoon
ES000021,EMP00096,2024-10-21,Evening
ES000022,EMP00006,2025-04-20,Morning
ES000023,EMP00109,2024-11-29,Morning
ES000024,EMP00097,2024-09-06,Morning
ES000025,EMP00032,2025-02-24,Morning
ES000026,EMP00180,2024-08-16,Afternoon
ES000027,EMP00083,2024-12-11,Evening
ES000028,EMP00156,2024-10-09,Evening
ES000029,EMP00118,2025-05-11,Morning
ES000030,EMP00192,2024-10-08,Afternoon
ES000031,EMP00079,2024-07-04,Morning
ES000032,EMP00078,2024-11-29,Morning
ES000033,EMP00147,2024-12-05,Afternoon
ES000034,EMP00107,2024-06-04,Afternoon
ES000035,EMP00126,2024-09-09,Morning
ES000036,EMP00015,2024-11-25,Evening
ES000037,EMP00134,2025-02-04,Morning
ES000038,EMP00073,2024-11-04,Evening
ES000039,EMP00101,2025-04-22,Evening
ES000040,EMP00098,2024-05-26,Afternoon
ES000041,EMP00166,2025-04-12,Afternoon
ES000042,EMP00026,2025-04-02,Morning
ES000043,EMP00092,2024-05-26,Evening
ES000044,EMP00125,2025-01-16,Evening
ES000045,EMP00179,2024-08-18,Morning
ES000046,EMP00073,2024-06-07,Morning
ES000047,EMP00123,2024-11-21,Morning
ES000048,EMP00053,2024-05-31,Afternoon
ES000049,EMP00184,2024-10-06,Morning
ES000050,EMP00187,2025-04-28,Morning
ES000051,EMP00198,2025-05-18,Evening
ES000052,EMP00078,2024-09-27,Morning
ES000053,EMP00092,2024-06-15,Evening
ES000054,EMP00186,2025-03-31,Evening
ES000055,EMP00088,2025-02-21,Afternoon
ES000056,EMP00013,2024-10-13,Morning
ES000057,EMP00043,2025-03-06,Morning
ES000058,EMP00076,2025-03-24,Evening
ES000059,EMP00051,2024-07-11,Afternoon
ES000060,EMP00019,2024-11-22,Afternoon
ES000061,EMP00149,2025-03-22,Morning
ES000062,EMP00122,2025-04-16,Evening
ES000063,EMP00024,2025-02-08,Morning
ES000064,EMP00026,2024-06-22,Morning
ES000065,EMP00173,2024-11-19,Morning
ES000066,EMP00156,2024-12-09,Morning
ES000067,EMP00120,2024-12-01,Evening
ES000068,EMP00082,2024-10-06,Afternoon
ES000069,EMP00100,2024-11-13,Morning
ES000070,EMP00157,2024-12-17,Morning
ES000071,EMP00017,2024-10-05,Morning
ES000072,EMP00068,2024-11-15,Morning
ES000073,EMP00044,2024-11-01,Afternoon
ES000074,EMP00061,2024-11-27,Afternoon
ES000075,EMP00123,2024-08-07,Afternoon
ES000076,EMP00093,2024-12-18,Afternoon
ES000077,EMP00196,2024-10-05,Morning
ES000078,EMP00074,2024-10-05,Evening
ES000079,EMP00153,2024-06-19,Afternoon
ES000080,EMP00067,2025-04-24,Afternoon
ES000081,EMP00111,2025-01-18,Morning
ES000082,EMP00002,2025-05-22,Morning
ES000083,EMP00089,2024-06-23,Morning
ES000084,EMP00177,2025-04-23,Morning
ES000085,EMP00198,2025-03-08,Evening
ES000086,EMP00026,2025-01-05,Evening
ES000087,EMP00200,2024-06-16,Afternoon
ES000088,EMP00099,2024-07-28,Evening
ES000089,EMP00027,2024-08-04,Afternoon
ES000090,EMP00089,2024-12-27,Afternoon
ES000091,EMP00146,2024-10-26,Evening
ES000092,EMP00182,2024-12-09,Afternoon
ES000093,EMP00001,2024-07-13,Morning
ES000094,EMP00189,2024-10-19,Afternoon
ES000095,EMP00103,2025-02-17,Morning
ES000096,EMP00131,2025-03-20,Evening
ES000097,EMP00196,2024-09-20,Evening
ES000098,EMP00041,2024-07-15,Afternoon
ES000099,EMP00165,2025-02-02,Morning
ES000100,EMP00051,2024-11-11,Afternoon
ES000101,EMP00015,2024-11-24,Evening
ES000102,EMP00008,2024-11-02,Afternoon
ES000103,EMP00038,2024-09-04,Afternoon
ES000104,EMP00114,2024-07-08,Morning
ES000105,EMP00083,2024-10-08,Evening
ES000106,EMP00056,2024-06-14,Afternoon
