TimesheetID,EmployeeID,Date,HoursWorked
TS000001,EMP00067,2025-03-26,8.33
TS000002,EMP00104,2025-04-21,9.13
TS000003,EMP00174,2025-01-08,8.98
TS000004,EMP00024,2025-03-16,6.38
TS000005,EMP00114,2025-04-12,8.01
TS000006,EMP00032,2025-01-19,5.23
TS000007,EMP00175,2025-04-17,5.76
TS000008,EMP00086,2024-06-01,9.38
TS000009,EMP00151,2024-10-21,4.08
TS000010,EMP00194,2024-08-19,4.51
TS000011,EMP00127,2024-12-26,5.25
TS000012,EMP00155,2024-08-27,4.16
TS000013,EMP00130,2025-04-20,5.09
TS000014,EMP00017,2025-01-28,7.5
TS000015,EMP00104,2024-07-28,6.53
TS000016,EMP00161,2024-11-02,9.36
TS000017,EMP00137,2024-07-21,8.9
TS000018,EMP00043,2024-06-02,6.05
TS000019,EMP00176,2025-02-07,5.56
TS000020,EMP00039,2024-06-16,6.28
TS000021,EMP00170,2024-09-28,7.54
TS000022,EMP00026,2024-07-20,5.61
TS000023,EMP00099,2024-10-07,7.74
TS000024,EMP00050,2024-07-27,6.46
TS000025,EMP00153,2025-03-16,7.31
TS000026,EMP00152,2024-08-20,6.62
TS000027,EMP00013,2025-01-18,5.77
TS000028,EMP00060,2025-02-17,9.69
TS000029,EMP00135,2025-04-16,8.58
TS000030,EMP00057,2024-12-19,4.84
TS000031,EMP00036,2024-06-14,9.21
TS000032,EMP00173,2024-09-22,6.92
TS000033,EMP00020,2024-06-30,9.37
TS000034,EMP00065,2024-11-09,8.8
TS000035,EMP00008,2025-01-15,6.55
TS000036,EMP00144,2025-03-01,4.13
TS000037,EMP00142,2025-01-01,5.61
TS000038,EMP00115,2024-12-27,7.25
TS000039,EMP00143,2025-02-27,7.8
TS000040,EMP00092,2024-06-28,5.55
TS000041,EMP00098,2025-04-29,4.84
TS000042,EMP00066,2024-10-17,9.01
TS000043,EMP00032,2025-02-04,9.91
TS000044,EMP00191,2024-06-01,7.15
TS000045,EMP00086,2025-05-19,5.03
TS000046,EMP00051,2025-03-13,5.63
TS000047,EMP00153,2025-01-17,4.11
TS000048,EMP00186,2024-09-02,9.49
TS000049,EMP00063,2024-08-25,4.71
TS000050,EMP00190,2024-11-09,7.46
TS000051,EMP00125,2024-08-07,5.64
TS000052,EMP00150,2024-10-27,7.33
TS000053,EMP00058,2024-09-29,7.91
TS000054,EMP00058,2024-06-18,8.98
TS000055,EMP00086,2024-09-06,5.24
TS000056,EMP00049,2025-05-21,4.07
TS000057,EMP00180,2025-01-10,4.82
TS000058,EMP00170,2024-05-27,9.4
TS000059,EMP00070,2025-03-17,9.24
TS000060,EMP00015,2025-01-18,7.58
TS000061,EMP00054,2025-03-21,7.6
TS000062,EMP00188,2024-10-24,7.99
TS000063,EMP00101,2025-02-16,5.05
TS000064,EMP00008,2025-05-25,9.49
TS000065,EMP00053,2024-11-04,6.51
TS000066,EMP00060,2024-12-14,6.3
TS000067,EMP00108,2024-06-26,7.11
TS000068,EMP00005,2024-10-29,4.28
TS000069,EMP00103,2025-03-20,5.0
TS000070,EMP00196,2025-04-02,8.43
TS000071,EMP00006,2025-04-13,4.5
TS000072,EMP00109,2024-07-04,7.62
TS000073,EMP00116,2024-08-09,5.47
TS000074,EMP00094,2025-04-16,6.34
TS000075,EMP00047,2024-05-29,5.73
TS000076,EMP00099,2024-12-12,6.13
TS000077,EMP00055,2025-03-27,8.31
TS000078,EMP00168,2025-05-25,5.78
TS000079,EMP00052,2025-02-20,7.4
TS000080,EMP00144,2025-03-09,6.86
TS000081,EMP00013,2025-03-16,7.98
TS000082,EMP00114,2024-07-08,9.62
TS000083,EMP00124,2024-08-24,8.4
TS000084,EMP00106,2025-05-04,5.29
TS000085,EMP00158,2025-01-03,4.19
TS000086,EMP00147,2024-12-22,5.57
TS000087,EMP00145,2025-02-08,7.57
TS000088,EMP00120,2024-11-22,4.31
TS000089,EMP00063,2025-05-19,6.98
TS000090,EMP00019,2025-04-18,7.58
TS000091,EMP00092,2024-08-05,6.01
TS000092,EMP00058,2024-07-11,8.63
TS000093,EMP00183,2025-03-22,4.64
TS000094,EMP00090,2024-07-30,4.45
TS000095,EMP00117,2024-12-09,8.37
TS000096,EMP00062,2025-01-13,6.97
TS000097,EMP00023,2025-02-06,8.13
TS000098,EMP00127,2024-07-22,6.61
TS000099,EMP00137,2025-01-21,5.48
TS000100,EMP00140,2025-01-01,8.91
TS000101,EMP00129,2024-08-05,8.8
TS000102,EMP00058,2025-02-09,8.17
TS000103,EMP00122,2025-03-07,5.63
TS000104,EMP00001,2024-12-06,7.54
TS000105,EMP00034,2025-04-10,6.17
TS000106,EMP00096,2025-04-15,4.55
TS000107,EMP00126,2025-05-25,9.5
