TransactionID,CustomerID,StoreID,Amount,TransactionDate,Type
FT0000001,CUST00861,STORE053,1331.53,2025-04-14,GiftCard
FT0000002,CUST01295,STORE072,1211.81,2023-12-29,Refund
FT0000003,CUST01131,STORE068,30.2,2024-02-28,Refund
FT0000004,CUST01096,STORE028,97.49,2024-04-14,Sale
FT0000005,CUST01639,STORE075,203.21,2023-10-09,Sale
FT0000006,CUST02170,STORE065,527.82,2024-02-20,GiftCard
FT0000007,CUST00467,STORE049,85.81,2024-01-30,Sale
FT0000008,CUST01239,STORE047,-450.87,2024-03-30,Refund
FT0000009,CUST00331,STORE052,1698.48,2024-04-14,Sale
FT0000010,CUST01483,STORE054,1914.02,2024-02-14,Sale
FT0000011,CUST02136,STORE060,353.93,2024-06-15,Sale
FT0000012,CUST02920,STORE057,346.27,2024-02-07,GiftCard
FT0000013,CUST00131,STORE047,-482.27,2024-04-01,Sale
FT0000014,CUST01686,STORE031,1200.63,2023-06-22,Refund
FT0000015,CUST00770,STORE046,1563.6,2023-11-05,Refund
FT0000016,CUST02392,STORE026,-133.48,2025-01-10,Refund
FT0000017,CUST01516,STORE005,-100.83,2024-07-18,Refund
FT0000018,CUST02854,STORE052,1475.21,2025-01-13,Sale
FT0000019,CUST02434,STORE075,1040.73,2025-03-09,GiftCard
FT0000020,CUST01216,STORE054,-387.85,2023-10-23,Refund
FT0000021,CUST00956,STORE033,1056.37,2023-12-28,Refund
FT0000022,CUST02325,STORE050,272.29,2024-10-26,GiftCard
FT0000023,CUST01185,STORE038,421.81,2024-09-10,GiftCard
FT0000024,CUST00460,STORE027,1424.33,2024-04-06,Refund
FT0000025,CUST00022,STORE015,1527.34,2025-04-20,Refund
FT0000026,CUST02301,STORE061,500.89,2024-01-25,GiftCard
FT0000027,CUST00748,STORE021,1867.88,2024-11-11,Refund
FT0000028,CUST02905,STORE046,516.16,2025-04-23,Refund
FT0000029,CUST00475,STORE069,1429.59,2023-12-02,Sale
FT0000030,CUST01083,STORE006,709.69,2025-02-04,GiftCard
FT0000031,CUST02559,STORE038,1743.83,2023-08-07,Sale
FT0000032,CUST02048,STORE062,1769.4,2023-06-10,Sale
FT0000033,CUST02748,STORE062,-281.46,2023-10-12,GiftCard
FT0000034,CUST00976,STORE078,1841.23,2023-07-27,Sale
FT0000035,CUST01807,STORE074,1563.84,2024-07-11,Refund
FT0000036,CUST00190,STORE046,1478.28,2023-12-02,Sale
FT0000037,CUST02735,STORE013,2.28,2024-03-21,GiftCard
FT0000038,CUST00563,STORE003,1512.8,2023-12-11,Refund
FT0000039,CUST01900,STORE006,1625.33,2023-05-28,Refund
FT0000040,CUST01268,STORE008,222.88,2025-03-11,Refund
FT0000041,CUST02880,STORE044,1880.65,2023-12-05,Refund
FT0000042,CUST01529,STORE033,-375.35,2024-12-11,Sale
FT0000043,CUST00647,STORE075,-125.23,2024-09-20,Sale
FT0000044,CUST02069,STORE077,843.95,2024-08-01,Refund
FT0000045,CUST02889,STORE050,939.48,2023-09-28,GiftCard
FT0000046,CUST02215,STORE011,1112.88,2023-10-22,Refund
FT0000047,CUST01298,STORE028,-457.58,2025-01-25,Sale
FT0000048,CUST02436,STORE070,1900.92,2024-04-24,Refund
FT0000049,CUST00601,STORE041,-388.53,2023-08-31,Sale
FT0000050,CUST02364,STORE016,-142.35,2025-04-21,Refund
FT0000051,CUST02062,STORE068,-464.96,2023-08-26,GiftCard
FT0000052,CUST00242,STORE048,917.15,2024-02-19,Refund
FT0000053,CUST02042,STORE056,1830.67,2024-08-08,GiftCard
FT0000054,CUST02825,STORE064,1164.87,2025-01-02,GiftCard
FT0000055,CUST02613,STORE059,1556.64,2023-09-07,Refund
FT0000056,CUST02946,STORE062,-466.8,2024-03-29,GiftCard
FT0000057,CUST01364,STORE076,855.04,2023-08-07,GiftCard
FT0000058,CUST02140,STORE011,648.91,2025-04-16,Sale
FT0000059,CUST01391,STORE018,747.42,2024-05-28,Sale
FT0000060,CUST01479,STORE019,-319.47,2025-04-17,GiftCard
FT0000061,CUST02557,STORE055,1211.09,2023-10-20,Refund
FT0000062,CUST00776,STORE026,758.05,2023-11-21,GiftCard
FT0000063,CUST00035,STORE006,1412.87,2024-09-21,Refund
FT0000064,CUST02254,STORE004,713.23,2025-01-15,Sale
FT0000065,CUST01956,STORE029,-126.55,2023-12-20,Refund
FT0000066,CUST01586,STORE059,1120.64,2023-08-09,GiftCard
