FraudAlertID,OrderID,CustomerID,AlertDate,Reason
FA000001,ORD017153,CUST00913,2024-06-01,Attorney guess compare kind whose cost.
FA000002,ORD009597,CUST01730,2025-04-29,Five none the ten explain power.
FA000003,ORD019489,CUST00975,2025-03-15,Specific war process wear.
FA000004,ORD004356,CUST01134,2024-11-13,Maintain degree these tonight firm authority.
FA000005,ORD019690,CUST02416,2025-04-25,End American bank huge church.
FA000006,ORD017923,CUST01460,2024-12-28,Recent picture tell color.
FA000007,ORD017716,CUST02966,2025-05-21,No speech standard above.
FA000008,ORD008262,CUST02041,2025-02-19,System realize gas brother write.
FA000009,ORD013766,CUST00244,2025-05-22,Billion already during close paper although.
FA000010,ORD005945,CUST02950,2025-02-04,Spend real lawyer protect.
FA000011,ORD007127,CUST00166,2024-10-17,Program charge happy.
FA000012,ORD016865,CUST01050,2024-10-02,End edge what both contain either.
FA000013,ORD005264,CUST01498,2024-08-22,Single child instead detail south.
FA000014,ORD015301,CUST00728,2024-06-14,Interesting hot large less set.
FA000015,ORD002794,CUST01116,2025-05-01,Economic discussion last partner for show move.
FA000016,ORD002893,CUST00483,2024-08-02,Join story radio you office.
FA000017,ORD001199,CUST02591,2024-08-12,Model public anyone determine accept bit.
FA000018,ORD018757,CUST02979,2024-09-04,Possible put community kind.
FA000019,ORD018277,CUST02448,2024-11-06,Business guy prove out.
FA000020,ORD001884,CUST01231,2025-01-20,Old experience who modern cut red each.
FA000021,ORD000798,CUST02667,2025-02-05,On mission table inside one.
FA000022,ORD008210,CUST02927,2025-04-20,Degree trial tax over.
FA000023,ORD008236,CUST02149,2024-12-07,Near food just thus.
FA000024,ORD016539,CUST00880,2024-05-29,Institution crime sister everybody but.
FA000025,ORD015258,CUST00830,2024-11-13,Activity recent book base cost.
FA000026,ORD008051,CUST02025,2024-06-17,Fight away force four become story either.
FA000027,ORD005948,CUST00759,2024-10-03,Ability right evening own.
FA000028,ORD009618,CUST00163,2024-06-04,Sometimes small think bit different out.
FA000029,ORD001893,CUST01197,2024-07-20,Very raise artist consider.
FA000030,ORD003425,CUST02550,2024-09-07,Main appear shake voice.
FA000031,ORD009451,CUST02595,2024-12-27,Democrat table concern series especially.
FA000032,ORD013419,CUST01308,2024-05-31,On stop kind anyone operation.
FA000033,ORD002016,CUST02429,2024-09-08,Share but send will use interesting.
FA000034,ORD004834,CUST02918,2025-04-09,Scene policy too middle energy charge.
FA000035,ORD009895,CUST02953,2024-10-08,Cultural cut order who issue break.
FA000036,ORD015943,CUST01996,2024-12-20,Technology which yard table.
FA000037,ORD009066,CUST01935,2024-06-30,Such service parent level let.
FA000038,ORD000566,CUST01557,2024-06-14,Throughout past itself my.
FA000039,ORD007413,CUST02657,2025-01-18,Sound Mr left factor send.
FA000040,ORD018403,CUST00307,2025-03-30,Tend watch then tell floor cut morning.
FA000041,ORD010078,CUST01363,2024-05-29,Fall word let democratic himself.
FA000042,ORD010316,CUST02103,2025-03-22,Quickly trade for trade.
FA000043,ORD012835,CUST00333,2025-03-10,Paper view miss record high election camera.
FA000044,ORD002315,CUST02175,2024-08-02,Later artist series who last.
FA000045,ORD004413,CUST02753,2025-03-14,Beat but everything.
FA000046,ORD003884,CUST00243,2024-06-27,Discover high specific north generation.
FA000047,ORD011385,CUST01885,2024-08-23,Of nor themselves up hope since material.
FA000048,ORD010052,CUST02648,2025-05-09,Challenge why its professional her common foot.
FA000049,ORD008217,CUST01433,2024-10-23,Risk lay allow reality customer.
FA000050,ORD011696,CUST02551,2024-07-15,Should us everyone pressure.
FA000051,ORD007903,CUST02652,2025-03-24,Economy suddenly physical tonight agreement.
FA000052,ORD013188,CUST00303,2025-03-25,Tell happy building blue audience.
FA000053,ORD017574,CUST00235,2025-03-31,Despite card state pretty change official laugh.
FA000054,ORD012289,CUST02187,2025-02-21,Surface peace history defense those student total.
FA000055,ORD014211,CUST00195,2024-11-08,Wind total economic evidence similar authority but.
FA000056,ORD006885,CUST01551,2024-08-15,Medical actually may he popular land.
FA000057,ORD019542,CUST01793,2024-08-03,Early new him management standard read marriage free.
FA000058,ORD010560,CUST00647,2025-04-11,Food total law.
FA000059,ORD018126,CUST02049,2025-03-16,Federal as world beyond fight.
FA000060,ORD003689,CUST00561,2024-08-21,Woman difference federal foreign color nature.
FA000061,ORD014115,CUST01120,2025-05-20,Describe almost player assume.
FA000062,ORD005370,CUST00713,2024-07-08,Point executive radio along draw air.
FA000063,ORD011939,CUST00413,2025-03-07,Say dream history positive collection.
FA000064,ORD004024,CUST00538,2024-12-02,Right garden have.
FA000065,ORD015983,CUST01879,2024-10-29,Their morning during yourself relationship and pattern.
FA000066,ORD017101,CUST02477,2024-09-12,These television approach short hundred with.
FA000067,ORD003968,CUST00235,2024-06-16,Final present room partner left hard.
FA000068,ORD007424,CUST02397,2024-10-17,Policy pull or Mrs media century issue.
FA000069,ORD006451,CUST01780,2024-08-04,Civil common person soldier blood where born.
