InventoryID,ProductID,StoreID,Quantity
INV000001,PROD00038,STORE013,96
INV000002,PROD00385,STORE078,15
INV000003,PROD00138,STORE029,13
INV000004,PROD00049,STORE024,98
INV000005,PROD00715,STORE054,83
INV000006,PROD00125,STORE052,25
INV000007,PROD00546,STORE074,2
INV000008,PROD00604,STORE029,16
INV000009,PROD00792,STORE036,17
INV000010,PROD00097,STORE046,60
INV000011,PROD00549,STORE005,54
INV000012,PROD00344,STORE067,50
INV000013,PROD00245,STORE003,92
INV000014,PROD00660,STORE072,89
INV000015,PROD00800,STORE027,2
INV000016,PROD00719,STORE040,81
INV000017,PROD00679,STORE066,54
INV000018,PROD00764,STORE048,95
INV000019,PROD00563,STORE065,40
INV000020,PROD00341,STORE077,86
INV000021,PROD00197,STORE038,45
INV000022,PROD00153,STORE042,87
INV000023,PROD00800,STORE013,21
INV000024,PROD00534,STORE068,45
INV000025,PROD00644,STORE030,18
INV000026,PROD00335,STORE035,7
INV000027,PROD00173,STORE021,88
INV000028,PROD00368,STORE066,61
INV000029,PROD00113,STORE030,98
INV000030,PROD00231,STORE007,44
INV000031,PROD00050,STORE076,74
INV000032,PROD00405,STORE021,91
INV000033,PROD00140,STORE024,39
INV000034,PROD00143,STORE048,92
INV000035,PROD00172,STORE022,40
INV000036,PROD00183,STORE001,30
INV000037,PROD00433,STORE051,81
INV000038,PROD00259,STORE030,2
INV000039,PROD00421,STORE052,7
INV000040,PROD00656,STORE033,6
INV000041,PROD00354,STORE078,7
INV000042,PROD00235,STORE015,29
INV000043,PROD00195,STORE054,65
INV000044,PROD00172,STORE080,83
INV000045,PROD00001,STORE065,94
INV000046,PROD00245,STORE018,25
INV000047,PROD00290,STORE033,96
INV000048,PROD00037,STORE054,89
INV000049,PROD00784,STORE062,59
INV000050,PROD00260,STORE049,86
INV000051,PROD00175,STORE040,92
INV000052,PROD00023,STORE048,73
INV000053,PROD00027,STORE052,7
INV000054,PROD00265,STORE075,40
INV000055,PROD00155,STORE076,6
INV000056,PROD00105,STORE020,90
INV000057,PROD00749,STORE050,70
INV000058,PROD00569,STORE055,76
INV000059,PROD00741,STORE006,51
INV000060,PROD00692,STORE057,97
INV000061,PROD00207,STORE049,75
INV000062,PROD00386,STORE063,14
INV000063,PROD00049,STORE055,36
INV000064,PROD00691,STORE011,55
INV000065,PROD00366,STORE076,62
INV000066,PROD00687,STORE024,50
INV000067,PROD00677,STORE010,44
INV000068,PROD00766,STORE060,13
INV000069,PROD00284,STORE028,5
INV000070,PROD00038,STORE016,45
INV000071,PROD00665,STORE028,17
INV000072,PROD00603,STORE039,3
INV000073,PROD00583,STORE076,12
INV000074,PROD00522,STORE079,4
INV000075,PROD00442,STORE041,38
INV000076,PROD00486,STORE047,58
INV000077,PROD00226,STORE012,51
INV000078,PROD00724,STORE051,67
INV000079,PROD00082,STORE006,37
INV000080,PROD00124,STORE044,52
INV000081,PROD00132,STORE021,32
INV000082,PROD00608,STORE018,73
INV000083,PROD00737,STORE036,4
INV000084,PROD00773,STORE029,35
INV000085,PROD00725,STORE032,39
INV000086,PROD00649,STORE080,93
INV000087,PROD00422,STORE027,78
INV000088,PROD00725,STORE039,4
INV000089,PROD00436,STORE043,10
INV000090,PROD00405,STORE047,98
INV000091,PROD00714,STORE078,83
INV000092,PROD00536,STORE076,38
INV000093,PROD00654,STORE019,3
INV000094,PROD00299,STORE020,43
INV000095,PROD00188,STORE077,45
INV000096,PROD00080,STORE047,56
INV000097,PROD00252,STORE021,89
INV000098,PROD00382,STORE060,44
INV000099,PROD00582,STORE065,58
INV000100,PROD00025,STORE005,78
INV000101,PROD00796,STORE007,57
INV000102,PROD00511,STORE073,3
INV000103,PROD00497,STORE010,41
INV000104,PROD00469,STORE015,79
INV000105,PROD00111,STORE045,67
INV000106,PROD00037,STORE069,12
INV000107,PROD00051,STORE045,28
INV000108,PROD00159,STORE020,42
INV000109,PROD00021,STORE034,99
INV000110,PROD00218,STORE014,60
INV000111,PROD00111,STORE005,57
INV000112,PROD00330,STORE018,98
INV000113,PROD00263,STORE063,81
INV000114,PROD00463,STORE023,43
INV000115,PROD00335,STORE074,96
INV000116,PROD00797,STORE074,57
INV000117,PROD00087,STORE044,19
INV000118,PROD00291,STORE066,14
INV000119,PROD00066,STORE056,34
INV000120,PROD00599,STORE075,16
INV000121,PROD00251,STORE040,98
INV000122,PROD00503,STORE001,66
INV000123,PROD00796,STORE003,81
INV000124,PROD00738,STORE071,30
INV000125,PROD00772,STORE061,78
INV000126,PROD00178,STORE030,10
INV000127,PROD00576,STORE028,29
INV000128,PROD00610,STORE002,31
INV000129,PROD00248,STORE066,18
INV000130,PROD00591,STORE003,37
INV000131,PROD00056,STORE071,25
INV000132,PROD00206,STORE033,44
INV000133,PROD00301,STORE066,53
INV000134,PROD00228,STORE027,41
INV000135,PROD00093,STORE003,21
INV000136,PROD00084,STORE035,23
INV000137,PROD00140,STORE075,15
INV000138,PROD00242,STORE063,30
INV000139,PROD00008,STORE040,9
INV000140,PROD00050,STORE002,79
INV000141,PROD00449,STORE022,16
INV000142,PROD00611,STORE039,11
INV000143,PROD00791,STORE077,54
INV000144,PROD00783,STORE006,2
INV000145,PROD00512,STORE005,45
INV000146,PROD00569,STORE049,0
INV000147,PROD00040,STORE020,10
INV000148,PROD00603,STORE057,49
INV000149,PROD00309,STORE056,96
INV000150,PROD00424,STORE007,60
INV000151,PROD00704,STORE022,71
INV000152,PROD00201,STORE002,98
INV000153,PROD00022,STORE018,98
INV000154,PROD00039,STORE038,72
INV000155,PROD00260,STORE073,64
INV000156,PROD00116,STORE018,28
INV000157,PROD00131,STORE056,96
INV000158,PROD00313,STORE056,27
INV000159,PROD00765,STORE014,38
INV000160,PROD00584,STORE040,82
INV000161,PROD00026,STORE055,71
INV000162,PROD00615,STORE066,91
INV000163,PROD00774,STORE021,27
INV000164,PROD00305,STORE026,18
INV000165,PROD00456,STORE039,21
INV000166,PROD00351,STORE023,89
INV000167,PROD00195,STORE062,39
INV000168,PROD00050,STORE027,28
INV000169,PROD00647,STORE040,50
INV000170,PROD00389,STORE037,37
INV000171,PROD00657,STORE078,58
INV000172,PROD00056,STORE071,35
INV000173,PROD00119,STORE016,98
INV000174,PROD00495,STORE078,80
INV000175,PROD00171,STORE054,90
INV000176,PROD00673,STORE035,33
INV000177,PROD00130,STORE079,67
INV000178,PROD00358,STORE057,61
INV000179,PROD00526,STORE050,6
INV000180,PROD00384,STORE050,6
INV000181,PROD00187,STORE044,21
INV000182,PROD00178,STORE014,88
INV000183,PROD00333,STORE009,30
INV000184,PROD00435,STORE014,48
INV000185,PROD00516,STORE060,99
INV000186,PROD00511,STORE001,47
INV000187,PROD00650,STORE025,6
INV000188,PROD00045,STORE005,5
INV000189,PROD00388,STORE030,73
INV000190,PROD00271,STORE017,3
INV000191,PROD00499,STORE005,18
INV000192,PROD00482,STORE054,14
INV000193,PROD00311,STORE004,58
INV000194,PROD00347,STORE004,96
INV000195,PROD00796,STORE033,38
INV000196,PROD00732,STORE042,75
INV000197,PROD00675,STORE026,45
INV000198,PROD00183,STORE057,46
INV000199,PROD00379,STORE060,58
INV000200,PROD00470,STORE024,21
INV000201,PROD00576,STORE005,57
INV000202,PROD00703,STORE014,39
INV000203,PROD00756,STORE048,36
INV000204,PROD00145,STORE077,73
INV000205,PROD00537,STORE079,63
INV000206,PROD00044,STORE034,46
INV000207,PROD00043,STORE062,41
INV000208,PROD00800,STORE016,45
INV000209,PROD00456,STORE075,73
INV000210,PROD00007,STORE004,69
INV000211,PROD00142,STORE043,85
INV000212,PROD00091,STORE051,89
INV000213,PROD00042,STORE071,28
INV000214,PROD00354,STORE018,71
INV000215,PROD00425,STORE024,57
