InventoryAuditID,StoreID,ProductID,AuditDate,Quantity
IAU000001,STORE061,PROD00341,2025-01-18,184
IAU000002,STORE070,PROD00057,2024-09-01,97
IAU000003,STORE079,PROD00218,2024-07-28,119
IAU000004,STORE080,PROD00619,2024-09-06,36
IAU000005,STORE024,PROD00685,2025-02-08,47
IAU000006,STORE023,PROD00731,2025-04-11,198
IAU000007,STORE010,PROD00464,2024-12-20,0
IAU000008,STORE054,PROD00247,2024-08-19,59
IAU000009,STORE041,PROD00730,2025-04-19,139
IAU000010,STORE049,PROD00373,2025-04-11,148
IAU000011,STORE017,PROD00417,2025-03-09,138
IAU000012,STORE056,PROD00031,2025-04-18,43
IAU000013,STORE045,PROD00368,2025-05-04,114
IAU000014,STORE030,PROD00559,2025-02-22,185
IAU000015,STORE044,PROD00646,2025-05-04,107
IAU000016,STORE074,PROD00108,2024-10-29,43
IAU000017,STORE055,PROD00584,2024-10-29,77
IAU000018,STORE019,PROD00418,2025-03-02,161
IAU000019,STORE029,PROD00620,2024-08-10,24
IAU000020,STORE002,PROD00398,2025-01-29,131
IAU000021,STORE036,PROD00272,2024-08-18,191
IAU000022,STORE019,PROD00683,2024-06-14,115
IAU000023,STORE007,PROD00116,2024-07-04,118
IAU000024,STORE026,PROD00586,2025-03-11,143
IAU000025,STORE079,PROD00256,2024-11-10,9
IAU000026,STORE038,PROD00081,2025-01-13,108
IAU000027,STORE003,PROD00780,2024-11-25,193
IAU000028,STORE080,PROD00128,2025-02-01,34
IAU000029,STORE066,PROD00235,2024-08-31,133
IAU000030,STORE071,PROD00553,2025-03-21,18
IAU000031,STORE043,PROD00181,2024-11-10,186
IAU000032,STORE062,PROD00157,2025-01-01,180
IAU000033,STORE071,PROD00454,2025-04-21,7
IAU000034,STORE024,PROD00571,2025-04-08,9
IAU000035,STORE039,PROD00761,2025-05-17,194
IAU000036,STORE068,PROD00704,2024-07-19,165
IAU000037,STORE044,PROD00024,2025-02-13,28
IAU000038,STORE005,PROD00473,2024-08-06,14
IAU000039,STORE055,PROD00400,2024-07-08,86
IAU000040,STORE030,PROD00592,2025-02-22,22
IAU000041,STORE029,PROD00134,2024-10-14,45
IAU000042,STORE026,PROD00421,2024-12-29,27
IAU000043,STORE026,PROD00213,2024-11-01,25
IAU000044,STORE037,PROD00482,2025-04-14,9
IAU000045,STORE053,PROD00348,2024-09-03,174
IAU000046,STORE030,PROD00166,2024-08-02,3
IAU000047,STORE003,PROD00348,2024-12-21,54
IAU000048,STORE043,PROD00398,2024-11-22,65
IAU000049,STORE007,PROD00583,2025-05-15,66
IAU000050,STORE049,PROD00726,2025-02-25,134
IAU000051,STORE073,PROD00435,2024-12-09,54
IAU000052,STORE041,PROD00577,2024-11-19,30
IAU000053,STORE077,PROD00221,2025-02-15,73
IAU000054,STORE079,PROD00308,2024-06-10,18
IAU000055,STORE054,PROD00798,2024-05-27,155
IAU000056,STORE069,PROD00697,2024-08-05,80
IAU000057,STORE027,PROD00719,2025-03-31,155
IAU000058,STORE008,PROD00466,2024-11-17,146
IAU000059,STORE032,PROD00099,2025-04-15,86
IAU000060,STORE064,PROD00242,2025-05-22,19
IAU000061,STORE010,PROD00158,2025-03-25,12
IAU000062,STORE013,PROD00610,2024-12-21,76
IAU000063,STORE063,PROD00554,2024-09-10,42
IAU000064,STORE035,PROD00651,2024-07-21,138
IAU000065,STORE061,PROD00795,2025-03-30,175
IAU000066,STORE054,PROD00227,2024-09-18,142
IAU000067,STORE008,PROD00423,2025-01-28,144
IAU000068,STORE029,PROD00072,2025-04-10,181
IAU000069,STORE041,PROD00243,2024-06-10,49
IAU000070,STORE030,PROD00530,2024-11-23,27
IAU000071,STORE021,PROD00589,2025-05-02,3
IAU000072,STORE076,PROD00045,2025-04-08,21
IAU000073,STORE011,PROD00472,2024-12-15,118
IAU000074,STORE002,PROD00371,2025-01-28,100
IAU000075,STORE050,PROD00652,2025-04-30,38
IAU000076,STORE041,PROD00689,2025-01-05,33
IAU000077,STORE066,PROD00734,2024-12-25,96
IAU000078,STORE003,PROD00092,2025-02-27,43
IAU000079,STORE080,PROD00022,2024-07-23,169
IAU000080,STORE051,PROD00172,2024-10-08,39
IAU000081,STORE068,PROD00604,2024-06-14,96
IAU000082,STORE025,PROD00192,2025-04-04,139
IAU000083,STORE030,PROD00077,2024-07-10,129
IAU000084,STORE011,PROD00281,2025-03-15,155
IAU000085,STORE017,PROD00364,2024-05-26,73
IAU000086,STORE026,PROD00179,2024-11-20,85
IAU000087,STORE023,PROD00238,2024-11-30,89
IAU000088,STORE056,PROD00135,2025-01-15,66
IAU000089,STORE052,PROD00280,2024-05-30,198
IAU000090,STORE048,PROD00019,2024-11-21,199
IAU000091,STORE020,PROD00595,2024-10-15,75
IAU000092,STORE002,PROD00740,2024-10-04,91
IAU000093,STORE031,PROD00371,2024-10-15,9
IAU000094,STORE027,PROD00777,2024-07-23,85
IAU000095,STORE002,PROD00112,2025-03-20,101
IAU000096,STORE078,PROD00763,2025-04-01,184
IAU000097,STORE004,PROD00676,2025-02-07,107
IAU000098,STORE013,PROD00680,2025-03-14,164
IAU000099,STORE035,PROD00221,2024-12-22,90
IAU000100,STORE072,PROD00304,2024-11-03,191
IAU000101,STORE066,PROD00703,2025-03-03,78
IAU000102,STORE006,PROD00325,2024-06-09,85
IAU000103,STORE031,PROD00437,2024-07-24,106
IAU000104,STORE010,PROD00438,2024-09-19,167
IAU000105,STORE021,PROD00170,2025-02-26,100
IAU000106,STORE074,PROD00375,2024-08-08,107
IAU000107,STORE023,PROD00557,2024-07-01,59
IAU000108,STORE003,PROD00381,2024-07-27,47
IAU000109,STORE032,PROD00014,2025-02-27,116
IAU000110,STORE020,PROD00743,2024-12-04,105
IAU000111,STORE074,PROD00669,2025-04-28,146
IAU000112,STORE029,PROD00500,2025-04-24,199
IAU000113,STORE052,PROD00646,2024-12-14,32
IAU000114,STORE046,PROD00391,2025-04-28,43
IAU000115,STORE034,PROD00549,2024-12-17,164
IAU000116,STORE061,PROD00565,2024-07-26,111
IAU000117,STORE072,PROD00530,2025-04-11,88
IAU000118,STORE071,PROD00492,2024-09-08,35
IAU000119,STORE070,PROD00550,2024-10-06,80
IAU000120,STORE011,PROD00699,2024-08-21,87
IAU000121,STORE063,PROD00385,2025-01-26,148
IAU000122,STORE021,PROD00196,2025-01-11,129
IAU000123,STORE003,PROD00755,2025-02-16,30
IAU000124,STORE010,PROD00300,2025-04-09,107
IAU000125,STORE027,PROD00547,2024-09-22,29
IAU000126,STORE012,PROD00727,2024-08-10,171
IAU000127,STORE007,PROD00731,2025-03-01,11
IAU000128,STORE017,PROD00602,2025-03-23,50
IAU000129,STORE065,PROD00308,2024-06-05,120
IAU000130,STORE064,PROD00252,2024-08-31,176
IAU000131,STORE026,PROD00008,2025-03-14,151
IAU000132,STORE015,PROD00768,2024-09-26,151
IAU000133,STORE033,PROD00208,2025-02-24,187
IAU000134,STORE062,PROD00131,2024-08-17,138
IAU000135,STORE047,PROD00736,2024-07-30,12
IAU000136,STORE035,PROD00709,2024-08-25,90
IAU000137,STORE065,PROD00654,2025-03-24,199
IAU000138,STORE072,PROD00764,2024-07-04,73
IAU000139,STORE076,PROD00608,2024-07-14,199
IAU000140,STORE025,PROD00026,2024-09-25,191
IAU000141,STORE057,PROD00623,2025-05-17,19
IAU000142,STORE032,PROD00454,2024-11-10,71
IAU000143,STORE063,PROD00635,2025-02-02,72
IAU000144,STORE012,PROD00186,2025-02-24,70
IAU000145,STORE063,PROD00484,2025-04-03,77
IAU000146,STORE077,PROD00680,2024-07-20,27
IAU000147,STORE001,PROD00051,2024-08-19,129
IAU000148,STORE051,PROD00005,2025-02-23,120
IAU000149,STORE070,PROD00589,2024-07-04,42
IAU000150,STORE008,PROD00160,2024-09-11,7
IAU000151,STORE068,PROD00208,2025-01-06,12
IAU000152,STORE005,PROD00257,2025-02-21,110
IAU000153,STORE039,PROD00205,2024-11-02,34
IAU000154,STORE023,PROD00767,2025-01-07,22
IAU000155,STORE068,PROD00011,2024-09-08,45
IAU000156,STORE052,PROD00008,2025-03-13,14
IAU000157,STORE004,PROD00409,2024-06-17,129
IAU000158,STORE047,PROD00032,2024-07-16,60
IAU000159,STORE021,PROD00540,2025-03-31,114
IAU000160,STORE056,PROD00718,2024-11-27,63
IAU000161,STORE066,PROD00387,2025-05-13,51
IAU000162,STORE059,PROD00228,2024-09-17,163
IAU000163,STORE007,PROD00640,2025-01-15,194
IAU000164,STORE049,PROD00767,2024-10-28,68
IAU000165,STORE016,PROD00475,2025-03-15,66
IAU000166,STORE017,PROD00724,2024-08-23,174
IAU000167,STORE075,PROD00751,2024-11-06,82
IAU000168,STORE034,PROD00207,2025-05-10,1
IAU000169,STORE033,PROD00318,2024-09-13,171
IAU000170,STORE026,PROD00795,2024-09-30,191
IAU000171,STORE066,PROD00757,2025-02-21,77
IAU000172,STORE063,PROD00557,2025-02-23,27
IAU000173,STORE041,PROD00617,2025-04-24,53
IAU000174,STORE058,PROD00348,2024-09-23,66
IAU000175,STORE079,PROD00793,2025-02-16,163
IAU000176,STORE010,PROD00234,2025-01-15,101
IAU000177,STORE015,PROD00701,2024-07-20,119
IAU000178,STORE042,PROD00044,2024-11-09,190
IAU000179,STORE057,PROD00737,2025-02-20,152
IAU000180,STORE017,PROD00142,2025-01-18,47
IAU000181,STORE060,PROD00648,2025-04-09,166
IAU000182,STORE009,PROD00176,2024-08-08,46
IAU000183,STORE036,PROD00654,2024-05-26,20
IAU000184,STORE073,PROD00449,2024-06-14,157
IAU000185,STORE080,PROD00592,2024-09-15,91
IAU000186,STORE036,PROD00082,2024-12-17,158
IAU000187,STORE048,PROD00135,2025-03-14,120
IAU000188,STORE051,PROD00719,2024-12-23,115
IAU000189,STORE070,PROD00177,2025-01-04,153
IAU000190,STORE074,PROD00383,2024-09-02,149
IAU000191,STORE080,PROD00243,2024-10-05,148
IAU000192,STORE068,PROD00567,2025-01-13,0
IAU000193,STORE022,PROD00141,2024-09-28,164
IAU000194,STORE077,PROD00457,2025-04-08,76
IAU000195,STORE080,PROD00440,2025-04-27,84
IAU000196,STORE006,PROD00056,2025-04-05,45
IAU000197,STORE026,PROD00527,2024-08-23,136
IAU000198,STORE075,PROD00697,2024-10-08,144
IAU000199,STORE003,PROD00419,2025-03-19,46
IAU000200,STORE052,PROD00088,2025-05-07,58
IAU000201,STORE074,PROD00609,2024-11-19,53
IAU000202,STORE060,PROD00656,2025-05-08,85
IAU000203,STORE063,PROD00008,2024-07-17,11
IAU000204,STORE065,PROD00477,2024-06-19,191
IAU000205,STORE052,PROD00215,2024-12-12,5
IAU000206,STORE076,PROD00685,2025-04-23,52
IAU000207,STORE014,PROD00735,2025-05-11,143
IAU000208,STORE072,PROD00552,2024-12-21,89
IAU000209,STORE068,PROD00497,2024-10-25,4
IAU000210,STORE028,PROD00694,2025-01-24,72
IAU000211,STORE071,PROD00503,2025-04-03,173
IAU000212,STORE010,PROD00782,2024-08-23,13
IAU000213,STORE057,PROD00699,2024-10-07,171
IAU000214,STORE066,PROD00245,2025-01-07,190
IAU000215,STORE050,PROD00478,2025-01-01,105
IAU000216,STORE014,PROD00309,2024-08-31,51
IAU000217,STORE016,PROD00231,2025-01-15,115
IAU000218,STORE054,PROD00383,2025-03-07,25
IAU000219,STORE043,PROD00155,2024-07-01,52
IAU000220,STORE042,PROD00175,2025-04-16,108
IAU000221,STORE022,PROD00115,2024-12-23,28
IAU000222,STORE068,PROD00390,2025-05-13,18
IAU000223,STORE019,PROD00311,2024-06-24,46
IAU000224,STORE066,PROD00300,2025-05-18,135
IAU000225,STORE039,PROD00018,2025-01-31,22
IAU000226,STORE073,PROD00784,2024-10-05,116
IAU000227,STORE019,PROD00012,2024-07-31,105
IAU000228,STORE016,PROD00404,2025-04-28,162
IAU000229,STORE054,PROD00704,2025-04-20,52
IAU000230,STORE025,PROD00232,2025-03-26,95
IAU000231,STORE018,PROD00605,2025-04-01,185
IAU000232,STORE023,PROD00730,2025-05-25,4
IAU000233,STORE011,PROD00278,2024-11-07,15
IAU000234,STORE039,PROD00353,2024-11-07,16
IAU000235,STORE068,PROD00303,2025-05-20,159
IAU000236,STORE025,PROD00541,2024-10-01,101
IAU000237,STORE063,PROD00470,2025-01-06,179
IAU000238,STORE030,PROD00077,2024-09-26,19
IAU000239,STORE045,PROD00521,2025-03-29,111
IAU000240,STORE061,PROD00024,2025-04-26,119
IAU000241,STORE051,PROD00015,2024-07-22,193
IAU000242,STORE009,PROD00676,2024-07-20,110
IAU000243,STORE076,PROD00525,2024-10-07,0
IAU000244,STORE002,PROD00347,2025-02-01,57
IAU000245,STORE005,PROD00172,2025-05-21,92
IAU000246,STORE062,PROD00327,2024-08-10,171
IAU000247,STORE069,PROD00712,2024-10-02,5
IAU000248,STORE052,PROD00485,2025-04-21,107
IAU000249,STORE005,PROD00489,2024-09-12,102
IAU000250,STORE059,PROD00462,2024-06-03,49
IAU000251,STORE068,PROD00378,2025-01-17,117
IAU000252,STORE009,PROD00588,2024-07-27,109
IAU000253,STORE022,PROD00164,2024-09-11,199
IAU000254,STORE027,PROD00372,2024-07-22,87
IAU000255,STORE010,PROD00573,2024-10-24,19
IAU000256,STORE080,PROD00424,2024-11-08,13
IAU000257,STORE061,PROD00757,2025-01-16,132
IAU000258,STORE051,PROD00477,2024-07-06,168
IAU000259,STORE010,PROD00382,2025-03-22,39
IAU000260,STORE006,PROD00155,2024-06-26,33
IAU000261,STORE062,PROD00257,2025-03-21,123
IAU000262,STORE005,PROD00756,2024-12-05,44
IAU000263,STORE070,PROD00674,2024-08-07,198
IAU000264,STORE063,PROD00068,2024-06-30,79
IAU000265,STORE056,PROD00344,2025-01-07,70
IAU000266,STORE059,PROD00277,2025-04-16,154
IAU000267,STORE063,PROD00673,2025-05-17,77
IAU000268,STORE059,PROD00391,2025-03-08,77
IAU000269,STORE051,PROD00449,2024-12-01,171
IAU000270,STORE050,PROD00259,2025-05-06,32
