CostingID,StoreID,ProductID,EffectiveDate,Cost
IC000001,STORE001,PROD00425,2025-03-09,126.94
IC000002,STORE041,PROD00080,2025-03-29,15.81
IC000003,STORE031,PROD00695,2023-09-03,260.97
IC000004,STORE036,PROD00354,2025-04-11,395.41
IC000005,STORE073,PROD00619,2023-09-17,253.98
IC000006,STORE054,PROD00666,2025-01-03,145.07
IC000007,STORE031,PROD00293,2023-09-25,267.5
IC000008,STORE029,PROD00717,2023-10-12,229.03
IC000009,STORE003,PROD00116,2024-10-10,338.86
IC000010,STORE058,PROD00529,2025-02-03,249.13
IC000011,STORE061,PROD00480,2024-01-09,254.0
IC000012,STORE006,PROD00288,2024-03-09,89.44
IC000013,STORE020,PROD00668,2025-03-17,166.84
IC000014,STORE061,PROD00477,2024-09-14,138.42
IC000015,STORE046,PROD00025,2024-02-19,5.56
IC000016,STORE013,PROD00431,2025-01-21,126.0
IC000017,STORE023,PROD00278,2024-09-24,194.94
IC000018,STORE079,PROD00317,2023-06-12,240.34
IC000019,STORE031,PROD00638,2024-05-27,373.89
IC000020,STORE004,PROD00358,2024-11-10,96.41
IC000021,STORE075,PROD00276,2024-11-15,61.82
IC000022,STORE066,PROD00690,2024-04-16,347.91
IC000023,STORE016,PROD00344,2024-11-26,376.8
IC000024,STORE031,PROD00431,2024-06-05,195.69
IC000025,STORE048,PROD00559,2024-11-15,46.97
IC000026,STORE043,PROD00712,2023-07-07,194.67
IC000027,STORE004,PROD00563,2024-12-29,44.67
IC000028,STORE062,PROD00439,2024-09-13,353.39
IC000029,STORE048,PROD00462,2023-07-08,283.55
IC000030,STORE028,PROD00270,2024-02-14,97.21
IC000031,STORE016,PROD00709,2023-12-10,354.79
IC000032,STORE077,PROD00431,2025-04-15,255.52
IC000033,STORE069,PROD00021,2023-08-21,381.35
IC000034,STORE030,PROD00143,2024-08-09,392.21
IC000035,STORE065,PROD00760,2024-02-05,2.31
IC000036,STORE069,PROD00353,2023-09-22,48.97
IC000037,STORE014,PROD00465,2023-09-11,219.22
IC000038,STORE075,PROD00468,2024-04-09,382.39
IC000039,STORE034,PROD00513,2024-11-30,397.7
IC000040,STORE056,PROD00464,2024-02-20,227.4
IC000041,STORE029,PROD00394,2023-12-28,70.35
IC000042,STORE079,PROD00786,2024-07-21,66.06
IC000043,STORE025,PROD00753,2023-11-21,305.78
IC000044,STORE066,PROD00058,2024-06-01,237.18
IC000045,STORE040,PROD00126,2023-12-10,219.96
IC000046,STORE015,PROD00461,2024-12-12,186.84
IC000047,STORE032,PROD00052,2024-10-04,290.33
IC000048,STORE020,PROD00735,2023-12-27,343.36
IC000049,STORE053,PROD00269,2024-09-27,121.88
IC000050,STORE078,PROD00096,2024-05-29,89.15
IC000051,STORE067,PROD00273,2024-10-13,268.41
IC000052,STORE049,PROD00323,2023-05-31,365.98
IC000053,STORE067,PROD00573,2023-08-21,139.91
IC000054,STORE077,PROD00693,2024-06-17,109.71
IC000055,STORE001,PROD00133,2024-06-16,91.22
IC000056,STORE039,PROD00089,2023-10-13,102.54
IC000057,STORE061,PROD00685,2025-04-18,54.84
IC000058,STORE055,PROD00005,2024-06-21,239.11
IC000059,STORE069,PROD00357,2025-03-30,113.05
IC000060,STORE002,PROD00343,2024-04-13,246.36
IC000061,STORE017,PROD00204,2024-12-02,34.13
IC000062,STORE029,PROD00674,2024-09-30,47.07
IC000063,STORE004,PROD00573,2025-05-18,214.92
IC000064,STORE073,PROD00471,2025-04-28,205.1
IC000065,STORE064,PROD00464,2023-06-09,109.33
IC000066,STORE043,PROD00497,2024-04-29,331.03
IC000067,STORE076,PROD00702,2024-07-24,75.63
IC000068,STORE012,PROD00063,2023-07-03,144.9
IC000069,STORE050,PROD00556,2024-09-12,222.65
IC000070,STORE068,PROD00239,2023-08-09,347.02
IC000071,STORE061,PROD00540,2023-08-05,168.0
IC000072,STORE073,PROD00198,2025-02-25,160.04
IC000073,STORE051,PROD00781,2023-08-30,232.24
IC000074,STORE077,PROD00683,2024-05-07,127.36
IC000075,STORE078,PROD00030,2023-11-13,283.96
IC000076,STORE005,PROD00666,2023-07-13,100.23
IC000077,STORE028,PROD00209,2024-05-22,329.46
IC000078,STORE010,PROD00063,2023-10-08,109.67
IC000079,STORE052,PROD00057,2023-12-05,397.09
IC000080,STORE080,PROD00720,2023-10-15,127.27
IC000081,STORE017,PROD00433,2023-10-07,351.65
IC000082,STORE065,PROD00308,2024-08-31,159.55
IC000083,STORE021,PROD00575,2024-05-16,99.18
IC000084,STORE054,PROD00760,2024-07-02,91.24
IC000085,STORE049,PROD00466,2024-03-26,340.23
IC000086,STORE022,PROD00653,2025-03-13,124.19
IC000087,STORE069,PROD00605,2024-04-23,136.09
IC000088,STORE064,PROD00107,2025-05-07,79.6
IC000089,STORE036,PROD00600,2024-04-13,384.57
IC000090,STORE021,PROD00301,2024-08-19,98.65
IC000091,STORE056,PROD00620,2024-06-21,99.73
IC000092,STORE073,PROD00046,2023-08-26,377.62
IC000093,STORE048,PROD00077,2024-11-20,360.46
IC000094,STORE076,PROD00729,2023-07-02,100.32
IC000095,STORE018,PROD00169,2025-03-07,346.03
IC000096,STORE015,PROD00129,2024-06-24,100.68
IC000097,STORE044,PROD00713,2025-05-13,34.7
IC000098,STORE045,PROD00708,2024-08-03,328.32
IC000099,STORE036,PROD00268,2025-02-10,308.85
IC000100,STORE040,PROD00600,2024-11-04,118.57
IC000101,STORE051,PROD00765,2025-04-11,36.97
IC000102,STORE030,PROD00750,2025-02-26,83.37
IC000103,STORE026,PROD00585,2023-10-01,308.65
IC000104,STORE031,PROD00419,2025-03-09,385.93
IC000105,STORE056,PROD00161,2025-03-03,104.34
IC000106,STORE061,PROD00058,2024-04-09,327.49
IC000107,STORE017,PROD00384,2023-10-03,91.95
IC000108,STORE024,PROD00510,2024-08-20,272.16
IC000109,STORE004,PROD00430,2024-01-01,34.36
IC000110,STORE009,PROD00340,2025-02-17,234.53
IC000111,STORE002,PROD00578,2024-05-23,108.41
IC000112,STORE035,PROD00026,2025-05-24,370.41
IC000113,STORE038,PROD00589,2025-04-15,116.61
IC000114,STORE045,PROD00798,2024-04-07,159.98
IC000115,STORE015,PROD00372,2024-11-26,336.43
IC000116,STORE042,PROD00036,2023-11-02,175.87
IC000117,STORE003,PROD00531,2023-08-01,96.13
IC000118,STORE031,PROD00790,2023-12-07,219.47
IC000119,STORE052,PROD00267,2024-03-21,336.16
IC000120,STORE041,PROD00794,2023-09-18,173.84
IC000121,STORE057,PROD00432,2024-06-02,54.02
IC000122,STORE042,PROD00019,2024-05-04,153.85
IC000123,STORE053,PROD00339,2025-04-21,381.84
IC000124,STORE056,PROD00140,2023-07-05,29.74
IC000125,STORE076,PROD00067,2025-04-05,163.97
IC000126,STORE072,PROD00530,2023-09-30,259.56
IC000127,STORE053,PROD00369,2025-01-22,32.33
IC000128,STORE032,PROD00261,2023-09-28,138.64
IC000129,STORE054,PROD00624,2024-02-02,376.29
IC000130,STORE037,PROD00627,2024-10-18,13.22
IC000131,STORE008,PROD00678,2024-07-22,300.95
IC000132,STORE011,PROD00579,2024-12-17,336.71
IC000133,STORE054,PROD00767,2023-06-11,111.55
IC000134,STORE060,PROD00582,2023-10-29,86.67
IC000135,STORE010,PROD00203,2023-07-01,366.01
IC000136,STORE070,PROD00639,2023-09-04,305.84
IC000137,STORE042,PROD00410,2025-03-09,46.24
IC000138,STORE037,PROD00080,2023-06-18,85.67
IC000139,STORE080,PROD00688,2024-07-02,248.92
IC000140,STORE076,PROD00113,2024-06-21,168.35
IC000141,STORE058,PROD00623,2024-02-05,202.17
IC000142,STORE059,PROD00137,2024-11-20,380.67
IC000143,STORE024,PROD00645,2024-03-31,168.67
IC000144,STORE028,PROD00189,2024-03-29,352.79
IC000145,STORE037,PROD00277,2024-10-25,264.64
IC000146,STORE021,PROD00737,2024-11-07,49.53
IC000147,STORE033,PROD00103,2025-03-05,298.06
IC000148,STORE002,PROD00107,2023-08-05,208.56
IC000149,STORE028,PROD00575,2024-02-23,90.81
IC000150,STORE015,PROD00757,2025-01-21,116.53
IC000151,STORE001,PROD00173,2025-02-11,223.38
IC000152,STORE028,PROD00331,2024-08-28,241.08
IC000153,STORE050,PROD00722,2024-09-26,387.3
IC000154,STORE035,PROD00191,2024-11-27,342.03
IC000155,STORE028,PROD00670,2024-08-15,83.13
