CampaignID,ChannelID,StartDate,EndDate,Budget
MC00001,CHAN007,2023-12-01,2024-06-12,7566.46
MC00002,CHAN020,2023-06-15,2024-11-29,6738.02
MC00003,CHAN015,2024-04-02,2024-12-23,8984.91
MC00004,CHAN011,2024-04-16,2024-08-09,5249.93
MC00005,CHAN008,2024-04-07,2025-02-06,2076.35
MC00006,CHAN007,2024-04-18,2024-06-18,7419.2
MC00007,CHAN019,2024-01-17,2025-05-20,7847.07
MC00008,CHAN011,2024-04-11,2025-04-13,6051.49
MC00009,CHAN011,2024-01-30,2025-02-18,7938.7
MC00010,CHAN004,2023-10-24,2025-04-14,5444.16
MC00011,CHAN008,2023-07-11,2024-07-07,5704.6
MC00012,CHAN003,2023-09-23,2024-07-30,4847.87
MC00013,CHAN002,2023-09-26,2024-11-13,1228.77
MC00014,CHAN012,2023-12-06,2025-03-10,1971.02
MC00015,CHAN006,2023-08-14,2025-01-29,1282.86
MC00016,CHAN002,2023-08-09,2024-10-05,6727.69
MC00017,CHAN001,2023-11-26,2025-03-30,3829.2
MC00018,CHAN012,2024-01-28,2025-01-01,5577.14
MC00019,CHAN012,2023-11-15,2025-01-30,9168.1
MC00020,CHAN017,2023-06-10,2025-03-14,3243.63
MC00021,CHAN010,2023-08-02,2025-05-01,4693.45
MC00022,CHAN016,2023-06-17,2024-09-13,7799.96
MC00023,CHAN015,2023-09-02,2024-07-12,3059.18
MC00024,CHAN015,2023-12-22,2024-10-25,1692.82
MC00025,CHAN019,2024-01-08,2024-10-14,3607.76
MC00026,CHAN012,2023-08-17,2025-04-17,2450.99
MC00027,CHAN020,2023-10-05,2025-02-17,9367.28
MC00028,CHAN003,2023-11-22,2024-10-24,8273.08
MC00029,CHAN005,2024-02-05,2025-02-14,6700.63
MC00030,CHAN019,2024-03-09,2024-07-14,8843.15
MC00031,CHAN007,2023-07-25,2024-12-03,8233.05
MC00032,CHAN009,2024-04-29,2025-05-10,2679.13
MC00033,CHAN007,2023-06-11,2024-08-27,9033.03
MC00034,CHAN018,2023-09-14,2024-07-16,5854.08
MC00035,CHAN004,2023-07-02,2025-01-23,8266.96
MC00036,CHAN014,2023-11-12,2024-09-26,9064.82
MC00037,CHAN018,2023-11-08,2024-09-01,3862.03
MC00038,CHAN009,2023-06-01,2024-09-14,1990.47
MC00039,CHAN002,2024-01-05,2024-06-05,3051.42
MC00040,CHAN020,2023-06-09,2024-06-03,4843.97
MC00041,CHAN015,2023-10-02,2025-05-10,8362.13
MC00042,CHAN007,2024-05-01,2024-07-07,8746.58
MC00043,CHAN012,2023-11-08,2025-02-01,1062.57
MC00044,CHAN008,2024-04-29,2024-11-28,5596.73
MC00045,CHAN015,2024-01-18,2025-05-23,4756.7
MC00046,CHAN003,2023-07-07,2024-09-12,2998.97
MC00047,CHAN014,2023-08-17,2024-08-08,2078.79
MC00048,CHAN017,2024-01-06,2024-10-25,4038.54
MC00049,CHAN004,2023-12-27,2025-04-21,9486.19
MC00050,CHAN018,2024-04-28,2024-07-11,3908.83
MC00051,CHAN008,2023-07-26,2025-02-26,5669.12
MC00052,CHAN004,2023-07-16,2024-07-29,7327.17
MC00053,CHAN002,2023-06-16,2025-01-24,4272.67
MC00054,CHAN006,2023-10-14,2025-04-13,9746.04
MC00055,CHAN010,2024-05-06,2025-05-13,9662.03
MC00056,CHAN004,2023-07-20,2024-12-11,3266.04
MC00057,CHAN018,2023-10-15,2025-02-07,5475.24
MC00058,CHAN012,2023-05-30,2024-08-30,3707.9
MC00059,CHAN002,2024-04-10,2025-01-26,3563.56
MC00060,CHAN010,2023-11-26,2024-09-23,1331.98
MC00061,CHAN004,2023-10-18,2024-11-15,6486.08
MC00062,CHAN014,2023-07-24,2024-06-07,5524.11
MC00063,CHAN016,2023-08-23,2024-10-02,1463.31
MC00064,CHAN015,2024-01-12,2024-07-06,3507.82
MC00065,CHAN008,2024-04-11,2024-10-26,9174.39
MC00066,CHAN014,2023-10-06,2025-03-12,3156.06
MC00067,CHAN008,2024-01-06,2025-02-28,2304.05
MC00068,CHAN016,2023-08-30,2025-04-06,5405.07
MC00069,CHAN013,2024-02-29,2024-07-30,9870.85
MC00070,CHAN018,2024-01-11,2025-04-11,3178.5
MC00071,CHAN015,2024-01-16,2025-01-10,7049.22
MC00072,CHAN013,2024-04-26,2024-09-13,7854.58
MC00073,CHAN009,2023-10-15,2024-08-25,3138.74
MC00074,CHAN015,2024-01-05,2025-01-19,7553.95
MC00075,CHAN013,2023-07-25,2024-10-12,4310.05
MC00076,CHAN001,2023-12-17,2024-10-11,6690.75
MC00077,CHAN007,2023-12-14,2024-06-02,6701.77
MC00078,CHAN009,2023-07-03,2025-01-04,5821.97
MC00079,CHAN001,2023-12-11,2024-11-07,1812.61
MC00080,CHAN012,2024-02-28,2025-03-21,8517.72
MC00081,CHAN008,2023-06-01,2025-03-26,3887.02
MC00082,CHAN011,2024-01-21,2024-10-30,2678.67
MC00083,CHAN019,2023-06-28,2025-02-11,1366.98
MC00084,CHAN017,2023-07-31,2024-11-21,6318.04
MC00085,CHAN008,2024-02-28,2024-11-09,7098.08
MC00086,CHAN003,2024-03-11,2025-05-09,1149.29
MC00087,CHAN003,2023-06-01,2024-11-18,5608.84
MC00088,CHAN001,2023-11-17,2024-08-18,3038.46
MC00089,CHAN005,2024-01-04,2024-06-07,6806.56
MC00090,CHAN010,2024-01-02,2024-08-12,2569.3
MC00091,CHAN007,2023-07-09,2024-11-11,7218.44
MC00092,CHAN009,2024-01-08,2025-05-17,4480.62
MC00093,CHAN007,2024-01-31,2024-11-10,9430.57
MC00094,CHAN009,2023-12-15,2024-05-27,2237.69
MC00095,CHAN008,2023-08-08,2024-07-09,4069.6
MC00096,CHAN012,2023-08-08,2025-03-19,2021.26
MC00097,CHAN002,2023-12-02,2024-08-04,9322.24
MC00098,CHAN001,2023-06-21,2025-01-28,8896.05
MC00099,CHAN016,2024-02-24,2024-07-13,3321.47
MC00100,CHAN005,2023-10-15,2025-01-30,6939.86
