OnlineOrderID,CustomerID,ProductID,ChannelID,StoreID,OrderDate
ORD000001,CUST00010,PROD00713,CHAN011,STORE061,2024-02-02
ORD000002,CUST02774,PROD00523,CHAN011,STORE036,2023-08-17
ORD000003,CUST02553,PROD00766,CHAN003,STORE009,2024-06-16
ORD000004,CUST02833,PROD00508,CHAN008,STORE044,2024-04-23
ORD000005,CUST01584,PROD00662,CHAN008,STORE075,2025-02-20
ORD000006,CUST02484,PROD00354,CHAN003,STORE053,2024-09-21
ORD000007,CUST01135,PROD00395,CHAN010,STORE030,2023-08-19
ORD000008,CUST00153,PROD00096,CHAN019,STORE066,2024-07-13
ORD000009,CUST01659,PROD00106,CHAN014,STORE038,2024-09-10
ORD000010,CUST02965,PROD00655,CHAN018,STORE038,2024-09-05
ORD000011,CUST02917,PROD00678,CHAN003,STORE033,2025-04-21
ORD000012,CUST02801,PROD00513,CHAN020,STORE071,2024-08-29
ORD000013,CUST01857,PROD00558,CHAN014,STORE055,2025-05-08
ORD000014,CUST01215,PROD00242,CHAN011,STORE076,2025-04-13
ORD000015,CUST01753,PROD00488,CHAN010,STORE023,2024-12-17
ORD000016,CUST02611,PROD00790,CHAN014,STORE070,2025-03-11
ORD000017,CUST01105,PROD00515,CHAN001,STORE014,2024-08-21
ORD000018,CUST02537,PROD00654,CHAN016,STORE049,2023-12-17
ORD000019,CUST00895,PROD00061,CHAN006,STORE045,2023-06-12
ORD000020,CUST01112,PROD00416,CHAN018,STORE077,2023-05-29
ORD000021,CUST00104,PROD00294,CHAN016,STORE027,2023-08-30
ORD000022,CUST01915,PROD00737,CHAN019,STORE075,2023-12-09
ORD000023,CUST01007,PROD00302,CHAN016,STORE067,2023-11-03
ORD000024,CUST00407,PROD00170,CHAN005,STORE049,2024-10-18
ORD000025,CUST01402,PROD00646,CHAN012,STORE002,2024-06-19
ORD000026,CUST00167,PROD00041,CHAN006,STORE060,2024-07-05
ORD000027,CUST00509,PROD00231,CHAN002,STORE066,2023-06-21
ORD000028,CUST01662,PROD00409,CHAN016,STORE059,2025-03-31
ORD000029,CUST02361,PROD00738,CHAN011,STORE060,2023-10-22
ORD000030,CUST00763,PROD00651,CHAN012,STORE022,2024-04-05
ORD000031,CUST00681,PROD00622,CHAN011,STORE046,2024-07-04
ORD000032,CUST02525,PROD00297,CHAN020,STORE053,2024-09-22
ORD000033,CUST02121,PROD00455,CHAN019,STORE019,2025-04-04
ORD000034,CUST01165,PROD00057,CHAN008,STORE049,2023-10-05
ORD000035,CUST00582,PROD00635,CHAN018,STORE080,2025-03-10
ORD000036,CUST00262,PROD00240,CHAN005,STORE017,2025-05-20
ORD000037,CUST01364,PROD00598,CHAN012,STORE027,2024-02-15
ORD000038,CUST01332,PROD00176,CHAN010,STORE019,2023-08-05
ORD000039,CUST02293,PROD00063,CHAN015,STORE030,2025-04-12
ORD000040,CUST01539,PROD00551,CHAN005,STORE078,2024-09-30
ORD000041,CUST00561,PROD00138,CHAN017,STORE046,2023-08-04
ORD000042,CUST01100,PROD00454,CHAN004,STORE064,2024-08-01
ORD000043,CUST01904,PROD00753,CHAN012,STORE032,2023-07-14
ORD000044,CUST00175,PROD00449,CHAN018,STORE053,2024-03-20
ORD000045,CUST02157,PROD00226,CHAN008,STORE023,2025-04-05
ORD000046,CUST02231,PROD00443,CHAN020,STORE036,2025-02-19
ORD000047,CUST00192,PROD00206,CHAN017,STORE010,2024-09-14
ORD000048,CUST00065,PROD00676,CHAN008,STORE059,2025-02-27
ORD000049,CUST01498,PROD00027,CHAN013,STORE029,2024-11-08
ORD000050,CUST01568,PROD00457,CHAN003,STORE011,2024-05-07
ORD000051,CUST02912,PROD00695,CHAN003,STORE038,2023-07-26
ORD000052,CUST01152,PROD00710,CHAN007,STORE079,2024-02-22
ORD000053,CUST01938,PROD00107,CHAN018,STORE032,2025-03-24
ORD000054,CUST00369,PROD00444,CHAN007,STORE052,2023-11-07
ORD000055,CUST00851,PROD00701,CHAN002,STORE001,2024-06-10
ORD000056,CUST00043,PROD00036,CHAN007,STORE014,2024-10-07
ORD000057,CUST01908,PROD00597,CHAN002,STORE003,2025-01-25
ORD000058,CUST02536,PROD00155,CHAN007,STORE030,2023-08-23
ORD000059,CUST00078,PROD00169,CHAN014,STORE031,2023-06-12
ORD000060,CUST02874,PROD00796,CHAN015,STORE001,2023-06-16
ORD000061,CUST01825,PROD00272,CHAN016,STORE046,2024-12-14
ORD000062,CUST01294,PROD00547,CHAN008,STORE014,2023-10-09
ORD000063,CUST00674,PROD00420,CHAN016,STORE036,2024-01-21
ORD000064,CUST00701,PROD00184,CHAN007,STORE046,2024-03-20
ORD000065,CUST00759,PROD00611,CHAN011,STORE055,2025-04-06
ORD000066,CUST01924,PROD00237,CHAN004,STORE036,2024-02-27
ORD000067,CUST02776,PROD00509,CHAN018,STORE043,2024-12-24
ORD000068,CUST02973,PROD00441,CHAN013,STORE043,2025-02-17
ORD000069,CUST00902,PROD00122,CHAN017,STORE015,2023-10-08
ORD000070,CUST02937,PROD00417,CHAN012,STORE038,2024-03-07
ORD000071,CUST00993,PROD00535,CHAN018,STORE044,2024-01-12
ORD000072,CUST01192,PROD00375,CHAN010,STORE055,2025-05-04
ORD000073,CUST02387,PROD00575,CHAN007,STORE055,2024-01-15
ORD000074,CUST02241,PROD00326,CHAN012,STORE078,2024-04-28
ORD000075,CUST01477,PROD00480,CHAN012,STORE058,2023-07-02
ORD000076,CUST02331,PROD00150,CHAN013,STORE057,2024-03-28
ORD000077,CUST00390,PROD00707,CHAN001,STORE056,2025-02-03
ORD000078,CUST01000,PROD00592,CHAN007,STORE002,2024-01-13
ORD000079,CUST00525,PROD00490,CHAN016,STORE034,2024-08-10
ORD000080,CUST01856,PROD00153,CHAN016,STORE049,2024-06-27
ORD000081,CUST01507,PROD00017,CHAN016,STORE064,2024-10-31
ORD000082,CUST00659,PROD00551,CHAN016,STORE008,2024-05-21
ORD000083,CUST02764,PROD00348,CHAN014,STORE069,2025-03-09
ORD000084,CUST00891,PROD00459,CHAN011,STORE058,2024-11-16
ORD000085,CUST01482,PROD00202,CHAN019,STORE043,2025-05-12
ORD000086,CUST00452,PROD00423,CHAN011,STORE062,2024-09-05
ORD000087,CUST02476,PROD00280,CHAN002,STORE052,2024-05-14
ORD000088,CUST01538,PROD00422,CHAN007,STORE033,2023-09-06
ORD000089,CUST00883,PROD00600,CHAN009,STORE020,2025-03-13
ORD000090,CUST00313,PROD00465,CHAN009,STORE080,2025-01-22
ORD000091,CUST00840,PROD00355,CHAN014,STORE059,2023-07-27
ORD000092,CUST02567,PROD00582,CHAN010,STORE060,2024-11-22
ORD000093,CUST00375,PROD00378,CHAN016,STORE063,2023-08-01
ORD000094,CUST00451,PROD00124,CHAN018,STORE056,2024-04-06
ORD000095,CUST00595,PROD00080,CHAN001,STORE037,2024-02-29
ORD000096,CUST01234,PROD00557,CHAN002,STORE060,2024-02-09
ORD000097,CUST00500,PROD00233,CHAN020,STORE051,2024-02-28
ORD000098,CUST00464,PROD00480,CHAN004,STORE029,2024-03-26
ORD000099,CUST00113,PROD00154,CHAN002,STORE009,2023-07-28
ORD000100,CUST01036,PROD00692,CHAN004,STORE040,2024-10-16
ORD000101,CUST02379,PROD00409,CHAN006,STORE068,2025-04-03
ORD000102,CUST01925,PROD00031,CHAN004,STORE043,2024-05-17
ORD000103,CUST00140,PROD00597,CHAN018,STORE076,2025-01-28
ORD000104,CUST01425,PROD00557,CHAN005,STORE023,2024-09-22
ORD000105,CUST02950,PROD00503,CHAN011,STORE008,2024-04-16
ORD000106,CUST00517,PROD00371,CHAN013,STORE074,2025-02-22
ORD000107,CUST02617,PROD00323,CHAN003,STORE064,2025-03-25
ORD000108,CUST01948,PROD00332,CHAN019,STORE023,2025-02-15
ORD000109,CUST02894,PROD00243,CHAN020,STORE056,2024-04-02
ORD000110,CUST02166,PROD00552,CHAN011,STORE014,2023-08-11
ORD000111,CUST00888,PROD00430,CHAN011,STORE080,2024-04-19
ORD000112,CUST01342,PROD00182,CHAN002,STORE017,2025-01-02
ORD000113,CUST00050,PROD00473,CHAN015,STORE020,2024-01-11
ORD000114,CUST00019,PROD00376,CHAN008,STORE012,2025-03-19
ORD000115,CUST00726,PROD00081,CHAN002,STORE073,2024-06-28
ORD000116,CUST02245,PROD00550,CHAN008,STORE072,2025-05-14
ORD000117,CUST01474,PROD00420,CHAN020,STORE041,2023-12-31
ORD000118,CUST02607,PROD00467,CHAN015,STORE032,2023-08-06
ORD000119,CUST00452,PROD00428,CHAN016,STORE037,2023-08-24
ORD000120,CUST02337,PROD00057,CHAN013,STORE018,2024-10-25
ORD000121,CUST01165,PROD00322,CHAN017,STORE029,2024-09-13
ORD000122,CUST01108,PROD00542,CHAN014,STORE007,2024-10-25
ORD000123,CUST02439,PROD00495,CHAN014,STORE040,2024-01-16
ORD000124,CUST00215,PROD00266,CHAN001,STORE006,2024-08-06
ORD000125,CUST01550,PROD00227,CHAN001,STORE020,2023-11-10
ORD000126,CUST02263,PROD00054,CHAN003,STORE055,2024-04-19
ORD000127,CUST00128,PROD00609,CHAN015,STORE056,2024-07-10
ORD000128,CUST01846,PROD00004,CHAN005,STORE073,2023-10-22
ORD000129,CUST00760,PROD00439,CHAN005,STORE053,2024-03-28
ORD000130,CUST02452,PROD00310,CHAN004,STORE073,2024-01-01
ORD000131,CUST01816,PROD00603,CHAN014,STORE072,2025-05-07
ORD000132,CUST02386,PROD00089,CHAN020,STORE033,2024-07-15
ORD000133,CUST02879,PROD00320,CHAN007,STORE022,2024-10-15
ORD000134,CUST02762,PROD00375,CHAN015,STORE050,2025-03-25
ORD000135,CUST00361,PROD00604,CHAN011,STORE027,2025-01-21
ORD000136,CUST00569,PROD00501,CHAN014,STORE048,2024-01-05
ORD000137,CUST01416,PROD00662,CHAN006,STORE066,2024-10-29
ORD000138,CUST02266,PROD00234,CHAN010,STORE013,2023-09-24
ORD000139,CUST01598,PROD00337,CHAN007,STORE002,2024-02-23
ORD000140,CUST01693,PROD00571,CHAN010,STORE046,2024-09-23
ORD000141,CUST00202,PROD00185,CHAN014,STORE071,2024-03-26
ORD000142,CUST02065,PROD00438,CHAN005,STORE011,2025-03-24
ORD000143,CUST02370,PROD00556,CHAN001,STORE026,2024-09-23
ORD000144,CUST00518,PROD00180,CHAN019,STORE063,2023-11-17
ORD000145,CUST01349,PROD00076,CHAN008,STORE049,2025-05-25
ORD000146,CUST01436,PROD00656,CHAN019,STORE063,2025-01-18
ORD000147,CUST01342,PROD00613,CHAN017,STORE021,2024-07-09
ORD000148,CUST00681,PROD00272,CHAN019,STORE049,2023-07-17
ORD000149,CUST01989,PROD00055,CHAN016,STORE079,2025-03-22
