OrderLineID,OrderID,ProductID,Quantity,UnitPrice
OL0000001,ORD012998,PROD00772,2,364.74
OL0000002,ORD003148,PROD00227,2,261.03
OL0000003,ORD008395,PROD00145,4,278.27
OL0000004,ORD008425,PROD00291,4,386.54
OL0000005,ORD013308,PROD00042,4,49.46
OL0000006,ORD012959,PROD00229,4,327.22
OL0000007,ORD013427,PROD00700,4,20.31
OL0000008,ORD013058,PROD00432,3,327.13
OL0000009,ORD018157,PROD00576,4,267.71
OL0000010,ORD000096,PROD00145,4,293.71
OL0000011,ORD012928,PROD00354,4,382.43
OL0000012,ORD010213,PROD00753,2,107.62
OL0000013,ORD014685,PROD00200,4,298.93
OL0000014,ORD015999,PROD00065,1,474.81
OL0000015,ORD007878,PROD00128,2,267.35
OL0000016,ORD014699,PROD00564,3,429.28
OL0000017,ORD001944,PROD00232,1,293.71
OL0000018,ORD002093,PROD00425,4,350.39
OL0000019,ORD005499,PROD00242,1,87.73
OL0000020,ORD018269,PROD00194,2,293.72
OL0000021,ORD005002,PROD00244,2,487.31
OL0000022,ORD008868,PROD00712,4,380.74
OL0000023,ORD001634,PROD00598,4,113.16
OL0000024,ORD009523,PROD00184,3,220.58
OL0000025,ORD011168,PROD00795,2,241.74
OL0000026,ORD014752,PROD00018,3,289.52
OL0000027,ORD001267,PROD00319,1,137.0
OL0000028,ORD013967,PROD00080,3,418.56
OL0000029,ORD000137,PROD00406,4,409.26
OL0000030,ORD009124,PROD00769,4,258.89
OL0000031,ORD001942,PROD00224,2,234.27
OL0000032,ORD006925,PROD00430,4,441.72
OL0000033,ORD008361,PROD00539,4,268.58
OL0000034,ORD014956,PROD00684,2,481.34
OL0000035,ORD007552,PROD00083,4,108.39
OL0000036,ORD008748,PROD00033,4,248.25
OL0000037,ORD006617,PROD00125,1,51.37
OL0000038,ORD011038,PROD00694,4,17.45
OL0000039,ORD017650,PROD00153,2,78.25
OL0000040,ORD010067,PROD00006,4,428.33
OL0000041,ORD001532,PROD00432,1,224.84
OL0000042,ORD005819,PROD00767,3,173.19
OL0000043,ORD000244,PROD00252,3,198.97
OL0000044,ORD018653,PROD00093,3,433.86
OL0000045,ORD016419,PROD00060,2,415.73
OL0000046,ORD009383,PROD00446,2,107.51
OL0000047,ORD005454,PROD00527,2,430.18
OL0000048,ORD010972,PROD00460,2,389.58
OL0000049,ORD013377,PROD00294,4,143.77
OL0000050,ORD013141,PROD00399,4,18.62
OL0000051,ORD009174,PROD00159,4,441.72
OL0000052,ORD017803,PROD00114,4,484.96
OL0000053,ORD000009,PROD00705,3,470.52
OL0000054,ORD005002,PROD00404,3,265.51
OL0000055,ORD019638,PROD00413,2,17.13
OL0000056,ORD019499,PROD00457,3,333.19
OL0000057,ORD003704,PROD00656,2,468.48
OL0000058,ORD015666,PROD00464,2,298.54
OL0000059,ORD000113,PROD00695,3,474.79
OL0000060,ORD001343,PROD00275,3,465.43
OL0000061,ORD001457,PROD00562,4,173.5
OL0000062,ORD000766,PROD00546,1,72.22
OL0000063,ORD013792,PROD00704,1,494.57
OL0000064,ORD015775,PROD00615,3,275.75
OL0000065,ORD011400,PROD00152,4,292.21
OL0000066,ORD012800,PROD00369,1,42.81
OL0000067,ORD000680,PROD00800,1,20.24
OL0000068,ORD007100,PROD00633,3,239.77
OL0000069,ORD014003,PROD00141,3,99.67
OL0000070,ORD014213,PROD00087,2,487.42
OL0000071,ORD007934,PROD00508,3,209.32
OL0000072,ORD005037,PROD00268,2,229.7
OL0000073,ORD002095,PROD00574,3,155.08
OL0000074,ORD007310,PROD00536,3,124.73
OL0000075,ORD014105,PROD00280,4,143.77
OL0000076,ORD009301,PROD00734,4,12.02
OL0000077,ORD018863,PROD00209,2,419.94
OL0000078,ORD002141,PROD00527,3,191.61
OL0000079,ORD019886,PROD00178,2,21.15
OL0000080,ORD011693,PROD00600,1,203.65
OL0000081,ORD008351,PROD00352,1,322.72
OL0000082,ORD005684,PROD00195,1,356.14
OL0000083,ORD009087,PROD00509,4,21.16
OL0000084,ORD014313,PROD00372,4,285.75
OL0000085,ORD004253,PROD00685,4,80.03
OL0000086,ORD003505,PROD00020,4,158.49
OL0000087,ORD007361,PROD00277,2,432.13
OL0000088,ORD011872,PROD00396,2,305.04
OL0000089,ORD000257,PROD00760,3,317.88
OL0000090,ORD001860,PROD00100,3,239.77
OL0000091,ORD018431,PROD00364,3,380.99
OL0000092,ORD010708,PROD00597,2,138.13
OL0000093,ORD019131,PROD00595,3,448.38
OL0000094,ORD007400,PROD00403,4,380.83
OL0000095,ORD002814,PROD00357,3,297.48
OL0000096,ORD008613,PROD00258,3,60.91
OL0000097,ORD004474,PROD00421,2,228.05
OL0000098,ORD013560,PROD00266,3,227.67
OL0000099,ORD012110,PROD00288,1,304.85
OL0000100,ORD007926,PROD00256,4,453.94
OL0000101,ORD012800,PROD00465,2,207.11
OL0000102,ORD019074,PROD00414,1,34.44
OL0000103,ORD001045,PROD00270,3,136.75
OL0000104,ORD004893,PROD00005,4,440.35
OL0000105,ORD008169,PROD00333,1,275.7
OL0000106,ORD008676,PROD00314,3,476.74
OL0000107,ORD014476,PROD00464,4,124.73
OL0000108,ORD011577,PROD00653,4,438.38
OL0000109,ORD010760,PROD00507,1,433.86
OL0000110,ORD017589,PROD00349,1,114.01
OL0000111,ORD016086,PROD00658,4,386.54
OL0000112,ORD016372,PROD00103,1,322.11
OL0000113,ORD012492,PROD00453,4,173.5
OL0000114,ORD013589,PROD00176,1,173.48
OL0000115,ORD008755,PROD00590,4,394.44
OL0000116,ORD007047,PROD00003,2,460.1
OL0000117,ORD003044,PROD00582,2,86.12
OL0000118,ORD011252,PROD00109,3,145.86
OL0000119,ORD011830,PROD00127,3,303.05
OL0000120,ORD018236,PROD00785,4,291.74
OL0000121,ORD009772,PROD00051,4,460.1
OL0000122,ORD017741,PROD00569,3,188.18
OL0000123,ORD007913,PROD00555,1,465.79
OL0000124,ORD011173,PROD00042,2,111.24
OL0000125,ORD004027,PROD00029,2,88.7
OL0000126,ORD017428,PROD00501,3,86.59
OL0000127,ORD017072,PROD00086,4,333.02
OL0000128,ORD005450,PROD00361,3,301.41
OL0000129,ORD009103,PROD00226,2,361.23
OL0000130,ORD008396,PROD00695,3,413.89
OL0000131,ORD005304,PROD00198,3,200.39
OL0000132,ORD019502,PROD00683,3,427.02
OL0000133,ORD013357,PROD00681,3,221.55
OL0000134,ORD018986,PROD00731,2,362.96
OL0000135,ORD011710,PROD00433,2,428.33
OL0000136,ORD002056,PROD00334,4,392.28
OL0000137,ORD000014,PROD00084,2,9.99
OL0000138,ORD014565,PROD00155,4,110.91
OL0000139,ORD017178,PROD00387,1,160.46
OL0000140,ORD002150,PROD00081,2,146.03
OL0000141,ORD012789,PROD00196,3,35.01
OL0000142,ORD013609,PROD00461,4,427.8
OL0000143,ORD005149,PROD00182,2,427.84
OL0000144,ORD006847,PROD00640,3,293.71
OL0000145,ORD001805,PROD00233,4,439.24
OL0000146,ORD012642,PROD00067,4,405.55
OL0000147,ORD018413,PROD00345,2,440.23
OL0000148,ORD013786,PROD00362,4,358.94
OL0000149,ORD000760,PROD00620,2,110.91
OL0000150,ORD003861,PROD00059,3,474.31
OL0000151,ORD014860,PROD00385,1,313.15
OL0000152,ORD018026,PROD00270,1,409.28
OL0000153,ORD018197,PROD00226,1,411.61
OL0000154,ORD018201,PROD00382,1,69.37
OL0000155,ORD012964,PROD00552,2,151.14
OL0000156,ORD018210,PROD00451,2,275.7
OL0000157,ORD003186,PROD00777,3,325.62
OL0000158,ORD000562,PROD00409,2,225.4
OL0000159,ORD000238,PROD00704,2,183.39
OL0000160,ORD005979,PROD00316,4,258.28
OL0000161,ORD011326,PROD00545,1,356.5
OL0000162,ORD013439,PROD00261,2,438.38
OL0000163,ORD015069,PROD00716,2,474.81
OL0000164,ORD002208,PROD00103,1,428.33
OL0000165,ORD005558,PROD00673,2,265.98
OL0000166,ORD011665,PROD00272,4,437.74
OL0000167,ORD019034,PROD00771,2,160.46
OL0000168,ORD004714,PROD00773,1,187.03
OL0000169,ORD005579,PROD00232,3,342.43
OL0000170,ORD008263,PROD00120,3,226.5
OL0000171,ORD005616,PROD00531,2,391.77
OL0000172,ORD007846,PROD00395,4,370.1
OL0000173,ORD017620,PROD00469,4,424.4
OL0000174,ORD000463,PROD00457,2,464.98
OL0000175,ORD012998,PROD00619,1,23.8
OL0000176,ORD006391,PROD00018,4,160.04
