ReturnID,OrderID,RefundIssued,ReturnDate
RET000001,ORD017240,1,2024-02-25
RET000002,ORD000238,0,2024-10-09
RET000003,ORD012345,1,2023-08-14
RET000004,ORD016059,0,2024-06-25
RET000005,ORD002794,0,2024-05-18
RET000006,ORD016896,0,2023-10-11
RET000007,ORD008038,1,2024-07-05
RET000008,ORD010959,0,2023-09-30
RET000009,ORD000490,0,2025-04-18
RET000010,ORD004870,0,2024-09-23
RET000011,ORD001984,1,2024-08-16
RET000012,ORD008364,1,2024-11-23
RET000013,ORD015344,1,2023-11-19
RET000014,ORD001251,1,2025-05-05
RET000015,ORD017288,1,2024-08-01
RET000016,ORD004345,0,2024-08-18
RET000017,ORD010711,1,2025-01-27
RET000018,ORD017804,0,2024-02-03
RET000019,ORD004749,1,2023-10-20
RET000020,ORD000323,1,2023-06-17
RET000021,ORD008411,1,2024-12-27
RET000022,ORD006423,1,2024-03-15
RET000023,ORD016803,0,2023-11-24
RET000024,ORD005980,1,2023-10-03
RET000025,ORD002007,1,2023-12-10
RET000026,ORD015266,1,2023-08-31
RET000027,ORD002357,1,2023-07-13
RET000028,ORD002944,0,2023-11-20
RET000029,ORD005355,1,2023-10-27
RET000030,ORD010340,1,2025-01-27
RET000031,ORD018393,1,2024-06-19
RET000032,ORD019317,0,2024-06-26
RET000033,ORD007500,1,2023-09-26
RET000034,ORD014649,0,2024-06-18
RET000035,ORD019532,0,2023-10-30
RET000036,ORD012242,1,2025-02-19
RET000037,ORD012824,0,2023-12-31
RET000038,ORD008036,0,2025-05-14
RET000039,ORD019416,0,2024-02-14
RET000040,ORD014808,1,2025-03-26
RET000041,ORD018146,0,2023-08-08
RET000042,ORD009436,1,2025-05-10
RET000043,ORD003230,1,2025-02-06
RET000044,ORD005738,0,2025-03-21
RET000045,ORD014102,1,2024-03-02
RET000046,ORD015730,0,2023-06-05
RET000047,ORD003276,0,2025-01-29
RET000048,ORD006648,0,2024-02-09
RET000049,ORD010940,1,2023-06-22
RET000050,ORD007901,0,2024-07-12
RET000051,ORD002504,1,2025-03-14
RET000052,ORD012635,0,2024-01-17
RET000053,ORD006083,1,2024-06-21
RET000054,ORD016753,0,2025-02-05
RET000055,ORD012994,0,2024-12-19
RET000056,ORD012066,1,2024-03-11
RET000057,ORD002534,1,2024-08-29
RET000058,ORD016750,0,2023-08-16
RET000059,ORD016802,1,2024-08-13
RET000060,ORD007381,0,2024-02-20
RET000061,ORD000691,0,2024-02-26
RET000062,ORD013030,0,2024-04-14
RET000063,ORD018001,1,2024-07-28
RET000064,ORD002035,1,2023-12-15
RET000065,ORD015261,1,2024-09-27
RET000066,ORD013405,0,2024-11-06
RET000067,ORD019705,0,2023-10-21
RET000068,ORD002075,0,2023-08-24
RET000069,ORD006168,1,2024-03-22
RET000070,ORD001565,0,2023-07-26
RET000071,ORD006677,0,2024-10-30
RET000072,ORD007355,1,2023-07-21
RET000073,ORD012029,0,2023-09-13
RET000074,ORD014629,0,2024-07-17
RET000075,ORD015516,1,2023-12-21
RET000076,ORD015585,1,2025-04-08
RET000077,ORD007750,0,2024-11-28
RET000078,ORD019830,1,2024-08-04
RET000079,ORD010058,1,2025-02-05
RET000080,ORD010466,1,2024-07-21
RET000081,ORD000217,1,2024-02-02
RET000082,ORD008825,0,2025-01-28
RET000083,ORD017367,0,2024-02-25
RET000084,ORD001642,0,2024-01-09
RET000085,ORD016721,0,2024-04-25
RET000086,ORD015787,1,2024-02-05
RET000087,ORD007428,0,2025-02-16
RET000088,ORD019792,1,2023-12-13
RET000089,ORD014364,1,2024-11-16
RET000090,ORD013904,0,2023-10-24
RET000091,ORD014417,0,2023-11-06
RET000092,ORD008123,0,2024-03-01
RET000093,ORD000111,1,2023-06-01
RET000094,ORD003449,0,2024-11-03
RET000095,ORD017156,1,2024-05-14
RET000096,ORD003587,0,2024-06-17
RET000097,ORD006151,0,2025-05-17
RET000098,ORD016774,0,2024-11-30
RET000099,ORD011469,0,2024-02-02
RET000100,ORD009346,1,2023-10-28
RET000101,ORD007223,0,2024-05-28
RET000102,ORD010669,1,2024-01-15
RET000103,ORD013662,0,2023-07-19
RET000104,ORD003091,1,2025-01-17
RET000105,ORD015408,0,2024-04-05
RET000106,ORD008859,1,2024-04-16
RET000107,ORD009085,1,2024-11-06
RET000108,ORD002768,0,2024-06-17
RET000109,ORD010031,1,2024-02-18
RET000110,ORD019730,0,2024-05-09
RET000111,ORD008785,1,2023-05-26
RET000112,ORD008004,0,2025-01-09
RET000113,ORD003659,1,2023-10-22
RET000114,ORD008532,0,2024-09-23
RET000115,ORD001731,0,2023-09-25
RET000116,ORD015157,0,2024-01-12
RET000117,ORD000952,0,2025-01-23
RET000118,ORD008514,1,2023-11-07
RET000119,ORD015384,0,2023-12-26
RET000120,ORD002138,0,2024-08-08
RET000121,ORD001368,1,2023-07-11
RET000122,ORD002136,1,2025-05-06
RET000123,ORD014685,0,2023-08-25
RET000124,ORD019914,1,2025-04-05
RET000125,ORD000787,1,2023-10-24
RET000126,ORD001617,1,2024-08-17
RET000127,ORD010487,1,2024-06-15
RET000128,ORD014818,0,2024-03-28
RET000129,ORD001726,1,2024-12-04
RET000130,ORD014992,1,2024-05-26
RET000131,ORD015507,0,2025-01-12
RET000132,ORD013768,0,2024-03-12
RET000133,ORD013572,1,2025-05-14
RET000134,ORD005699,0,2024-10-25
RET000135,ORD007837,1,2024-04-19
RET000136,ORD005796,0,2023-10-24
RET000137,ORD016870,0,2023-08-26
RET000138,ORD014825,1,2024-09-02
RET000139,ORD018741,0,2024-08-12
RET000140,ORD011359,1,2025-04-27
RET000141,ORD001621,1,2023-06-30
RET000142,ORD014593,0,2025-04-01
RET000143,ORD018201,0,2023-11-01
RET000144,ORD007052,1,2024-12-28
RET000145,ORD003001,0,2023-06-13
RET000146,ORD006434,0,2024-04-21
RET000147,ORD000160,1,2024-03-23
RET000148,ORD004760,1,2024-03-06
RET000149,ORD015036,1,2025-05-15
RET000150,ORD016735,1,2023-12-12
RET000151,ORD004510,1,2024-10-04
RET000152,ORD006113,1,2024-08-14
RET000153,ORD011828,0,2025-03-18
RET000154,ORD002281,0,2024-01-25
RET000155,ORD005045,1,2024-12-28
RET000156,ORD001652,0,2024-10-25
RET000157,ORD000289,1,2023-08-28
RET000158,ORD017552,1,2024-11-22
RET000159,ORD003144,1,2023-11-26
RET000160,ORD002290,1,2024-11-06
RET000161,ORD016952,1,2024-11-01
RET000162,ORD003278,0,2024-06-10
RET000163,ORD007059,1,2024-01-09
RET000164,ORD005833,0,2024-10-07
RET000165,ORD003065,1,2025-01-15
RET000166,ORD012371,0,2024-07-01
RET000167,ORD013388,0,2023-07-04
RET000168,ORD016717,0,2024-11-13
RET000169,ORD005505,1,2025-02-26
RET000170,ORD018000,1,2023-07-02
RET000171,ORD011256,1,2024-08-20
RET000172,ORD008527,1,2023-11-29
RET000173,ORD003348,1,2024-09-08
RET000174,ORD001755,1,2024-06-25
RET000175,ORD014465,0,2024-03-05
RET000176,ORD008364,0,2024-12-18
RET000177,ORD011488,1,2023-06-07
RET000178,ORD006719,0,2025-03-04
RET000179,ORD016699,1,2024-05-11
RET000180,ORD004987,0,2024-07-16
RET000181,ORD017471,0,2024-06-16
RET000182,ORD001461,1,2023-08-02
RET000183,ORD011112,0,2024-05-24
RET000184,ORD013063,1,2024-04-24
RET000185,ORD009049,1,2025-02-23
RET000186,ORD004307,0,2024-07-19
RET000187,ORD016961,0,2024-01-07
RET000188,ORD004557,0,2024-12-22
RET000189,ORD006895,1,2023-06-25
RET000190,ORD005534,0,2025-04-09
RET000191,ORD018159,0,2025-03-21
RET000192,ORD001882,1,2025-01-13
RET000193,ORD019776,1,2024-08-26
RET000194,ORD017117,0,2024-07-21
RET000195,ORD012292,0,2024-08-16
RET000196,ORD017587,1,2024-12-15
RET000197,ORD003421,1,2025-05-02
RET000198,ORD001577,1,2024-09-07
RET000199,ORD014302,1,2024-11-04
RET000200,ORD007930,1,2024-05-31
RET000201,ORD015525,1,2023-06-15
RET000202,ORD012892,0,2023-06-04
RET000203,ORD015494,0,2024-11-08
RET000204,ORD004111,1,2024-03-02
RET000205,ORD012044,1,2023-10-21
RET000206,ORD010445,1,2024-04-12
RET000207,ORD016231,0,2024-07-13
RET000208,ORD015981,0,2024-08-03
RET000209,ORD010444,1,2025-04-13
RET000210,ORD000712,1,2025-05-12
RET000211,ORD013414,1,2025-05-14
RET000212,ORD005186,0,2024-10-03
RET000213,ORD018290,1,2025-05-07
RET000214,ORD012939,0,2023-10-19
RET000215,ORD009551,0,2024-09-28
RET000216,ORD002153,0,2023-09-08
RET000217,ORD004826,1,2023-09-14
RET000218,ORD010416,0,2024-02-14
RET000219,ORD008570,0,2025-02-13
RET000220,ORD009674,0,2023-05-30
RET000221,ORD013203,1,2024-05-19
RET000222,ORD013499,1,2023-07-09
RET000223,ORD006925,1,2023-08-28
RET000224,ORD002035,0,2024-08-11
RET000225,ORD017925,1,2024-10-16
RET000226,ORD010428,0,2023-08-09
RET000227,ORD010885,0,2024-08-02
RET000228,ORD015175,1,2023-12-09
RET000229,ORD002654,0,2025-01-30
RET000230,ORD007697,1,2024-08-15
RET000231,ORD003242,1,2024-07-17
RET000232,ORD013901,1,2024-05-06
RET000233,ORD007023,1,2024-05-12
RET000234,ORD002381,0,2023-12-05
RET000235,ORD013822,1,2024-05-22
RET000236,ORD005312,1,2023-11-15
RET000237,ORD009152,1,2023-08-16
RET000238,ORD014288,1,2023-09-27
RET000239,ORD007013,1,2024-12-20
RET000240,ORD012508,0,2023-09-17
RET000241,ORD019850,1,2023-07-17
RET000242,ORD017745,1,2024-04-20
RET000243,ORD016479,0,2024-03-26
RET000244,ORD008695,1,2023-07-18
RET000245,ORD001756,1,2024-11-27
