PaymentMethodID,CustomerID,Method,AddedDate
PM00001,CUST01741,Debit Card,2025-03-18
PM00002,CUST01450,Credit Card,2023-08-19
PM00003,CUST01960,Credit Card,2025-03-27
PM00004,CUST02226,Debit Card,2025-03-12
PM00005,CUST01955,Gift Card,2024-04-27
PM00006,CUST00280,Gift Card,2024-06-13
PM00007,CUST02392,Debit Card,2024-02-17
PM00008,CUST01041,Credit Card,2023-10-20
PM00009,CUST02344,Debit Card,2024-03-12
PM00010,CUST02250,Credit Card,2023-09-12
PM00011,CUST00962,Debit Card,2025-04-08
PM00012,CUST02732,Credit Card,2024-01-02
PM00013,CUST01943,PayPal,2023-12-31
PM00014,CUST01218,Gift Card,2023-07-06
PM00015,CUST00375,PayPal,2025-01-26
PM00016,CUST01912,Gift Card,2025-01-14
PM00017,CUST00035,Credit Card,2025-05-12
PM00018,CUST01393,PayPal,2024-03-04
PM00019,CUST02077,Gift Card,2024-07-01
PM00020,CUST00775,Debit Card,2023-07-06
PM00021,CUST00221,Credit Card,2023-11-21
PM00022,CUST02101,Credit Card,2024-05-07
PM00023,CUST02839,Debit Card,2023-10-16
PM00024,CUST02124,Debit Card,2023-09-12
PM00025,CUST00494,Gift Card,2025-02-17
PM00026,CUST01712,Credit Card,2024-08-16
PM00027,CUST02165,Gift Card,2023-07-30
PM00028,CUST00280,Debit Card,2024-09-18
PM00029,CUST00746,Credit Card,2024-04-11
PM00030,CUST02997,Debit Card,2025-04-21
PM00031,CUST02812,Gift Card,2024-03-19
PM00032,CUST02343,Gift Card,2024-08-11
PM00033,CUST01475,Gift Card,2024-09-27
PM00034,CUST01858,Credit Card,2023-11-24
PM00035,CUST01542,Debit Card,2024-03-17
PM00036,CUST01097,Debit Card,2024-10-24
PM00037,CUST02890,Gift Card,2023-10-08
PM00038,CUST01060,Gift Card,2024-12-12
PM00039,CUST01923,Gift Card,2023-12-11
PM00040,CUST02006,Gift Card,2024-06-07
PM00041,CUST00497,PayPal,2024-02-17
PM00042,CUST02254,PayPal,2023-09-29
PM00043,CUST02474,PayPal,2024-07-19
PM00044,CUST00044,Gift Card,2023-07-11
PM00045,CUST01852,Gift Card,2024-11-12
PM00046,CUST02653,Debit Card,2024-12-05
PM00047,CUST00454,Credit Card,2023-12-09
PM00048,CUST00595,Debit Card,2024-08-16
PM00049,CUST01357,PayPal,2024-05-16
PM00050,CUST00507,Debit Card,2025-04-03
PM00051,CUST00794,Gift Card,2025-01-13
PM00052,CUST00021,PayPal,2024-03-13
PM00053,CUST01400,PayPal,2024-07-31
PM00054,CUST02668,Credit Card,2024-08-13
PM00055,CUST02462,Credit Card,2024-08-12
PM00056,CUST01095,PayPal,2025-04-02
PM00057,CUST01428,PayPal,2024-08-11
PM00058,CUST01586,Debit Card,2023-11-22
PM00059,CUST01815,PayPal,2025-03-27
PM00060,CUST01421,Gift Card,2024-04-01
PM00061,CUST00337,Debit Card,2023-11-12
PM00062,CUST01668,Gift Card,2023-11-07
PM00063,CUST00910,Gift Card,2025-01-29
PM00064,CUST00276,Gift Card,2025-01-05
PM00065,CUST00892,PayPal,2024-06-15
PM00066,CUST00013,Credit Card,2024-01-13
PM00067,CUST01027,Credit Card,2025-03-31
PM00068,CUST00974,Gift Card,2023-06-30
PM00069,CUST00175,PayPal,2025-02-17
PM00070,CUST01409,Debit Card,2023-11-07
PM00071,CUST01626,Gift Card,2023-06-24
PM00072,CUST01944,Debit Card,2023-10-03
PM00073,CUST02289,Debit Card,2024-09-21
PM00074,CUST00547,PayPal,2023-08-29
PM00075,CUST02062,PayPal,2025-02-18
PM00076,CUST01219,Credit Card,2024-05-05
PM00077,CUST01421,Credit Card,2023-07-21
PM00078,CUST01455,PayPal,2025-03-23
PM00079,CUST02773,Gift Card,2025-05-19
PM00080,CUST01434,Credit Card,2024-02-25
PM00081,CUST00003,Debit Card,2023-10-12
PM00082,CUST02739,Gift Card,2024-07-12
PM00083,CUST01843,Debit Card,2024-04-30
PM00084,CUST00747,PayPal,2024-03-23
PM00085,CUST02817,Debit Card,2024-09-05
PM00086,CUST00872,Gift Card,2024-12-10
PM00087,CUST00495,PayPal,2024-07-23
PM00088,CUST02465,Gift Card,2023-11-25
PM00089,CUST01415,Debit Card,2024-08-25
PM00090,CUST00628,Gift Card,2023-09-24
PM00091,CUST01076,PayPal,2025-03-07
PM00092,CUST00142,Debit Card,2025-05-09
PM00093,CUST01488,Debit Card,2024-09-30
PM00094,CUST00046,Credit Card,2024-09-16
PM00095,CUST02892,Credit Card,2024-11-09
PM00096,CUST02058,Gift Card,2024-06-02
PM00097,CUST00664,Credit Card,2025-02-10
PM00098,CUST00573,Credit Card,2024-01-25
PM00099,CUST02030,Credit Card,2023-12-30
PM00100,CUST01554,Credit Card,2024-05-14
