ProductID,ProductName,Category,UnitPrice
PROD00001,Light,Clothing,171.74
PROD00002,System,Toys,151.76
PROD00003,Important,Books,459.51
PROD00004,Easy,Books,59.82
PROD00005,He,Clothing,380.99
PROD00006,Or,Electronics,494.09
PROD00007,Common,Toys,451.14
PROD00008,Forward,Books,327.58
PROD00009,Remain,Clothing,160.46
PROD00010,Under,Books,130.89
PROD00011,Phone,Toys,410.53
PROD00012,Until,Toys,440.51
PROD00013,Professional,Home,265.09
PROD00014,According,Clothing,125.95
PROD00015,Stage,Toys,60.91
PROD00016,Difference,Home,48.15
PROD00017,Answer,Home,360.94
PROD00018,Early,Books,212.96
PROD00019,Teacher,Books,453.15
PROD00020,Call,Home,371.14
PROD00021,Truth,Books,99.67
PROD00022,Now,Toys,308.82
PROD00023,Pattern,Electronics,220.58
PROD00024,Raise,Toys,290.74
PROD00025,Sense,Home,370.34
PROD00026,Amount,Home,404.07
PROD00027,Cell,Toys,422.65
PROD00028,Building,Books,130.72
PROD00029,Fast,Books,20.4
PROD00030,Benefit,Home,370.95
PROD00031,Through,Clothing,57.64
PROD00032,Page,Books,160.89
PROD00033,Character,Toys,6.89
PROD00034,Per,Books,342.43
PROD00035,Feeling,Toys,87.73
PROD00036,Side,Home,329.36
PROD00037,Meet,Books,495.91
PROD00038,Mr,Toys,40.97
PROD00039,Open,Home,43.15
PROD00040,Woman,Clothing,173.49
PROD00041,Everyone,Toys,433.86
PROD00042,Test,Clothing,111.69
PROD00043,Bit,Clothing,183.39
PROD00044,Someone,Electronics,38.91
PROD00045,Expert,Books,382.76
PROD00046,Capital,Toys,207.11
PROD00047,Answer,Clothing,380.83
PROD00048,Body,Electronics,452.29
PROD00049,Lead,Home,120.22
PROD00050,Turn,Toys,404.66
PROD00051,Center,Clothing,34.25
PROD00052,Know,Books,449.93
PROD00053,Business,Electronics,327.13
PROD00054,Environment,Clothing,437.74
PROD00055,Smile,Books,5.09
PROD00056,Identify,Clothing,88.7
PROD00057,Leg,Toys,197.93
PROD00058,Concern,Toys,192.85
PROD00059,Tax,Toys,117.23
PROD00060,Sometimes,Electronics,193.9
PROD00061,Gas,Toys,68.78
PROD00062,Whose,Books,209.32
PROD00063,Coach,Clothing,402.17
PROD00064,Record,Home,242.14
PROD00065,Thus,Books,13.91
PROD00066,Employee,Books,213.61
PROD00067,Audience,Toys,18.45
PROD00068,Never,Electronics,483.29
PROD00069,Off,Clothing,68.09
PROD00070,Rich,Electronics,355.31
PROD00071,Gun,Clothing,486.52
PROD00072,Throw,Clothing,413.89
PROD00073,Nearly,Electronics,351.16
PROD00074,Man,Books,420.53
PROD00075,Detail,Clothing,490.99
PROD00076,Week,Electronics,312.57
PROD00077,Ground,Clothing,281.8
PROD00078,Apply,Home,315.98
PROD00079,Drive,Books,268.67
PROD00080,Father,Toys,319.37
PROD00081,Through,Clothing,227.67
PROD00082,Tell,Home,113.13
PROD00083,Discussion,Toys,64.52
PROD00084,Enough,Toys,38.83
PROD00085,Describe,Clothing,135.34
PROD00086,Three,Electronics,27.83
PROD00087,Kitchen,Clothing,285.75
PROD00088,Environmental,Home,145.5
PROD00089,Site,Toys,413.14
PROD00090,Speech,Clothing,41.75
PROD00091,Gas,Electronics,117.04
PROD00092,Somebody,Clothing,366.47
PROD00093,Account,Books,301.41
PROD00094,Boy,Electronics,36.92
PROD00095,Human,Home,439.23
PROD00096,State,Toys,439.24
PROD00097,Other,Clothing,168.55
PROD00098,And,Electronics,173.5
PROD00099,Local,Books,494.57
PROD00100,Particularly,Electronics,314.96
PROD00101,Result,Books,268.0
PROD00102,Trouble,Home,419.89
PROD00103,Describe,Toys,146.22
PROD00104,Away,Home,217.45
PROD00105,Conference,Clothing,137.55
PROD00106,Likely,Electronics,395.63
PROD00107,Hour,Books,288.81
PROD00108,Go,Books,331.12
PROD00109,Case,Electronics,129.89
PROD00110,Same,Electronics,114.01
PROD00111,Identify,Clothing,246.75
PROD00112,Within,Home,370.1
PROD00113,More,Books,264.99
PROD00114,Car,Clothing,21.16
PROD00115,Make,Home,434.93
PROD00116,Including,Clothing,37.02
PROD00117,Themselves,Books,478.13
