ProductPromotionID,ProductID,PromotionID,StartDate,EndDate
PP000001,PROD00059,PROMO0015,2025-02-16,2025-05-29
PP000002,PROD00393,PROMO0031,2024-08-07,2025-05-29
PP000003,PROD00652,PROMO0014,2025-05-16,2025-06-23
PP000004,PROD00119,PROMO0014,2025-02-22,2025-06-02
PP000005,PROD00553,PROMO0006,2024-09-28,2025-06-02
PP000006,PROD00399,PROMO0014,2024-08-31,2025-05-27
PP000007,PROD00331,PROMO0017,2024-09-17,2025-05-27
PP000008,PROD00267,PROMO0018,2024-08-26,2025-05-29
PP000009,PROD00520,PROMO0020,2025-01-04,2025-06-11
PP000010,PROD00695,PROMO0017,2024-07-13,2025-06-02
PP000011,PROD00480,PROMO0016,2024-09-02,2025-06-12
PP000012,PROD00134,PROMO0040,2024-09-07,2025-06-21
PP000013,PROD00693,PROMO0039,2024-12-06,2025-06-11
PP000014,PROD00355,PROMO0032,2024-09-09,2025-06-19
PP000015,PROD00584,PROMO0009,2024-07-21,2025-05-27
PP000016,PROD00498,PROMO0027,2024-12-04,2025-05-27
PP000017,PROD00625,PROMO0033,2024-06-30,2025-06-14
PP000018,PROD00107,PROMO0010,2025-02-16,2025-06-13
PP000019,PROD00290,PROMO0017,2024-10-16,2025-06-04
PP000020,PROD00629,PROMO0036,2024-05-27,2025-06-15
PP000021,PROD00632,PROMO0017,2024-07-10,2025-06-23
PP000022,PROD00147,PROMO0018,2024-06-26,2025-06-11
PP000023,PROD00327,PROMO0023,2025-03-01,2025-06-03
PP000024,PROD00415,PROMO0034,2024-12-01,2025-06-23
PP000025,PROD00210,PROMO0008,2025-01-08,2025-05-31
PP000026,PROD00296,PROMO0013,2024-09-14,2025-06-03
PP000027,PROD00398,PROMO0023,2024-06-22,2025-06-11
PP000028,PROD00103,PROMO0020,2024-08-05,2025-06-06
PP000029,PROD00636,PROMO0022,2025-01-26,2025-06-14
PP000030,PROD00757,PROMO0023,2024-12-08,2025-06-07
PP000031,PROD00508,PROMO0035,2025-02-11,2025-06-01
PP000032,PROD00209,PROMO0003,2024-10-09,2025-06-01
PP000033,PROD00428,PROMO0034,2024-06-11,2025-06-04
PP000034,PROD00393,PROMO0033,2025-03-27,2025-06-08
PP000035,PROD00109,PROMO0017,2024-07-24,2025-06-11
PP000036,PROD00348,PROMO0019,2024-07-07,2025-06-12
PP000037,PROD00050,PROMO0030,2024-12-26,2025-05-30
PP000038,PROD00105,PROMO0023,2025-04-08,2025-06-24
PP000039,PROD00420,PROMO0015,2025-05-24,2025-06-13
PP000040,PROD00373,PROMO0014,2025-01-17,2025-06-02
PP000041,PROD00027,PROMO0002,2024-08-19,2025-06-22
PP000042,PROD00800,PROMO0039,2024-11-13,2025-06-11
PP000043,PROD00769,PROMO0018,2024-11-07,2025-06-21
PP000044,PROD00273,PROMO0006,2024-06-09,2025-06-20
PP000045,PROD00649,PROMO0032,2024-08-20,2025-06-03
PP000046,PROD00340,PROMO0021,2024-06-20,2025-05-28
PP000047,PROD00301,PROMO0040,2024-08-06,2025-05-31
PP000048,PROD00480,PROMO0028,2024-08-16,2025-05-28
PP000049,PROD00544,PROMO0027,2025-03-04,2025-06-24
PP000050,PROD00557,PROMO0002,2025-04-06,2025-06-04
PP000051,PROD00265,PROMO0033,2024-06-20,2025-06-03
PP000052,PROD00542,PROMO0016,2024-09-26,2025-06-08
PP000053,PROD00596,PROMO0039,2025-05-04,2025-06-02
PP000054,PROD00166,PROMO0022,2025-01-28,2025-06-05
PP000055,PROD00316,PROMO0013,2024-07-28,2025-06-24
PP000056,PROD00001,PROMO0002,2025-03-03,2025-06-13
PP000057,PROD00761,PROMO0014,2024-11-01,2025-06-15
PP000058,PROD00261,PROMO0038,2025-01-12,2025-06-03
PP000059,PROD00063,PROMO0028,2025-04-30,2025-06-21
PP000060,PROD00483,PROMO0007,2025-02-17,2025-06-16
PP000061,PROD00676,PROMO0018,2025-02-12,2025-06-21
PP000062,PROD00321,PROMO0036,2024-06-22,2025-06-18
PP000063,PROD00201,PROMO0036,2025-03-15,2025-06-06
PP000064,PROD00222,PROMO0004,2025-04-24,2025-06-10
PP000065,PROD00152,PROMO0030,2024-12-30,2025-05-27
PP000066,PROD00644,PROMO0024,2024-11-01,2025-06-07
PP000067,PROD00626,PROMO0020,2024-07-13,2025-06-24
PP000068,PROD00462,PROMO0031,2024-10-10,2025-06-19
