ProductReviewID,ProductID,CustomerID,Rating,ReviewText
PR000001,PROD00605,CUST00808,3,Course man he edge whether control task.
PR000002,PROD00473,CUST01761,1,Him language feel politics floor college lot.
PR000003,PROD00417,CUST00845,4,Indicate decision major truth.
PR000004,PROD00305,CUST01016,2,Kind detail mean likely industry trip.
PR000005,PROD00736,CUST01385,2,Figure reason candidate view or direction mother.
PR000006,PROD00497,CUST01398,3,Letter join country production force.
PR000007,PROD00291,CUST00554,2,Bed season address start least work.
PR000008,PROD00102,CUST02351,2,Result room middle customer customer.
PR000009,PROD00267,CUST00421,2,Box dog turn bring personal set beat her.
PR000010,PROD00622,CUST01270,2,Ahead expert themselves cost sing rate radio.
PR000011,PROD00777,CUST01261,2,Music thought return economy minute season anything event.
PR000012,PROD00003,CUST00185,4,Stay hotel country six.
PR000013,PROD00085,CUST00468,1,Really hand great sense.
PR000014,PROD00794,CUST02802,5,School expert read long.
PR000015,PROD00328,CUST02411,2,Nothing must program.
PR000016,PROD00450,CUST01307,5,Road imagine property state value life.
PR000017,PROD00454,CUST01577,5,Natural four enough remain.
PR000018,PROD00629,CUST00336,4,Issue media million great.
PR000019,PROD00221,CUST02210,2,Deal main region few environment.
PR000020,PROD00154,CUST01498,5,Mrs rise end drive throw.
PR000021,PROD00665,CUST02060,2,Either personal sort trade message deep.
PR000022,PROD00012,CUST01448,3,Off small board everything.
PR000023,PROD00133,CUST00588,3,Determine can talk.
PR000024,PROD00304,CUST01882,3,Your line already save.
PR000025,PROD00293,CUST00201,5,Civil whose he personal film within.
PR000026,PROD00300,CUST00522,3,Better song source enough start couple remain discussion.
PR000027,PROD00740,CUST01888,4,All increase be.
PR000028,PROD00783,CUST02553,4,Hot few join before too spend.
PR000029,PROD00043,CUST01712,5,Work bill moment across.
PR000030,PROD00343,CUST00788,2,Police early few financial.
PR000031,PROD00326,CUST00060,1,Unit quality finish close full fish letter.
PR000032,PROD00498,CUST00578,2,Officer to wind save size our.
PR000033,PROD00364,CUST00321,2,Respond down address seat office kid those wind.
PR000034,PROD00427,CUST01459,2,Forget too would red already avoid any.
PR000035,PROD00021,CUST02038,2,Sit bill laugh.
PR000036,PROD00407,CUST00923,1,Rock prove if follow lay huge front.
PR000037,PROD00619,CUST01410,3,I nation member total color.
PR000038,PROD00336,CUST01695,2,State least week fine.
PR000039,PROD00117,CUST00569,4,Test energy partner.
PR000040,PROD00124,CUST01102,5,Arm blood meet yard pay.
PR000041,PROD00399,CUST00527,5,Information bit perhaps example police.
PR000042,PROD00793,CUST02572,4,Black television paper account.
PR000043,PROD00715,CUST02661,2,Nearly second challenge.
PR000044,PROD00051,CUST02173,1,Month wife itself clear time.
PR000045,PROD00783,CUST00871,3,Here I indicate rest next hotel than.
PR000046,PROD00324,CUST00280,5,Man main identify run.
PR000047,PROD00789,CUST02965,3,Industry able arm.
PR000048,PROD00141,CUST02670,1,Thus before simple vote the.
PR000049,PROD00470,CUST02894,5,Provide present hundred director weight particularly fire.
PR000050,PROD00787,CUST01893,3,Happen food determine safe necessary.
PR000051,PROD00334,CUST01752,1,Out once amount raise particularly.
PR000052,PROD00373,CUST00674,3,Data plan ahead throughout.
PR000053,PROD00564,CUST01152,2,Western data information represent apply hit.
PR000054,PROD00494,CUST02362,1,Compare number laugh page speak.
