PromotionProductID,PromotionID,ProductID
PPD000001,PROMO0026,PROD00644
PPD000002,PROMO0017,PROD00493
PPD000003,PROMO0028,PROD00499
PPD000004,PROMO0019,PROD00018
PPD000005,PROMO0027,PROD00605
PPD000006,PROMO0019,PROD00294
PPD000007,PROMO0033,PROD00148
PPD000008,PROMO0007,PROD00472
PPD000009,PROMO0029,PROD00172
PPD000010,PROMO0005,PROD00563
PPD000011,PROMO0030,PROD00531
PPD000012,PROMO0008,PROD00120
PPD000013,PROMO0012,PROD00737
PPD000014,PROMO0013,PROD00066
PPD000015,PROMO0026,PROD00141
PPD000016,PROMO0018,PROD00446
PPD000017,PROMO0020,PROD00506
PPD000018,PROMO0016,PROD00189
PPD000019,PROMO0037,PROD00158
PPD000020,PROMO0003,PROD00610
PPD000021,PROMO0027,PROD00670
PPD000022,PROMO0015,PROD00246
PPD000023,PROMO0034,PROD00748
PPD000024,PROMO0022,PROD00033
PPD000025,PROMO0040,PROD00361
PPD000026,PROMO0023,PROD00753
PPD000027,PROMO0004,PROD00330
PPD000028,PROMO0023,PROD00512
PPD000029,PROMO0009,PROD00787
PPD000030,PROMO0024,PROD00071
PPD000031,PROMO0021,PROD00313
PPD000032,PROMO0016,PROD00728
PPD000033,PROMO0025,PROD00079
PPD000034,PROMO0026,PROD00169
PPD000035,PROMO0009,PROD00180
PPD000036,PROMO0015,PROD00628
PPD000037,PROMO0039,PROD00260
PPD000038,PROMO0033,PROD00486
PPD000039,PROMO0001,PROD00772
PPD000040,PROMO0005,PROD00005
PPD000041,PROMO0009,PROD00297
PPD000042,PROMO0006,PROD00620
PPD000043,PROMO0028,PROD00360
PPD000044,PROMO0026,PROD00117
PPD000045,PROMO0028,PROD00357
PPD000046,PROMO0040,PROD00439
PPD000047,PROMO0015,PROD00331
PPD000048,PROMO0006,PROD00525
PPD000049,PROMO0027,PROD00654
PPD000050,PROMO0038,PROD00188
PPD000051,PROMO0004,PROD00281
PPD000052,PROMO0011,PROD00511
PPD000053,PROMO0021,PROD00466
PPD000054,PROMO0030,PROD00115
PPD000055,PROMO0018,PROD00236
PPD000056,PROMO0035,PROD00338
PPD000057,PROMO0003,PROD00522
PPD000058,PROMO0012,PROD00199
PPD000059,PROMO0027,PROD00764
PPD000060,PROMO0030,PROD00050
PPD000061,PROMO0021,PROD00142
PPD000062,PROMO0038,PROD00783
PPD000063,PROMO0021,PROD00528
PPD000064,PROMO0038,PROD00514
PPD000065,PROMO0040,PROD00670
PPD000066,PROMO0015,PROD00030
PPD000067,PROMO0018,PROD00082
PPD000068,PROMO0029,PROD00031
PPD000069,PROMO0038,PROD00748
PPD000070,PROMO0021,PROD00333
PPD000071,PROMO0017,PROD00660
PPD000072,PROMO0018,PROD00177
PPD000073,PROMO0037,PROD00370
PPD000074,PROMO0038,PROD00547
PPD000075,PROMO0012,PROD00535
PPD000076,PROMO0011,PROD00106
PPD000077,PROMO0020,PROD00097
PPD000078,PROMO0009,PROD00230
PPD000079,PROMO0001,PROD00227
PPD000080,PROMO0003,PROD00371
PPD000081,PROMO0021,PROD00100
PPD000082,PROMO0023,PROD00445
PPD000083,PROMO0009,PROD00468
PPD000084,PROMO0019,PROD00055
PPD000085,PROMO0019,PROD00195
PPD000086,PROMO0023,PROD00520
PPD000087,PROMO0027,PROD00424
PPD000088,PROMO0027,PROD00315
PPD000089,PROMO0039,PROD00128
PPD000090,PROMO0036,PROD00032
PPD000091,PROMO0012,PROD00093
PPD000092,PROMO0027,PROD00519
PPD000093,PROMO0034,PROD00258
PPD000094,PROMO0033,PROD00220
PPD000095,PROMO0028,PROD00752
PPD000096,PROMO0031,PROD00106
PPD000097,PROMO0032,PROD00548
PPD000098,PROMO0020,PROD00416
PPD000099,PROMO0040,PROD00557
PPD000100,PROMO0035,PROD00309
PPD000101,PROMO0031,PROD00366
PPD000102,PROMO0031,PROD00521
PPD000103,PROMO0038,PROD00459
PPD000104,PROMO0022,PROD00599
PPD000105,PROMO0009,PROD00370
PPD000106,PROMO0009,PROD00331
PPD000107,PROMO0015,PROD00689
PPD000108,PROMO0013,PROD00642
PPD000109,PROMO0022,PROD00707
PPD000110,PROMO0016,PROD00011
PPD000111,PROMO0032,PROD00507
PPD000112,PROMO0002,PROD00419
PPD000113,PROMO0026,PROD00122
PPD000114,PROMO0014,PROD00235
PPD000115,PROMO0038,PROD00331
PPD000116,PROMO0034,PROD00543
PPD000117,PROMO0008,PROD00348
PPD000118,PROMO0036,PROD00412
PPD000119,PROMO0021,PROD00224
PPD000120,PROMO0028,PROD00153
PPD000121,PROMO0006,PROD00212
PPD000122,PROMO0020,PROD00092
PPD000123,PROMO0031,PROD00331
PPD000124,PROMO0033,PROD00467
PPD000125,PROMO0007,PROD00641
PPD000126,PROMO0008,PROD00709
PPD000127,PROMO0009,PROD00554
PPD000128,PROMO0002,PROD00228
PPD000129,PROMO0017,PROD00194
PPD000130,PROMO0037,PROD00530
PPD000131,PROMO0017,PROD00243
PPD000132,PROMO0038,PROD00389
PPD000133,PROMO0035,PROD00276
PPD000134,PROMO0039,PROD00450
PPD000135,PROMO0030,PROD00639
PPD000136,PROMO0006,PROD00587
PPD000137,PROMO0004,PROD00574
PPD000138,PROMO0037,PROD00478
PPD000139,PROMO0035,PROD00480
PPD000140,PROMO0009,PROD00288
PPD000141,PROMO0006,PROD00698
PPD000142,PROMO0013,PROD00690
PPD000143,PROMO0022,PROD00678
PPD000144,PROMO0028,PROD00695
PPD000145,PROMO0030,PROD00540
PPD000146,PROMO0036,PROD00330
PPD000147,PROMO0002,PROD00470
PPD000148,PROMO0036,PROD00759
PPD000149,PROMO0008,PROD00534
PPD000150,PROMO0009,PROD00467
PPD000151,PROMO0001,PROD00420
PPD000152,PROMO0013,PROD00608
PPD000153,PROMO0015,PROD00122
PPD000154,PROMO0032,PROD00762
PPD000155,PROMO0034,PROD00308
PPD000156,PROMO0031,PROD00334
PPD000157,PROMO0014,PROD00420
PPD000158,PROMO0014,PROD00326
PPD000159,PROMO0029,PROD00649
PPD000160,PROMO0019,PROD00789
PPD000161,PROMO0027,PROD00573
PPD000162,PROMO0009,PROD00250
PPD000163,PROMO0037,PROD00095
PPD000164,PROMO0037,PROD00296
PPD000165,PROMO0028,PROD00184
PPD000166,PROMO0024,PROD00260
PPD000167,PROMO0028,PROD00799
PPD000168,PROMO0036,PROD00667
PPD000169,PROMO0018,PROD00186
PPD000170,PROMO0025,PROD00409
PPD000171,PROMO0035,PROD00069
PPD000172,PROMO0004,PROD00773
PPD000173,PROMO0014,PROD00627
PPD000174,PROMO0039,PROD00008
PPD000175,PROMO0026,PROD00265
PPD000176,PROMO0008,PROD00783
PPD000177,PROMO0024,PROD00484
PPD000178,PROMO0016,PROD00761
PPD000179,PROMO0020,PROD00617
PPD000180,PROMO0015,PROD00775
PPD000181,PROMO0007,PROD00736
PPD000182,PROMO0017,PROD00371
PPD000183,PROMO0022,PROD00783
PPD000184,PROMO0022,PROD00677
PPD000185,PROMO0012,PROD00083
PPD000186,PROMO0018,PROD00646
PPD000187,PROMO0015,PROD00211
PPD000188,PROMO0037,PROD00313
PPD000189,PROMO0016,PROD00604
PPD000190,PROMO0005,PROD00337
PPD000191,PROMO0002,PROD00490
PPD000192,PROMO0028,PROD00403
PPD000193,PROMO0027,PROD00639
PPD000194,PROMO0031,PROD00191
PPD000195,PROMO0036,PROD00671
PPD000196,PROMO0001,PROD00335
PPD000197,PROMO0029,PROD00522
PPD000198,PROMO0001,PROD00619
PPD000199,PROMO0008,PROD00087
PPD000200,PROMO0016,PROD00579
PPD000201,PROMO0028,PROD00062
PPD000202,PROMO0022,PROD00387
PPD000203,PROMO0018,PROD00146
PPD000204,PROMO0022,PROD00153
PPD000205,PROMO0012,PROD00619
PPD000206,PROMO0019,PROD00660
PPD000207,PROMO0025,PROD00698
PPD000208,PROMO0005,PROD00349
PPD000209,PROMO0034,PROD00178
PPD000210,PROMO0039,PROD00487
PPD000211,PROMO0010,PROD00778
PPD000212,PROMO0007,PROD00661
PPD000213,PROMO0037,PROD00247
PPD000214,PROMO0015,PROD00254
PPD000215,PROMO0024,PROD00500
PPD000216,PROMO0026,PROD00541
PPD000217,PROMO0026,PROD00352
PPD000218,PROMO0026,PROD00512
PPD000219,PROMO0010,PROD00778
PPD000220,PROMO0017,PROD00013
PPD000221,PROMO0014,PROD00559
PPD000222,PROMO0002,PROD00151
PPD000223,PROMO0013,PROD00050
PPD000224,PROMO0027,PROD00215
PPD000225,PROMO0009,PROD00644
PPD000226,PROMO0007,PROD00372
PPD000227,PROMO0010,PROD00113
PPD000228,PROMO0009,PROD00252
PPD000229,PROMO0022,PROD00341
PPD000230,PROMO0023,PROD00053
PPD000231,PROMO0007,PROD00130
PPD000232,PROMO0009,PROD00193
PPD000233,PROMO0027,PROD00591
PPD000234,PROMO0024,PROD00057
PPD000235,PROMO0029,PROD00097
PPD000236,PROMO0017,PROD00198
PPD000237,PROMO0020,PROD00647
PPD000238,PROMO0007,PROD00147
PPD000239,PROMO0040,PROD00684
PPD000240,PROMO0007,PROD00575
PPD000241,PROMO0028,PROD00577
PPD000242,PROMO0019,PROD00295
PPD000243,PROMO0020,PROD00723
PPD000244,PROMO0039,PROD00621
PPD000245,PROMO0040,PROD00794
PPD000246,PROMO0007,PROD00684
PPD000247,PROMO0006,PROD00012
PPD000248,PROMO0025,PROD00333
PPD000249,PROMO0013,PROD00220
PPD000250,PROMO0039,PROD00398
PPD000251,PROMO0040,PROD00342
PPD000252,PROMO0022,PROD00798
PPD000253,PROMO0017,PROD00512
PPD000254,PROMO0022,PROD00172
PPD000255,PROMO0034,PROD00468
PPD000256,PROMO0008,PROD00748
PPD000257,PROMO0018,PROD00166
PPD000258,PROMO0024,PROD00699
PPD000259,PROMO0002,PROD00170
PPD000260,PROMO0002,PROD00564
PPD000261,PROMO0027,PROD00512
PPD000262,PROMO0014,PROD00189
PPD000263,PROMO0039,PROD00120
PPD000264,PROMO0012,PROD00105
PPD000265,PROMO0032,PROD00674
PPD000266,PROMO0028,PROD00041
PPD000267,PROMO0028,PROD00677
PPD000268,PROMO0025,PROD00321
PPD000269,PROMO0004,PROD00335
PPD000270,PROMO0026,PROD00160
PPD000271,PROMO0036,PROD00264
PPD000272,PROMO0003,PROD00530
PPD000273,PROMO0001,PROD00685
PPD000274,PROMO0017,PROD00477
PPD000275,PROMO0007,PROD00352
PPD000276,PROMO0005,PROD00545
PPD000277,PROMO0019,PROD00773
PPD000278,PROMO0039,PROD00210
PPD000279,PROMO0034,PROD00496
PPD000280,PROMO0035,PROD00382
PPD000281,PROMO0016,PROD00676
PPD000282,PROMO0040,PROD00481
PPD000283,PROMO0039,PROD00005
PPD000284,PROMO0027,PROD00034
PPD000285,PROMO0038,PROD00792
PPD000286,PROMO0025,PROD00145
PPD000287,PROMO0026,PROD00351
PPD000288,PROMO0014,PROD00583
PPD000289,PROMO0014,PROD00465
PPD000290,PROMO0014,PROD00348
PPD000291,PROMO0025,PROD00742
PPD000292,PROMO0036,PROD00125
PPD000293,PROMO0004,PROD00790
PPD000294,PROMO0015,PROD00271
PPD000295,PROMO0032,PROD00357
PPD000296,PROMO0018,PROD00527
PPD000297,PROMO0014,PROD00754
PPD000298,PROMO0001,PROD00498
PPD000299,PROMO0020,PROD00153
PPD000300,PROMO0010,PROD00053
PPD000301,PROMO0010,PROD00149
PPD000302,PROMO0024,PROD00503
PPD000303,PROMO0034,PROD00450
PPD000304,PROMO0028,PROD00219
PPD000305,PROMO0027,PROD00625
PPD000306,PROMO0040,PROD00800
PPD000307,PROMO0001,PROD00277
PPD000308,PROMO0033,PROD00452
PPD000309,PROMO0004,PROD00428
PPD000310,PROMO0007,PROD00083
PPD000311,PROMO0009,PROD00218
PPD000312,PROMO0016,PROD00738
PPD000313,PROMO0005,PROD00782
PPD000314,PROMO0034,PROD00527
PPD000315,PROMO0023,PROD00404
PPD000316,PROMO0025,PROD00290
PPD000317,PROMO0013,PROD00420
PPD000318,PROMO0024,PROD00339
PPD000319,PROMO0011,PROD00777
PPD000320,PROMO0017,PROD00711
PPD000321,PROMO0037,PROD00670
PPD000322,PROMO0013,PROD00419
PPD000323,PROMO0027,PROD00207
PPD000324,PROMO0020,PROD00686
PPD000325,PROMO0033,PROD00696
PPD000326,PROMO0032,PROD00265
PPD000327,PROMO0008,PROD00758
PPD000328,PROMO0029,PROD00036
PPD000329,PROMO0040,PROD00373
PPD000330,PROMO0019,PROD00488
PPD000331,PROMO0006,PROD00259
PPD000332,PROMO0039,PROD00531
PPD000333,PROMO0021,PROD00023
PPD000334,PROMO0022,PROD00104
PPD000335,PROMO0010,PROD00241
PPD000336,PROMO0010,PROD00716
PPD000337,PROMO0029,PROD00253
PPD000338,PROMO0016,PROD00142
PPD000339,PROMO0001,PROD00655
PPD000340,PROMO0017,PROD00451
PPD000341,PROMO0030,PROD00783
PPD000342,PROMO0026,PROD00307
PPD000343,PROMO0019,PROD00500
PPD000344,PROMO0021,PROD00622
PPD000345,PROMO0017,PROD00008
PPD000346,PROMO0040,PROD00069
PPD000347,PROMO0021,PROD00702
PPD000348,PROMO0040,PROD00691
PPD000349,PROMO0019,PROD00575
PPD000350,PROMO0007,PROD00068
PPD000351,PROMO0017,PROD00718
PPD000352,PROMO0001,PROD00408
PPD000353,PROMO0037,PROD00518
PPD000354,PROMO0006,PROD00119
PPD000355,PROMO0026,PROD00031
PPD000356,PROMO0002,PROD00518
PPD000357,PROMO0032,PROD00483
PPD000358,PROMO0005,PROD00207
PPD000359,PROMO0037,PROD00669
PPD000360,PROMO0031,PROD00579
PPD000361,PROMO0012,PROD00387
PPD000362,PROMO0035,PROD00412
PPD000363,PROMO0030,PROD00370
PPD000364,PROMO0006,PROD00353
PPD000365,PROMO0015,PROD00336
PPD000366,PROMO0015,PROD00289
PPD000367,PROMO0016,PROD00140
PPD000368,PROMO0020,PROD00300
