RedemptionID,PromotionID,OrderID,RedemptionDate
RED000001,PROMO0018,ORD001591,2025-01-07
RED000002,PROMO0027,ORD018420,2023-08-06
RED000003,PROMO0028,ORD007242,2023-07-19
RED000004,PROMO0037,ORD006151,2023-10-15
RED000005,PROMO0032,ORD007494,2025-02-06
RED000006,PROMO0021,ORD006542,2025-03-17
RED000007,PROMO0018,ORD016762,2025-03-02
RED000008,PROMO0033,ORD008574,2024-04-18
RED000009,PROMO0003,ORD004213,2024-09-05
RED000010,PROMO0022,ORD002915,2024-11-14
RED000011,PROMO0005,ORD003635,2025-01-26
RED000012,PROMO0016,ORD007181,2024-03-13
RED000013,PROMO0012,ORD009359,2025-05-03
RED000014,PROMO0025,ORD005470,2024-04-09
RED000015,PROMO0017,ORD010671,2023-08-26
RED000016,PROMO0025,ORD000721,2023-09-03
RED000017,PROMO0020,ORD006185,2024-02-15
RED000018,PROMO0013,ORD014368,2023-10-09
RED000019,PROMO0007,ORD015501,2024-02-12
RED000020,PROMO0031,ORD002567,2023-07-21
RED000021,PROMO0026,ORD001894,2024-04-23
RED000022,PROMO0034,ORD001214,2024-03-29
RED000023,PROMO0016,ORD011144,2025-02-04
RED000024,PROMO0007,ORD013399,2025-04-20
RED000025,PROMO0004,ORD004075,2025-04-23
RED000026,PROMO0026,ORD004438,2024-11-17
RED000027,PROMO0011,ORD004831,2024-05-16
RED000028,PROMO0016,ORD010578,2024-12-27
RED000029,PROMO0026,ORD004087,2024-05-16
RED000030,PROMO0009,ORD017254,2024-12-29
RED000031,PROMO0023,ORD012828,2024-04-10
RED000032,PROMO0025,ORD008576,2024-10-23
RED000033,PROMO0031,ORD015561,2025-02-07
RED000034,PROMO0030,ORD012062,2024-09-22
RED000035,PROMO0022,ORD002751,2023-08-19
RED000036,PROMO0016,ORD015453,2025-03-05
RED000037,PROMO0027,ORD013142,2024-03-25
RED000038,PROMO0024,ORD009054,2023-06-15
RED000039,PROMO0014,ORD005725,2024-10-29
RED000040,PROMO0009,ORD002542,2025-05-17
RED000041,PROMO0020,ORD004657,2023-12-13
RED000042,PROMO0028,ORD009868,2024-12-29
RED000043,PROMO0015,ORD009604,2025-03-16
RED000044,PROMO0016,ORD011808,2023-12-07
RED000045,PROMO0034,ORD017352,2024-10-24
RED000046,PROMO0017,ORD013179,2024-09-16
RED000047,PROMO0008,ORD004281,2023-07-27
RED000048,PROMO0011,ORD005551,2023-12-18
RED000049,PROMO0025,ORD004007,2024-06-17
RED000050,PROMO0039,ORD017441,2025-05-10
RED000051,PROMO0011,ORD005648,2024-10-27
RED000052,PROMO0018,ORD005726,2024-11-27
RED000053,PROMO0024,ORD016720,2025-04-06
RED000054,PROMO0038,ORD000449,2023-12-14
RED000055,PROMO0027,ORD018341,2024-11-18
RED000056,PROMO0021,ORD009745,2023-09-01
RED000057,PROMO0011,ORD007965,2024-02-12
RED000058,PROMO0016,ORD015237,2025-01-27
RED000059,PROMO0020,ORD006951,2023-07-19
RED000060,PROMO0026,ORD013882,2025-03-26
RED000061,PROMO0002,ORD007138,2023-06-02
RED000062,PROMO0037,ORD010080,2024-02-15
RED000063,PROMO0016,ORD018118,2024-06-03
RED000064,PROMO0003,ORD004404,2023-07-19
RED000065,PROMO0026,ORD007508,2024-11-17
RED000066,PROMO0009,ORD016674,2025-02-18
RED000067,PROMO0029,ORD017109,2024-02-11
RED000068,PROMO0005,ORD015205,2024-04-15
RED000069,PROMO0033,ORD018644,2025-01-30
RED000070,PROMO0013,ORD002754,2024-05-30
RED000071,PROMO0021,ORD015284,2024-09-09
RED000072,PROMO0023,ORD006594,2025-04-20
RED000073,PROMO0029,ORD007456,2023-10-13
RED000074,PROMO0026,ORD002731,2024-11-22
RED000075,PROMO0003,ORD001162,2024-05-29
RED000076,PROMO0034,ORD003704,2023-12-20
RED000077,PROMO0010,ORD006912,2024-04-12
RED000078,PROMO0005,ORD017236,2024-12-18
RED000079,PROMO0011,ORD019990,2025-04-06
RED000080,PROMO0034,ORD001407,2023-07-12
RED000081,PROMO0020,ORD000918,2024-11-06
RED000082,PROMO0015,ORD001300,2024-04-19
RED000083,PROMO0001,ORD019745,2025-05-10
RED000084,PROMO0003,ORD019992,2024-05-17
RED000085,PROMO0037,ORD009741,2023-12-29
RED000086,PROMO0017,ORD002856,2024-01-01
RED000087,PROMO0024,ORD016199,2023-11-28
RED000088,PROMO0014,ORD016639,2025-04-08
