RestockOrderID,StoreID,SupplierID,OrderDate,Status
RO000001,STORE003,SUP0010,2024-09-28,Ordered
RO000002,STORE004,SUP0017,2024-11-01,Received
RO000003,STORE004,SUP0050,2024-03-11,Received
RO000004,STORE042,SUP0040,2024-09-10,Ordered
RO000005,STORE009,SUP0039,2025-01-05,Cancelled
RO000006,STORE051,SUP0041,2024-01-25,Ordered
RO000007,STORE017,SUP0010,2025-02-09,Cancelled
RO000008,STORE017,SUP0012,2024-11-15,Received
RO000009,STORE020,SUP0015,2023-12-27,Received
RO000010,STORE014,SUP0031,2023-10-30,Received
RO000011,STORE022,SUP0015,2024-08-08,Cancelled
RO000012,STORE052,SUP0028,2024-02-27,Ordered
RO000013,STORE027,SUP0004,2023-10-21,Cancelled
RO000014,STORE043,SUP0036,2024-12-10,Received
RO000015,STORE003,SUP0055,2025-04-16,Received
RO000016,STORE008,SUP0001,2023-12-22,Ordered
RO000017,STORE010,SUP0058,2024-10-18,Cancelled
RO000018,STORE029,SUP0044,2024-08-31,Received
RO000019,STORE040,SUP0057,2023-12-10,Cancelled
RO000020,STORE065,SUP0034,2025-03-16,Cancelled
RO000021,STORE021,SUP0047,2023-07-04,Ordered
RO000022,STORE024,SUP0017,2023-09-23,Ordered
RO000023,STORE073,SUP0039,2023-10-08,Received
RO000024,STORE060,SUP0038,2025-02-19,Ordered
RO000025,STORE026,SUP0044,2023-06-06,Cancelled
RO000026,STORE009,SUP0051,2024-01-13,Ordered
RO000027,STORE020,SUP0033,2024-09-02,Cancelled
RO000028,STORE056,SUP0060,2024-07-08,Received
RO000029,STORE036,SUP0021,2024-08-17,Cancelled
RO000030,STORE036,SUP0026,2024-04-03,Ordered
RO000031,STORE073,SUP0046,2024-11-06,Ordered
RO000032,STORE022,SUP0036,2024-01-15,Received
RO000033,STORE001,SUP0005,2024-01-03,Ordered
RO000034,STORE069,SUP0033,2024-07-17,Received
RO000035,STORE073,SUP0001,2024-07-21,Received
RO000036,STORE037,SUP0053,2024-09-24,Ordered
RO000037,STORE072,SUP0006,2023-08-30,Cancelled
RO000038,STORE013,SUP0037,2024-12-11,Received
RO000039,STORE043,SUP0002,2024-12-30,Cancelled
RO000040,STORE037,SUP0057,2024-12-20,Ordered
RO000041,STORE074,SUP0053,2025-01-13,Cancelled
RO000042,STORE025,SUP0059,2024-03-10,Cancelled
RO000043,STORE021,SUP0059,2024-11-02,Cancelled
RO000044,STORE041,SUP0005,2025-01-08,Cancelled
RO000045,STORE073,SUP0026,2025-05-08,Ordered
RO000046,STORE042,SUP0041,2023-08-21,Ordered
RO000047,STORE042,SUP0051,2024-08-26,Cancelled
RO000048,STORE002,SUP0053,2025-05-22,Ordered
RO000049,STORE068,SUP0047,2024-01-24,Ordered
RO000050,STORE008,SUP0013,2024-02-11,Received
RO000051,STORE061,SUP0012,2024-09-29,Ordered
RO000052,STORE014,SUP0005,2025-02-04,Cancelled
RO000053,STORE077,SUP0002,2024-07-11,Ordered
RO000054,STORE021,SUP0059,2024-01-24,Ordered
RO000055,STORE024,SUP0004,2025-05-06,Ordered
RO000056,STORE050,SUP0059,2023-12-06,Ordered
RO000057,STORE045,SUP0027,2024-05-29,Received
RO000058,STORE064,SUP0050,2023-08-14,Cancelled
RO000059,STORE064,SUP0053,2024-03-05,Cancelled
RO000060,STORE026,SUP0010,2023-08-20,Ordered
RO000061,STORE032,SUP0013,2024-06-22,Ordered
RO000062,STORE057,SUP0044,2024-05-05,Received
RO000063,STORE053,SUP0002,2023-12-28,Ordered
RO000064,STORE033,SUP0026,2024-04-16,Received
RO000065,STORE052,SUP0015,2024-10-26,Cancelled
RO000066,STORE018,SUP0046,2023-10-17,Cancelled
RO000067,STORE035,SUP0057,2024-11-09,Received
RO000068,STORE012,SUP0010,2024-09-06,Cancelled
RO000069,STORE051,SUP0022,2023-10-04,Ordered
RO000070,STORE010,SUP0040,2025-01-30,Ordered
RO000071,STORE052,SUP0025,2024-05-11,Received
RO000072,STORE034,SUP0015,2023-12-01,Cancelled
RO000073,STORE067,SUP0013,2025-04-04,Cancelled
RO000074,STORE039,SUP0008,2023-12-05,Received
RO000075,STORE008,SUP0021,2023-07-27,Received
RO000076,STORE029,SUP0021,2023-08-22,Cancelled
RO000077,STORE022,SUP0022,2024-11-23,Received
RO000078,STORE070,SUP0046,2024-05-24,Ordered
RO000079,STORE061,SUP0033,2024-03-23,Cancelled
RO000080,STORE043,SUP0045,2023-11-13,Received
RO000081,STORE049,SUP0027,2023-12-01,Received
RO000082,STORE029,SUP0040,2024-09-15,Received
RO000083,STORE031,SUP0050,2025-02-25,Cancelled
RO000084,STORE053,SUP0022,2025-03-29,Ordered
