ShiftID,EmployeeID,ShiftDate,Shift
SHIFT00001,EMP00082,2023-11-10,Morning
SHIFT00002,EMP00007,2023-08-11,Afternoon
SHIFT00003,EMP00155,2024-05-13,Morning
SHIFT00004,EMP00039,2023-11-17,Afternoon
SHIFT00005,EMP00030,2023-12-14,Morning
SHIFT00006,EMP00023,2023-07-18,Afternoon
SHIFT00007,EMP00084,2024-07-06,Afternoon
SHIFT00008,EMP00151,2023-08-06,Evening
SHIFT00009,EMP00047,2023-11-22,Evening
SHIFT00010,EMP00176,2024-06-03,Morning
SHIFT00011,EMP00095,2023-09-28,Afternoon
SHIFT00012,EMP00063,2025-01-15,Afternoon
SHIFT00013,EMP00120,2024-06-16,Afternoon
SHIFT00014,EMP00137,2025-04-06,Afternoon
SHIFT00015,EMP00151,2023-10-25,Afternoon
SHIFT00016,EMP00117,2023-12-26,Morning
SHIFT00017,EMP00191,2025-01-27,Evening
SHIFT00018,EMP00175,2023-08-06,Afternoon
SHIFT00019,EMP00087,2023-06-12,Afternoon
SHIFT00020,EMP00074,2023-10-19,Afternoon
SHIFT00021,EMP00066,2024-11-17,Morning
SHIFT00022,EMP00037,2024-08-29,Evening
SHIFT00023,EMP00125,2025-05-17,Evening
SHIFT00024,EMP00166,2024-03-11,Afternoon
SHIFT00025,EMP00001,2023-08-11,Morning
SHIFT00026,EMP00176,2024-04-04,Evening
SHIFT00027,EMP00082,2023-10-26,Evening
SHIFT00028,EMP00035,2024-07-24,Morning
SHIFT00029,EMP00071,2024-06-28,Evening
SHIFT00030,EMP00108,2024-07-27,Morning
SHIFT00031,EMP00086,2025-05-10,Evening
SHIFT00032,EMP00181,2023-10-19,Morning
SHIFT00033,EMP00025,2023-11-13,Afternoon
SHIFT00034,EMP00042,2025-02-20,Evening
SHIFT00035,EMP00151,2024-04-07,Evening
SHIFT00036,EMP00009,2024-04-05,Evening
SHIFT00037,EMP00155,2024-11-02,Morning
SHIFT00038,EMP00051,2024-01-16,Evening
SHIFT00039,EMP00057,2023-10-20,Evening
SHIFT00040,EMP00082,2025-02-12,Morning
SHIFT00041,EMP00164,2024-12-01,Evening
SHIFT00042,EMP00162,2024-11-13,Evening
SHIFT00043,EMP00013,2024-07-25,Morning
