ShipmentID,OrderID,CarrierID,ShipmentDate
SHIP000001,ORD001285,CAR0007,2024-08-18
SHIP000002,ORD000690,CAR0018,2025-05-20
SHIP000003,ORD004783,CAR0008,2024-07-25
SHIP000004,ORD004508,CAR0001,2024-12-17
SHIP000005,ORD001997,CAR0004,2024-07-01
SHIP000006,ORD016814,CAR0007,2025-04-03
SHIP000007,ORD008632,CAR0014,2024-12-13
SHIP000008,ORD004508,CAR0013,2025-02-28
SHIP000009,ORD000528,CAR0010,2024-10-30
SHIP000010,ORD002997,CAR0018,2025-04-18
SHIP000011,ORD003468,CAR0001,2024-12-22
SHIP000012,ORD017746,CAR0004,2024-10-25
SHIP000013,ORD014773,CAR0016,2024-10-25
SHIP000014,ORD000704,CAR0016,2024-10-12
SHIP000015,ORD000663,CAR0018,2024-11-07
SHIP000016,ORD009115,CAR0008,2024-08-28
SHIP000017,ORD006257,CAR0010,2024-09-25
SHIP000018,ORD008368,CAR0016,2025-04-25
SHIP000019,ORD013461,CAR0011,2024-12-09
SHIP000020,ORD005298,CAR0006,2024-09-24
SHIP000021,ORD008574,CAR0001,2024-10-15
SHIP000022,ORD015583,CAR0012,2024-10-23
SHIP000023,ORD005379,CAR0006,2024-08-29
SHIP000024,ORD013501,CAR0013,2025-05-14
SHIP000025,ORD000306,CAR0017,2024-06-27
SHIP000026,ORD004698,CAR0001,2024-07-14
SHIP000027,ORD018775,CAR0008,2024-11-27
SHIP000028,ORD007223,CAR0008,2024-06-20
SHIP000029,ORD007934,CAR0011,2025-03-28
SHIP000030,ORD017850,CAR0014,2024-10-25
SHIP000031,ORD011464,CAR0010,2025-04-13
SHIP000032,ORD000403,CAR0015,2024-08-31
SHIP000033,ORD012902,CAR0007,2025-05-01
SHIP000034,ORD006941,CAR0007,2024-09-24
SHIP000035,ORD016023,CAR0010,2025-04-07
SHIP000036,ORD019055,CAR0004,2024-09-16
SHIP000037,ORD008096,CAR0018,2024-10-25
SHIP000038,ORD010843,CAR0010,2024-08-23
SHIP000039,ORD004545,CAR0019,2025-05-11
SHIP000040,ORD006075,CAR0014,2024-06-10
SHIP000041,ORD018733,CAR0013,2024-08-20
SHIP000042,ORD006851,CAR0015,2024-07-12
SHIP000043,ORD000751,CAR0016,2024-11-08
SHIP000044,ORD001618,CAR0002,2024-07-17
SHIP000045,ORD002531,CAR0004,2025-02-05
SHIP000046,ORD003334,CAR0018,2024-08-09
SHIP000047,ORD007235,CAR0017,2025-05-23
SHIP000048,ORD000512,CAR0010,2025-04-27
SHIP000049,ORD014547,CAR0009,2025-04-05
SHIP000050,ORD005083,CAR0015,2024-12-04
SHIP000051,ORD016637,CAR0012,2025-05-25
SHIP000052,ORD008821,CAR0009,2025-04-28
SHIP000053,ORD003477,CAR0014,2024-07-24
SHIP000054,ORD009179,CAR0013,2024-10-17
SHIP000055,ORD001726,CAR0006,2024-11-30
SHIP000056,ORD018478,CAR0019,2025-01-09
SHIP000057,ORD013766,CAR0004,2025-01-26
SHIP000058,ORD001702,CAR0020,2024-09-21
SHIP000059,ORD008497,CAR0017,2024-07-10
SHIP000060,ORD012271,CAR0019,2024-12-20
SHIP000061,ORD010473,CAR0003,2024-12-28
SHIP000062,ORD002808,CAR0014,2024-07-07
SHIP000063,ORD015655,CAR0017,2025-01-09
SHIP000064,ORD011079,CAR0013,2024-11-16
SHIP000065,ORD007573,CAR0009,2025-01-16
SHIP000066,ORD017409,CAR0001,2025-05-20
SHIP000067,ORD019360,CAR0017,2025-04-10
SHIP000068,ORD008699,CAR0016,2024-09-24
SHIP000069,ORD004857,CAR0018,2024-10-18
SHIP000070,ORD006725,CAR0002,2025-02-03
SHIP000071,ORD009246,CAR0014,2024-09-18
SHIP000072,ORD010867,CAR0017,2025-05-05
SHIP000073,ORD018952,CAR0003,2024-07-16
SHIP000074,ORD010097,CAR0002,2025-03-10
SHIP000075,ORD004588,CAR0008,2024-12-06
SHIP000076,ORD004923,CAR0002,2024-11-02
SHIP000077,ORD005047,CAR0002,2024-08-05
SHIP000078,ORD019279,CAR0009,2024-12-19
SHIP000079,ORD007204,CAR0020,2024-08-21
SHIP000080,ORD015404,CAR0006,2024-09-17
SHIP000081,ORD009829,CAR0012,2024-10-18
SHIP000082,ORD015798,CAR0009,2025-05-20
SHIP000083,ORD019998,CAR0007,2025-02-14
SHIP000084,ORD000039,CAR0012,2025-02-09
SHIP000085,ORD019469,CAR0005,2025-01-06
SHIP000086,ORD006266,CAR0016,2024-12-04
SHIP000087,ORD006599,CAR0005,2025-05-19
SHIP000088,ORD002416,CAR0012,2024-10-03
SHIP000089,ORD017143,CAR0020,2025-03-15
SHIP000090,ORD019501,CAR0009,2024-08-28
SHIP000091,ORD017149,CAR0007,2025-04-17
SHIP000092,ORD014307,CAR0019,2025-01-06
SHIP000093,ORD014578,CAR0020,2024-08-16
SHIP000094,ORD011886,CAR0011,2024-08-02
SHIP000095,ORD011378,CAR0012,2024-12-19
SHIP000096,ORD011059,CAR0003,2024-07-03
SHIP000097,ORD007444,CAR0017,2025-04-26
SHIP000098,ORD017702,CAR0007,2025-04-10
SHIP000099,ORD017085,CAR0010,2024-06-25
SHIP000100,ORD004384,CAR0015,2025-02-16
SHIP000101,ORD001594,CAR0002,2024-08-23
SHIP000102,ORD014759,CAR0013,2024-11-18
SHIP000103,ORD007027,CAR0004,2024-08-20
SHIP000104,ORD002613,CAR0018,2024-06-14
SHIP000105,ORD011330,CAR0001,2024-07-22
SHIP000106,ORD001909,CAR0002,2025-01-14
SHIP000107,ORD006955,CAR0002,2025-03-19
SHIP000108,ORD015186,CAR0004,2024-12-12
SHIP000109,ORD018175,CAR0003,2025-04-25
SHIP000110,ORD015497,CAR0017,2025-03-16
SHIP000111,ORD002929,CAR0014,2025-04-09
SHIP000112,ORD009281,CAR0002,2024-10-16
SHIP000113,ORD007682,CAR0016,2025-04-16
SHIP000114,ORD004128,CAR0011,2024-08-07
SHIP000115,ORD004964,CAR0013,2025-05-25
SHIP000116,ORD011762,CAR0001,2024-09-07
SHIP000117,ORD013555,CAR0002,2024-06-27
SHIP000118,ORD009358,CAR0002,2025-01-15
SHIP000119,ORD018410,CAR0005,2024-10-10
SHIP000120,ORD000988,CAR0004,2024-07-28
SHIP000121,ORD001966,CAR0012,2024-10-30
SHIP000122,ORD007317,CAR0003,2025-05-11
SHIP000123,ORD014047,CAR0020,2025-01-09
SHIP000124,ORD000869,CAR0010,2024-08-12
SHIP000125,ORD018448,CAR0020,2024-10-17
SHIP000126,ORD017514,CAR0018,2024-07-20
SHIP000127,ORD004379,CAR0010,2025-01-08
SHIP000128,ORD015464,CAR0001,2024-10-18
SHIP000129,ORD018319,CAR0006,2024-08-04
SHIP000130,ORD013247,CAR0011,2024-11-01
SHIP000131,ORD001077,CAR0002,2024-09-07
SHIP000132,ORD018024,CAR0007,2024-08-13
SHIP000133,ORD015170,CAR0020,2024-10-02
SHIP000134,ORD006386,CAR0018,2025-03-20
SHIP000135,ORD008223,CAR0019,2024-07-05
SHIP000136,ORD017088,CAR0004,2024-10-12
SHIP000137,ORD005481,CAR0013,2024-08-29
SHIP000138,ORD007778,CAR0018,2025-04-08
SHIP000139,ORD005363,CAR0020,2024-08-19
SHIP000140,ORD000951,CAR0013,2024-08-09
SHIP000141,ORD008251,CAR0019,2025-01-18
SHIP000142,ORD002819,CAR0017,2024-09-01
SHIP000143,ORD003601,CAR0001,2025-04-13
SHIP000144,ORD011342,CAR0006,2024-10-08
SHIP000145,ORD015054,CAR0019,2025-05-21
SHIP000146,ORD019329,CAR0020,2024-11-27
SHIP000147,ORD014334,CAR0001,2025-01-20
SHIP000148,ORD006256,CAR0008,2025-03-25
SHIP000149,ORD010908,CAR0017,2024-05-27
SHIP000150,ORD016008,CAR0015,2025-02-17
SHIP000151,ORD014242,CAR0018,2024-11-05
SHIP000152,ORD012091,CAR0007,2025-01-31
SHIP000153,ORD012306,CAR0016,2024-07-20
SHIP000154,ORD017563,CAR0007,2024-10-10
SHIP000155,ORD013066,CAR0017,2024-10-10
SHIP000156,ORD012648,CAR0004,2025-02-02
SHIP000157,ORD008524,CAR0012,2024-12-08
SHIP000158,ORD006038,CAR0013,2024-11-02
SHIP000159,ORD000528,CAR0004,2024-07-08
SHIP000160,ORD018444,CAR0001,2024-09-27
SHIP000161,ORD009291,CAR0001,2024-08-12
SHIP000162,ORD000212,CAR0007,2025-01-12
SHIP000163,ORD018099,CAR0009,2024-10-06
SHIP000164,ORD019073,CAR0001,2024-07-20
SHIP000165,ORD010523,CAR0016,2024-09-19
SHIP000166,ORD019651,CAR0018,2024-09-18
SHIP000167,ORD015116,CAR0015,2024-06-21
SHIP000168,ORD005150,CAR0006,2024-10-25
SHIP000169,ORD009225,CAR0002,2025-01-20
SHIP000170,ORD017717,CAR0009,2024-07-19
SHIP000171,ORD013622,CAR0004,2025-02-16
SHIP000172,ORD006821,CAR0013,2025-04-24
SHIP000173,ORD014762,CAR0011,2024-07-28
SHIP000174,ORD010033,CAR0013,2025-05-25
SHIP000175,ORD014003,CAR0011,2024-08-05
SHIP000176,ORD010331,CAR0019,2025-02-12
SHIP000177,ORD012744,CAR0008,2025-04-24
SHIP000178,ORD016828,CAR0007,2025-05-18
SHIP000179,ORD017311,CAR0016,2024-09-27
SHIP000180,ORD017007,CAR0003,2024-12-27
SHIP000181,ORD009672,CAR0017,2025-05-08
SHIP000182,ORD019422,CAR0018,2024-12-08
SHIP000183,ORD011578,CAR0015,2024-07-12
SHIP000184,ORD016618,CAR0017,2024-08-12
SHIP000185,ORD019076,CAR0011,2024-12-22
SHIP000186,ORD010223,CAR0005,2024-07-28
SHIP000187,ORD000387,CAR0016,2024-09-05
SHIP000188,ORD001635,CAR0015,2024-07-10
SHIP000189,ORD008111,CAR0010,2024-06-21
SHIP000190,ORD004134,CAR0014,2024-10-10
SHIP000191,ORD009377,CAR0002,2024-11-09
SHIP000192,ORD005582,CAR0016,2025-04-30
SHIP000193,ORD001968,CAR0019,2024-12-26
SHIP000194,ORD005768,CAR0008,2024-08-12
SHIP000195,ORD008754,CAR0015,2024-10-03
SHIP000196,ORD018384,CAR0010,2024-07-15
SHIP000197,ORD004902,CAR0005,2024-11-11
SHIP000198,ORD010122,CAR0020,2024-05-30
SHIP000199,ORD014634,CAR0016,2024-08-28
SHIP000200,ORD019164,CAR0012,2025-01-10
SHIP000201,ORD010708,CAR0013,2024-09-09
SHIP000202,ORD018062,CAR0009,2024-10-19
SHIP000203,ORD012334,CAR0017,2025-04-08
SHIP000204,ORD011939,CAR0020,2025-02-04
SHIP000205,ORD011549,CAR0012,2025-01-16
SHIP000206,ORD015116,CAR0005,2024-06-09
