StoreID,City,State,Country
STORE001,Wadestad,OR,Chad
STORE002,Hancockstad,IN,Norfolk Island
STORE003,Port Holly,IN,Pakistan
STORE004,Gonzalezmouth,OK,Paraguay
STORE005,New Tiffany,NM,Philippines
STORE006,Frankfurt,SD,United States of America
STORE007,North Johnville,VT,Bermuda
STORE008,Port Thomas,PA,Norway
STORE009,North Elizabeth,KS,Uruguay
STORE010,New Nicholasville,ME,Antigua and Barbuda
STORE011,South Denise,MN,Christmas Island
STORE012,South Zachary,TX,Ecuador
STORE013,Brookschester,NY,Poland
STORE014,Evansport,HI,Belgium
STORE015,Port Richardfurt,TN,Niger
STORE016,Lake Jasontown,CT,Myanmar
STORE017,North Jerry,OK,Uzbekistan
STORE018,Scottborough,AS,Iceland
STORE019,Port Dawnport,NY,Oman
STORE020,Coopertown,NV,Madagascar
STORE021,North Larryburgh,FL,Congo
STORE022,Lake Sharon,ND,Saint Vincent and the Grenadines
STORE023,South Colleenfort,KS,Nicaragua
STORE024,Owensside,LA,Cayman Islands
STORE025,Port Matthew,GA,Saint Kitts and Nevis
STORE026,West Ashley,AR,Greenland
STORE027,Adamsborough,AR,Iran
STORE028,Zacharyside,WY,Croatia
STORE029,Martinport,ID,Mali
STORE030,West Justin,AZ,Cocos (Keeling) Islands
STORE031,Port Abigail,NY,Nepal
STORE032,Ericstad,HI,Peru
STORE033,Port Jesse,NH,Saint Barthelemy
STORE034,Port Penny,HI,British Virgin Islands
STORE035,Caseland,UT,French Guiana
STORE036,South Jason,SC,Denmark
STORE037,East Matthew,VT,Isle of Man
STORE038,Greenland,GU,Sudan
STORE039,Dennisfurt,KS,Puerto Rico
STORE040,Jonesland,FL,Christmas Island
STORE041,Markmouth,NJ,Central African Republic
STORE042,West Daniel,AK,Sudan
STORE043,Shannonborough,PW,Iran
STORE044,Kleinmouth,AR,Morocco
STORE045,Melissafort,WV,Haiti
STORE046,Finleyburgh,VA,Uruguay
STORE047,Raystad,WI,Russian Federation
STORE048,Vanceview,IA,Saint Martin
STORE049,Allisonborough,MA,Saint Martin
STORE050,Jacksonfort,AK,Cote d'Ivoire
STORE051,Port Allison,MD,Madagascar
STORE052,Port Kelly,WI,Andorra
STORE053,Fisherborough,LA,Kiribati
STORE054,West Emily,WY,Portugal
STORE055,Kingville,AR,Lithuania
STORE056,Woodsview,SC,Ethiopia
STORE057,East Phyllis,MI,Israel
STORE058,South Ericfurt,NM,Bulgaria
STORE059,South Patricia,FL,China
STORE060,South Andrew,NJ,Saint Helena
STORE061,Lake Brendaville,MH,Australia
STORE062,Salazarview,TX,Cocos (Keeling) Islands
STORE063,Mallorymouth,VI,Antigua and Barbuda
STORE064,Kylefurt,MH,Solomon Islands
STORE065,South Claudia,OK,Morocco
STORE066,Ellisbury,FL,Canada
STORE067,Kristinfort,MT,Heard Island and McDonald Islands
STORE068,Port Tiffanyland,AK,Colombia
STORE069,Melissaview,TX,Liechtenstein
STORE070,Lake Kaylaville,GA,Honduras
STORE071,Rossshire,GA,French Guiana
STORE072,Powellhaven,ME,Malawi
STORE073,Tanyaborough,CA,British Virgin Islands
STORE074,Evanstown,MP,Antarctica (the territory South of 60 deg S)
STORE075,Bradyborough,WV,Croatia
STORE076,Port Mollyberg,NY,Macao
STORE077,Nicolebury,GU,Bahamas
STORE078,Schmidtstad,MO,China
STORE079,North Susanstad,AL,Guinea-Bissau
STORE080,Tylerchester,AL,Argentina
