StoreAlignedID,StoreID,AlignedName
SA00001,STORE067,Washington-Jones
SA00002,STORE019,"Bell, Fry and Velasquez"
SA00003,STORE020,Hicks-Wheeler
SA00004,STORE071,Henderson Ltd
SA00005,STORE052,Gonzalez-Porter
SA00006,STORE033,Romero Ltd
SA00007,STORE040,Rogers-Robinson
SA00008,STORE039,"Foster, Vang and Olson"
SA00009,STORE001,"Browning, Hernandez and Poole"
SA00010,STORE011,"Carter, Stanley and Lewis"
SA00011,STORE057,"Smith, Bailey and Todd"
SA00012,STORE050,Lewis-Young
SA00013,STORE023,Trevino Ltd
SA00014,STORE031,Lopez-Davis
SA00015,STORE042,Lozano Group
SA00016,STORE007,Romero-James
SA00017,STORE016,"Banks, Moss and Evans"
SA00018,STORE060,"Lewis, Wise and Shelton"
SA00019,STORE002,"Clark, Jordan and Noble"
SA00020,STORE001,Taylor-Pugh
SA00021,STORE048,Nunez and Sons
SA00022,STORE012,Mcbride-Todd
SA00023,STORE069,"Berg, Duncan and Chen"
SA00024,STORE037,Coleman-Robinson
SA00025,STORE032,Miller-Miller
SA00026,STORE009,Robertson-Knapp
SA00027,STORE019,Myers-Garcia
SA00028,STORE048,Graham-Miller
SA00029,STORE080,Walker Inc
SA00030,STORE003,Valenzuela Inc
SA00031,STORE020,Davis and Sons
SA00032,STORE024,Barker and Sons
SA00033,STORE054,"Lee, Miller and Parks"
SA00034,STORE033,"Santana, Sellers and Miller"
SA00035,STORE024,Barrett and Sons
SA00036,STORE075,"Wilson, Roberts and Edwards"
SA00037,STORE072,"Cole, Knight and Carrillo"
SA00038,STORE036,"Riley, Knight and Edwards"
SA00039,STORE038,Larson-Rodriguez
SA00040,STORE025,Morgan-White
SA00041,STORE018,Webb PLC
SA00042,STORE066,Wilson-Prince
SA00043,STORE054,Small LLC
SA00044,STORE035,Bennett-Williamson
SA00045,STORE080,Hughes-Sanford
SA00046,STORE061,Hester-Barton
SA00047,STORE041,"Butler, Martin and Byrd"
SA00048,STORE033,Morgan Inc
SA00049,STORE068,"Edwards, Jenkins and Williams"
SA00050,STORE033,Johnson PLC
SA00051,STORE014,Madden Group
SA00052,STORE021,Lopez-Patel
SA00053,STORE048,Bernard-Williams
SA00054,STORE020,Gay-Turner
SA00055,STORE008,Brown Group
SA00056,STORE007,"Cohen, Forbes and Owens"
SA00057,STORE067,"White, Sanders and Cohen"
SA00058,STORE017,Cannon-Lyons
SA00059,STORE033,"Boyer, Richard and Williams"
SA00060,STORE048,Hill LLC
SA00061,STORE076,Archer-Mendez
SA00062,STORE059,"Chen, Johns and Moore"
SA00063,STORE022,"Jones, Mcclain and Perez"
SA00064,STORE030,Pham-Clayton
SA00065,STORE038,Velazquez Group
SA00066,STORE051,Webb PLC
SA00067,STORE054,"Harrison, Meyers and Alvarez"
SA00068,STORE008,Gomez-Jimenez
SA00069,STORE027,"Maynard, Meadows and Baker"
SA00070,STORE027,"Murray, Johnson and Smith"
SA00071,STORE021,"Schaefer, Griffin and Clark"
SA00072,STORE030,Crawford PLC
SA00073,STORE028,"Fox, Smith and Barajas"
SA00074,STORE064,"Chang, Henson and Thompson"
SA00075,STORE069,"Chen, Diaz and Thomas"
SA00076,STORE061,Harris-Hernandez
SA00077,STORE048,"Wright, Shah and Gardner"
SA00078,STORE019,"Hall, Vaughn and Mcgee"
SA00079,STORE004,"Jones, Sanders and Russell"
SA00080,STORE035,Sullivan PLC
SA00081,STORE064,"Hernandez, Werner and Stewart"
SA00082,STORE049,"Gomez, Mendez and Berg"
SA00083,STORE017,Williams Ltd
SA00084,STORE044,Walker Ltd
SA00085,STORE030,Romero and Sons
SA00086,STORE046,Howe-Murphy
SA00087,STORE006,"Price, Lindsey and Ward"
SA00088,STORE037,Delgado-Howard
SA00089,STORE024,Rios Ltd
SA00090,STORE046,"Reyes, Mercado and Chen"
SA00091,STORE053,"Johnson, Jones and Rosales"
SA00092,STORE060,Brown-Reed
SA00093,STORE063,"Meyers, Hurley and Gardner"
SA00094,STORE032,Buchanan LLC
SA00095,STORE033,Medina PLC
SA00096,STORE067,Wright and Sons
SA00097,STORE018,Thompson-Austin
SA00098,STORE025,"Russell, Chaney and Scott"
SA00099,STORE054,Martin-Robinson
SA00100,STORE058,Rodriguez LLC
