EventID,StoreID,EventName,EventDate,Description,RowHash
a21e6563-965a-458f-a08e-4b554b9aaba3,44ab216e-47d0-4cb3-aac2-a7ba9098bb07,Grand Opening,2025-03-12,Writer particularly either floor develop economic whole list fear finish truth financial cold likely.,f69096084eb9dde837f0a5c9fdb2fb8d
a6256338-0bc8-47d1-a74e-3ed84144c363,4455fc8a-2871-40be-a37a-c8d9534a085b,Grand Opening,2025-05-20,Support stay cut detail class smile listen black form happen agency.,6323f096b1ad9a3945712ecca52c828d
97c1bf50-fc76-4dcb-a2a6-4e7cce6de7fd,3e280c93-e647-4ad1-bdde-14dae735e364,Winter Promo,2025-01-28,Hotel us quickly may fire fire enjoy look here use success order.,323dce52ff441698d70f6a5f3da48521
dc1a9aa5-e0d3-48a1-8d25-f7695cc82dba,47c0d2d6-1812-49b2-a482-bc0bd6f2a9e6,Winter Promo,2025-05-02,Drive third take contain information represent child result child western discover.,711b8751f6280466428cff727add2ce9
726fa7d8-da88-49b5-9e3d-388cb28aaf22,44ab216e-47d0-4cb3-aac2-a7ba9098bb07,VIP Night,2025-01-17,Discover art cultural adult president peace a cultural effort I.,d2d013ba1c18d5f66bec4c84e58b9346
94a66cfe-eb0d-4996-9527-0d5a18fab260,ba13b2d5-a484-47d1-a3ca-286034075be4,Summer Sale,2025-01-28,Property wonder answer training station service than computer future level reason.,7244070454962ab8ab40af40d7eefc70
99f6f9d0-7aef-4eae-986f-abb5072cf8ae,0c78f6ef-a105-47e8-84bb-ef2e3d6bc4df,VIP Night,2025-05-04,New north scene eye plan opportunity hit manager ground change record.,11a97856fae1c0054ae03342d590df5d
d1a59b19-4b44-464c-a447-5351a666e858,f7072436-bacf-44d5-86d7-62843ac7e9a9,Winter Promo,2025-05-29,Improve small yeah Mrs serious near position PM newspaper possible evening pick.,01c6dea55a5616669d617cae19d59da4
67683b2f-8b93-4d23-8a65-d061af02514b,093eb1fa-4fe5-41c3-89d4-8b5f2a340377,Grand Opening,2024-11-15,Area either reason answer risk on from.,f7a536f4e1aed7d5c1a5bc59153a2ac3
85666939-4c20-4359-b48f-ae087446acbc,aa99fef2-f9cd-4a0d-84dd-f2981ac7febe,Summer Sale,2025-02-10,Add rest series she point anyone number court book effect fine address management.,15360c0dfc9136dc95d38829de4e32f2
0ed30353-ff59-4485-b691-06838c860749,3a5296af-bd13-4a34-a138-aa20dd5c46ba,Grand Opening,2025-01-10,Law build break knowledge blood drug him add end the individual.,fd5128a32320473421ffce8bb35027df
c28a5a6c-1074-4b56-99cf-132054986ebc,ba13b2d5-a484-47d1-a3ca-286034075be4,Grand Opening,2024-11-10,Series early discover hospital single fear claim finish.,d791a70fb49a95e380e4d55154faecd1
f0e610eb-3182-4b25-b8cf-5f2a7e5b3ae7,398ced3e-37c7-443d-bfba-f033b06b1d4f,VIP Night,2024-12-26,Local fire woman throw summer fund police result.,07f6cb0e449148eace0489ef3bd1b38a
1f13c154-fbce-4355-8a72-56e8b30723d3,e6fe1886-285b-4cfa-a421-f7978f96b3e7,VIP Night,2025-05-24,House site positive above never quickly shake show use finally wide assume.,3260ccdf22585399314b57e8e5247bbe
c7fa4ecc-740a-4541-bf10-f50a34677e7b,76d92cfd-2cb6-49be-90ef-67d5c120e6f4,VIP Night,2025-03-24,Could model bad job ten left quickly open entire detail our manager challenge chair leave court.,2481ad25decffaf438abb8f7467b2b4b
f22a454f-7db4-49ab-b228-52a2379dd6ad,149569d3-15a3-47a5-82cf-6209374d0993,VIP Night,2024-12-11,Second establish cause rich school section nothing information pull catch special.,c75e5ff68ac1b6ae0fb2e3feddfe5891
26bb47b5-0638-48ea-ad4a-fec82ffdf0a6,c497212b-f140-4798-8a4a-fff690590af5,VIP Night,2024-12-17,Attention difficult trip happen PM president charge bank film mean live.,6fed8b9fa7119ca48da99121920a0d9f
6d94ffe2-0787-4310-b941-840cdbd63c3c,ba82a1a7-81e2-411e-bc68-6dde763ff558,Summer Sale,2025-01-17,Fear many door bit key middle cell perform shoulder wind wear quickly.,c949cc84e344f744f0119f42b4aa5a37
e1b44b24-23d4-4d0b-9843-4588a2d54ed1,e032ddb6-04f6-47a5-90e5-f68140962d4e,Summer Sale,2025-04-12,Hard walk hair significant involve north either exactly never issue serious improve treatment.,253d3e290d12aef3e8eac061cb0de528
de7e9606-05a9-4161-8f3c-147036f7232c,ba82a1a7-81e2-411e-bc68-6dde763ff558,Winter Promo,2025-05-27,Usually until board way clear agent subject.,aa2e69cb60fae43c039ec31577ba547c
107c8135-0db5-4b5d-bb4f-c8e4b562ff11,53a7cd91-a001-4320-ae57-b6b9f276f171,Summer Sale,2025-03-24,Big stage name ok house strong music stock region administration reach may result.,f6528e4533c7a6a26d7273e08491d1fa
20f81c82-45b1-4cf4-a2b6-bfac8e644b4c,4eb36c5a-37fe-4185-b05f-0d77270d822c,VIP Night,2024-11-11,Poor prepare by everybody official site man especially else fire.,791776b857a5b77b147a2e2f20cb74c8
68bc53ac-8696-49c4-8e37-0329ff61fb28,df99028a-fd06-4f32-a469-8dcb7c6a79c8,VIP Night,2024-12-01,Attention cell hard conference help some establish fall military discover common city civil theory oil end.,06b71167e7b91e0229906c6a843baaaf
9a01f4ae-0dd2-46c5-88b7-7517923bb231,a29e1064-53d0-44a2-bc61-c789e296ddae,Summer Sale,2024-11-15,Let hard physical best station more memory knowledge exist.,17d6b5ace09111c676a6d0f2911d454b
0d992fea-5015-4bef-851e-a7e547b9d9d7,458ac4b9-4fca-4259-8012-13972a2623aa,VIP Night,2025-01-29,Staff clearly those reduce either participant federal western economic.,7ecdfdadda1bcecab98d8633bc8dc58a
ddf950b4-dbcc-48cf-8799-946ec45d1c1d,fc971a8d-bf12-451c-b975-f2901b591fe5,VIP Night,2025-01-02,Something they small minute policy officer attention live.,c5f27c148515e86faf853ee1c15adbf1
eaf84c77-d088-4583-8027-8f181a115678,1713a6f2-41c1-43a0-8a0b-edcfd1027009,Summer Sale,2025-04-24,Test pattern ask day visit appear forward nice financial.,6f0851d5fe66fda1d9ef252d2d88be9d
8e7e4fe0-ff92-427b-89af-c47d9f2fb6bc,20d89646-1959-4624-8d20-117e253bb496,Summer Sale,2025-06-05,Member relationship when education item situation four future factor family figure to behavior recent three.,808f2449891eed9be7e5584c7fff58b7
433068bd-96b7-49cd-b47b-6315be0b7a38,dfa80e9f-194e-45b7-a356-5e25c05d1920,VIP Night,2025-01-10,Live particularly college woman address else dog consumer not box.,25df5d33d452395c86812eaf891d572a
1f61c57c-aab6-485e-bbbf-d3379a961bd5,3f4bbda4-0741-412e-b5d5-28977dc47e62,Winter Promo,2024-12-06,Son end third reveal mean everybody before return available.,cf153cede9a35b76deefb00de0422c06
3b618edd-5351-4fb8-9778-e42f6f2a9726,54d6d80b-2e76-4b60-80ed-a3204e23a4b7,Summer Sale,2025-03-05,Stuff minute finish score board nice wide town opportunity similar decade.,c7a148ce72cf9666915db0e878f1c4c0
